,Concept_ID,cs,ab
0,Auge::N,oko,ала
1,Ohr::N,ucho,алымҳа
2,Nase::N,nos,аҧынҵа
3,Mund::N,pusa,аҧышə
4,Zahn::N,zub,ахаҧыц
5,Zunge::N,jazyk,абз
6,Lippe::N,ret,ақьышə
7,Wange::N,tvář,аӡамҩа
8,Gesicht::N,obličej,аҿы
9,Stirn::N,čelo,алахь
10,Haar::N,vlas,ахəыц
11,Haar::N,vlasy,ахəыц
12,Schnurrbart::N,kníry,аҧаҵа
13,Bart::N,vousy,ажакьа
14,Kinn::N,brada,ацламкəыгə
15,Kiefer[Anatomie]::N,čelist,ацламҳəа
16,Kehle::N,hrdlo,ахəда
17,Hals::N,krk,ахəда
18,Genick::N,týl,ахəдаџьал
19,Kopf::N,hlava,ахы
20,Rücken::N,záda,азқəа
21,Rücken::N,hřbet,азқəа
22,Bauch::N,břicho,амгəа
23,Nabel::N,pupek,аҷапан
24,Busen::N,ňadra,агəыҧҳəы
25,Brust::N,prsa,агəышҧы
26,Schulter::N,plece,ажəҩахыр
27,Schulter::N,rameno,ажəҩахыр
28,Arm::N,ruka,амахəар
29,Ellenbogen::N,loket,амашьхəылҵ
30,Hand::N,ruka,анапы
31,Handfläche::N,dlaň,анапсаргəыҵа
32,Finger::N,prst,анацəа
33,Fingernagel::N,nehet,анапхыц
34,Nagel[Anatomie]::N,nehet,ашьапхыц
35,Zeh::N,prst u nohy,ашьацəа
36,Fuß::N,noha,ашьапсыргəыҵа
37,Ferse::N,pata,ашьхəа
38,Knie::N,koleno,ашьамхы
39,Oberschenkel::N,stehno,ауаҭəа
40,Bein::N,noha,ашьапы
41,Körper::N,tělo,ацəеижь
42,Haut::N,kůže,ацəа
43,Blut::N,krev,ашьа
44,Ader::N,céva,ада
45,Sehne::N,šlacha,адаш
46,Knochen::N,kost,абаҩ
47,Gehirn::N,mozek,ахшлыбаҩ
48,Gehirn::N,mozek,ахшыбаҩ
49,Herz::N,srdce,агəы
50,Magen::N,žaludek,аца
51,Magen::N,žaludek,ацар
52,Leber::N,játra,агəаҵəа
53,Atem::N,dech,аҧсыҧлагаҩгара
54,Hunger::N,hlad,амла
55,Träne::N,slza,алабжыш
56,Geschmack::N,vkus,агьама
57,Geruch::N,vůně,афҩы
58,Geruch::N,zápach,афҩы
59,Schlaf::N,spánek,ацəа
60,Traum::N,sen,аҧхыӡ
61,Himmel::N,nebe,ажəҩан
62,Sonne::N,slunce,амра
63,Mond::N,měsíc,амза
64,Stern::N,hvězda,аеҵəа
65,Luft::N,vzduch,аҳаир
66,Wind::N,vítr,аҧша
67,Welle::N,vlna,ацəқəырҧа
68,Wasser::N,voda,аӡы
69,Stein::N,kámen,ахаҳə
70,Boden::N,půda,адгьыл
71,Erde::N,země,адгьыл
72,Staub::N,prach,асаба
73,Rauch::N,dým,алҩа
74,Rauch::N,kouř,алҩа
75,Funke::N,jiskra,акəиц
76,Funke::N,jiskra,ацҧхь
77,Feuer::N,oheň,амца
78,Licht::N,světlo,алашара
79,Schatten::N,stín,ашəшьыра
80,Wetter::N,počasí,амш
81,Nebel::N,mlha,анаҟəа
82,Wolke::N,mrak,аҧсҭҳəа
83,Wolke::N,oblak,аҧсҭҳəа
84,Regen::N,déšť,ақəа
85,Schnee::N,sníh,асы
86,Eis::N,led,аҵаа
87,Frost::N,mráz,аҵаа
88,Kälte::N,chlad,ахьҭа
89,Hitze::N,horko,ашоура
90,Raureif::N,jinovatka,аҵааҧшқа
91,Regenbogen::N,duha,ацəаҟəа
92,Donner::N,hrom,адыд
93,Strömung::N,proudění,аиасра
94,Strömung::N,proudění,амҩасра
95,Tropfen::N,kapka,ацəыкəбар
96,Schaum::N,pěna,ашəах
97,Schmutz::N,špína,алымт
98,See::N,jezero,аӡиа
99,Sumpf::N,močál,аӡмах
100,Sumpf::N,bažina,аӡмах
101,Moor::N,bažina,
102,Moor::N,slatina,
103,Wiese::N,louka,адəы
104,Wald::N,les,абна
105,Hügel::N,kopec,ахəы
106,Anhöhe::N,pahorek,аҳаракыра
107,Berg::N,hora,ашьха
108,Gipfel::N,vrchol,ацəқəа
109,Höhle::N,jeskyně,аҳаҧы
110,Abhang::N,svah,анаара
111,Abhang::N,stráň,анаара
112,Quelle::N,pramen,аҵҵырҭа
113,Bach::N,potok,акəараҷҷа
114,Fluss::N,řeka,аӡиас
115,Ufer::N,břeh,ахықə
116,Küste::N,pobřeží,ахықə
117,Festland::N,souš,абарра
118,Festland::N,pevnina,абарра
119,Meer::N,moře,амшын
120,Bucht::N,záliv,аӡбжьахала
121,Bucht::N,zátoka,аӡбжьахала
122,Insel::N,ostrov,адгьылбжьаха
123,Blume::N,květina,ашəҭ
124,Gras::N,tráva,аҳасакьын
125,Wurzel::N,kořen,адац
126,Baum::N,strom,аҵла
127,Stamm::N,kmen,ашьапы
128,Rinde::N,kůra,ацəа
129,Ast::N,větev,амахə
130,Ast::N,větev,амахəҭа
131,Zweig::N,větev,амахə
132,Zweig::N,větev,амахəҭа
133,Blatt::N,lupen,абҕьы
134,Birke::N,bříza,аҵааҵла
135,Kiefer[Baum]::N,sosna,амза
136,Kiefer[Baum]::N,borovice,амза
137,Weide[Baum]::N,vrba,аҧслыш
138,Tanne::N,jedle,аҧсаӡ
139,Horn::N,roh,атəыҩа
140,Feder::N,pero,ахӡы
141,Fell::N,srst,ацəа
142,Flügel::N,křídlo,амҵəыжəа
143,Klaue::N,dráp,ашьапхыц
144,Klaue::N,pazneht,ашьапхыц
145,Kralle::N,dráp,
146,Schwanz::N,ocas,аҵыхəа
147,Ei::N,vejce,акəтаӷь
148,Nest::N,hnízdo,аҭра
149,Nest::N,hnízdo,аҵысҭра
150,Bau::N,nora,аҭыҩра
151,Tier::N,zvíře,аҧстəы
152,Tier::N,zvíře,агыгшəыг
153,Herde::N,stádo,агəарҭа
154,Kuh::N,kráva,ажə
155,Bulle::N,býk,ацə
156,Pferd::N,kůň,аҽы
157,Schaf::N,ovce,ауаса
158,Schwein::N,vepř,аҳəа
159,Schwein::N,prase,аҳəа
160,Hund::N,pes,ала
161,Katze::N,kočka,ацгəы
162,Bär::N,medvěd,амшə
163,Eichhörnchen::N,veverka,аеш
164,Elch::N,los,аҽаҩа
165,Fuchs::N,liška,абгахəыҷы
166,Hase::N,zajíc,ажьа
167,Maus::N,myš,аҳəынаҧ
168,Wolf::N,vlk,абгаду
169,Vogel::N,pták,аҧсаатə
170,Schwarm::N,roj,
171,Schwarm::N,hejno,
172,Huhn::N,kuře,акəты
173,Huhn::N,slepice,акəты
174,Hahn::N,kohout,арбаҕь
175,Gans::N,husa,аҟыз
176,Adler::N,orel,ауарба
177,Ente::N,kachna,акəата
178,Eule::N,sova,аты
179,Kranich::N,jeřáb,апҟа
180,Krähe::N,vrána,аҟəараан
181,Kuckuck::N,kukačka,акəыкəу
182,Schwan::N,labuť,агьад
183,Fisch::N,ryba,аҧсыӡ
184,Barsch::N,okoun,ацəыбла
185,Hecht::N,štika,ахиаала
186,Schlange[Tier]::N,had,амаҭ
187,Wurm::N,červ,ахəа
188,Wurm::N,červ,ахəац
189,Spinne::N,pavouk,абызкаҭаҳа
190,Ameise::N,mravenec,ашышкамс
191,Laus::N,veš,аҵа
192,Mücke::N,komár,акəыбры
193,Fliege::N,moucha,амҵ
194,Schmetterling::N,motýl,аҧарҧалыкь
195,Beere::N,bobule,аргуц
196,Apfel::N,jablko,аҵəа
197,Pilz::N,houba,акəкəбаа
198,Zwiebel::N,cibule,аџьымшьы
199,Zwiebel::N,cibule,аџьымшьхы
200,Saat::N,osivo,ажəла
201,Korn::N,zrno,арыц
202,Heu::N,seno,аҭəа
203,Schale::N,slupka,ацəа
204,Schale::N,skořápka,ацəа
205,Grube::N,jáma,ажра
206,Grube::N,jáma,атыша
207,Falle::N,past,арыҧҟьа
208,Falle::N,léčka,арыҧҟьа
209,Schlinge::N,smyčka,аҟəараҟəантə
210,Spur::N,stopa,ашьҭа
211,Asche::N,popel,ахəа
212,Dreck::N,špína,аҳəынҵəа
213,Dreck::N,špína,аҟьамсар
214,Eisen::N,železo,аиха
215,Gold::N,zlato,ахьы
216,Silber::N,stříbro,аразны
217,Kohle::N,uhlí,арацəа
218,Glas::N,sklo,асаркьа
219,Lehm::N,jíl,анышəаҧшь
220,Lehm::N,hlína,анышəаҧшь
221,Sand::N,písek,аҧслымӡ
222,Mensch::N,člověk,ауаҩы
223,Mann::N,muž,ахаҵа
224,Frau::N,žena,аҧҳəыс
225,Kind::N,dítě,ахəыҷы
226,Junge::N,hoch,аҷкəын
227,Junge::N,hoch,ахаҵарҧыс
228,Junge::N,chlapec,аҷкəын
229,Junge::N,chlapec,ахаҵарҧыс
230,Mädchen::N,děvče,аӡӷаб
231,Familie::N,rodina,аҭаацəа
232,Großvater::N,děd,абду
233,Großvater::N,dědeček,абду
234,Großmutter::N,babička,анду
235,Eltern::N,rodiče,ани аби
236,Vater::N,otec,аб
237,Mutter::N,matka,ан
238,Sohn::N,syn,аҧа
239,Tochter::N,dcera,аҧҳа
240,Bruder::N,bratr,аиашьа
241,Schwester::N,sestra,Аҳəшьа
242,Onkel::N,strýc,абиашьа
243,Onkel::N,strýc,аншьа
244,Tante::N,teta,абиаҳəшьа
245,Ehemann::N,choť,ахаҵа
246,Ehemann::N,choť,аҧшəма
247,Ehemann::N,manžel,ахаҵа
248,Ehemann::N,manžel,аҧшəма
249,Ehefrau::N,choť,аҧҳəыс
250,Ehefrau::N,manželka,аҧҳəыс
251,Freude::N,radost,агəырӷьара
252,Gelächter::N,smích,ачча
253,Gelächter::N,smích,аччара
254,Glück::N,štěstí,аразҟы
255,Kummer::N,žal,агəырҩа
256,Kummer::N,trápení,агəырҩа
257,Wunsch::N,přání,агəхəтəы
258,Wunsch::N,přání,аҭахра
259,Lust::N,chuť,агəазыҳəара
260,Geist::N,duch,аҧсы
261,Gedanke::N,myšlenka,ахəыцырҭа
262,Gedächtnis::N,paměť,агəынкылара
263,Verstand::N,rozum,ахшыҩ
264,Sinn::N,smysl,аҵакы
265,Grund::N,důvod,амзыз
266,Wahrheit::N,pravda,аиаша
267,Gespräch::N,rozhovor,аиҿцәажәара
268,Märchen::N,pohádka,алакə
269,Erzählung::N,povídka,ажәабжь
270,Nachricht::N,zpráva,адырраҭара
271,Neuigkeit::N,novina,ажәабжь ҿыц
272,Neuigkeit::N,novinka,ажәабжь ҿыц
273,Name::N,jméno,ахьӡ
274,Rätsel::N,hádanka,ацуфара
275,Rede::N,řeč,ажәа
276,Rede::N,proslov,ажәа
277,Sprache::N,řeč,абызшəа
278,Sprache::N,jazyk,абызшəа
279,Stimme::N,hlas,абжьы
280,Wort::N,slovo,ажәа
281,Zeichen::N,znamení,адырга
282,Ruf::N,zavolání,аҿҭы
283,Lärm::N,hluk,ашьҭыбжь
284,Laut::N,zvuk,ашьҭыбжь
285,Ton::N,tón,атон
286,Lied::N,píseň,ашəа
287,Ruhe::N,klid,аҭынчра
288,Ruhe::N,pokoj,аҭынчра
289,Leute::N,lidé,ауаа
290,Volk::N,národ,ажəлар
291,Arbeit::N,práce,аусура
292,Gast::N,host,асас
293,Geschenk::N,dar,аҳамҭа
294,Geschenk::N,dar,аҿанҵа
295,Spiel::N,hra,ахəмарра
296,Gesellschaft::N,společnost,агəыҧ
297,Hilfe::N,pomoc,ацхыраара
298,Freund::N,přítel,аҩыза
299,Kamerad::N,kamarád,Аҧхнагьла
300,Angelegenheit::N,záležitost,аус
301,Anzahl::N,počet,ахыҧхьаӡара
302,Art::N,druh,ахкы
303,Stück::N,kus,аҽыҭ
304,Stück::N,kousek,аҽыҭ
305,Teil::N,díl,ахəҭа
306,Teil::N,část,ахəҭа
307,Hälfte::N,půl,абжа
308,Kreis::N,kruh,агьагьа
309,Kreuz::N,kříž,аџьар
310,Linie::N,linka,аицтәар
311,Strich::N,čára,ацəаҳəа
312,Strich::N,čárka,ацəаҳəа
313,Abstand::N,vzdálenost,абжьара
314,Entfernung::N,vzdálenost,абжьара
315,Gegend::N,krajina,аҭыҧ
316,Platz::N,prostor,аҭыҧ
317,Ort::N,místo,аҭыҧ
318,Seite::N,strana,аган
319,Mitte::N,střed,агəҭа
320,Mitte::N,prostředek,агəҭа
321,Gegenstand::N,předmět,амаҭəар
322,Sache::N,věc,
323,Rand::N,kraj,аҵкар
324,Rand::N,okraj,аҵкар
325,Kante::N,hrana,авардым
326,Ecke::N,roh,акəакь
327,Spitze::N,hrot,аҧынҵа
328,Spitze::N,špička,аҧынҵа
329,Ende::N,konec,анаӡара
330,Loch::N,díra,акылҵəара
331,Winkel::N,kout,агҿаҩра
332,Winkel::N,kout,акəындхə
333,Winkel::N,kout,акəакь
334,Muster::N,vzor,аҟҟа
335,Größe::N,velikost,изаҟароу
336,Länge::N,délka,аура
337,Höhe::N,výška,агылара
338,Gewicht::N,váha,акапан
339,Menge::N,množství,
340,Haufen::N,kupa,ачаҟəа
341,Haufen::N,hromada,ачаҟəа
342,Reihe::N,řada,ацəаҳəа
343,Reihe::N,řádek,ацəаҳəа
344,Boot::N,člun,анышь
345,Ruder::N,veslo,ажəҩа
346,Schlitten::N,sáně,ашəаҩауардын
347,Ski::N,lyže,ашəаҩа
348,Ski::N,lyže,ашьахаха
349,Lagerfeuer::N,táborák,еиқуу амца
350,Last::N,náklad,ахьанҭара
351,Last::N,břemeno,ахьанҭара
352,Gang::N,chůze,аныҟəара
353,Gang::N,chodba,аныҟəара
354,Schritt::N,krok,ашьаҿа
355,Norden::N,sever,аҩада
356,Süden::N,jih,алада
357,Westen::N,západ,амраҭашəара
358,Osten::N,východ,амрагылара
359,Holz::N,dřevo,амҿымаҭəахə
360,Brett::N,prkno,аӷəы
361,Platte::N,deska,ахаҳәцәы
362,Stütze::N,opěra,аҵаргəа
363,Stütze::N,opěra,агəышьаҟа
364,Stange::N,tyč,акьат
365,Stange::N,tyčka,акьат
366,Stock::N,hůlka,алаба
367,Stab::N,hůl,акьат
368,Rohr::N,trubka,абыкь
369,Haus::N,dům,аҩны
370,Heim::N,domov,аҭаацəа
371,Ofen::N,kamna,аҳақə
372,Ofen::N,kamna,ауаџьаҟ
