,Concept_ID,no,is
0,Auge::N,øye,auga
1,Ohr::N,øre,eyra
2,Nase::N,nese,nef
3,Mund::N,munn,munnur
4,Zahn::N,tann,tönn
5,Zunge::N,tunge,tunga
6,Lippe::N,leppe,vör
7,Wange::N,kinn,kinn
8,Wange::N,kinn,vangi
9,Gesicht::N,fjes,andlit
10,Gesicht::N,ansikt,andlit
11,Stirn::N,panne,enni
12,Haar::N,hår,hár
13,Schnurrbart::N,bart,yfirskegg
14,Bart::N,skjegg,skegg
15,Kinn::N,hake,haka
16,Kiefer[Anatomie]::N,kjeve,kjálki
17,Kiefer[Anatomie]::N,kjeve,skoltur
18,Kehle::N,strupe,kverk
19,Hals::N,hals,háls
20,Genick::N,nakke,hnakki
21,Kopf::N,hode,höfuð
22,Rücken::N,rygg,hryggur
23,Bauch::N,buk,kviður
24,Bauch::N,mage,kviður
25,Nabel::N,navle,nafli
26,Busen::N,barm,barmur
27,Brust::N,bryst,brjóst
28,Schulter::N,skulder,öxl
29,Arm::N,arm,armur
30,Ellenbogen::N,albue,olnbogi
31,Hand::N,hånd,hönd
32,Handfläche::N,håndflate,lófi
33,Finger::N,finger,fingur
34,Fingernagel::N,fingernegl,fingurnögl
35,Nagel[Anatomie]::N,negl,nögl
36,Zeh::N,tå,tá
37,Fuß::N,fot,fótur
38,Ferse::N,hæl,hæll
39,Knie::N,kne,kné
40,Oberschenkel::N,lår,læri
41,Bein::N,bein,fótleggur
42,Körper::N,kropp,búkur
43,Körper::N,kropp,líkami
44,Körper::N,legeme,búkur
45,Körper::N,legeme,líkami
46,Haut::N,hud,húð
47,Haut::N,hud,skinn
48,Haut::N,skinn,húð
49,Haut::N,skinn,skinn
50,Blut::N,blod,blóð
51,Ader::N,åre,æð
52,Sehne::N,sene,sin
53,Knochen::N,bein,bein
54,Knochen::N,knokkel,bein
55,Gehirn::N,hjerne,heili
56,Herz::N,hjerte,hjarta
57,Magen::N,mage,magi
58,Leber::N,lever,lifur
59,Atem::N,pust,andi
60,Atem::N,pust,andardráttur
61,Hunger::N,sult,hungur
62,Träne::N,tåre,tár
63,Geschmack::N,smak,smekkur
64,Geruch::N,lukt,lykt
65,Schlaf::N,søvn,svefn
66,Traum::N,drøm,draumur
67,Himmel::N,himmel,himinn
68,Sonne::N,sol,sól
69,Mond::N,måne,tungl
70,Stern::N,stjerne,stjarna
71,Luft::N,luft,loft
72,Wind::N,vind,vindur
73,Welle::N,bølge,alda
74,Welle::N,bølge,bylgja
75,Wasser::N,vann,vatn
76,Stein::N,stein,steinn
77,Boden::N,bakke,botn
78,Erde::N,jord,jörð
79,Staub::N,støv,ryk
80,Staub::N,støv,duft
81,Rauch::N,røyk,reykur
82,Funke::N,gnist,neisti
83,Feuer::N,ild,eldur
84,Licht::N,lys,ljós
85,Schatten::N,skygge,skuggi
