,Concept_ID,mrj,vep
0,Auge::N,сӹнзӓ,sil'm
1,Ohr::N,пӹлӹш,korv
2,Nase::N,нер,nena
3,Mund::N,ышма,su
4,Zahn::N,пӱ,pi
5,Zahn::N,пӱ,hambaz
6,Zunge::N,йӹлмӹ,kel'
7,Lippe::N,тӹрвӹ,hul'
8,Wange::N,шӹргӹ,modpolišk
9,Gesicht::N,лицӓ,mod
10,Stirn::N,лепкӓ,oc
11,Haar::N,ӱп,tuk
12,Haar::N,ӱп,hibuz
13,Schnurrbart::N,öрш,habinod
14,Bart::N,пандаш,bard
15,Kinn::N,онгылаш,löug
16,Kiefer[Anatomie]::N,пӱ арата,hambazlu
17,Kehle::N,логер,kurk
18,Hals::N,шӱ,kagl
19,Genick::N,ланга,tagarai
20,Kopf::N,вуй,pä
21,Rücken::N,туп,sel'g
22,Bauch::N,мӹшкӹр,vac
23,Bauch::N,мӹшкӹр,koht
24,Nabel::N,кӹлӹмдӹ,naba
25,Busen::N,цӹзӹ,niža
26,Brust::N,мел,rind
27,Schulter::N,ӹнгӹжӓ,oug
28,Arm::N,кид,käzi
29,Ellenbogen::N,кӹнервуй,künambruz
30,Hand::N,лапа,käzi
31,Hand::N,лапа,käzitera
32,Handfläche::N,кид лапа,kämen
33,Finger::N,парня,sor'm
34,Fingernagel::N,кӹч,künz'
35,Nagel[Anatomie]::N,кӹч,künz'
36,Zeh::N,парня,barbaz
37,Fuß::N,ял лапа,jaug
38,Ferse::N,ялгавал,kand
39,Ferse::N,ял кавал,kand
40,Knie::N,пылвуй,komb
41,Knie::N,пылвуй,pol'v
42,Oberschenkel::N,ӓрдӹ,riiže
43,Bein::N,ял,jaug
44,Körper::N,монгыр,hibj
45,Haut::N,кавашты,nahk
46,Blut::N,вӹр,čak
47,Blut::N,вӹр,veri
48,Ader::N,вӹршӓр,son'
49,Sehne::N,кукшышӱн,jände
50,Knochen::N,лу,lu
51,Gehirn::N,вим,aivod
52,Herz::N,шӱм,südäin
53,Magen::N,шӱм,südäikoht
54,Leber::N,мокш,maks
55,Atem::N,шӱлӹш,hengaiduz
56,Hunger::N,шужымаш,näl'g
57,Träne::N,сӹнзӓвӹд,kündal'
58,Geschmack::N,тот,magu
59,Geruch::N,пыш,haju
60,Schlaf::N,ом,uni
61,Traum::N,ом,unikuva
62,Himmel::N,пӹлгом,taivaz
63,Sonne::N,кечӹ,päiväine
64,Mond::N,тӹлзӹ,kudmaine
65,Stern::N,шӹдӹр,tähtaz
66,Luft::N,юж,il'm
67,Luft::N,воздух,il'm
68,Wind::N,мардеж,döl
69,Wind::N,мардеж,tullei
70,Welle::N,ко,ald
71,Welle::N,ко,laineh
72,Welle::N,коэ,ald
73,Welle::N,коэ,laineh
74,Wasser::N,вӹд,vezi
75,Stein::N,кӱ,kivi
76,Boden::N,рок,ma
77,Boden::N,рок,pohj
78,Erde::N,свет,ma
79,Staub::N,пырак,pölü
80,Rauch::N,шӹкш,savu
81,Funke::N,ип,kibin
82,Funke::N,тылип,kibin
83,Feuer::N,тыл,lämoi
84,Licht::N,соты,vauktuz
85,Licht::N,валгыды,vauktuz
86,Schatten::N,ӹмӹл,pil'vez
