,Concept_ID,pt,da
0,Auge::N,olho,øje
1,Ohr::N,orelha,øre
2,Nase::N,nariz,næse
3,Mund::N,boca,mund
4,Zahn::N,dente,tand
5,Zunge::N,língua,tunge
6,Lippe::N,lábio,læbe
7,Wange::N,face,kind
8,Gesicht::N,cara,ansigt
9,Gesicht::N,rosto,ansigt
10,Stirn::N,testa,pande
11,Haar::N,cabelo,hår
12,Schnurrbart::N,bigode,overskæg
13,Bart::N,barba,skæg
14,Kinn::N,queixo,hage
15,Kiefer[Anatomie]::N,maxila,kæbe
16,Kiefer[Anatomie]::N,mandíbula,kæbe
17,Kehle::N,garganta,strube
18,Hals::N,colo,hals
19,Hals::N,pescoço,hals
20,Genick::N,nuca,nakke
21,Kopf::N,cabeça,hoved
22,Rücken::N,dorso,ryg
23,Rücken::N,costas,ryg
24,Bauch::N,ventre,mave
25,Bauch::N,barriga,mave
26,Nabel::N,umbigo,navle
27,Busen::N,seio,barm
28,Brust::N,peito,bryst
29,Schulter::N,ombro,skulder
30,Arm::N,braço,arm
31,Ellenbogen::N,cotovelo,albue
32,Hand::N,mão,hånd
33,Handfläche::N,palma,håndflade
34,Handfläche::N,palma da mão,håndflade
35,Finger::N,dedo,finger
36,Fingernagel::N,unha,fingernegl
37,Nagel[Anatomie]::N,unha,negl
38,Zeh::N,dedo do pé,tå
39,Fuß::N,pé,fod
40,Ferse::N,calcanhar,hæl
41,Knie::N,joelho,knæ
42,Oberschenkel::N,coxa,lår
43,Bein::N,perna,ben
44,Körper::N,corpo,krop
45,Körper::N,corpo,legeme
46,Haut::N,pele,hud
47,Blut::N,sangue,blod
48,Ader::N,veia,åre
49,Sehne::N,tendão,sene
50,Knochen::N,osso,ben
51,Gehirn::N,cérebro,hjerne
52,Herz::N,coração,hjerte
53,Magen::N,estômago,mave
54,Leber::N,fígado,lever
55,Atem::N,fôlego,ånde
56,Hunger::N,fome,sult
57,Träne::N,lágrima,tåre
58,Geschmack::N,gosto,smag
59,Geruch::N,odor,lugt
60,Geruch::N,cheiro,lugt
61,Schlaf::N,sono,søvn
62,Traum::N,sonho,drøm
63,Himmel::N,céu,himmel
64,Sonne::N,sol,sol
65,Mond::N,lua,måne
66,Stern::N,estrela,stjerne
67,Luft::N,ar,luft
68,Wind::N,vento,vind
69,Welle::N,onda,bølge
70,Wasser::N,água,vand
71,Stein::N,pedra,sten
