,Concept_ID,kk,en
0,Auge::N,көз,eye
1,Ohr::N,құлақ,ear
2,Nase::N,мұрын,nose
3,Mund::N,ауыз,mouth
4,Zahn::N,тіс,tooth
5,Zunge::N,тіл,tongue
6,Lippe::N,ерін,lip
7,Wange::N,ұрт,cheek
8,Gesicht::N,бет-аузы,face
9,Stirn::N,маңдай,forehead
10,Haar::N,қыл,hair
11,Schnurrbart::N,мұрт,moustache
12,Bart::N,сақал,beard
13,Kinn::N,иек,chin
14,Kiefer[Anatomie]::N,жақ,jaw
15,Kehle::N,алқым,throat
16,Hals::N,мойын,neck
17,Genick::N,желке,nape
18,Kopf::N,кәллә,head
19,Rücken::N,арқа,back
20,Rücken::N,арқа,spine
21,Bauch::N,қарын,belly
22,Nabel::N,кіндік,navel
23,Busen::N,омырау,bosom
24,Brust::N,кеуде,chest
25,Brust::N,кеуде,breast
26,Schulter::N,иық,shoulder
27,Arm::N,қол,arm
28,Ellenbogen::N,шынтақ,elbow
29,Hand::N,қол,hand
30,Handfläche::N,алақан,palm
31,Finger::N,саусақ,finger
32,Fingernagel::N,тырнақ,fingernail
33,Nagel[Anatomie]::N,тырнақ,nail
34,Zeh::N,тырнақ,toe
35,Zeh::N,тұяқ,toe
36,Fuß::N,аяқ-басы,foot
37,Ferse::N,өкше,heel
38,Ferse::N,өкшелік,heel
39,Knie::N,тізе,knee
40,Oberschenkel::N,жамбас,thigh
41,Bein::N,аяқ,leg
42,Körper::N,дене,body
43,Haut::N,тері,skin
44,Blut::N,қан,blood
45,Ader::N,көктамыр,vein
46,Ader::N,күретамыр,vein
47,Sehne::N,сіңір,sinew
48,Knochen::N,жілік,bone
49,Gehirn::N,ми,brain
50,Herz::N,жүрек,heart
51,Magen::N,асқазан,stomach
52,Leber::N,бауыр,liver
53,Atem::N,леп,breath
54,Hunger::N,ашаршылық,hunger
55,Träne::N,жас,tear
56,Geschmack::N,дәм,flavour
57,Geschmack::N,дәм,flavor
58,Geschmack::N,татым,flavour
59,Geschmack::N,татым,flavor
60,Geschmack::N,талғам,flavour
61,Geschmack::N,талғам,flavor
62,Geruch::N,иіс,odour
63,Geruch::N,иіс,odor
64,Schlaf::N,ұйқы,sleep
65,Schlaf::N,ұйықтау,sleep
66,Traum::N,түс,dream
67,Himmel::N,аспан,sky
68,Himmel::N,көқ,sky
69,Himmel::N,таңдай,sky
70,Sonne::N,күн,sun
71,Mond::N,ай,moon
72,Stern::N,жұлдыз,star
73,Luft::N,әуе,air
74,Wind::N,жел,wind
75,Welle::N,толқын,wave
76,Wasser::N,су,water
77,Stein::N,тас,stone
78,Boden::N,қыртыс,soil
79,Boden::N,қыртыс,ground
80,Erde::N,топырақ,earth
81,Staub::N,шаң,dust
82,Rauch::N,түтін,smoke
83,Funke::N,ұшқын,spark
84,Feuer::N,алау,fire
85,Licht::N,шұғыла,light
86,Schatten::N,көлеңке,shadow
87,Wetter::N,ауа райы,weather
88,Nebel::N,тұман,fog
89,Wolke::N,бұлт,cloud
90,Regen::N,жаңбыр,rain
91,Schnee::N,қар,snow
92,Eis::N,мұз,ice
93,Frost::N,суық,frost
94,Kälte::N,ызғар,chill
95,Kälte::N,суықтық,chill
96,Hitze::N,аптап,heat
97,Raureif::N,қырау,hoarfrost
98,Regenbogen::N,кемпірқосақ,rainbow
99,Donner::N,күн күркіреу,thunder
100,Strömung::N,ағын,current
101,Tropfen::N,тамшы,drop
102,Schaum::N,көбік,foam
103,Schmutz::N,кір,dirt
104,See::N,көл,lake
105,Sumpf::N,саз,swamp
106,Moor::N,саз,moor
107,Wiese::N,шалғын,meadow
108,Wald::N,орман,forest
109,Hügel::N,төбе,hill
110,Hügel::N,белес,hill
111,Hügel::N,белес-белес,hill
112,Anhöhe::N,дөң,elevation
113,Anhöhe::N,адыр,elevation
114,Anhöhe::N,қырат,elevation
115,Berg::N,тау,mountain
