,Concept_ID,ca,mdf
0,Auge::N,ull,сельме
1,Ohr::N,orella,пиле
2,Nase::N,nas,шалхка
3,Mund::N,boca,курга
4,Zahn::N,dent,пей
5,Zunge::N,llēngua,кяль
6,Lippe::N,llavi,търва́
7,Wange::N,galta,щёка
8,Gesicht::N,cara,шама
9,Stirn::N,front,коня
10,Haar::N,cabēll,шя́ярь
11,Schnurrbart::N,bigoti,уса́
12,Bart::N,barba,сакал
13,Kinn::N,mentó,ула
14,Kinn::N,barbeta,ула
15,Kiefer[Anatomie]::N,queix,саласка
16,Kiefer[Anatomie]::N,mandíbula,саласка
17,Kehle::N,gola,кълдома
18,Kehle::N,gola,кърга́парь
19,Kehle::N,gorja,кълдома
20,Kehle::N,gorja,кърга́парь
21,Hals::N,coll,сялдаз
22,Genick::N,nuca,шовонь
23,Kopf::N,cap,пря
24,Rücken::N,esquena,копорь
25,Bauch::N,panxa,пеке
26,Nabel::N,llombrígol,по́кон
27,Busen::N,pit,потя
28,Busen::N,mama,потя
29,Brust::N,pit,мяште
30,Schulter::N,espatlla,лафту
31,Arm::N,braç,кядь
32,Ellenbogen::N,colze,кенерьба́карь
33,Hand::N,mà,кядь
34,Handfläche::N,palma,кядьлапш
35,Finger::N,dit,сур
36,Fingernagel::N,ungla,кенже
37,Nagel[Anatomie]::N,ungla,кенже
38,Zeh::N,dit del peu,пильгосу́р
39,Fuß::N,peu,пильге
40,Fuß::N,peu,пильгелапа
41,Ferse::N,taló,кочкяря
42,Knie::N,genoll,эль
43,Knie::N,genoll,пълма́нжа
44,Oberschenkel::N,cuixa,пильгепукша
45,Bein::N,cama,пильге
46,Körper::N,cos,ро́нга
47,Körper::N,cos,по́нда
48,Haut::N,pell,киське
49,Blut::N,sang,вер
50,Ader::N,vena,сан
51,Ader::N,vena,верза́н
52,Sehne::N,tendó,коське сан
53,Knochen::N,os,пакарь
54,Gehirn::N,cervell,уй
55,Herz::N,cor,седи
56,Magen::N,estómac,коткърдазь
57,Leber::N,fetge,макса
58,Atem::N,alè,лекома
59,Atem::N,alè,ваймонь тарксема
60,Atem::N,hàlit,лекома
61,Atem::N,hàlit,ваймонь тарксема
62,Hunger::N,fam,вачеши
63,Hunger::N,gana,вачеши
64,Träne::N,llàgrima,сельмове́дь
65,Geschmack::N,gust,таньф
66,Geschmack::N,sabor,таньф
67,Geruch::N,olor,шине
68,Schlaf::N,son,удома́
69,Traum::N,somni,он
70,Himmel::N,celm,менель
71,Sonne::N,sol,ши
72,Mond::N,lluna,ков
73,Stern::N,estel,тяште
74,Stern::N,estrella,тяште
75,Luft::N,aire,кожф
76,Wind::N,vent,варма
77,Welle::N,ona,тавла
78,Wasser::N,āigua,ведь
79,Stein::N,pedra,кев
80,Boden::N,sòl,мода
81,Boden::N,sòl,потмакс
82,Erde::N,terra,мода
83,Erde::N,terra,мастор
84,Staub::N,pols,пуль
85,Rauch::N,fum,качам
86,Funke::N,guspira,ця́тка
87,Funke::N,centella,ця́тка
88,Feuer::N,foc,тол
89,Licht::N,llum,ва́лда
90,Schatten::N,ombra,цильф
91,Wetter::N,temps,уша
92,Nebel::N,boira,тума́н
93,Wolke::N,núvol,ковол
94,Regen::N,pluja,пизем
95,Schnee::N,neu,лов
96,Eis::N,gel,эй
97,Eis::N,glaç,эй
98,Frost::N,glaçada,ке́льме
99,Kälte::N,fred,якшама
100,Hitze::N,calor,пси
101,Raureif::N,gebre,леш
102,Regenbogen::N,arc iris,а́тямъёнга
103,Donner::N,tro,атям
104,Strömung::N,corrent,шудема́
105,Tropfen::N,gota,путькс
106,Tropfen::N,gota,пътняфкс
107,Schaum::N,escuma,шов
108,Schmutz::N,brutícia,ърда́з
109,See::N,llac,эрьхке
110,Sumpf::N,pantà,шяй
111,Moor::N,pantà,шяй
112,Wiese::N,prat,луга
113,Wiese::N,prada,луга
114,Wald::N,bosc,вирь
115,Hügel::N,puig,губо́р
116,Hügel::N,puig,пандоня
117,Hügel::N,pujol,губо́р
118,Hügel::N,pujol,пандоня
119,Anhöhe::N,turó,губо́р
120,Berg::N,muntanya,панда
121,Gipfel::N,cim,пря
122,Höhle::N,cova,у́нда
123,Abhang::N,coster,па́нда ша́ма
124,Quelle::N,font,эшиня
125,Bach::N,riera,шудерькс
126,Fluss::N,riu,ляй
127,Ufer::N,riba,търва́
128,Küste::N,costa,ляйтърва́
129,Festland::N,terra ferma,мода
130,Meer::N,mar,моря
131,Bucht::N,cala,ведьуське
132,Bucht::N,badia,ведьуське
133,Insel::N,illa,цёнга
134,Blume::N,flor,панчф
135,Gras::N,herba,тише
136,Wurzel::N,rel,юр
137,Wurzel::N,rel,ункс
138,Wurzel::N,arrel,юр
139,Wurzel::N,arrel,ункс
140,Baum::N,arbre,шуфта
141,Stamm::N,tronc,ро́нга
142,Rinde::N,escorça,кер
143,Ast::N,branca,морга
144,Zweig::N,ram,тарад
145,Blatt::N,fulla,лопа
146,Birke::N,bedoll,ке́лу
147,Kiefer[Baum]::N,pi,пиче
148,Weide[Baum]::N,salze,каль
149,Tanne::N,avet,куз
150,Horn::N,corn,сюра
151,Horn::N,banya,сюра
152,Feder::N,ploma,толга
153,Fell::N,pell,кедь
154,Flügel::N,ala,паця
155,Klaue::N,urpa,кенже
156,Kralle::N,grapa,кенже
157,Schwanz::N,cua,пула
158,Ei::N,ou,ал
159,Nest::N,niu,пиза
160,Bau::N,cau,пиза
161,Tier::N,animāl,жува́та
162,Herde::N,ramat,нал
163,Herde::N,ramat,стада
164,Kuh::N,vaca,скал
165,Kuh::N,vaca,тракс
166,Bulle::N,toro,бука
167,Pferd::N,cavāll,лишме
168,Schaf::N,be,уча́
169,Schaf::N,ovella,уча́
170,Schwein::N,bacó,тува
171,Hund::N,ca,пине
172,Hund::N,gos,пине
173,Katze::N,gat,катоня
174,Katze::N,gat,аваката
175,Bär::N,ós,офта
176,Eichhörnchen::N,esquirol,ур
177,Elch::N,ant,ся́рда
178,Fuchs::N,guilla,келазь
179,Hase::N,llebre,ну́мол
180,Maus::N,ratolí,шеер
181,Wolf::N,llop,върьгаз
182,Vogel::N,au,нармонь
183,Vogel::N,ocēll,нармонь
184,Schwarm::N,bandada,ко́вол
185,Schwarm::N,bandada,ме́швеле
186,Huhn::N,gallina,сараз
187,Hahn::N,gall,а́тякш
188,Gans::N,oca,маци
189,Adler::N,àguila,куцькан
190,Ente::N,ànec,яксярга
191,Eule::N,òliba,ко́рож
192,Eule::N,mussol,ко́рож
193,Kranich::N,grua,ка́рга
194,Krähe::N,cornella,ва́рси
195,Kuckuck::N,cucut,ку́ку
196,Schwan::N,cigne,ло́ксти
197,Fisch::N,peix,кал
198,Barsch::N,perca,о́кунь
199,Hecht::N,lluç,щу́ка
200,Schlange[Tier]::N,serp,куй
201,Wurm::N,cuc,сукс
202,Spinne::N,aranya,унжа́
203,Ameise::N,formiga,панжам
204,Laus::N,poll,си
205,Mücke::N,mosquit,ся́ське
206,Fliege::N,mosca,кару
207,Schmetterling::N,papallona,ме́лав
208,Beere::N,baia,и́мож
209,Apfel::N,poma,марь
210,Pilz::N,bolet,панга
211,Zwiebel::N,ceba,шурьхкя́
212,Saat::N,sembra,видьмот
213,Korn::N,gra,сёра
214,Heu::N,fenc,тише
215,Schale::N,closca,кедь
216,Grube::N,sot,лотка
217,Grube::N,clot,лотка
218,Falle::N,trampa,туфкс
219,Falle::N,trampa,кунда́ма
220,Schlinge::N,baga,килькш
221,Spur::N,traça,пильгоки́
222,Asche::N,cendra,кулу
223,Dreck::N,llot,ърда́з
224,Eisen::N,ferro,кшни
225,Gold::N,or,ока
226,Gold::N,or,золота
227,Silber::N,plata,сия́
228,Kohle::N,carbó,седь
229,Kohle::N,carbó,седьвальмя
230,Glas::N,vidre,кля́нцек
231,Lehm::N,fang,сёвонь
232,Lehm::N,argila,сёвонь
233,Sand::N,arena,шува́р
234,Mensch::N,humà,ломань
235,Mensch::N,persona,ломань
236,Mann::N,home,аля
237,Mann::N,home,цёраломань
238,Frau::N,dona,ава
239,Kind::N,nen,идь
240,Kind::N,nen,шаба
241,Junge::N,noi,цёраня
242,Mädchen::N,noia,стирня́
243,Familie::N,família,тнал
244,Familie::N,família,семья
245,Großvater::N,avi,атя
246,Großvater::N,avi,щя́тя
247,Großmutter::N,àvia,баба
248,Eltern::N,pares,тя́дят-а́лят
249,Vater::N,pare,аля
250,Mutter::N,mare,ава
251,Mutter::N,mare,тядя
252,Sohn::N,fill,цёра
253,Tochter::N,filla,стирь
254,Bruder::N,germà,дуган
255,Bruder::N,germà,пяльне
256,Schwester::N,germana,ака
257,Schwester::N,germana,сазор
258,Onkel::N,oncle,оця
259,Onkel::N,oncle,патя
260,Onkel::N,oncle,щеня́
261,Tante::N,tia,ака
262,Tante::N,tia,щака
263,Ehemann::N,espòs,мирде
264,Ehefrau::N,muller,ърьвя́
265,Freude::N,goig,ке́нярдема
266,Freude::N,alegria,ке́нярдема
267,Gelächter::N,riallada,рахсема
268,Glück::N,felicitat,паваз
269,Kummer::N,pena,ризф
270,Kummer::N,pena,пичефкс
271,Wunsch::N,desig,мяль
272,Wunsch::N,desig,таколдома
273,Lust::N,ganes,таколдома
274,Geist::N,ment,вайме
275,Geist::N,esperit,вайме
276,Gedanke::N,pensament,мяль
277,Gedächtnis::N,memòria,прявий
278,Verstand::N,raó,прявий
279,Verstand::N,seny,прявий
280,Sinn::N,solta,ён
281,Sinn::N,sentit,ён
282,Grund::N,raó,туфта́л
283,Grund::N,causa,туфта́л
284,Wahrheit::N,veritāt,ви́де
285,Wahrheit::N,veritāt,видеши́
286,Gespräch::N,conversa,корхтама
287,Märchen::N,conte,ёфкс
288,Erzählung::N,narració,азкс
289,Nachricht::N,missatge,куля́
290,Neuigkeit::N,novetat,куля́
291,Name::N,nom,лем
292,Rätsel::N,endevinalla,со́дама ёфкс
293,Rede::N,discurs,вал
294,Rede::N,discurs,корхтама
295,Sprache::N,llēngua,кяль
296,Stimme::N,veu,вайгяль
297,Wort::N,mot,вал
298,Wort::N,paraula,вал
299,Zeichen::N,signe,тя́ште
300,Zeichen::N,signe,тя́штькс
301,Zeichen::N,senyal,тя́ште
302,Zeichen::N,senyal,тя́штькс
303,Ruf::N,crida,тердема
304,Lärm::N,sorōll,гайф
305,Lärm::N,sorōll,жалакодома
306,Laut::N,so,вайгяль
307,Ton::N,to,вайгяль
308,Lied::N,cançó,мора
309,Ruhe::N,calma,сетьме
310,Ruhe::N,silenci,сетьме
311,Leute::N,gent,ломатть
312,Volk::N,poble,наро́д
313,Arbeit::N,labor,тев
314,Arbeit::N,treball,тев
315,Gast::N,hoste,и́нжи
316,Gast::N,hoste,ко́нак
317,Geschenk::N,regal,казне
318,Geschenk::N,obsequi,казне
319,Spiel::N,joc,налхкома
320,Spiel::N,joc,налхксема
321,Gesellschaft::N,companyia,кружок
322,Hilfe::N,ajut,лездома
323,Freund::N,amīc,я́лга
324,Kamerad::N,company,я́лга
325,Kamerad::N,camarada,я́лга
326,Angelegenheit::N,afer,тев
327,Angelegenheit::N,assumpte,тев
328,Anzahl::N,nombre,лувкс
329,Anzahl::N,quantitat,лувкс
330,Art::N,tipus,вид
331,Art::N,classe,вид
332,Stück::N,peça,пакш
333,Teil::N,part,часть
334,Teil::N,part,пялькс
335,Hälfte::N,meitat,пяле
336,Kreis::N,cercle,шаркс
337,Kreuz::N,creu,крёз
338,Linie::N,línia,межа
339,Linie::N,línia,китькс
340,Strich::N,traç,межа
341,Strich::N,ratlla,межа
342,Abstand::N,distància,ётка
343,Entfernung::N,distància,ётка
344,Gegend::N,regió,ва́ста
345,Gegend::N,regió,перьфпя́ль
346,Gegend::N,contrada,ва́ста
347,Gegend::N,contrada,перьфпя́ль
348,Platz::N,cabuda,ва́ста
349,Ort::N,lloc,ва́ста
350,Seite::N,banda,пяле
351,Seite::N,costāt,пяле
352,Mitte::N,mig,кучка́
353,Mitte::N,centre,кучка́
354,Gegenstand::N,objecte,веща
355,Sache::N,cosa,тев
356,Sache::N,cosa,веща
