,Concept_ID,ba,myv
0,Auge::N,күҙ,сельме
1,Ohr::N,ҡолаҡ,пиле
2,Nase::N,танау,судо
3,Mund::N,ауыҙ,курго
4,Zahn::N,теш,пей
5,Zunge::N,тел,кель
6,Lippe::N,ирен,турва
7,Wange::N,яцаҡтар,чамабока
8,Wange::N,яцаҡтар,чамаумарь
9,Gesicht::N,бит,чама
10,Stirn::N,маңлай,коня
11,Haar::N,сәс,черь
12,Schnurrbart::N,мылтыҡ,ус
13,Schnurrbart::N,мылтыҡ,муюк
14,Bart::N,һаҡал,сакал
15,Kinn::N,эйэк,уло
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,пейпакар
17,Kiefer[Anatomie]::N,яңаҡ һөйәге,пейловажа
18,Kehle::N,тамаҡ,кирьгапарь
19,Hals::N,муйын,кирьга
20,Genick::N,соңҡа,човонь
21,Kopf::N,баш,пря
22,Rücken::N,арҡа,копорь
23,Bauch::N,ҡорһаҡ,пеке
24,Nabel::N,кендек,почо
25,Busen::N,күкрәк,поте
26,Brust::N,түш,меште
27,Schulter::N,яурын,лавтов
28,Arm::N,ҡул,кедь
29,Ellenbogen::N,терһәк,кенерепакарь
30,Hand::N,ҡул,кедь
31,Hand::N,ҡул суғы,кедь
32,Handfläche::N,ус төбө,кедькуншка
33,Handfläche::N,ус төбө,кедьлапушка
34,Finger::N,бармаҡ,сур
35,Fingernagel::N,тырнаҡ,кенже
36,Nagel[Anatomie]::N,тырнаҡ,кенже
37,Zeh::N,бармаҡ,пильге сур
38,Fuß::N,табан,пильге
39,Ferse::N,үксә,кочкаря
40,Knie::N,тубыҡ,эле
41,Knie::N,тубыҡ,эзне
42,Knie::N,тубыҡ,кумажа
43,Oberschenkel::N,сандыр,качо
44,Bein::N,аяҡ,пильге
45,Körper::N,тән,рунго
46,Haut::N,тире,киське
47,Blut::N,ҡан,верь
48,Ader::N,тамыр,сан
49,Sehne::N,һеңер,коське сан
50,Sehne::N,тарамыш,коське сан
51,Knochen::N,һойәк,пакарь
52,Gehirn::N,мейе,удем
53,Herz::N,йорәк,седей
54,Magen::N,ашҡаҙан,пеке
55,Leber::N,бауыр,максо
56,Atem::N,һулыш,лексема
57,Atem::N,һулыш,оймень таргсема
58,Hunger::N,аслыҡ,вачочи
59,Träne::N,күҙ иәше,селведь
60,Geschmack::N,тәм,тансть
61,Geruch::N,еҫ,чине
62,Schlaf::N,йоҡлау,удома
63,Traum::N,төш,он
64,Himmel::N,күк,менель
65,Sonne::N,ҡояш,чи
66,Mond::N,ай,ков
67,Stern::N,йондоҙ,теште
68,Luft::N,һауа,кошт
69,Wind::N,ел,варма
70,Welle::N,тулҡын,толкун
71,Wasser::N,һыу,ведь
72,Stein::N,таш,кев
73,Boden::N,тупраҡ,мода
74,Erde::N,балсҡ,мастор
75,Staub::N,туҙан,пуль
76,Rauch::N,төтөн,качамо
77,Funke::N,осҡон,сятко
78,Feuer::N,ут,тол
79,Licht::N,яҡтылыҡ,валдо
80,Schatten::N,күләгә,сулей
81,Schatten::N,күләгә,сулейкс
82,Wetter::N,һауа торошо,ушо
83,Nebel::N,төман,сув
84,Wolke::N,болот,пель
85,Regen::N,ямғыр,пиземс
86,Schnee::N,ҡар,лов
87,Eis::N,боҙ,эй
88,Frost::N,һалҡын,кельме
89,Kälte::N,һыуыҡ,якшамо
90,Hitze::N,томра,пси
91,Hitze::N,эҫелек,пси
92,Raureif::N,ҡырау,лекш
93,Regenbogen::N,йәйғор,пурьгинечирьке
94,Regenbogen::N,йәйғор,пурьгинеёнкс
95,Donner::N,күк күкрәү,пурьгине
96,Strömung::N,ағым,чудема
97,Strömung::N,ағым,чудевкс
98,Tropfen::N,тамсы,петнявкс
99,Schaum::N,күбек,чов
100,Schmutz::N,батҡаҡ,рудаз
101,See::N,күл,эрьке
102,Sumpf::N,һаҙлык,чей
103,Moor::N,һаҙ,чей
104,Wiese::N,болон,луга
105,Wald::N,урман,вирь
106,Hügel::N,түбә,губорь
107,Hügel::N,түбә,пандыне
108,Anhöhe::N,түбә,губорь
109,Anhöhe::N,түбә,пандыне
110,Anhöhe::N,ҡалҡыулыҡ,губорь
111,Anhöhe::N,ҡалҡыулыҡ,пандыне
112,Berg::N,тау,пандо
113,Gipfel::N,түбә,пря
114,Höhle::N,мәмерйә,пещера
115,Abhang::N,ипкен,пандочама
116,Quelle::N,шишмә,ушодкс
117,Bach::N,шишмә,чудикерькс
118,Fluss::N,йылға,лей
119,Ufer::N,яр,чире
120,Küste::N,яр буйы,лейчире
121,Festland::N,ҡоро ер,мода
122,Meer::N,диңгез,моря
123,Bucht::N,бухта,усия
124,Insel::N,үтрау,усия
125,Blume::N,сәскә,цеця
126,Gras::N,үлән,тикше
127,Wurzel::N,тамыр,юр
128,Wurzel::N,тамыр,ундокс
129,Baum::N,ағас,чувто
130,Stamm::N,олон,рунго
131,Stamm::N,көбәк,рунго
132,Rinde::N,ҡабыҡ,суд
133,Rinde::N,ҡабыҡ,керь
134,Ast::N,ботаҡ,морго
135,Zweig::N,ботаҡ,тарад
136,Zweig::N,тармаҡ,тарад
137,Blatt::N,япраҡ,лопа
138,Birke::N,ҡайын,килей
139,Kiefer[Baum]::N,ҡарғай,пиче
140,Weide[Baum]::N,тал,каль
141,Tanne::N,шыршы,куз
142,Horn::N,мөғөҙ,сюро
143,Feder::N,ҡауырһын,толга
144,Fell::N,тире,пона
145,Flügel::N,ҡанат,сёлмо
146,Klaue::N,тырнаҡ,кенже
147,Kralle::N,аяҡ,кенже
148,Schwanz::N,ҡойроҡ,пуло
149,Ei::N,йомортҡа,ал
150,Nest::N,оя,пизэ
151,Bau::N,оң,варя
152,Bau::N,оң,пизе
153,Tier::N,жайуан,ракша
154,Tier::N,йыртҡыс,ракша
155,Herde::N,көтөү,стада
156,Kuh::N,һыйыр,скал
157,Bulle::N,үгеҙ,бука
158,Pferd::N,ат,лишме
159,Schaf::N,һарыҡ,реве
160,Schwein::N,сусҡа,туво
161,Hund::N,эт,пине
162,Hund::N,эт,киска
163,Katze::N,бесәй,псака
164,Bär::N,айыу,овто
165,Eichhörnchen::N,тейен,ур
166,Elch::N,мышы,сярдо
167,Fuchs::N,төлкө,ривезь
168,Hase::N,ҡуян,нумоло
169,Maus::N,сысҡан,чеерь
170,Wolf::N,бүре,верьгиз
171,Vogel::N,ҡош,нармунь
172,Schwarm::N,көтөү,полк
173,Schwarm::N,көтөү,стада
174,Huhn::N,тауыҡ,сараз
175,Hahn::N,әтәс,атякш
176,Gans::N,ҡаҙ,гала
177,Gans::N,ҡаҙ,мацей
178,Adler::N,бөркөт,куцькан
179,Adler::N,бөркөт,тумоатякш
180,Ente::N,өйрәк,яксярго
181,Eule::N,өкө,корж
182,Eule::N,ябалаҡ,корж
183,Kranich::N,торна,карго
184,Krähe::N,ҡарға,варака
185,Kuckuck::N,кәкүк,куко
186,Schwan::N,аҡҡош,локсей
187,Fisch::N,балыҡ,кал
188,Barsch::N,алабуға,окунь
189,Hecht::N,суртан,щука
190,Schlange[Tier]::N,йылан,гуй
191,Wurm::N,селяүсен,сукс
192,Spinne::N,үрмәксе,шанжав
193,Ameise::N,ҡырмыҫҡа,коткудав
194,Laus::N,бет,сий
195,Mücke::N,серәкәй,сеське
196,Fliege::N,себен,карво
197,Schmetterling::N,күбәләк,нимиляв
198,Beere::N,еләк,умарь
199,Apfel::N,алма,умарь
200,Pilz::N,бәшмәк,панго
201,Zwiebel::N,һуган,чурька
202,Saat::N,орлоҡ,видьметь
203,Korn::N,иген,сюро
204,Heu::N,бесән,тикше
205,Schale::N,ҡабыҡ,кедь
206,Schale::N,ҡабыҡ,ваткавкс
207,Grube::N,соҡор,латко
208,Falle::N,тоҙак,тувор
209,Falle::N,тоҙак,кундамка
210,Falle::N,ҡапҡан,тувор
211,Falle::N,ҡапҡан,кундамка
