,Concept_ID,ar,mn
0,Auge::N,عين,нүд
1,Ohr::N,أذن,чих
2,Nase::N,أنف,хамар
3,Mund::N,فم,ам
4,Zahn::N,سن,шүд
5,Zunge::N,لسان,хэл
6,Lippe::N,شفة,уруул
7,Wange::N,خد,хацар
8,Wange::N,وجنة,хацар
9,Gesicht::N,وجه,царай
10,Gesicht::N,وجه,нүүр
11,Stirn::N,جبين,дух
12,Haar::N,شعر,үс
13,Schnurrbart::N,شارب,дээд сахал
14,Schnurrbart::N,شارب,живэр сахал
15,Bart::N,لحية,сахал
16,Kinn::N,ذقن,эрүү
17,Kiefer[Anatomie]::N,فك,эрүү
18,Kehle::N,حلق,хоолой
19,Hals::N,عنق,хүзүү
20,Hals::N,رقبة,хүзүү
21,Genick::N,قفا,шил
22,Genick::N,قفا,хүзүү
23,Kopf::N,رأس,толгой
24,Rücken::N,ظهر,ар
25,Rücken::N,ظهر,нуруу
26,Bauch::N,بطن,хэвлий
27,Bauch::N,بطن,гэдэс
28,Nabel::N,سرة,хүйс
29,Busen::N,ثدي,хөх
30,Brust::N,صدر,цээж
31,Schulter::N,كتف,мөр
32,Schulter::N,كتف,бугалга
33,Arm::N,ذراع,гар
34,Ellenbogen::N,كوع,тохой
35,Hand::N,يد,гар
36,Hand::N,يد,алга
37,Handfläche::N,كف,алга
38,Finger::N,إصبع,хуруу
39,Fingernagel::N,ظفر,хурууны хумс
40,Nagel[Anatomie]::N,ظفر,хумс
41,Zeh::N,إصبع القدم,хуруу
42,Fuß::N,قدم,хөл
43,Ferse::N,كعب,өсгий
44,Knie::N,ركبة,өвдөг
45,Oberschenkel::N,فخذ,гуя
46,Bein::N,ساق,хөл
47,Körper::N,جسم,бие
48,Haut::N,بشرة,арьс
49,Blut::N,دم,цус
50,Ader::N,عرق,судас
51,Sehne::N,طنب,бүлх
52,Sehne::N,طنب,шандас
53,Knochen::N,عظم,яс
54,Gehirn::N,دماغ,тархи
55,Herz::N,قلب,зүрх
56,Magen::N,معدة,ходоод
57,Leber::N,كبد,элэг
58,Atem::N,نفس,амьсгаа
59,Hunger::N,جوع,өлсгөлөн
60,Träne::N,دمعة,нулимс
61,Geschmack::N,طعم,амт
62,Geschmack::N,مذاق,амт
63,Geruch::N,رائحة,үнэр
64,Schlaf::N,نوم,нойр
65,Schlaf::N,منام,нойр
66,Traum::N,حلم,зүүд
67,Himmel::N,سماء,тэнгэр
68,Himmel::N,سماء,огторгуй
69,Sonne::N,شمس,нар
70,Mond::N,قمر,сар
71,Stern::N,نجم,од
72,Stern::N,كوكب,од
73,Luft::N,هواء,агаар
74,Wind::N,ريح,салхи
75,Welle::N,موجة,долгио
76,Welle::N,موجة,давалгаа
77,Wasser::N,ماء,ус
78,Stein::N,حجر,чулуу
79,Boden::N,تراب,хөрс
80,Erde::N,أرض,газар
81,Erde::N,أرض,шороо
82,Staub::N,غبار,тоос
83,Rauch::N,دخان,утаа
