,Concept_ID,ga,tr
0,Auge::N,súil,göz
1,Ohr::N,cluas,kulak
2,Nase::N,soc,burun
3,Mund::N,béal,ağız
4,Zahn::N,fiacail,diş
5,Zunge::N,teanga,dil
6,Lippe::N,liopa,dudak
7,Wange::N,grua,yanak
8,Wange::N,leiceann,yanak
9,Gesicht::N,éadan,yüz
10,Gesicht::N,aghaidh,yüz
11,Stirn::N,baithis,alın
12,Stirn::N,clár éadain,alın
13,Haar::N,gruaig,saç
14,Schnurrbart::N,croiméal,bıyık
15,Bart::N,féasóg,sakal
16,Kinn::N,smig,çene
17,Kiefer[Anatomie]::N,giall,çene
18,Kehle::N,scornach,boğaz
19,Hals::N,muinéal,boyun
20,Hals::N,muinéal,gerdan
21,Genick::N,baic,ense
22,Kopf::N,ceann,baş
23,Kopf::N,ceann,kafa
24,Rücken::N,droim,arka
25,Bauch::N,bolg,karın
26,Nabel::N,imleacán,göbek
27,Busen::N,cíoch,koyun
28,Brust::N,brollach,göğüs
29,Schulter::N,gualainn,omuz
30,Arm::N,lámh,kol
31,Ellenbogen::N,uillinn,dirsek
32,Hand::N,lámh,el
33,Handfläche::N,bos,avuç
34,Handfläche::N,bos,el ayası
35,Finger::N,méar,parmak
36,Fingernagel::N,ionga,el tırnağı
37,Nagel[Anatomie]::N,ionga,tırnak
38,Zeh::N,ladhar,ayak parmağı
39,Fuß::N,cos,ayak
40,Fuß::N,troigh,ayak
41,Ferse::N,sáil,topuk
42,Knie::N,glúin,diz
43,Oberschenkel::N,ceathrú,uyluk
44,Bein::N,cos,bacak
45,Körper::N,corp,vücut
46,Körper::N,colainn,vücut
47,Haut::N,cneas,cilt
48,Haut::N,craiceann,cilt
49,Blut::N,fuil,kan
50,Sehne::N,teannán,kiriş
51,Sehne::N,féitheog,kiriş
52,Knochen::N,cnámh,kemik
53,Gehirn::N,inchinn,beyin
54,Herz::N,croí,kalp
55,Herz::N,croí,yürek
56,Magen::N,bolg,mide
57,Magen::N,goile,mide
58,Leber::N,ae,karaciğer
59,Atem::N,anáil,nefes
60,Hunger::N,ocras,açlık
61,Träne::N,deoir,gözyaşı
62,Geschmack::N,blas,tat
63,Geschmack::N,blas,lezzet
64,Geruch::N,boladh,koku
65,Schlaf::N,suan,uyku
66,Schlaf::N,codladh,uyku
67,Traum::N,taibhreamh,düş
68,Traum::N,taibhreamh,rüya
69,Himmel::N,spéir,gök
70,Sonne::N,grian,güneş
71,Mond::N,ré,ay
72,Mond::N,gealach,ay
73,Stern::N,rinn,yıldız
74,Stern::N,réalta,yıldız
75,Luft::N,aer,hava
76,Wind::N,gaoth,yel
77,Wind::N,gaoth,rüzgâr
78,Welle::N,tonn,dalga
79,Wasser::N,uisce,su
80,Stein::N,cloch,taş
81,Boden::N,talamh,yer
82,Boden::N,talamh,zemin
83,Erde::N,cré,toprak
84,Erde::N,ithir,toprak
85,Staub::N,dusta,toz
86,Staub::N,deannach,toz
87,Rauch::N,toit,duman
88,Rauch::N,deatach,duman
89,Funke::N,drithle,kıvılcım
90,Feuer::N,tine,ateş
91,Licht::N,solas,ışık
92,Schatten::N,scáth,gölge
93,Wetter::N,aimsir,hava
94,Nebel::N,ceo,pus
95,Wolke::N,néal,bulut
96,Wolke::N,scamall,bulut
97,Regen::N,báisteach,yağmur
98,Regen::N,fearthainn,yağmur
99,Schnee::N,sneachta,kar
100,Eis::N,oighear,buz
101,Frost::N,sioc,don
102,Kälte::N,fuacht,soğukluk
103,Hitze::N,teas,sıcaklık
104,Hitze::N,teocht,sıcaklık
105,Raureif::N,sioc bán,kırç
106,Regenbogen::N,stua ceatha,gökkuşağı
107,Regenbogen::N,bogha báistí,gökkuşağı
108,Donner::N,toirneach,gök gürlemesi
109,Strömung::N,sruth,akıntı
110,Strömung::N,sruth,cereyan
111,Tropfen::N,deoir,damla
112,Schaum::N,cúr,köpük
113,Schmutz::N,salachar,çamur
114,Schmutz::N,salachar,pislik
115,See::N,loch,göl
116,Sumpf::N,portach,batak
117,Moor::N,caorán,cılgıt
118,Moor::N,móinteán,cılgıt
119,Wiese::N,cluain,çimen
120,Wiese::N,móinéar,çimen
121,Wald::N,coill,koru
122,Wald::N,coill,orman
123,Wald::N,foraois,koru
124,Wald::N,foraois,orman
125,Hügel::N,ard,tepe
126,Anhöhe::N,ard,tümsek
127,Anhöhe::N,ard,yükseklik
128,Anhöhe::N,ardán,tümsek
129,Anhöhe::N,ardán,yükseklik
130,Berg::N,sliabh,dağ
131,Gipfel::N,barr,zirve
132,Gipfel::N,mullach,zirve
133,Höhle::N,uaimh,in
134,Höhle::N,uaimh,mağara
135,Höhle::N,pluais,in
136,Höhle::N,pluais,mağara
137,Abhang::N,fána,bayır
138,Quelle::N,foinse,pınar
139,Quelle::N,foinse,kaynak
140,Bach::N,sruthán,çay
141,Bach::N,sruthán,dere
142,Fluss::N,abhainn,nehir
143,Ufer::N,bruach,kıyı
144,Ufer::N,bruach,sahil
145,Küste::N,cósta,kıyı
146,Küste::N,cósta,sahil
147,Küste::N,cladach,kıyı
148,Küste::N,cladach,sahil
149,Festland::N,míntír,kara
150,Meer::N,muir,deniz
151,Meer::N,farraige,deniz
152,Bucht::N,bá,koy
153,Bucht::N,bá,körfez
154,Bucht::N,cuan,koy
155,Bucht::N,cuan,körfez
156,Insel::N,inis,ada
157,Insel::N,oileán,ada
158,Blume::N,bláth,çiçek
159,Gras::N,féar,ot
160,Gras::N,féar,çim
161,Wurzel::N,rúta,kök
162,Wurzel::N,fréamh,kök
163,Baum::N,crann,ağaç
164,Stamm::N,stoc,gövde
165,Stamm::N,tamhan,gövde
166,Rinde::N,coirt,kabuk
167,Rinde::N,craiceann,kabuk
168,Ast::N,géag,dal
169,Ast::N,géag,budak
170,Zweig::N,géag,dal
171,Zweig::N,craobh,dal
172,Blatt::N,duille,yaprak
173,Blatt::N,duilleog,yaprak
174,Birke::N,beith,huş
175,Birke::N,crann beithe,huş
176,Kiefer[Baum]::N,péine,çam
177,Weide[Baum]::N,saileach,söğüt
178,Tanne::N,giúis,çam
179,Tanne::N,giúis,köknar
180,Horn::N,adharc,boynuz
