,Concept_ID,sah,ku
0,Auge::N,харах,çav
1,Ohr::N,кулгаах,guh
2,Nase::N,мурун,bêvil
3,Mund::N,айах,dev
4,Zahn::N,тиис,didan
5,Zunge::N,тыл,ziman
6,Lippe::N,уос,lêv
7,Wange::N,иэдэс,dêm
8,Wange::N,иэдэс,hinarik
9,Gesicht::N,сирэй,rû
10,Stirn::N,сүүс,enî
11,Haar::N,баттах,por
12,Schnurrbart::N,уос бытыга,simbêl
13,Bart::N,сэҥийэ бытыга,rih
14,Kinn::N,сэҥийэ,zenî
15,Kiefer[Anatomie]::N,сыҥаах,arguşk
16,Kehle::N,тамах,qirik
17,Kehle::N,күөмэй,qirik
18,Hals::N,моой,stû
19,Hals::N,моой,qirik
20,Genick::N,кэтэх,stû
21,Kopf::N,бас,serî
22,Rücken::N,көҕүс,pişt
23,Bauch::N,ис,ûr
24,Bauch::N,ис,zik
25,Nabel::N,киин,navik
26,Busen::N,эмиий,sîng
27,Brust::N,түөс,sîng
28,Schulter::N,сарын,mil
29,Arm::N,илии,çepil
30,Ellenbogen::N,тоҕонох,enîşk
31,Hand::N,илии,dest
32,Handfläche::N,ытыс,kefadest
33,Finger::N,тарбах,tilî
34,Fingernagel::N,тыҥырах,neynuk
35,Nagel[Anatomie]::N,тыҥырах,bizmar
36,Zeh::N,тарбах,tilî linga
37,Fuß::N,уллуҥах,ling
38,Ferse::N,тилэх,pahnî
39,Knie::N,тобук,kabok
40,Knie::N,дьилбэк,kabok
41,Oberschenkel::N,уллук,rahn
42,Oberschenkel::N,өттүк,rahn
43,Bein::N,атах,çip
44,Körper::N,бэйэ,laş
45,Körper::N,бэйэ,gowde
46,Haut::N,тирии,çerm
47,Blut::N,хаан,xwîn
48,Ader::N,вена,reh
49,Ader::N,күөх_тымыр,reh
50,Sehne::N,иҥиир,reh
51,Knochen::N,уҥуох,hestî
52,Knochen::N,уҥгуох,hestî
53,Gehirn::N,мэйии,mêjî
54,Herz::N,сүрэх,dil
55,Magen::N,куртах,navêş
56,Leber::N,быар,kezeb
57,Atem::N,тыын,hilm
58,Hunger::N,аас,birçîtî
59,Träne::N,харах уута,hêstir
60,Geschmack::N,амтан,tam
61,Geruch::N,сыт,bêhn
62,Schlaf::N,утуйуу,xew
63,Traum::N,түүл,xewn
64,Himmel::N,халлаан,ezman
65,Sonne::N,күн,roj
66,Mond::N,ый,heyv
67,Stern::N,сулус,stêrk
68,Luft::N,салгын,ba
69,Wind::N,тыал,ba
70,Welle::N,долгун,şewl
71,Welle::N,балхаан,şewl
72,Wasser::N,уу,av
73,Stein::N,таас,kevir
74,Boden::N,сир,herd
75,Erde::N,буор,ax
76,Staub::N,быыл,toz
77,Rauch::N,буруо,dû
78,Funke::N,кыым,çirûşk
79,Feuer::N,уот,agir
80,Licht::N,уот,ronahî
81,Schatten::N,күлүк,sî
82,Wetter::N,күн-дьыл,hewa
83,Nebel::N,туман,mij
84,Wolke::N,былыт,ewr
85,Regen::N,самыыр,baran
86,Schnee::N,хаар,berf
87,Eis::N,муус,qeşa
88,Frost::N,тымныы,xûsik
89,Kälte::N,тымныы,serma
90,Hitze::N,куйаас,germayî
91,Raureif::N,кырыа,şext
92,Regenbogen::N,кустук,heftreng
93,Donner::N,этиҥ,gire-gir
94,Strömung::N,сүүрүк,şewl
95,Tropfen::N,таммах,dilop
96,Tropfen::N,хааппыла,dilop
97,Schaum::N,күүгэн,kef
98,Schmutz::N,кир,gemar
99,See::N,күөл,gol
100,Sumpf::N,бадараан,hezek
101,Moor::N,дьэбэрэ,mafêl
102,Wiese::N,ходуһа,sûrik
