,Concept_ID,hu,hu
0,Auge::N,szem,szem
1,Ohr::N,fül,fül
2,Nase::N,orr,orr
3,Mund::N,száj,száj
4,Zahn::N,fog,fog
5,Zunge::N,nyelv,nyelv
6,Lippe::N,ajak,ajak
7,Wange::N,orca,orca
8,Gesicht::N,arc,arc
9,Stirn::N,homlok,homlok
10,Haar::N,haj,haj
11,Schnurrbart::N,bajusz,bajusz
12,Bart::N,szakáll,szakáll
13,Kinn::N,áll,áll
14,Kiefer[Anatomie]::N,állkapocs,állkapocs
15,Kehle::N,gége,gége
16,Kehle::N,gége,torok
17,Kehle::N,torok,gége
18,Kehle::N,torok,torok
19,Hals::N,nyak,nyak
20,Genick::N,tarkó,tarkó
21,Kopf::N,fő,fő
22,Kopf::N,fő,fej
23,Kopf::N,fej,fő
24,Kopf::N,fej,fej
25,Rücken::N,hát,hát
26,Bauch::N,has,has
27,Nabel::N,köldök,köldök
28,Busen::N,mell,mell
29,Busen::N,mell,kebel
30,Busen::N,kebel,mell
31,Busen::N,kebel,kebel
32,Brust::N,mell,mell
33,Schulter::N,váll,váll
34,Arm::N,kar,kar
35,Ellenbogen::N,könyök,könyök
36,Hand::N,kéz,kéz
37,Handfläche::N,tenyér,tenyér
38,Finger::N,ujj,ujj
39,Fingernagel::N,köröm,köröm
40,Nagel[Anatomie]::N,köröm,köröm
41,Zeh::N,lábujj,lábujj
42,Fuß::N,láb,láb
43,Ferse::N,sarok,sarok
44,Knie::N,térd,térd
45,Oberschenkel::N,comb,comb
46,Bein::N,láb,láb
47,Bein::N,láb,lábszár
48,Bein::N,lábszár,láb
49,Bein::N,lábszár,lábszár
50,Körper::N,test,test
51,Haut::N,bőr,bőr
52,Blut::N,vér,vér
53,Ader::N,ér,ér
54,Sehne::N,ín,ín
55,Knochen::N,csont,csont
56,Gehirn::N,agy,agy
57,Gehirn::N,agy,agyvelő
58,Gehirn::N,agyvelő,agy
59,Gehirn::N,agyvelő,agyvelő
60,Herz::N,szív,szív
61,Magen::N,gyomor,gyomor
62,Leber::N,máj,máj
63,Atem::N,lehelet,lehelet
64,Atem::N,lehelet,lélegzet
65,Atem::N,lélegzet,lehelet
66,Atem::N,lélegzet,lélegzet
67,Hunger::N,éhség,éhség
68,Träne::N,könny,könny
69,Geschmack::N,íz,íz
70,Geruch::N,szag,szag
71,Schlaf::N,álom,álom
72,Schlaf::N,álom,alvás
73,Schlaf::N,alvás,álom
74,Schlaf::N,alvás,alvás
75,Traum::N,álom,álom
76,Himmel::N,ég,ég
77,Himmel::N,ég,menny
78,Himmel::N,menny,ég
79,Himmel::N,menny,menny
80,Sonne::N,nap,nap
81,Mond::N,hold,hold
82,Stern::N,csillag,csillag
83,Luft::N,levegő,levegő
84,Wind::N,szél,szél
85,Welle::N,hullám,hullám
86,Wasser::N,víz,víz
87,Stein::N,kő,kő
88,Boden::N,föld,föld
89,Boden::N,föld,talaj
90,Boden::N,talaj,föld
91,Boden::N,talaj,talaj
92,Erde::N,föld,föld
93,Staub::N,por,por
94,Rauch::N,füst,füst
95,Funke::N,szikra,szikra
96,Feuer::N,tűz,tűz
97,Licht::N,fény,fény
98,Schatten::N,árnyék,árnyék
99,Wetter::N,idő,idő
100,Wetter::N,idő,időjárás
101,Wetter::N,időjárás,idő
102,Wetter::N,időjárás,időjárás
