,Concept_ID,pt,av
0,Auge::N,olho,
1,Ohr::N,orelha,гӏин
2,Nase::N,nariz,мегӏер
3,Mund::N,boca,кӏал
4,Zahn::N,dente,гӏус
5,Zunge::N,língua,мацӏ
6,Lippe::N,lábio,кӏветӏ
7,Wange::N,face,гӏоно
8,Gesicht::N,cara,гьумер
9,Gesicht::N,rosto,гьумер
10,Stirn::N,testa,нодо
11,Haar::N,cabelo,рас
12,Schnurrbart::N,bigode,михъ
13,Bart::N,barba,мегеж
14,Kinn::N,queixo,нилъу
15,Kiefer[Anatomie]::N,maxila,чанагъ
16,Kiefer[Anatomie]::N,mandíbula,чанагъ
17,Kehle::N,garganta,щекъер
18,Hals::N,colo,габур
19,Hals::N,pescoço,габур
20,Genick::N,nuca,гъванща
21,Kopf::N,cabeça,бетӏер
22,Rücken::N,dorso,мугъ
23,Rücken::N,costas,мугъ
24,Bauch::N,ventre,чехь
25,Bauch::N,barriga,чехь
26,Nabel::N,umbigo,цӏину
27,Busen::N,seio,керен
28,Brust::N,peito,керен
29,Schulter::N,ombro,гъажазубетӏер
30,Arm::N,braço,гъеж
31,Ellenbogen::N,cotovelo,гӏункӏрукь
32,Hand::N,mão,квер
33,Handfläche::N,palma,огъохъат
34,Handfläche::N,palma,жанисахъат
35,Handfläche::N,palma da mão,огъохъат
36,Handfläche::N,palma da mão,жанисахъат
37,Finger::N,dedo,килищ
38,Fingernagel::N,unha,малъ
39,Nagel[Anatomie]::N,unha,малъ
40,Zeh::N,dedo do pé,килищ
41,Fuß::N,pé,хӏетӏ
42,Fuß::N,pé,хӏетӏе
43,Ferse::N,calcanhar,эгъе
44,Knie::N,joelho,наку
45,Oberschenkel::N,coxa,мачӏ
46,Bein::N,perna,бох
47,Körper::N,corpo,къаркъала
48,Haut::N,pele,тӏом
49,Blut::N,sangue,би
50,Ader::N,veia,бидурихь
51,Sehne::N,tendão,
52,Knochen::N,osso,ракьа
53,Gehirn::N,cérebro,гӏадалнах
54,Herz::N,coração,ракӏ
55,Magen::N,estômago,кванирукъ
56,Leber::N,fígado,тӏул
57,Atem::N,fôlego,хӏухь
58,Hunger::N,fome,ракъи
59,Träne::N,lágrima,магӏу
60,Geschmack::N,gosto,тату
61,Geruch::N,odor,махӏ
62,Geruch::N,cheiro,махӏ
63,Schlaf::N,sono,макьу
64,Traum::N,sonho,макьу
65,Himmel::N,céu,зоб
66,Sonne::N,sol,бакъ
67,Mond::N,lua,моцӏ
68,Stern::N,estrela,цӏва
69,Luft::N,ar,гьава
70,Wind::N,vento,гьури
71,Welle::N,onda,карачел
72,Wasser::N,água,лъим
73,Stein::N,pedra,гьецӏо
74,Boden::N,solo,ракь
75,Erde::N,terra,ракь
76,Erde::N,terra,дуниял
77,Staub::N,pó,хӏур
78,Rauch::N,fumo,кӏкӏуй
79,Funke::N,faísca,
80,Funke::N,centelha,
81,Feuer::N,fogo,цӏа
82,Licht::N,luz,канлъи
83,Schatten::N,sombra,рагӏад
84,Wetter::N,tempo,гьава-бакъ
85,Nebel::N,nevoeiro,гӏодобнакӏкӏ
86,Wolke::N,nuvem,накӏкӏ
87,Regen::N,chuva,цӏад
88,Schnee::N,neve,гӏазу
89,Eis::N,gelo,цӏер
90,Frost::N,gelo,замгьари
91,Frost::N,geada,замгьари
92,Kälte::N,frio,квач
93,Hitze::N,ardor,багӏари
94,Raureif::N,geada,мартӏ
95,Regenbogen::N,arco-iris,нур
96,Regenbogen::N,arco-iris,чамбара
97,Donner::N,trovão,гъугъай
98,Donner::N,trovão,гъугъади
99,Strömung::N,corrente,чвахи
100,Tropfen::N,gota,резел
101,Tropfen::N,gota,тӏинкӏ
102,Tropfen::N,gota,къатӏра
103,Tropfen::N,gota,тӏенкӏел
104,Schaum::N,espuma,полоп
105,Schmutz::N,sujidade,чороклъи
106,Schmutz::N,imundície,чороклъи
107,See::N,lago,хӏор
108,Sumpf::N,charco,хьуцӏ
109,Sumpf::N,pântano,хьуцӏ
110,Moor::N,pântano,
111,Wiese::N,prado,мегъ
112,Wiese::N,prado,гӏурдаллъи
113,Wald::N,bosque,рохь
114,Wald::N,floresta,рохь
115,Hügel::N,colina,гохӏ
116,Anhöhe::N,alto,сийитма
117,Anhöhe::N,outeiro,сийитма
118,Berg::N,monte,мегӏер
119,Berg::N,montanha,мегӏер
120,Gipfel::N,pico,тӏогь
121,Höhle::N,caverna,нохъо
122,Abhang::N,encosta,лабаллъи
123,Quelle::N,fonte,ицц
124,Bach::N,regato,лъар
125,Bach::N,ribeiro,лъар
126,Fluss::N,rio,гӏор
127,Ufer::N,beira,рагӏал
128,Küste::N,costa,рагӏал
129,Festland::N,terra firme,ракь
130,Festland::N,terra firme,ракъдаллъи
131,Meer::N,mar,ралъад
132,Bucht::N,baía,кӏветӏ
133,Insel::N,ilha,чӏинкӏиллъи
134,Blume::N,flor,тӏегь
135,Gras::N,erva,хер
136,Wurzel::N,raiz,кьибил
137,Baum::N,árvore,гъветӏ
138,Stamm::N,tronco,рохти
139,Rinde::N,casca,макъар
140,Ast::N,ramo,ноцӏ
141,Zweig::N,galho,гӏаркьел
142,Blatt::N,folha,тӏамах
143,Birke::N,bétula,мах
144,Birke::N,bétula,махигъветӏ
145,Kiefer[Baum]::N,pinheiro,накӏкӏигъветӏ
146,Weide[Baum]::N,salgueiro,рицӏцӏ
147,Weide[Baum]::N,salgueiro,рицӏцӏигъветӏ
148,Tanne::N,abeto,ёлка
149,Horn::N,corno,лълъар
150,Horn::N,chifre,лълъар
151,Feder::N,pena,хӏули
152,Fell::N,pele,тӏом
153,Fell::N,pele,цӏоко
154,Flügel::N,asa,кваркьи
155,Klaue::N,pata,галъ
156,Kralle::N,unha,квачӏ
157,Kralle::N,unha,катиквачӏ
158,Kralle::N,garra,квачӏ
159,Kralle::N,garra,катиквачӏ
160,Schwanz::N,rabo,рачӏ
161,Schwanz::N,cauda,рачӏ
162,Ei::N,ovo,хоно
163,Nest::N,ninho,бусен
164,Bau::N,toca,каратӏ
165,Bau::N,covil,каратӏ
166,Tier::N,animal,хӏайван
167,Herde::N,rebanho,рехъен
168,Herde::N,rebanho,рехъед
169,Kuh::N,vaca,гӏака
170,Bulle::N,touro,оц
171,Pferd::N,cavalo,чу
172,Schaf::N,ovelha,чахъу
173,Schwein::N,porco,болъон
174,Hund::N,cão,гьой
175,Katze::N,gata,кету
176,Bär::N,urso,ци
177,Eichhörnchen::N,esquilo,гвангва
178,Elch::N,alce,
179,Fuchs::N,raposa,цер
180,Hase::N,lebre,гӏанкӏ
181,Maus::N,rato,гӏункӏкӏ
182,Wolf::N,lobo,бацӏ
183,Vogel::N,ave,хӏинчӏ
184,Vogel::N,pássaro,хӏинчӏ
185,Schwarm::N,bando,тӏел
186,Schwarm::N,enxame,тӏел
187,Huhn::N,galinha,гӏанкӏу
188,Hahn::N,galo,хӏелеко
189,Gans::N,ganso,хъаз
190,Adler::N,águia,цӏум
191,Ente::N,pata,ордек
192,Eule::N,mocho,беццаруз
193,Eule::N,coruja,беццаруз
194,Kranich::N,grou,къункъра
195,Krähe::N,gralha,гъеду
196,Kuckuck::N,cuco,гагу
197,Schwan::N,cisne,хӏанкъва
198,Fisch::N,peixe,ччугӏа
199,Barsch::N,perca,окунь
200,Hecht::N,lúcio,щука
201,Schlange[Tier]::N,serpente,борохь
202,Wurm::N,verme,хӏапара
203,Spinne::N,aranha,хъанхъра
204,Ameise::N,formiga,цӏунцӏра
205,Laus::N,piolho,нацӏ
206,Mücke::N,mosquito,кӏкӏара
207,Fliege::N,mosca,тӏутӏ
208,Schmetterling::N,borboleta,кӏалкӏучӏ
209,Beere::N,bago,
210,Apfel::N,maçã,гӏеч
211,Pilz::N,fungo,гӏурдахӏан
212,Pilz::N,cogumelo,гӏурдахӏан
213,Zwiebel::N,cebola,кӏочӏопер
214,Saat::N,sementeira,хьон
215,Korn::N,grão,мугь
216,Heu::N,feno,хер
217,Schale::N,casca,хъал
218,Grube::N,cova,гвенд
219,Grube::N,fossa,гвенд
220,Falle::N,armadilha,къор
221,Falle::N,armadilha,къотен
222,Schlinge::N,laço,кӏичӏ
223,Spur::N,pista,лъалкӏ
224,Spur::N,vestígio,лъалкӏ
225,Asche::N,cinza,рахъу
226,Dreck::N,sujidade,гъиз
227,Dreck::N,sujidade,хӏарщ
228,Eisen::N,ferro,махх
229,Gold::N,ouro,месед
230,Silber::N,prata,гӏарац
231,Kohle::N,carvão,тӏурччи
232,Glas::N,vidro,цӏер
