,Concept_ID,cv,sah
0,Auge::N,куҫ,харах
1,Ohr::N,хӑлха,кулгаах
2,Nase::N,сӑмса,мурун
3,Mund::N,ҫӑвар,айах
4,Zahn::N,шӑл,тиис
5,Zunge::N,чӗлхе,тыл
6,Lippe::N,тута,уос
7,Wange::N,пит ҫӑмарти,иэдэс
8,Gesicht::N,пит,сирэй
9,Gesicht::N,пит-куҫ,сирэй
10,Stirn::N,ҫамка,сүүс
11,Haar::N,ҫӳҫ,баттах
12,Schnurrbart::N,усси,уос бытыга
13,Bart::N,сухал,сэҥийэ бытыга
14,Kinn::N,янах,сэҥийэ
15,Kiefer[Anatomie]::N,янах,сыҥаах
16,Kehle::N,пыр,тамах
17,Kehle::N,пыр,күөмэй
18,Kehle::N,карланкӑ,тамах
19,Kehle::N,карланкӑ,күөмэй
20,Hals::N,пыр,моой
21,Genick::N,ӗнсе,кэтэх
22,Kopf::N,пуҫ,бас
23,Rücken::N,ҫурӑм,көҕүс
24,Nabel::N,кӑвапа,киин
25,Busen::N,кӑкӑр,эмиий
26,Brust::N,умӗ,түөс
27,Schulter::N,хул пуҫҫи,сарын
28,Arm::N,алӑ,илии
29,Ellenbogen::N,чавса,тоҕонох
30,Hand::N,алӑ сыппи,илии
31,Handfläche::N,ал лаппи,ытыс
32,Finger::N,пӳрне,тарбах
33,Fingernagel::N,чӗрне,тыҥырах
34,Nagel[Anatomie]::N,чӗрне,тыҥырах
35,Zeh::N,пӳрне,тарбах
36,Fuß::N,ура лаппи,уллуҥах
37,Ferse::N,кӗле,тилэх
38,Knie::N,чӗркуҫҫи,тобук
39,Knie::N,чӗркуҫҫи,дьилбэк
40,Oberschenkel::N,пӗҫӗ,уллук
41,Oberschenkel::N,пӗҫӗ,өттүк
42,Bein::N,ура,атах
43,Körper::N,ӳт,бэйэ
44,Körper::N,ӳт-пӳ,бэйэ
45,Haut::N,тир,тирии
46,Blut::N,юн,хаан
47,Ader::N,вена,вена
48,Ader::N,вена,күөх_тымыр
49,Sehne::N,шӑнӑр,иҥиир
50,Knochen::N,шӑмӑ,уҥуох
51,Knochen::N,шӑмӑ,уҥгуох
52,Gehirn::N,миме,мэйии
53,Herz::N,чӗре,сүрэх
54,Magen::N,хырӑмлӑх,куртах
55,Leber::N,пӗвер,быар
56,Atem::N,сывлав,тыын
57,Hunger::N,выҫлӑх,аас
58,Träne::N,куҫҫуль,харах уута
59,Geschmack::N,техӗм,амтан
60,Geruch::N,шӑршӑ,сыт
61,Schlaf::N,ыйхӑ,утуйуу
62,Traum::N,тӗлӗк,түүл
63,Himmel::N,пӗлӗт,халлаан
64,Sonne::N,хӗвел,күн
65,Mond::N,уйӑх,ый
66,Stern::N,ҫӑлтӑр,сулус
67,Luft::N,сывлӑш,салгын
68,Wind::N,ҫил,тыал
69,Welle::N,хум,долгун
70,Welle::N,хум,балхаан
71,Wasser::N,шыв,уу
72,Wasser::N,шыв-шур,уу
73,Stein::N,чул,таас
74,Boden::N,тӑпра,сир
75,Erde::N,ҫӗр,буор
76,Staub::N,тусан,быыл
77,Rauch::N,тӗтӗм,буруо
78,Funke::N,хӗм,кыым
79,Feuer::N,вут,уот
80,Feuer::N,ҫулӑм,уот
81,Licht::N,ҫутӑ,уот
82,Schatten::N,сулхӑн,күлүк
83,Wetter::N,ҫанталӑк,күн-дьыл
84,Nebel::N,тӗтре,туман
85,Wolke::N,пӗлӗт,былыт
86,Regen::N,ҫумӑр,самыыр
87,Schnee::N,юр,хаар
88,Eis::N,пӑр,муус
89,Frost::N,сивӗ,тымныы
90,Kälte::N,сивӗ,тымныы
91,Hitze::N,вӗри,куйаас
92,Hitze::N,шӑрӑх,куйаас
93,Raureif::N,пас,кырыа
94,Regenbogen::N,асамат кӗперӗ,кустук
95,Donner::N,аслати,этиҥ
96,Strömung::N,юхӑ,сүүрүк
97,Tropfen::N,тумлам,таммах
98,Tropfen::N,тумлам,хааппыла
99,Schaum::N,кӑпӑк,күүгэн
100,Schmutz::N,пылчӑк,кир
101,See::N,кӳлӗ,күөл
102,Sumpf::N,шур,бадараан
103,Sumpf::N,шурлӑх,бадараан
104,Moor::N,торфлӑ шурлӑх,дьэбэрэ
105,Wiese::N,улӑх,ходуһа
106,Wiese::N,ҫаран,ходуһа
107,Wald::N,вӑрман,ойуур
108,Hügel::N,сӑрт,булгунньах
109,Hügel::N,тӗмеске,булгунньах
110,Anhöhe::N,сӑрт,үрдэл
111,Berg::N,ту,хайа
112,Gipfel::N,тӳпе,чыпчаал
113,Höhle::N,ҫӗр хӑвӑлӗ,хайа_хаспаҕа
114,Höhle::N,ҫӗр хӑвӑлӗ,көҥүс
115,Abhang::N,тӑвайкки,эниэ
116,Quelle::N,ҫӑл куҫ,дьүүктэ
117,Bach::N,пӗчӗк шыв,үрүйэ
118,Fluss::N,юхан шыв,өрүс
119,Ufer::N,ҫыран,биэрэк
120,Küste::N,тинӗс ҫыранӗ,кытыл
121,Festland::N,тип ҫӗр,кураанах сир
122,Meer::N,тинӗс,муора
123,Bucht::N,тинӗс кукӑрӗ,хомо
124,Bucht::N,тинӗс кукӑрӗ,бухта
125,Insel::N,утрав,арыы
