,Concept_ID,pt,myv
0,Auge::N,olho,сельме
1,Ohr::N,orelha,пиле
2,Nase::N,nariz,судо
3,Mund::N,boca,курго
4,Zahn::N,dente,пей
5,Zunge::N,língua,кель
6,Lippe::N,lábio,турва
7,Wange::N,face,чамабока
8,Wange::N,face,чамаумарь
9,Gesicht::N,cara,чама
10,Gesicht::N,rosto,чама
11,Stirn::N,testa,коня
12,Haar::N,cabelo,черь
13,Schnurrbart::N,bigode,ус
14,Schnurrbart::N,bigode,муюк
15,Bart::N,barba,сакал
16,Kinn::N,queixo,уло
17,Kiefer[Anatomie]::N,maxila,пейпакар
18,Kiefer[Anatomie]::N,maxila,пейловажа
19,Kiefer[Anatomie]::N,mandíbula,пейпакар
20,Kiefer[Anatomie]::N,mandíbula,пейловажа
21,Kehle::N,garganta,кирьгапарь
22,Hals::N,colo,кирьга
23,Hals::N,pescoço,кирьга
24,Genick::N,nuca,човонь
25,Kopf::N,cabeça,пря
26,Rücken::N,dorso,копорь
27,Rücken::N,costas,копорь
28,Bauch::N,ventre,пеке
29,Bauch::N,barriga,пеке
30,Nabel::N,umbigo,почо
31,Busen::N,seio,поте
32,Brust::N,peito,меште
33,Schulter::N,ombro,лавтов
34,Arm::N,braço,кедь
35,Ellenbogen::N,cotovelo,кенерепакарь
36,Hand::N,mão,кедь
37,Handfläche::N,palma,кедькуншка
38,Handfläche::N,palma,кедьлапушка
39,Handfläche::N,palma da mão,кедькуншка
40,Handfläche::N,palma da mão,кедьлапушка
41,Finger::N,dedo,сур
42,Fingernagel::N,unha,кенже
43,Nagel[Anatomie]::N,unha,кенже
44,Zeh::N,dedo do pé,пильге сур
45,Fuß::N,pé,пильге
46,Ferse::N,calcanhar,кочкаря
47,Knie::N,joelho,эле
48,Knie::N,joelho,эзне
49,Knie::N,joelho,кумажа
50,Oberschenkel::N,coxa,качо
51,Bein::N,perna,пильге
52,Körper::N,corpo,рунго
53,Haut::N,pele,киське
54,Blut::N,sangue,верь
55,Ader::N,veia,сан
56,Sehne::N,tendão,коське сан
57,Knochen::N,osso,пакарь
58,Gehirn::N,cérebro,удем
59,Herz::N,coração,седей
60,Magen::N,estômago,пеке
61,Leber::N,fígado,максо
62,Atem::N,fôlego,лексема
