,Concept_ID,ml,te
0,Auge::N,കണ്ണ്,కన్ను
1,Ohr::N,ചെവി,చెవి
2,Nase::N,മൂക്ക്,ముక్కు
3,Mund::N,വായ,నోరు
4,Zahn::N,പല്ല്,పల్లు
5,Zunge::N,നാക്ക്,నాలుక
6,Lippe::N,ചുണ്ട്,పెదవి
7,Wange::N,കവിൾത്തടം,చెంప
8,Gesicht::N,മുഖം,ముఖము
9,Stirn::N,നെറ്റി,నుదురు
10,Haar::N,തലമുടി,వెండ్రుక
11,Schnurrbart::N,മീശ,మీసము
12,Bart::N,താടിരോമം,గడ్డము
13,Kinn::N,താടി,గడ్డము
14,Kiefer[Anatomie]::N,താടിയെല്ല്,దౌడ
15,Kehle::N,കണ്ഠനാളം,గొంతు
16,Hals::N,കഴുത്ത്,మెడ
17,Genick::N,പിടലി,మూపు
18,Kopf::N,തല,తల
19,Rücken::N,മുതുക്,వెన్ను
20,Bauch::N,നയറ്,కడుపు
21,Nabel::N,നാഭി,బొడ్డు
22,Busen::N,സ്തനം,స్తనము
23,Brust::N,സ്തനം,ఱొమ్ము
24,Schulter::N,തോൾ,భుజము
25,Arm::N,കൈ,చేయి
26,Ellenbogen::N,കൈമുട്ട്,మోచేయి
27,Hand::N,കൈ,చేయి
28,Handfläche::N,ഉള്ളം കൈ,అరచేయు
29,Finger::N,വിരൽ,చేతిప్రేలు
30,Fingernagel::N,നഖം,గోరు
31,Nagel[Anatomie]::N,നഖം,గోరు
32,Zeh::N,കാൽവിരൽ,కాలిప్రేలు
33,Fuß::N,കാൽപ്പാദം,అడుగు
34,Ferse::N,ഉപ്പൂറ്റി,మడమ
35,Knie::N,കാൽമുട്ട്,మోకాలు
36,Oberschenkel::N,തുട,తొడ
37,Bein::N,കാൽ,కాలు
38,Körper::N,ശരീരം,కాయము
39,Haut::N,ചർമ്മം,చర్మము
40,Blut::N,രക്തം,రక్తము
41,Ader::N,ഞരമ്പ്,సిర
42,Sehne::N,സ്നായു,స్నాయువు
43,Knochen::N,അസ്ഥി,ఎముక
44,Gehirn::N,തലച്ചോറ്,మెదడు
45,Herz::N,ഹൃദയം,హృదయము
46,Magen::N,വയർ,కడుపు
47,Leber::N,കരൾ,కాలేయము
48,Atem::N,ശ്വാസം,ఉపిరి
49,Hunger::N,വിശപ്പ്,ఆకలి
50,Träne::N,കണ്ണീർ,కన్నీటిచుక్క
51,Geschmack::N,രുചി,రుచి
52,Geruch::N,ഗന്ധം,వాసన
53,Schlaf::N,ഉറകും,నిద్ర
54,Traum::N,സ്വപ്നം,కల
55,Himmel::N,ആകാശം,ఆకాశము
56,Sonne::N,സൂര്യൻ,సూర్యుడు
57,Mond::N,ചന്ദ്രൻ,చంద్రుడు
58,Stern::N,നക്ഷത്രം,నక్షత్రము
59,Luft::N,കാറ്റ്,గాలి
60,Wind::N,കാറ്റ്,వీచుచున్నగాలి
61,Welle::N,തിരമാല,అల
62,Wasser::N,വെള്ളം,నీరు
63,Stein::N,ശില,ఱాయి
64,Stein::N,കല്ല്,ఱాయి
65,Boden::N,തറ,నేల
66,Boden::N,നിലം,నేల
67,Erde::N,മണ്ണ്,మన్ను
68,Staub::N,പൊടി,దుమ్ము
69,Rauch::N,പുക,పొగ
70,Funke::N,തീപ്പൊരി,అగ్నికణము
71,Feuer::N,തീ,అగ్ని
72,Licht::N,വിളക്ക്,కాంతి
73,Licht::N,സൂര്യപ്രകാശം,కాంతి
74,Schatten::N,തണൽ,నీడ
75,Wetter::N,കാലാവസ്ഥ,వాతావరణ స్థితి
76,Nebel::N,മൂടൽമഞ്ഞ്,పొగమంచు
77,Wolke::N,മേഘം,మేఘము
78,Regen::N,മഴ,వాన
79,Schnee::N,മഞ്ഞ്,హిమము
80,Eis::N,ഐസ്,మంచుగడ్డ
81,Frost::N,മൂടൽമഞ്ഞ്,పేరిన మంచు
82,Kälte::N,തണുപ്പ്,చలి
83,Hitze::N,ചൂട്,వేడిమి
84,Raureif::N,കോടമഞ്ഞ്,మంచు
