,Concept_ID,lez,udm
0,Auge::N,вил,син
1,Ohr::N,яб,пель
2,Nase::N,нер,ныр
3,Mund::N,сив,ым
4,Zahn::N,сас,пинь
5,Zahn::N,свах,пинь
6,Zunge::N,мез,кыл
7,Lippe::N,пӏуз,ымдур
8,Wange::N,хъвехъ,бам
9,Gesicht::N,ччин,ымныр
10,Stirn::N,пел,кымес
11,Haar::N,чӏар,йырси
12,Schnurrbart::N,спел,мыйык
13,Schnurrbart::N,спелар,мыйык
14,Bart::N,ччуру,туш
15,Kinn::N,чене,ангес
16,Kiefer[Anatomie]::N,чене,ан
17,Kiefer[Anatomie]::N,чене,анлы
18,Kehle::N,туьд,гульым
19,Hals::N,гардан,чырты
20,Genick::N,кьам,йырбер
21,Kopf::N,кьил,йыр
22,Rücken::N,далу,мыш
23,Bauch::N,руфун,кӧт
24,Nabel::N,пицӏ,гогы
25,Busen::N,мам,ноны
26,Brust::N,хур,мӧля
27,Schulter::N,къуьн,пельпум
28,Arm::N,гъил,суй
29,Ellenbogen::N,кьуьнт,гырпум
30,Hand::N,капаш,ки
31,Handfläche::N,капан юкь,ки пыдэс
32,Handfläche::N,капан юкь,кырым пыдэс
33,Finger::N,тӏуб,чиньы
34,Fingernagel::N,кек,гижы
35,Fingernagel::N,кек,гиждӥнь
36,Nagel[Anatomie]::N,кек,гижы
37,Zeh::N,кул,пыдчиньы
38,Fuß::N,кӏвач,пыд
39,Ferse::N,дабан,пыдбер
40,Knie::N,мет,пыдес
41,Bein::N,кӏвач,пыд
42,Körper::N,беден,мугор
43,Körper::N,беден,вылтыр
44,Haut::N,хам,ку
45,Blut::N,иви,вир
46,Ader::N,дамар,вирсэр
47,Sehne::N,кьуру дамар,вуж
48,Knochen::N,кӏараб,лы
49,Gehirn::N,мефт,вим
50,Herz::N,рикӏ,сюлэм
51,Magen::N,хук,ӝуш
52,Leber::N,лекь,мус
53,Atem::N,ял,лул
54,Atem::N,ял,шокан
55,Atem::N,нефес,лул
56,Atem::N,нефес,шокан
57,Hunger::N,каш,кӧтсюман
58,Träne::N,вилин нагъв,синкыли
59,Geschmack::N,дад,шӧм
60,Geschmack::N,тӏям,шӧм
61,Geruch::N,ни,зын
62,Schlaf::N,ахвар,вӧт
63,Traum::N,ахвар,уйвӧт
64,Himmel::N,цав,ин
65,Sonne::N,рагъ,шунды
66,Mond::N,варз,толэзь
67,Stern::N,гъед,кизили
68,Luft::N,гьава,омыр
69,Wind::N,гар,тӧл
70,Welle::N,лепе,тулкым
71,Wasser::N,яд,ву
72,Stein::N,къван,из
73,Boden::N,накьв,музъем
74,Erde::N,ччил,му
75,Staub::N,руг,пыль
76,Rauch::N,гум,ӵын
77,Funke::N,цӏелхем,гизьы
78,Feuer::N,цӏай,тыл
79,Licht::N,экв,тыл
80,Schatten::N,серин,вужер
81,Wetter::N,гьава,куазь
82,Nebel::N,ччилин циф,бус
83,Wolke::N,циф,пилем
84,Regen::N,марф,зор
85,Schnee::N,жив,лымы
86,Eis::N,мурк,йӧ
87,Frost::N,аяз,кезьыт
88,Kälte::N,мекь,кезьыт
89,Kälte::N,мекьивал,кезьыт
90,Hitze::N,зегьем,пӧсь
91,Raureif::N,къирав,гӧр
92,Regenbogen::N,яргъируш,вуюись
93,Donner::N,цавун ван,гудыри
94,Tropfen::N,стӏал,шапык
95,Schaum::N,каф,шукы
96,Schmutz::N,чирк,нӧд
97,Schmutz::N,чирк,дэри
98,Schmutz::N,кьуруш,нӧд
99,Schmutz::N,кьуруш,дэри
100,See::N,вир,ты
101,Sumpf::N,уьлен,нюр
102,Wiese::N,векь,возь
103,Wiese::N,векь,возьвыл
104,Wald::N,там,сик
105,Wald::N,там,нюлэс
106,Hügel::N,кӏунтӏ,выр
107,Hügel::N,кӏунтӏ,вырйыл
