,Concept_ID,lez,kv
0,Auge::N,вил,син
1,Ohr::N,яб,пель
2,Nase::N,нер,ныр
3,Mund::N,сив,ӧм
4,Zahn::N,сас,пинь
5,Zahn::N,свах,пинь
6,Zunge::N,мез,кыв
7,Lippe::N,пӏуз,тырп
8,Wange::N,хъвехъ,рожабан
9,Gesicht::N,ччин,бан
10,Stirn::N,пел,кымӧс
11,Haar::N,чӏар,юрси
12,Schnurrbart::N,спел,уссэз
13,Schnurrbart::N,спелар,уссэз
14,Bart::N,ччуру,тош
15,Kinn::N,чене,тшӧка
16,Kiefer[Anatomie]::N,чене,ан
17,Kehle::N,туьд,юан
18,Hals::N,гардан,юан
19,Genick::N,кьам,юр бӧр
20,Kopf::N,кьил,юр
21,Rücken::N,далу,мышк
22,Bauch::N,руфун,кынӧм
23,Nabel::N,пицӏ,гӧг
24,Busen::N,мам,морос
25,Brust::N,хур,морос
26,Schulter::N,къуьн,пельпон
27,Arm::N,гъил,ки
28,Ellenbogen::N,кьуьнт,гырдзза
29,Hand::N,капаш,кикар
30,Handfläche::N,капан юкь,ки пыдӧс
31,Finger::N,тӏуб,чунь
32,Fingernagel::N,кек,гыж
33,Nagel[Anatomie]::N,кек,гыж
34,Zeh::N,кул,чунь
35,Fuß::N,кӏвач,кокпыдӧс
36,Ferse::N,дабан,кокдзир
37,Knie::N,мет,пидзӧс
38,Bein::N,кӏвач,кок
39,Körper::N,беден,вывтыр
40,Haut::N,хам,кучик
41,Blut::N,иви,вир
42,Ader::N,дамар,сӧн
43,Sehne::N,кьуру дамар,жила
44,Knochen::N,кӏараб,коска
45,Gehirn::N,мефт,вем
46,Herz::N,рикӏ,сьӧлӧм
47,Magen::N,хук,жӧвдӧк
48,Leber::N,лекь,мус
49,Atem::N,ял,лолалӧм
50,Atem::N,нефес,лолалӧм
51,Hunger::N,каш,тшыг
52,Träne::N,вилин нагъв,синва
53,Geschmack::N,дад,кӧр
54,Geschmack::N,тӏям,кӧр
55,Geruch::N,ни,дук
56,Schlaf::N,ахвар,он
57,Traum::N,ахвар,вӧт
58,Himmel::N,цав,небо
59,Sonne::N,рагъ,шондi
60,Mond::N,варз,тӧлiсь
61,Stern::N,гъед,кӧдзыв
62,Luft::N,гьава,ру
63,Wind::N,гар,тӧв
64,Welle::N,лепе,гы
65,Wasser::N,яд,ва
66,Stein::N,къван,из
67,Boden::N,накьв,му
68,Erde::N,ччил,му
69,Staub::N,руг,бус
70,Rauch::N,гум,тшын
71,Funke::N,цӏелхем,бичир
72,Feuer::N,цӏай,би
73,Licht::N,экв,би
74,Schatten::N,серин,вуджӧр
75,Wetter::N,гьава,погоддя
76,Nebel::N,ччилин циф,туман
77,Wolke::N,циф,кымӧр
78,Regen::N,марф,зэр
79,Schnee::N,жив,лым
80,Eis::N,мурк,йы
81,Frost::N,аяз,мороз
82,Kälte::N,мекь,кӧдзыт
83,Kälte::N,мекьивал,кӧдзыт
84,Hitze::N,зегьем,ӧд
85,Raureif::N,къирав,кижа
86,Regenbogen::N,яргъируш,енӧшка
87,Donner::N,цавун ван,гым
88,Tropfen::N,стӏал,тёп
89,Schaum::N,каф,быг
90,Schmutz::N,чирк,нять
91,Schmutz::N,кьуруш,нять
92,See::N,вир,ты
93,Sumpf::N,уьлен,арай
94,Wiese::N,векь,видз
95,Wald::N,там,вӧр
96,Hügel::N,кӏунтӏ,мыльк
97,Anhöhe::N,тепе,вывтас
98,Anhöhe::N,тепе,вылынін
99,Anhöhe::N,гьуьндуьрвал,вывтас
100,Anhöhe::N,гьуьндуьрвал,вылынін
101,Berg::N,дагъ,керӧс
102,Gipfel::N,кӏукӏ,йыв
103,Höhle::N,кьветӏ,нора
104,Abhang::N,гуьне,покат
105,Quelle::N,чешме,больган
106,Bach::N,булах,шор
