,Concept_ID,myv,sk
0,Auge::N,сельме,oko
1,Ohr::N,пиле,ucho
2,Nase::N,судо,nos
3,Mund::N,курго,ústa
4,Zahn::N,пей,zub
5,Zunge::N,кель,jazyk
6,Lippe::N,турва,pera
7,Wange::N,чамабока,líce
8,Wange::N,чамаумарь,líce
9,Gesicht::N,чама,tvár
10,Gesicht::N,чама,obličaj
11,Stirn::N,коня,čelo
12,Haar::N,черь,vlas
13,Schnurrbart::N,ус,fúzy
14,Schnurrbart::N,муюк,fúzy
15,Bart::N,сакал,brada
16,Kinn::N,уло,brada
17,Kiefer[Anatomie]::N,пейпакар,čeľusť
18,Kiefer[Anatomie]::N,пейловажа,čeľusť
19,Kehle::N,кирьгапарь,hrdlo
20,Hals::N,кирьга,krk
21,Genick::N,човонь,väzy
22,Kopf::N,пря,hlava
23,Rücken::N,копорь,chrbát
24,Bauch::N,пеке,brucho
25,Nabel::N,почо,pupok
26,Busen::N,поте,prsia
27,Brust::N,меште,hruď
28,Schulter::N,лавтов,plece
29,Arm::N,кедь,rameno
30,Ellenbogen::N,кенерепакарь,lakeť
31,Hand::N,кедь,ruka
32,Handfläche::N,кедькуншка,dlaň
33,Handfläche::N,кедьлапушка,dlaň
34,Finger::N,сур,prst
35,Fingernagel::N,кенже,necht
36,Nagel[Anatomie]::N,кенже,necht
37,Zeh::N,пильге сур,prst na nohe
38,Fuß::N,пильге,noha
39,Ferse::N,кочкаря,päta
40,Knie::N,эле,koleno
41,Knie::N,эзне,koleno
42,Knie::N,кумажа,koleno
43,Oberschenkel::N,качо,stehno
44,Bein::N,пильге,noha
45,Körper::N,рунго,telo
46,Haut::N,киське,koža
47,Blut::N,верь,krv
48,Ader::N,сан,žila
49,Sehne::N,коське сан,šľacha
50,Knochen::N,пакарь,kosť
51,Gehirn::N,удем,mozog
52,Herz::N,седей,srdce
53,Magen::N,пеке,žalúdok
54,Leber::N,максо,pečeň
55,Atem::N,лексема,dych
56,Atem::N,оймень таргсема,dych
57,Hunger::N,вачочи,hlad
58,Träne::N,селведь,slza
59,Geschmack::N,тансть,chuť
60,Geruch::N,чине,pach
61,Schlaf::N,удома,spánok
62,Traum::N,он,sen
63,Himmel::N,менель,nebo
64,Sonne::N,чи,slnko
65,Mond::N,ков,mesiac
66,Stern::N,теште,hviezda
67,Luft::N,кошт,vzduch
68,Wind::N,варма,vietor
69,Welle::N,толкун,vlna
70,Wasser::N,ведь,voda
71,Stein::N,кев,kameň
72,Boden::N,мода,zem
73,Boden::N,мода,pôda
74,Erde::N,мастор,zem
75,Staub::N,пуль,prach
76,Rauch::N,качамо,dym
77,Funke::N,сятко,iskra
78,Feuer::N,тол,oheň
79,Licht::N,валдо,svetlo
80,Schatten::N,сулей,tieň
81,Schatten::N,сулейкс,tieň
82,Wetter::N,ушо,počasie
