,Concept_ID,it,ba
0,Auge::N,occhio,күҙ
1,Ohr::N,orecchio,ҡолаҡ
2,Nase::N,naso,танау
3,Mund::N,bocca,ауыҙ
4,Zahn::N,dente,теш
5,Zunge::N,lingua,тел
6,Lippe::N,labbro,ирен
7,Wange::N,guancia,яцаҡтар
8,Gesicht::N,viso,бит
9,Gesicht::N,faccia,бит
10,Stirn::N,fronte,маңлай
11,Haar::N,capello,сәс
12,Schnurrbart::N,baffi,мылтыҡ
13,Schnurrbart::N,mustacchi,мылтыҡ
14,Bart::N,barba,һаҡал
15,Kinn::N,mento,эйэк
16,Kiefer[Anatomie]::N,mascella,яңаҡ һөйәге
17,Kehle::N,gola,тамаҡ
18,Hals::N,collo,муйын
19,Genick::N,nuca,соңҡа
20,Kopf::N,capo,баш
21,Kopf::N,testa,баш
22,Rücken::N,dorso,арҡа
23,Rücken::N,schiena,арҡа
24,Bauch::N,ventre,ҡорһаҡ
25,Nabel::N,ombelico,кендек
26,Busen::N,seno,күкрәк
27,Brust::N,petto,түш
28,Schulter::N,spalla,яурын
29,Arm::N,braccio,ҡул
30,Ellenbogen::N,gomito,терһәк
31,Hand::N,mano,ҡул
32,Hand::N,mano,ҡул суғы
33,Handfläche::N,palma,ус төбө
34,Finger::N,dito,бармаҡ
35,Fingernagel::N,unghia,тырнаҡ
36,Nagel[Anatomie]::N,unghia,тырнаҡ
37,Zeh::N,dito del piede,бармаҡ
38,Fuß::N,piede,табан
39,Ferse::N,tallone,үксә
40,Ferse::N,calcagno,үксә
41,Knie::N,ginocchio,тубыҡ
42,Oberschenkel::N,fèmore,сандыр
43,Bein::N,gamba,аяҡ
44,Körper::N,corpo,тән
45,Haut::N,pelle,тире
46,Blut::N,sangue,ҡан
47,Ader::N,vena,тамыр
48,Sehne::N,tèndine,һеңер
49,Sehne::N,tèndine,тарамыш
50,Knochen::N,osso,һойәк
51,Gehirn::N,cervello,мейе
52,Herz::N,cuore,йорәк
53,Magen::N,stòmaco,ашҡаҙан
54,Leber::N,fegato,бауыр
55,Atem::N,fiato,һулыш
56,Atem::N,respiro,һулыш
57,Hunger::N,fame,аслыҡ
58,Träne::N,làcrima,күҙ иәше
59,Geschmack::N,gusto,тәм
60,Geschmack::N,sapore,тәм
61,Geruch::N,odore,еҫ
62,Schlaf::N,sonno,йоҡлау
63,Traum::N,sogno,төш
64,Himmel::N,cielo,күк
65,Sonne::N,sole,ҡояш
66,Mond::N,luna,ай
67,Stern::N,stella,йондоҙ
68,Luft::N,aria,һауа
69,Wind::N,vento,ел
70,Welle::N,onda,тулҡын
71,Wasser::N,acqua,һыу
72,Stein::N,sasso,таш
73,Stein::N,pietra,таш
74,Boden::N,suolo,тупраҡ
75,Boden::N,terreno,тупраҡ
76,Erde::N,terra,балсҡ
77,Staub::N,polvere,туҙан
