,Concept_ID,uz,ka
0,Auge::N,ko'z,თვალი
1,Ohr::N,quloq,ყური
2,Nase::N,burun,ცხვირი
3,Mund::N,og'iz,პირი
4,Zahn::N,tish,კბილი
5,Zunge::N,til,ენა
6,Lippe::N,dudoq,ბაგე
7,Wange::N,bet,ლოყა
8,Gesicht::N,yuz,სახე
9,Stirn::N,manglay,შუბლი
10,Haar::N,soch,თმა
11,Schnurrbart::N,mo'ylov,ულვაში
12,Bart::N,soqol,წვერი
13,Kinn::N,ängak,ნიკაპი
14,Kiefer[Anatomie]::N,iyak,ყბა
15,Kehle::N,bo'g'iz,ყელი
16,Hals::N,bo'yin,ყელი
17,Hals::N,bo'yin,კისერი
18,Genick::N,gardan,კეფა
19,Kopf::N,bosh,თავი
20,Rücken::N,orqa,ზურგი
21,Bauch::N,qorin,მუცელი
22,Nabel::N,kindik,ჭიპი
23,Busen::N,ämchak,ძუძუ
24,Brust::N,ko'krak,მკერდი
25,Schulter::N,elka,მხარი
26,Schulter::N,elka,მკლავი
27,Arm::N,bilak,ხელი
28,Ellenbogen::N,tirsak,იდაყვი
29,Hand::N,qo'l,ხელი
30,Handfläche::N,kaft,ნები
31,Handfläche::N,kaft,ხელისგული
32,Finger::N,barmoq,თითი
33,Fingernagel::N,tirnoq,ფრჩხილი
34,Nagel[Anatomie]::N,tirnoq,ფრჩხილი
35,Zeh::N,oyoq barmog'i,ფეხის თითი
36,Fuß::N,oyoq,ტერფი
37,Fuß::N,oyoq,ფეხისგული
38,Ferse::N,tovon,ქუსლი
39,Knie::N,tiz,მუხლი
40,Oberschenkel::N,son,ბარძაყი
41,Bein::N,oyoq,ფეხი
42,Körper::N,badna,ტანი
43,Körper::N,badna,სხეული
44,Haut::N,teri,კანი
45,Blut::N,qon,სისხლი
46,Ader::N,qon tomir,ძარღვი
47,Sehne::N,tomir,მყესი
48,Knochen::N,suyak,ძვალი
49,Gehirn::N,miya,ტვინი
50,Herz::N,qalb,გული
51,Magen::N,oshqozon,კუჭი
52,Leber::N,bag'ir,ღვიძლი
53,Atem::N,dam,სუნთქვა
54,Hunger::N,ochlik,შიმშილი
55,Träne::N,yosh,ცრემლი
56,Geschmack::N,tam,გემო
57,Geruch::N,jid,სუნი
58,Schlaf::N,uyqu,ძილი
59,Traum::N,tush,სიზმარი
60,Himmel::N,osmon,ცა
61,Sonne::N,quyosh,მზე
62,Mond::N,oy,მთვარე
63,Stern::N,yulduz,ვარსკვლავი
64,Luft::N,havo,ჰაერი
65,Wind::N,el,ქარი
66,Welle::N,to'lqin,ტალღა
67,Wasser::N,suv,წყალი
68,Stein::N,tosh,ქვა
69,Boden::N,tuproq,მიწა
70,Erde::N,er,ნიადაგი
71,Staub::N,chang,მტვერი
72,Rauch::N,tutun,ბოლი
73,Rauch::N,tutun,კვამლი
74,Funke::N,yalt,ნაკვესი
75,Feuer::N,o't,ცეცხლი
76,Licht::N,yorug',შუქი
77,Licht::N,yorug',სინათლე
78,Schatten::N,soya,ლანდი
79,Schatten::N,soya,ჩრდილი
80,Wetter::N,havo,ამინდი
81,Nebel::N,tuman,ნისლი
82,Wolke::N,bulut,ღრუბელი
83,Regen::N,yomg'ir,წვიმა
84,Schnee::N,qor,თოვლი
85,Eis::N,muz,თოში
86,Eis::N,muz,ყინული
87,Frost::N,ajoz,ყინვა
88,Kälte::N,ajoz,სიცივე
