,Concept_ID,ku,eu
0,Auge::N,çav,begi
1,Ohr::N,guh,belarri
2,Nase::N,bêvil,sudur
3,Mund::N,dev,aho
4,Zahn::N,didan,hortz
5,Zunge::N,ziman,mihi
6,Lippe::N,lêv,ezpain
7,Wange::N,dêm,masail
8,Wange::N,hinarik,masail
9,Gesicht::N,rû,aurpegi
10,Stirn::N,enî,bekoki
11,Haar::N,por,ile
12,Haar::N,por,bilo
13,Schnurrbart::N,simbêl,bibote
14,Schnurrbart::N,simbêl,sudurpeko
15,Bart::N,rih,bizar
16,Kinn::N,zenî,kokots
17,Kiefer[Anatomie]::N,arguşk,masailezur
18,Kehle::N,qirik,eztarri
19,Hals::N,stû,sama
20,Hals::N,qirik,sama
21,Genick::N,stû,garondo
22,Kopf::N,serî,buru
23,Rücken::N,pişt,bizkar
24,Bauch::N,ûr,sabel
25,Bauch::N,zik,sabel
26,Nabel::N,navik,zilbor
27,Busen::N,sîng,titi
28,Busen::N,sîng,ugatz
29,Brust::N,sîng,bular
30,Schulter::N,mil,besaburu
31,Arm::N,çepil,beso
32,Ellenbogen::N,enîşk,ukondo
33,Hand::N,dest,esku
34,Handfläche::N,kefadest,ahur
35,Finger::N,tilî,hatz
36,Fingernagel::N,neynuk,azazkal
37,Nagel[Anatomie]::N,bizmar,azazkal
38,Zeh::N,tilî linga,behatz
39,Fuß::N,ling,oin
40,Ferse::N,pahnî,orpo
41,Ferse::N,pahnî,oinburu
42,Knie::N,kabok,belaun
43,Oberschenkel::N,rahn,izter
44,Bein::N,çip,zango
45,Körper::N,laş,soin
46,Körper::N,gowde,soin
47,Haut::N,çerm,azal
48,Blut::N,xwîn,odol
49,Ader::N,reh,zain
50,Sehne::N,reh,gihar-zain
51,Knochen::N,hestî,hezur
52,Gehirn::N,mêjî,garun
53,Gehirn::N,mêjî,burmuin
54,Herz::N,dil,bihotz
55,Magen::N,navêş,urdail
56,Leber::N,kezeb,gibel
57,Atem::N,hilm,hats
58,Atem::N,hilm,arnasa
59,Hunger::N,birçîtî,gose
60,Träne::N,hêstir,malko
61,Geschmack::N,tam,dasta
62,Geruch::N,bêhn,usain
63,Schlaf::N,xew,lo
64,Traum::N,xewn,amets
65,Himmel::N,ezman,zeru
66,Sonne::N,roj,eguzki
67,Mond::N,heyv,ilargi
68,Stern::N,stêrk,izar
69,Luft::N,ba,aire
70,Wind::N,ba,haize
71,Welle::N,şewl,uhin
72,Welle::N,şewl,olatu
73,Wasser::N,av,ur
74,Stein::N,kevir,harri
75,Boden::N,herd,lur
76,Boden::N,herd,zoru
77,Erde::N,ax,lur
78,Staub::N,toz,hauts
79,Rauch::N,dû,ke
80,Funke::N,çirûşk,zirta
81,Funke::N,çirûşk,txinparta
82,Feuer::N,agir,su
83,Licht::N,ronahî,argi
84,Schatten::N,sî,itzal
85,Schatten::N,sî,geriza
86,Wetter::N,hewa,eguraldi
87,Nebel::N,mij,laino
88,Wolke::N,ewr,hodei
89,Regen::N,baran,euri
90,Schnee::N,berf,elur
91,Eis::N,qeşa,horma
92,Frost::N,xûsik,izotzaldi
93,Kälte::N,serma,hotz
94,Hitze::N,germayî,bero
95,Raureif::N,şext,antzigar
96,Regenbogen::N,heftreng,ostadar
97,Regenbogen::N,heftreng,ortzadar
98,Donner::N,gire-gir,ostots
99,Donner::N,gire-gir,ihurtzuri
100,Strömung::N,şewl,laster
101,Tropfen::N,dilop,xorta
102,Schaum::N,kef,bits
103,Schmutz::N,gemar,lohi
104,Schmutz::N,gemar,zikin
105,See::N,gol,laku
106,See::N,gol,aintzira
107,Sumpf::N,hezek,zingira
108,Moor::N,mafêl,zohikaztegi
109,Wiese::N,sûrik,larre
110,Wiese::N,sûrik,belardi
111,Wald::N,çiya,baso
112,Wald::N,çiya,oihan
113,Wald::N,daristan,baso
114,Wald::N,daristan,oihan
115,Hügel::N,gir,muino
116,Hügel::N,gir,pentoka
117,Anhöhe::N,sere gir,garai
118,Anhöhe::N,sere gir,goragune
119,Berg::N,kaş,mendi
120,Gipfel::N,sere gir,gain
121,Gipfel::N,sere gir,tontor
122,Höhle::N,şikeft,kobazulo
123,Abhang::N,kaş,aldapa
124,Quelle::N,kanî,iturri
125,Quelle::N,kanî,iturbegi
126,Bach::N,çem,lats
127,Bach::N,çem,erreka
128,Fluss::N,çem,ibai
129,Fluss::N,çem,uhaitz
130,Fluss::N,rûbar,ibai
131,Fluss::N,rûbar,uhaitz
132,Ufer::N,kevî,bazter
133,Küste::N,berav,itsasalde
134,Festland::N,bejahî,lehor
135,Meer::N,behr,itsaso
136,Bucht::N,derav,golko
137,Insel::N,girav,irla
138,Insel::N,girav,uharte
139,Blume::N,kulînk,lili
140,Gras::N,giha,belar
141,Wurzel::N,reh,zuztar
142,Wurzel::N,reh,sustrai
143,Baum::N,dar,zuhaitz
144,Stamm::N,bavik,enbor
145,Rinde::N,qaqil,azal
146,Ast::N,gulî,adar
147,Zweig::N,şax,abar
148,Blatt::N,pel,hosto
149,Birke::N,dara sipî,urki
150,Kiefer[Baum]::N,dara bî,ler
151,Weide[Baum]::N,dara belalûk,zume
152,Weide[Baum]::N,dara belalûk,sahats
153,Tanne::N,merx,izei
154,Horn::N,strô,adar
155,Feder::N,pîrtîk,luma
156,Feder::N,pîrtîk,hegaki
157,Fell::N,heyar,ile
158,Fell::N,heyar,larru
159,Flügel::N,per,hego
160,Klaue::N,napîk,atzapar
161,Kralle::N,dinik,erpe
162,Kralle::N,dinik,atzapar
163,Kralle::N,dirnax,erpe
164,Kralle::N,dirnax,atzapar
165,Schwanz::N,dûv,isats
166,Schwanz::N,dûv,buztan
167,Ei::N,hêk,arrautza
168,Nest::N,hêlîn,habia
169,Bau::N,avahî,ohantze
170,Tier::N,heywan,abere
171,Tier::N,heywan,piztia
172,Herde::N,hoz,saldo
173,Herde::N,hoz,abere talde
174,Kuh::N,çêlek,behi
175,Bulle::N,ga,zezen
176,Pferd::N,hesp,zaldi
177,Schaf::N,mîh,ardi
178,Schwein::N,beraz,urde
179,Schwein::N,beraz,txerri
180,Hund::N,seh,txakur
181,Katze::N,pişîk,katu
182,Bär::N,hirç,hartz
183,Eichhörnchen::N,pilûr,urtxintxa
184,Elch::N,pazkovî,altze
185,Fuchs::N,rovî,azeri
186,Hase::N,kîroşk,erbi
187,Maus::N,mişk,sagu
188,Wolf::N,gur,otso
189,Vogel::N,çûk,txori
190,Vogel::N,çûk,hegazti
191,Schwarm::N,lufik,aldra
192,Huhn::N,mirîşk,oilo
193,Hahn::N,dîk,oilar
194,Gans::N,qaz,antzara
195,Adler::N,eylo,arrano
196,Ente::N,werdek,ahate
197,Eule::N,bûm,hontza
198,Eule::N,kund,hontza
199,Kranich::N,quling,kurrilo
200,Krähe::N,qijik,bele
201,Kuckuck::N,pepûk,kuku
202,Schwan::N,qû,beltxarga
203,Fisch::N,masî,arrain
204,Barsch::N,okûn,perka
205,Hecht::N,mesîyê lûf,lutxo
206,Schlange[Tier]::N,mar,suge
207,Wurm::N,kurm,har
208,Spinne::N,pîrê,armiarma
209,Ameise::N,mîro,inurri
210,Ameise::N,gêrîk,inurri
211,Laus::N,spi,zorri
212,Mücke::N,mêş,eltxo
213,Fliege::N,mêş,euli
214,Schmetterling::N,perperîk,pinpirin
215,Schmetterling::N,perperîk,tximeleta
216,Beere::N,hirç,baia
217,Apfel::N,sêv,sagar
218,Pilz::N,bîrov,onddo
219,Pilz::N,bîrov,perretxiko
220,Zwiebel::N,pîvaz,tipula
221,Saat::N,tov,haziak
222,Korn::N,dexl,ale
223,Korn::N,dexl,pikor
224,Heu::N,sap,belar ondu
225,Schale::N,qaşik,azal
226,Grube::N,çahl,hobi
227,Falle::N,dafik,harrapagailu
228,Schlinge::N,dahf,bilur
229,Schlinge::N,dahf,xedera
230,Spur::N,rêç,lorratz
231,Asche::N,xweli,errauts
232,Dreck::N,gemarî,satsukeria
233,Eisen::N,hesing,burdina
234,Gold::N,zêr,urre
235,Gold::N,zêr,urregorri
236,Silber::N,zîv,zilar
237,Silber::N,zîv,urrezuri
238,Kohle::N,komir,ikatz
239,Glas::N,qedeh,beira
240,Lehm::N,kelpîç,buztin
241,Sand::N,qûm,harea
242,Sand::N,qûm,hondar
243,Mensch::N,mirov,gizaki
244,Mann::N,mêr,gizon
245,Frau::N,jin,andere
246,Frau::N,jin,emakume
247,Kind::N,zarok,haur
248,Junge::N,kur,mutil
249,Mädchen::N,keç,neska
250,Mädchen::N,keçik,neska
251,Familie::N,malbat,sendi
252,Familie::N,malbat,familia
253,Großvater::N,bapîr,aitona
254,Großvater::N,bapîr,aitatxi
255,Großmutter::N,pîrik,amona
256,Großmutter::N,pîrik,amatxi
257,Eltern::N,bavudê,gurasoak
258,Vater::N,bav,aita
259,Mutter::N,dê,ama
260,Mutter::N,dayik,ama
261,Sohn::N,kur,seme
262,Tochter::N,keç,alaba
263,Bruder::N,bira,neba
264,Bruder::N,bira,anaia
265,Schwester::N,xweh,ahizpa
266,Onkel::N,am,osaba
267,Onkel::N,xal,osaba
268,Tante::N,metik,izeba
269,Tante::N,xaltîk,izeba
270,Ehemann::N,mêr,senar
271,Ehefrau::N,kulfet,emazte
272,Freude::N,kêfxweşî,poz
273,Freude::N,kêfxweşî,pozkari
274,Gelächter::N,pîrqînî,barre
275,Gelächter::N,pîrqînî,karkara
276,Glück::N,bext,zori
277,Kummer::N,derd,xangrin
278,Kummer::N,derd,atsekabe
279,Wunsch::N,daxwaz,nahi
280,Wunsch::N,daxwaz,nahikunde
281,Wunsch::N,xwestek,nahi
282,Wunsch::N,xwestek,nahikunde
283,Lust::N,şewq,gogo
284,Geist::N,aqil,gogo
285,Gedanke::N,fikir,gogoeta
286,Gedächtnis::N,aqil,oroimen
287,Gedächtnis::N,aqil,gogoramen
288,Verstand::N,fêm,adimen
289,Verstand::N,fêm,ulermen
290,Sinn::N,aqil,zentzu
291,Grund::N,asas,zergati
292,Wahrheit::N,rastî,egia
293,Gespräch::N,guftûgo,hizketa
294,Gespräch::N,guftûgo,elkarrizketa
295,Märchen::N,çirok,ipuin
296,Erzählung::N,çirok,edesti
297,Erzählung::N,çirok,kontakizun
298,Erzählung::N,vegotin,edesti
299,Erzählung::N,vegotin,kontakizun
300,Nachricht::N,nûçe,albiste
301,Neuigkeit::N,hewal,berri
302,Name::N,nav,izen
303,Name::N,paşnav,izen
304,Rätsel::N,tiştonek,asmakizun
305,Rede::N,gotar,hitzaldi
306,Rede::N,gotar,mintzaldi
307,Rede::N,axavtin,hitzaldi
308,Rede::N,axavtin,mintzaldi
309,Sprache::N,ziman,hizkuntza
310,Stimme::N,pejn,ahots
311,Wort::N,gotin,hitz
312,Zeichen::N,şanek,agerbide
313,Zeichen::N,şanek,agergarri
314,Ruf::N,hawar,dei
315,Lärm::N,xarbalix,zarata
316,Lärm::N,xarbalix,harrabots
317,Laut::N,deng,hots
318,Laut::N,hês,hots
319,Ton::N,awaz,tonu
320,Ton::N,awaz,soinu
321,Lied::N,sitran,abesti
322,Ruhe::N,rihetî,nasaitasun
323,Leute::N,xelk,jende
324,Volk::N,xelk,herri
325,Volk::N,xelk,populu
326,Arbeit::N,xebat,lan
327,Gast::N,mêvan,arrotz
328,Gast::N,mêvan,apopilo
329,Geschenk::N,diyarî,opari
330,Spiel::N,lîstik,jolas
331,Gesellschaft::N,komal,gizarte
332,Hilfe::N,alîkarî,helpide
333,Hilfe::N,alîkarî,laguntza
334,Freund::N,heval,lagun
335,Kamerad::N,heval,adiskide
336,Kamerad::N,heval,lagunkide
337,Angelegenheit::N,pirsgirêk,afera
338,Anzahl::N,çend,kopuru
339,Art::N,çeh,mota
340,Stück::N,lib,puska
341,Stück::N,parçe,puska
342,Teil::N,parçe,atal
343,Hälfte::N,nîvî,erdi
344,Kreis::N,çemil,biribilki
345,Kreuz::N,xaç,gurutze
346,Linie::N,xezik,linea
347,Strich::N,xezik,marra
348,Abstand::N,dûrahî,tarte
349,Entfernung::N,dûrahî,urrunera
350,Gegend::N,dever,alderdi
351,Gegend::N,dever,eskualde
352,Platz::N,çih,leku
353,Ort::N,dever,toki
354,Seite::N,rûpel,albo
355,Mitte::N,nav,erdi
356,Mitte::N,nabênê,erdi
357,Gegenstand::N,tişt,gauzaki
358,Sache::N,tişt,gauza
359,Rand::N,kevî,ertz
360,Kante::N,kevî,ertz
361,Ecke::N,qunç,kantoi
362,Spitze::N,derzî,punta
363,Ende::N,talî,buru
364,Ende::N,talî,mutur
365,Loch::N,qul,zulo
366,Winkel::N,kurnîşk,zoko
367,Winkel::N,kurnîşk,bazter
368,Muster::N,desen,eredu
369,Muster::N,desen,marrazki
370,Größe::N,mezinî,kaizu
371,Größe::N,mezinî,tamaina
372,Länge::N,dirêjahî,luzera
373,Höhe::N,bilindayî,goiera
374,Höhe::N,bilindayî,garaiera
375,Gewicht::N,giranî,hazta
