,Concept_ID,uk,tt
0,Auge::N,око,күз
1,Ohr::N,вухо,колак
2,Nase::N,ніс,борын
3,Mund::N,рот,авыз
4,Mund::N,рот,тамак
5,Zahn::N,зуб,теш
6,Zunge::N,язик,тел
7,Lippe::N,губа,ирен
8,Wange::N,щока,яңак
9,Gesicht::N,обличчя,йөз
10,Stirn::N,лоб,маңгай
11,Haar::N,волосся,чәч
12,Schnurrbart::N,вуса,мыек
13,Bart::N,борода,сакал
14,Kinn::N,підборіддя,ияк
15,Kiefer[Anatomie]::N,щелепа,казналык
16,Kehle::N,горло,тамак
17,Hals::N,шия,бугаз
18,Genick::N,потилиця,җилкә
19,Kopf::N,голова,баш
20,Rücken::N,спина,сырт
21,Bauch::N,живіт,корсак
22,Nabel::N,пупок,кендек
23,Busen::N,груди,түш
24,Brust::N,груди,имчәк
25,Brust::N,груди,күкрәк
26,Schulter::N,плече,иңбаш
27,Schulter::N,плече,кулбаш
28,Arm::N,рука,кул
29,Ellenbogen::N,лікоть,терсәк
30,Hand::N,рука,кул
31,Handfläche::N,долоня,уч
32,Finger::N,палець,бармак
33,Fingernagel::N,ніготь,тырнак
34,Nagel[Anatomie]::N,ніготь,тырнак
35,Zeh::N,палець на нозі,бармак
36,Fuß::N,нога,табан
37,Ferse::N,п’ятка,үкчә
38,Knie::N,коліно,тез
39,Oberschenkel::N,стегно,бот
40,Bein::N,нога,аяк
41,Körper::N,тіло,тән
42,Körper::N,тіло,җисем
43,Haut::N,шкіра,тире
44,Blut::N,кров,кан
45,Ader::N,вена,тамыр
46,Sehne::N,сухожилля,сеңер
47,Knochen::N,кістка,сөяк
48,Gehirn::N,мозок,ми
49,Herz::N,серце,йөрәк
50,Magen::N,шлунок,ашказаны
51,Leber::N,печінка,бавыр
52,Atem::N,дихання,сулыш
53,Hunger::N,голод,ачлык
54,Träne::N,сльоза,яшь
55,Geschmack::N,смак,тәм
56,Geschmack::N,смак,зәвык
57,Geruch::N,запах,ис
58,Schlaf::N,сон,йокы
59,Schlaf::N,сплячка,йокы
60,Traum::N,сон,төш
61,Himmel::N,небо,күк
62,Sonne::N,сонце,кояш
63,Mond::N,місяць,ай
64,Stern::N,зірка,йолдыз
65,Luft::N,повітря,һава
66,Wind::N,вітер,җил
67,Welle::N,хвиля,дулкын
68,Wasser::N,вода,су
69,Stein::N,камінь,таш
70,Boden::N,ґрунт,туфрак
71,Erde::N,земля,җир
72,Staub::N,пил,тузан
73,Rauch::N,дим,төтен
74,Funke::N,іскра,очкын
75,Feuer::N,вогонь,ут
76,Licht::N,світло,якты
77,Schatten::N,тінь,күләгә
78,Wetter::N,погода,һава
79,Nebel::N,туман,томан
80,Wolke::N,хмара,болыт
81,Regen::N,дощ,яңгыр
82,Schnee::N,сніг,кар
83,Eis::N,лід,боз
84,Frost::N,мороз,суык
85,Frost::N,мороз,салкын
86,Kälte::N,холод,суык
87,Kälte::N,холод,салкын
88,Hitze::N,жар,эсселек
89,Raureif::N,іній,бәс
90,Raureif::N,іній,сыкы
91,Regenbogen::N,райдуга,салават күпере
92,Donner::N,грім,күкрәү
93,Strömung::N,струмина,агыш'агым
94,Tropfen::N,крапля,тамчы
95,Schaum::N,піна,күбек
96,Schmutz::N,бруд,пычрак
97,See::N,озеро,күл
98,Sumpf::N,драговина,саз
99,Moor::N,болото,торфлык
100,Wiese::N,луг,болын
101,Wiese::N,лука,болын
102,Wald::N,ліс,урман
103,Hügel::N,горб,калку
104,Anhöhe::N,височина,үр
105,Berg::N,гора,тау
106,Gipfel::N,вершина,оч
107,Höhle::N,печера,мәгарә
108,Abhang::N,схил,кабырга
109,Quelle::N,джерело,чишмә
110,Bach::N,струмок,елга
111,Fluss::N,річка,дәрья
112,Ufer::N,берег,су кырые
113,Küste::N,узбережжя,яр буе
114,Festland::N,суша,коры җир
115,Meer::N,море,диңгез
116,Bucht::N,бухта,бухта
117,Bucht::N,бухта,култык
118,Bucht::N,затока,бухта
119,Bucht::N,затока,култык
120,Insel::N,острів,атау
121,Insel::N,острів,утрау
122,Blume::N,квітка,чәчкә
123,Gras::N,трава,үлән
124,Wurzel::N,корінь,тамыр
125,Baum::N,дерево,агач
126,Stamm::N,стовбур,кәүсә
127,Rinde::N,кора,кабык
128,Ast::N,гілка,ботак
129,Zweig::N,галузь,ботак
130,Zweig::N,галузь,тармак
131,Blatt::N,лист,яфрак
132,Birke::N,береза,каен
133,Kiefer[Baum]::N,сосна,нарат
134,Weide[Baum]::N,верба,тал
135,Tanne::N,ялиця,чыршы
136,Horn::N,ріг,мөгез
137,Feder::N,перо,йон
138,Fell::N,хутро,тире
139,Flügel::N,крило,канат
140,Klaue::N,кіготь,тырнак
141,Kralle::N,лапа,тырнак
142,Schwanz::N,хвіст,койрык
143,Ei::N,яйце,күкәй
144,Ei::N,яйце,йомырка
145,Nest::N,гніздо,оя
146,Bau::N,лігво,өн
