,Concept_ID,he,tt
72,Staub::N,אבק,тузан
73,Rauch::N,עשן,төтен
74,Funke::N,ניצוץ,очкын
75,Feuer::N,אש,ут
76,Licht::N,אור,якты
77,Schatten::N,צל,күләгә
78,Wetter::N,מזג אויר,һава
79,Nebel::N,ערפל,томан
80,Wolke::N,ענן,болыт
81,Regen::N,גשם,яңгыр
82,Schnee::N,שלג,кар
83,Eis::N,קרח,боз
84,Frost::N,צנה,суык
85,Frost::N,צנה,салкын
86,Kälte::N,קר,суык
87,Kälte::N,קר,салкын
88,Hitze::N,חם,эсселек
89,Raureif::N,כפור,бәс
90,Raureif::N,כפור,сыкы
91,Regenbogen::N,קשת,салават күпере
92,Donner::N,רעם,күкрәү
93,Strömung::N,זרימה,агыш'агым
94,Tropfen::N,טפה,тамчы
95,Schaum::N,קצף,күбек
96,Schmutz::N,לכלוך,пычрак
97,See::N,אגם,күл
98,Sumpf::N,בצה,саз
99,Moor::N,בצה,торфлык
100,Wiese::N,מרעה,болын
101,Wald::N,יער,урман
102,Hügel::N,תל,калку
103,Anhöhe::N,מעלה,үр
104,Berg::N,הר,тау
105,Gipfel::N,פסגה,оч
106,Höhle::N,מערה,мәгарә
107,Abhang::N,מדרון,кабырга
108,Abhang::N,שפוע,кабырга
109,Quelle::N,מעין,чишмә
110,Bach::N,נחל,елга
111,Fluss::N,נהר,дәрья
112,Ufer::N,גדה,су кырые
113,Küste::N,חוף,яр буе
114,Festland::N,יבשה,коры җир
115,Meer::N,ים,диңгез
116,Bucht::N,מפרץ,бухта
117,Bucht::N,מפרץ,култык
118,Insel::N,אי,атау
119,Insel::N,אי,утрау
120,Blume::N,פרח,чәчкә
121,Gras::N,דשא,үлән
122,Wurzel::N,שרש,тамыр
123,Baum::N,עץ,агач
124,Stamm::N,גזע,кәүсә
125,Rinde::N,קלפת עץ,кабык
126,Ast::N,ענף,ботак
127,Zweig::N,ענף,ботак
128,Zweig::N,ענף,тармак
129,Blatt::N,עלה,яфрак
130,Birke::N,שדר,каен
131,Kiefer[Baum]::N,ארן,нарат
132,Weide[Baum]::N,ערבה,тал
133,Tanne::N,אשוח,чыршы
134,Horn::N,קרן,мөгез
135,Feder::N,נוצה,йон
136,Fell::N,פרוה,тире
137,Flügel::N,כנף,канат
138,Klaue::N,טלף,тырнак
139,Kralle::N,טפר,тырнак
140,Schwanz::N,זנב,койрык
141,Ei::N,ביצה,күкәй
142,Ei::N,ביצה,йомырка
143,Nest::N,קן,оя
144,Bau::N,מחלה,өн
145,Tier::N,חיה,хайван
146,Herde::N,עדר,көтү
147,Kuh::N,פרה,сыер
148,Bulle::N,פר,үгез
149,Pferd::N,סוס,ат
150,Schaf::N,כבשה,сарык
151,Schwein::N,חזיר,дуңгыз
152,Hund::N,כלב,эт
153,Katze::N,חתול,песи
154,Bär::N,דב,аю
155,Eichhörnchen::N,סנאי,тиен
156,Elch::N,דישון,поши
157,Fuchs::N,שועל,төлке
158,Hase::N,ארנב,куян
159,Maus::N,עכבר,тычкан
160,Wolf::N,זאב,бүре
161,Vogel::N,צפור,кош
162,Schwarm::N,נחיל,көтү
163,Schwarm::N,להקה,көтү
164,Huhn::N,תרנגלת,тавык
165,Hahn::N,תרנגול,әтәч
166,Gans::N,אוז,каз
167,Adler::N,עיט,каракош
168,Ente::N,ברוז,үрдәк
169,Eule::N,ינשוף,ябалак
170,Kranich::N,עגור,торна
171,Kranich::N,כרוכיה,торна
172,Krähe::N,עורב,карга
173,Kuckuck::N,קוקיה,күке
174,Kuckuck::N,קוקיה,кәккүк
175,Schwan::N,ברבור,аккош
176,Fisch::N,דג,балык
177,Barsch::N,אוקונוס,алабуга
178,Hecht::N,זאב הים,чуртан
179,Schlange[Tier]::N,נחש,елан
180,Wurm::N,תולעת,корт
181,Spinne::N,עכביש,үрмәкүч
182,Ameise::N,נמלה,кырмыска
183,Laus::N,כנה,бет
184,Mücke::N,יתוש,черки
185,Mücke::N,יתוש,озынборын
186,Fliege::N,זבוב,чебен
187,Schmetterling::N,פרפר,күбәләк
188,Beere::N,ענבה,җиләк
189,Apfel::N,תפוח,алма
190,Pilz::N,פטריה,гөмбә
191,Zwiebel::N,בצל,суган
192,Zwiebel::N,בצל,суганбаш
193,Saat::N,זרעים,орлык
194,Korn::N,גרעין,иген
195,Korn::N,גרעין,орлык
196,Heu::N,חציר,печән
197,Schale::N,קלפה,кабык
198,Grube::N,בור,баз
199,Grube::N,בור,чокыр
200,Grube::N,שוחה,баз
201,Grube::N,שוחה,чокыр
202,Falle::N,מלכדת,тозак
203,Falle::N,מלכדת,капкын
204,Schlinge::N,לולאה,элмәк
205,Spur::N,עקבה,эз
206,Asche::N,אפר,көл
207,Dreck::N,זהמה,пычрак
208,Eisen::N,ברזל,тимер
209,Gold::N,זהב,алтын
210,Silber::N,כסף,көмеш
211,Kohle::N,פחם,күмер
212,Glas::N,זכוכית,пыяла
213,Lehm::N,חרסית,балчык
214,Sand::N,חול,ком
215,Mensch::N,אדם,адәм
216,Mensch::N,אדם,инсан
217,Mann::N,איש,ир
218,Mann::N,גבר,ир
219,Frau::N,אשה,хатын
220,Frau::N,גברת,хатын
221,Kind::N,ילד,бала
222,Junge::N,ילד,малай
223,Mädchen::N,נערה,кыз
224,Familie::N,משפחה,гаилә
225,Großvater::N,סבא,бабай
226,Großmutter::N,סבתא,әби
227,Eltern::N,הורים,ата-ана
228,Vater::N,אב,ата
229,Mutter::N,אם,ана
230,Sohn::N,בן,ул
231,Tochter::N,בת,кыз
232,Bruder::N,אח,кардәш
233,Schwester::N,אחות,апа
234,Schwester::N,אחות,сеңел
235,Onkel::N,דוד,дәдә
236,Onkel::N,דוד,дәдәй
237,Tante::N,דודה,түти
238,Tante::N,דודה,тәтәй
239,Ehemann::N,איש,ир
240,Ehemann::N,בעל,ир
241,Ehefrau::N,אשה,хатын
242,Freude::N,שמחה,сөенеч
243,Gelächter::N,צחוק,көлү
244,Gelächter::N,צחוק,көлеш
245,Glück::N,אשר,бәхет
246,Kummer::N,יגון,хәсрәт
247,Kummer::N,עגמה,хәсрәт
248,Wunsch::N,אחול,теләк
249,Wunsch::N,משאלה,теләк
250,Lust::N,חשק,теләк
251,Lust::N,חשק,теләү
252,Lust::N,תשוקה,теләк
253,Lust::N,תשוקה,теләү
254,Geist::N,רוח,рух
255,Gedanke::N,מחשבה,уй
256,Gedanke::N,מחשבה,фикер
257,Gedächtnis::N,זכרון,хәтер
258,Verstand::N,שכל,акыл
259,Sinn::N,מובן,мәгънә
260,Sinn::N,משמעות,мәгънә
261,Grund::N,סבה,сәбәп
262,Wahrheit::N,אמת,хак
263,Gespräch::N,דיון,әңгәмә
264,Märchen::N,אגדה,әкият
265,Erzählung::N,ספור,хикәя
266,Nachricht::N,ידיעה,хәбәр
267,Neuigkeit::N,חדשה,яңалык
268,Name::N,שם,исем
269,Rätsel::N,תעלומה,табышмак
270,Rede::N,נאום,нотык
271,Sprache::N,לשון,тел
272,Stimme::N,קול,тавыш
273,Wort::N,מלה,сүз
274,Zeichen::N,סימן,ишарә
275,Ruf::N,קריאה,дәшү
276,Lärm::N,רעש,шау
277,Laut::N,הגה,аваз
278,Ton::N,צליל,шалтырату
279,Lied::N,שיר,җыр
280,Ruhe::N,שלוה,тынлык
281,Leute::N,אנשים,халык
282,Volk::N,עם,халык
283,Arbeit::N,עבודה,эш
284,Arbeit::N,עבודה,хезмәт
285,Gast::N,אורח,кунак
286,Geschenk::N,מתנה,бүләк
287,Spiel::N,משחק,уен
288,Gesellschaft::N,חברה,җәмгыять
289,Hilfe::N,עזרה,ярдәм
290,Hilfe::N,עזרה,булышлык
291,Freund::N,חבר,дус
292,Freund::N,ידיד,дус
293,Kamerad::N,רע,иптәш
294,Angelegenheit::N,ענין,эш
295,Anzahl::N,מספר,микъдар
296,Art::N,סוג,төр
297,Stück::N,חתיכה,кисәк
298,Teil::N,פרק,өлеш
299,Hälfte::N,חצי,ярым
300,Kreis::N,מעגל,түгәрәк
301,Kreuz::N,צלב,хач
302,Kreuz::N,צלב,тәре
303,Linie::N,קו,сызык
304,Strich::N,קו קצר,сызык
305,Abstand::N,מרחק,ара
306,Entfernung::N,מרחק,ераклык
307,Gegend::N,נוף,урын
308,Platz::N,שטח,бушлык
309,Ort::N,אתר,урын
310,Ort::N,מקום,урын
311,Seite::N,צד,як
312,Mitte::N,אמצע,урта
313,Gegenstand::N,אוביקט,нәрсә
314,Sache::N,דבר,нәрсә
315,Rand::N,פרור,чит
316,Kante::N,קצה,кырый
317,Ecke::N,פנה,почмак
318,Spitze::N,קצה,оч
319,Ende::N,סוף,азак
320,Loch::N,חר,тишек
321,Winkel::N,פנה,почмак
322,Muster::N,תבנית,парча
323,Größe::N,גדל,зурлык
324,Länge::N,ארך,озынлык
325,Höhe::N,קומה,биеклек
326,Höhe::N,גבה,биеклек
327,Gewicht::N,משקל,авырлык
328,Menge::N,כמות,микъдар
329,Haufen::N,ערמה,өем
330,Reihe::N,רצף,рәт
331,Boot::N,סירה,каек
332,Boot::N,סירה,көймә
333,Ruder::N,משוט,ишкәк
334,Schlitten::N,מזחלת,чана
335,Ski::N,מגלשים,чаңгы
336,Lagerfeuer::N,מדורה,костёр
337,Last::N,משא,йөк
338,Gang::N,הליכה,йөреш
339,Schritt::N,צעד,адым
340,Norden::N,צפון,төньяк
341,Süden::N,דרום,көньяк
342,Westen::N,מערב,көнбатыш
343,Osten::N,מזרח,шәрык
344,Osten::N,מזרח,көнчыгыш
345,Holz::N,עץ,агач
346,Brett::N,קרש,такта
347,Platte::N,לוח,плитә
348,Stütze::N,משען,таяу
349,Stange::N,מוט,колга
350,Stock::N,מקל,таяк
351,Stab::N,מוט,таяк
352,Rohr::N,צנור,торба
353,Haus::N,בית,өй
354,Haus::N,בית,йорт
355,Heim::N,בית,гаилә
356,Heim::N,בית,нәсел
357,Ofen::N,תנור,мич
358,Fußboden::N,רצפה,идән
359,Tisch::N,שלחן,өстәл
360,Stuhl::N,כסא,утыргыч
361,Wiege::N,ערש,бишек
362,Bett::N,מטה,ятак
363,Bett::N,מטה,урын-җир
364,Regal::N,מדף,киштә
365,Regal::N,מדף,шүрлек
366,Kiste::N,תבה,әрҗә
367,Kiste::N,ארגז,әрҗә
368,Fenster::N,חלון,тәрәзә
369,Tür::N,דלת,ишек
370,Tor::N,שער,капка
371,Zaun::N,גדר,койма
372,Dach::N,גג,түбә
373,Leiter::N,סלם,баскыч
374,Besen::N,מטאטא,себерке
375,Spaten::N,את,көрәк
376,Schaufel::N,את,көрәк
377,Gabel::N,מזלג,чәннечке
378,Löffel::N,כף,кашык
379,Messer::N,סכין,пычак
380,Nagel::N,מסמר,кадак
381,Netz::N,רשת,челтәр
382,Haken::N,וו,ыргак
383,Haken::N,קרס,ыргак
384,Griff::N,ידית,тотка
385,Schloss::N,מנעול,йозак
386,Bild::N,תמונה,рәсем
387,Bild::N,תמונה,картина
388,Figur::N,פסל,сын
389,Figur::N,פסל,фигура
390,Puppe::N,בבה,курчак
391,Beutel::N,שק,луза
392,Bündel::N,צרור,бәйләм
393,Tasche::N,שקית,букча
394,Eimer::N,דלי,чиләк
395,Deckel::N,מכסה,капкач
396,Geschirr::N,כלים,савыт-саба
397,Geschirr::N,כלים,кашык-аяк
398,Sack::N,שק,капчык
399,Tasse::N,ספל,чынаяк
400,Topf::N,סיר,чүлмәк
401,Kessel::N,קנקן,казан
402,Essen::N,אכל,ашау
403,Essen::N,ארוחה,ашау
404,Nahrung::N,הזנה,азык
405,Nahrung::N,הזנה,тәгам
406,Nahrung::N,הזנה,ашамлык
407,Nahrung::N,תזונה,азык
408,Nahrung::N,תזונה,тәгам
409,Nahrung::N,תזונה,ашамлык
410,Speise::N,מאכל,ризык
411,Speise::N,ארוחה,ризык
412,Fleisch::N,בשר,ит
413,Getreide::N,דגן,ашлык
414,Brei::N,מחית,ботка
415,Brot::N,לחם,ипи
416,Brot::N,לחם,икмәк
417,Scheibe::N,עגול,телем
418,Scheibe::N,פרוסה,телем
419,Fett::N,שמן,май
420,Butter::N,חמאה,май
421,Öl::N,שמן,май
422,Salz::N,מלח,тоз
423,Suppe::N,מרק,шулпа
424,Honig::N,דבש,бал
425,Milch::N,חלב,сөт
426,Tee::N,תה,чәй
427,Leder::N,עור,күн
428,Wolle::N,צמר,йон
429,Stoff::N,בד,тукыма
430,Stoff::N,אריג,тукыма
431,Nadel::N,מחט,энә
432,Faden::N,חוט,җеп
433,Knopf::N,כפתור,төймә
434,Knoten::N,קשר,төен
435,Farbe::N,צבע,буяу
436,Kleidung::N,בגדים,кием
437,Hemd::N,חלצה,күлмәк
438,Kragen::N,צוארון,яка
439,Ärmel::N,שרוול,җиң
440,Hose::N,מכנסים,чалбар
441,Gürtel::N,חגורה,билбау
442,Mütze::N,כובע,бүрек
443,Schuh::N,נעל,башмак
444,Stiefel::N,מגף,итек
445,Ring::N,טבעת,балдак
446,Band::N,סרט,тасма
447,Kamm::N,מסרק,тарак
448,Spiegel::N,מראה,көзге
449,Riemen::N,רצועה,каеш
450,Schnur::N,חבל,бау
451,Leine::N,מושכות,тезген
452,Decke::N,שמיכה,юрган
453,Kissen::N,כרית,мендәр
454,Tuch::N,צעיף,яулык
455,Handtuch::N,מגבת,сөлгә
456,Kraft::N,כוח,егәр
457,Kraft::N,כוח,дәрман
458,Stärke::N,און,көч
459,Stärke::N,און,дәрман
460,Gesundheit::N,בריאות,саулык
461,Krankheit::N,מחלה,чир
462,Krankheit::N,מחלה,хаста
463,Krankheit::N,מחלה,сырхау
464,Schmerz::N,כאב,авырту
465,Wunde::N,פציעה,яра
466,Wunde::N,פציעה,җәрәхәт
467,Fieber::N,חם,бизгәк
468,Arznei::N,תרופה,дару
469,Brücke::N,גשר,күпер
470,Brunnen::N,באר,кое
471,Weide::N,אחו,утлавык
472,Weide::N,מרעה,утлавык
473,Pfad::N,שביל,сукмак
474,Pfad::N,מדרכה,сукмак
475,Weg::N,דרך,юл
476,Straße::N,כביש,урам
477,Dorf::N,כפר,авыл
478,Stadt::N,עיר,шәһәр
479,Brief::N,מכתב,хат
480,Buch::N,ספר,китап
481,Buchstabe::N,אות,хәреф
482,Zeitung::N,עתון,газет
483,Zeitung::N,עתון,газета
484,Leben::N,חיים,гомер
