,Concept_ID,he,da
0,Auge::N,עין,øje
1,Ohr::N,אזן,øre
2,Nase::N,אף,næse
3,Nase::N,חטם,næse
4,Mund::N,פה,mund
5,Zahn::N,שן,tand
6,Zunge::N,לשון,tunge
7,Lippe::N,שפה,læbe
8,Wange::N,לחי,kind
9,Gesicht::N,פנים,ansigt
10,Stirn::N,מצח,pande
11,Haar::N,שערה,hår
12,Schnurrbart::N,שפם,overskæg
13,Bart::N,זקן,skæg
14,Kinn::N,סנטר,hage
15,Kiefer[Anatomie]::N,לסת,kæbe
16,Kehle::N,גרון,strube
17,Hals::N,צואר,hals
18,Genick::N,ערף,nakke
19,Kopf::N,ראש,hoved
20,Rücken::N,גב,ryg
21,Bauch::N,בטן,mave
22,Nabel::N,טבור,navle
23,Busen::N,שד,barm
24,Brust::N,חזה,bryst
25,Schulter::N,כתף,skulder
26,Arm::N,זרוע,arm
27,Ellenbogen::N,מרפק,albue
28,Hand::N,יד,hånd
29,Handfläche::N,כף יד,håndflade
30,Finger::N,אצבע,finger
31,Fingernagel::N,צפרן,fingernegl
32,Nagel[Anatomie]::N,צפרן,negl
33,Zeh::N,אצבע,tå
34,Fuß::N,רגל,fod
35,Ferse::N,עקב,hæl
36,Knie::N,ברך,knæ
37,Oberschenkel::N,ירך,lår
38,Bein::N,רגל,ben
39,Körper::N,גוף,krop
40,Körper::N,גוף,legeme
41,Haut::N,עור,hud
42,Blut::N,דם,blod
43,Ader::N,וריד,åre
44,Sehne::N,גיד,sene
45,Knochen::N,עצם,ben
46,Gehirn::N,מוח,hjerne
47,Herz::N,לב,hjerte
48,Magen::N,קבה,mave
49,Leber::N,כבד,lever
50,Atem::N,נשימה,ånde
51,Hunger::N,רעב,sult
52,Träne::N,דמעה,tåre
53,Geschmack::N,טעם,smag
54,Geruch::N,ריח,lugt
55,Schlaf::N,שנה,søvn
56,Traum::N,חלום,drøm
57,Himmel::N,שמים,himmel
58,Sonne::N,שמש,sol
59,Mond::N,ירח,måne
60,Stern::N,כוכב,stjerne
61,Luft::N,אויר,luft
62,Wind::N,רוח,vind
63,Welle::N,גל,bølge
64,Wasser::N,מים,vand
65,Stein::N,אבן,sten
66,Boden::N,קרקע,jord
67,Erde::N,אדמה,jord
68,Staub::N,אבק,støv
69,Rauch::N,עשן,røg
70,Funke::N,ניצוץ,gnist
71,Feuer::N,אש,ild
72,Licht::N,אור,lys
73,Schatten::N,צל,skygge
74,Wetter::N,מזג אויר,vejr
75,Nebel::N,ערפל,tåge
76,Wolke::N,ענן,sky
77,Regen::N,גשם,regn
78,Schnee::N,שלג,sne
79,Eis::N,קרח,is
80,Frost::N,צנה,frost
81,Kälte::N,קר,kulde
82,Hitze::N,חם,hede
83,Raureif::N,כפור,rimfrost
84,Regenbogen::N,קשת,regnbue
85,Donner::N,רעם,torden
86,Strömung::N,זרימה,strømning
87,Tropfen::N,טפה,dråbe
88,Schaum::N,קצף,skum
89,Schmutz::N,לכלוך,snavs
90,See::N,אגם,sø
91,Sumpf::N,בצה,sump
92,Moor::N,בצה,mose
93,Wiese::N,מרעה,eng
94,Wald::N,יער,skov
95,Hügel::N,תל,høj
96,Hügel::N,תל,bakke
97,Anhöhe::N,מעלה,høj
98,Anhöhe::N,מעלה,bakke
99,Berg::N,הר,bjerg
100,Gipfel::N,פסגה,top
101,Höhle::N,מערה,hule
102,Abhang::N,מדרון,skrænt
103,Abhang::N,מדרון,skråning
104,Abhang::N,שפוע,skrænt
105,Abhang::N,שפוע,skråning
106,Quelle::N,מעין,kilde
107,Bach::N,נחל,bæk
108,Fluss::N,נהר,flod
109,Ufer::N,גדה,bred
110,Küste::N,חוף,kyst
111,Festland::N,יבשה,fastland
112,Meer::N,ים,hav
113,Bucht::N,מפרץ,bugt
114,Insel::N,אי,ø
115,Blume::N,פרח,blomst
116,Gras::N,דשא,græs
117,Wurzel::N,שרש,rod
118,Baum::N,עץ,træ
119,Stamm::N,גזע,stamme
120,Rinde::N,קלפת עץ,bark
121,Ast::N,ענף,gren
122,Zweig::N,ענף,kvist
123,Blatt::N,עלה,blad
124,Birke::N,שדר,birk
125,Kiefer[Baum]::N,ארן,fyrretræ
126,Weide[Baum]::N,ערבה,piletræ
127,Tanne::N,אשוח,gran
128,Horn::N,קרן,horn
129,Feder::N,נוצה,fjer
130,Fell::N,פרוה,skind
131,Flügel::N,כנף,vinge
132,Klaue::N,טלף,klov
133,Kralle::N,טפר,klo
134,Schwanz::N,זנב,hale
135,Ei::N,ביצה,æg
136,Nest::N,קן,rede
137,Bau::N,מחלה,bo
138,Tier::N,חיה,dyr
139,Herde::N,עדר,flok
140,Kuh::N,פרה,ko
141,Bulle::N,פר,tyr
142,Pferd::N,סוס,hest
143,Schaf::N,כבשה,får
144,Schwein::N,חזיר,gris
145,Hund::N,כלב,hund
146,Katze::N,חתול,kat
147,Bär::N,דב,bjørn
148,Eichhörnchen::N,סנאי,egern
149,Elch::N,דישון,elg
150,Fuchs::N,שועל,ræv
151,Hase::N,ארנב,hare
152,Maus::N,עכבר,mus
153,Wolf::N,זאב,ulv
154,Vogel::N,צפור,fugl
155,Schwarm::N,נחיל,sværm
156,Schwarm::N,להקה,sværm
157,Huhn::N,תרנגלת,høne
158,Hahn::N,תרנגול,hane
159,Gans::N,אוז,gås
160,Adler::N,עיט,ørn
161,Ente::N,ברוז,and
162,Eule::N,ינשוף,ugle
163,Kranich::N,עגור,trane
164,Kranich::N,כרוכיה,trane
165,Krähe::N,עורב,krage
166,Kuckuck::N,קוקיה,gøg
167,Schwan::N,ברבור,svane
168,Fisch::N,דג,fisk
169,Barsch::N,אוקונוס,aborre
170,Hecht::N,זאב הים,gedde
171,Schlange[Tier]::N,נחש,slange
172,Wurm::N,תולעת,orm
173,Spinne::N,עכביש,edderkop
174,Ameise::N,נמלה,myre
175,Laus::N,כנה,lus
176,Mücke::N,יתוש,myg
177,Fliege::N,זבוב,flue
178,Schmetterling::N,פרפר,sommerfugl
179,Beere::N,ענבה,bær
180,Apfel::N,תפוח,æble
181,Pilz::N,פטריה,svamp
182,Zwiebel::N,בצל,løg
183,Saat::N,זרעים,sæd
184,Korn::N,גרעין,korn
185,Heu::N,חציר,hø
186,Schale::N,קלפה,skræl
187,Grube::N,בור,grav
188,Grube::N,שוחה,grav
189,Falle::N,מלכדת,fælde
190,Schlinge::N,לולאה,snare
191,Spur::N,עקבה,spor
192,Asche::N,אפר,aske
193,Dreck::N,זהמה,snavs
194,Eisen::N,ברזל,jern
195,Gold::N,זהב,guld
196,Silber::N,כסף,sølv
197,Kohle::N,פחם,kul
198,Glas::N,זכוכית,glas
199,Lehm::N,חרסית,ler
200,Sand::N,חול,sand
201,Mensch::N,אדם,mennesge
202,Mann::N,איש,mand
203,Mann::N,גבר,mand
204,Frau::N,אשה,kvinde
205,Frau::N,גברת,kvinde
206,Kind::N,ילד,barn
207,Junge::N,ילד,dreng
208,Mädchen::N,נערה,pige
209,Familie::N,משפחה,familie
210,Großvater::N,סבא,bedstefar
211,Großmutter::N,סבתא,bedstemor
212,Eltern::N,הורים,forældre
213,Vater::N,אב,far
214,Mutter::N,אם,mor
215,Sohn::N,בן,søn
216,Tochter::N,בת,datter
217,Bruder::N,אח,bror
218,Schwester::N,אחות,søster
219,Onkel::N,דוד,onkel
220,Tante::N,דודה,tante
221,Ehemann::N,איש,ægtemand
222,Ehemann::N,בעל,ægtemand
223,Ehefrau::N,אשה,hustru
224,Freude::N,שמחה,glæde
225,Gelächter::N,צחוק,latter
226,Glück::N,אשר,lykke
227,Kummer::N,יגון,sorg
228,Kummer::N,עגמה,sorg
229,Wunsch::N,אחול,ønske
230,Wunsch::N,משאלה,ønske
231,Lust::N,חשק,lyst
232,Lust::N,תשוקה,lyst
233,Geist::N,רוח,ånd
234,Gedanke::N,מחשבה,tanke
