,Concept_ID,zh,lt
0,Auge::N,眼睛,akis
1,Ohr::N,耳朵,ausis
2,Nase::N,鼻子,nosis
3,Mund::N,嘴,burna
4,Zahn::N,牙齿,dantis
5,Zunge::N,舌头,liežuvis
6,Lippe::N,嘴唇,lūpa
7,Wange::N,面颊,žandas
8,Wange::N,面颊,skruostas
9,Gesicht::N,脸,veidas
10,Stirn::N,额,kakta
11,Haar::N,头发,plaukai
12,Schnurrbart::N,髭须,ūsai
13,Bart::N,胡子,barzda
14,Kinn::N,下巴,smakras
15,Kiefer[Anatomie]::N,颌,žandikaulis
16,Kehle::N,嗓子,gerklė
17,Hals::N,颈,kaklas
18,Genick::N,后颈,sprandas
19,Kopf::N,头,galva
20,Rücken::N,背,nugara
21,Bauch::N,肚子,pilvas
22,Nabel::N,肚脐,bamba
23,Busen::N,胸脯,krūtinė
24,Brust::N,胸,krūtis
25,Schulter::N,肩膀,petys
26,Arm::N,臂膀,ranka
27,Ellenbogen::N,肘,alkūnė
28,Hand::N,手,ranka
29,Hand::N,手,plaštaka
30,Handfläche::N,手掌,delnas
31,Handfläche::N,手掌,plaštaka
32,Finger::N,手指,pirštas
33,Fingernagel::N,指甲,nagas
34,Nagel[Anatomie]::N,指甲,nagas
35,Zeh::N,脚趾,pirštas
36,Fuß::N,脚,pėda
37,Ferse::N,后跟,kulnas
38,Knie::N,膝,kelis
39,Oberschenkel::N,大腿,kulšis
40,Oberschenkel::N,大腿,šlaunis
41,Bein::N,腿,koja
42,Körper::N,身体,kūnas
43,Haut::N,皮肤,oda
44,Blut::N,血,kraujas
45,Ader::N,血管,kraujagyslė
46,Sehne::N,腱,sausgyslė
47,Knochen::N,骨,kaulas
48,Gehirn::N,脑,smegenys
49,Herz::N,心,širdis
50,Magen::N,胃,skrandis
51,Leber::N,肝,kepenys
52,Atem::N,呼吸,kvapas
53,Hunger::N,饿,badas
54,Hunger::N,饿,alkis
55,Träne::N,眼泪,ašara
56,Geschmack::N,味道,skonis
57,Geruch::N,气味,kvapas
58,Schlaf::N,睡眠,miegas
59,Traum::N,梦,sapnas
60,Himmel::N,天空,dangus
61,Sonne::N,太阳,saulė
62,Mond::N,月亮,mėnulis
63,Stern::N,星,žvaigždė
64,Luft::N,空气,oras
65,Wind::N,风,vėjas
66,Welle::N,波,banga
67,Welle::N,波,vilnis
68,Wasser::N,水,vanduo
69,Stein::N,石头,akmuo
70,Boden::N,地面,žemė
71,Boden::N,地面,dugnas
72,Erde::N,地,žemė
73,Staub::N,灰尘,dulkės
74,Rauch::N,烟,dūmai
75,Funke::N,火花,kibirkštis
76,Feuer::N,火,ugnis
77,Licht::N,光,šviesa
78,Schatten::N,影子,paūksmė
79,Wetter::N,天气,oras
80,Nebel::N,雾,migla
81,Nebel::N,雾,rūkas
82,Wolke::N,云,debesis
83,Regen::N,雨,lietus
84,Schnee::N,雪,sniegas
85,Eis::N,冰,ledas
86,Frost::N,霜冻,šalna
87,Kälte::N,寒冷,šaltis
88,Hitze::N,炎热,karštis
89,Raureif::N,霜,šerkšnas
90,Regenbogen::N,虹,vaivorykštė
91,Donner::N,雷,perkūnas
92,Donner::N,雷,griaustinis
93,Strömung::N,水流,tėkmė
94,Tropfen::N,滴,lašas
95,Schaum::N,泡沫,putos
96,Schmutz::N,赃物,purvas
97,See::N,湖,ežeras
98,Sumpf::N,沼泽,klampynė
99,Sumpf::N,沼泽,liūnas
100,Moor::N,沼泽,pelkė
101,Wiese::N,草地,pieva
102,Wald::N,森林,miškas
103,Hügel::N,丘陵,kalva
104,Anhöhe::N,山丘,kauburys
105,Berg::N,山,kalnas
106,Gipfel::N,峰,viršūnė
107,Höhle::N,洞穴,ola
108,Abhang::N,斜坡,šlaitas
109,Abhang::N,斜坡,nuokalnė
110,Quelle::N,泉,versmė
111,Quelle::N,泉,šaltinis
112,Bach::N,溪,upelis
113,Fluss::N,河流,upė
114,Ufer::N,岸,krantas
115,Küste::N,海岸,pajūris
116,Festland::N,大陆,sausuma
117,Meer::N,海,jūra
118,Bucht::N,海湾,įlanka
119,Bucht::N,海湾,užutekis
120,Insel::N,岛,sala
121,Blume::N,花,gėlė
122,Gras::N,草,žolė
123,Wurzel::N,根,šaknis
124,Baum::N,树,medis
125,Stamm::N,树干,kamienas
126,Rinde::N,树皮,žievė
127,Ast::N,树枝,šaka
128,Zweig::N,树枝,šakelė
129,Blatt::N,叶子,lapas
130,Birke::N,桦木,beržas
131,Kiefer[Baum]::N,松树,pušis
132,Weide[Baum]::N,柳树,karklas
133,Tanne::N,冷杉,eglė
134,Tanne::N,冷杉,kėnis
135,Horn::N,角,ragas
136,Feder::N,羽毛,plunksna
137,Fell::N,皮毛,kailis
138,Flügel::N,翅膀,sparnas
139,Klaue::N,爪子,kanopa
140,Kralle::N,爪子,nagas
141,Schwanz::N,尾巴,uodega
142,Ei::N,蛋,kiaušinis
143,Nest::N,巢,gūžta
144,Nest::N,巢,lizdas
145,Bau::N,穴,ola
146,Tier::N,动物,gyvūnas
147,Herde::N,群,banda
148,Herde::N,群,kaimenė
149,Kuh::N,母牛,karvė
150,Bulle::N,公牛,bulius
151,Pferd::N,马,arklys
152,Schaf::N,羊,avis
153,Schwein::N,猪,kiaulė
154,Hund::N,狗,šuo
155,Katze::N,猫,katė
156,Bär::N,熊,lokys
157,Eichhörnchen::N,松鼠,voveraitė
158,Elch::N,麋鹿,briedis
159,Fuchs::N,狐狸,lapė
160,Hase::N,兔子,kiškas
161,Maus::N,老鼠,pelė
162,Wolf::N,狼,vilkas
163,Vogel::N,鸟,paukštis
164,Schwarm::N,群,spiečius
165,Huhn::N,鸡,višta
166,Hahn::N,公鸡,gaidys
167,Gans::N,鹅,žąsis
168,Adler::N,鹰,erelis
169,Ente::N,鸭,antis
170,Eule::N,猫头鹰,pelėda
171,Kranich::N,鹤,gervė
172,Krähe::N,乌鸦,varna
173,Kuckuck::N,布谷鸟,gegužė
174,Schwan::N,天鹅,gulbė
175,Fisch::N,鱼,žuvis
176,Barsch::N,鲈鱼,ešerys
177,Hecht::N,狗鱼,lydeka
178,Schlange[Tier]::N,蛇,gyvatė
179,Wurm::N,蠕虫,kirmėlė
180,Spinne::N,蜘蛛,voras
181,Ameise::N,蚂蚁,skruzdė
182,Laus::N,虱子,utėlė
183,Mücke::N,蚊子,uodas
184,Fliege::N,苍蝇,musė
185,Schmetterling::N,蝴蝶,drugys
186,Schmetterling::N,蝴蝶,peteliškė
187,Beere::N,将果,uoga
188,Apfel::N,苹果,obuolys
189,Pilz::N,蘑菇,grybas
190,Zwiebel::N,洋葱,svogūnas
191,Saat::N,种子,sėkla
192,Korn::N,谷粒,grūdai
193,Heu::N,干草,šienas
194,Schale::N,壳,žievelė
195,Grube::N,坑,duobė
196,Falle::N,圈套,pinklės
197,Falle::N,圈套,žabangai
198,Schlinge::N,活扣,kilpa
199,Spur::N,踪迹,vėžė
200,Spur::N,踪迹,pėdos
201,Spur::N,踪迹,pėdsakas
202,Asche::N,灰烬,pelenai
203,Dreck::N,污垢,purvas
204,Eisen::N,铁,geležis
205,Gold::N,金子,auksas
206,Silber::N,银,sidabras
207,Kohle::N,煤,anglis
208,Glas::N,玻璃,stiklas
209,Lehm::N,粘土,molis
210,Sand::N,沙,smėlis
211,Mensch::N,人,žmogus
212,Mann::N,男子,vyras
213,Mann::N,男子,vyriškis
214,Frau::N,妇女,moteris
215,Kind::N,小孩,vaikas
216,Junge::N,男孩,vaikinas
217,Junge::N,男孩,berniukas
218,Mädchen::N,女孩,mergytė
219,Mädchen::N,女孩,mergaitė
220,Familie::N,家庭,šeima
221,Großvater::N,祖父,senelis
222,Großmutter::N,祖母,senelė
223,Eltern::N,父母,tėvai
224,Vater::N,父亲,tėvas
225,Mutter::N,母亲,motina
226,Sohn::N,儿子,sūnus
227,Tochter::N,女儿,duktė
228,Bruder::N,兄弟,brolis
229,Schwester::N,姐妹,sesuo
230,Onkel::N,伯父,dėdė
231,Tante::N,阿姨,teta
232,Ehemann::N,丈夫,vyras
233,Ehefrau::N,妻子,žmona
234,Freude::N,愉快,džiaugsmas
235,Gelächter::N,大笑,juokas
236,Glück::N,运气,laimė
237,Kummer::N,苦恼,vargas
