,Concept_ID,az,sl
0,Auge::N,göz,okó
1,Ohr::N,qulaq,uhó
2,Nase::N,burun,nós
3,Mund::N,ağız,ústa
4,Zahn::N,diş,zób
5,Zunge::N,dil,jêzik
6,Lippe::N,dodaq,ústnica
7,Wange::N,yanaq,líce
8,Gesicht::N,üz,oblíčje
9,Stirn::N,alın,čêlo
10,Haar::N,saç,lás
11,Schnurrbart::N,bığ,bŕki
12,Bart::N,saqqal,bráda
13,Kinn::N,çənə,bráda
14,Kiefer[Anatomie]::N,çənə,čeljúst
15,Kehle::N,boğaz,gŕlo
16,Hals::N,boyun,vrát
17,Genick::N,ənsə,zatílnik
18,Kopf::N,baş,gláva
19,Rücken::N,bel,hrbèt
20,Bauch::N,qarın,trébuh
21,Nabel::N,göbək,pópek
22,Busen::N,məmə,nédrja
23,Brust::N,döş,pŕsi
24,Schulter::N,çiyin,ráma
25,Schulter::N,çiyin,plêče
26,Arm::N,qol,rôka
27,Ellenbogen::N,dirsək,komólec
28,Hand::N,əl,rôka
29,Handfläche::N,ovuc,dlán
30,Finger::N,barmaq,pŕst
31,Fingernagel::N,barmaq dırnağı,nóht na rôki
32,Nagel[Anatomie]::N,dırnak,nóht
33,Zeh::N,ayaq barmağı,pŕst na nôgi
34,Fuß::N,ayaq,nôga
35,Ferse::N,daban,pêta
36,Knie::N,diz,koléno
37,Oberschenkel::N,bud,stêgno
38,Bein::N,qıç,nôga
39,Körper::N,əndam,teló
40,Haut::N,dəri,kóža
41,Blut::N,qan,krí
42,Ader::N,damar,žíla
43,Sehne::N,vətər,kíta
44,Knochen::N,sümük,kóst
45,Gehirn::N,beyin,možgáni
46,Herz::N,ürək,srcé
47,Magen::N,mədə,želódec
48,Leber::N,qara ciyər,jétra
49,Atem::N,nəfəs,díh
50,Hunger::N,aclıq,glád
51,Träne::N,göz yaşı,sólza
52,Geschmack::N,tam,okús
53,Geschmack::N,ləzzət,okús
54,Geruch::N,qoxu,vónj
55,Schlaf::N,yuxu,sèn
56,Schlaf::N,yuxu,spánec
57,Traum::N,röya,sánje
58,Himmel::N,göy,nebó
59,Himmel::N,səma,nebó
60,Sonne::N,günəş,sónce
61,Mond::N,ay,lúna
62,Mond::N,ay,mésec
63,Stern::N,ulduz,zvézda
64,Luft::N,hava,zràk
65,Wind::N,yel,véter
66,Wind::N,külək,véter
67,Welle::N,dalğa,vál
68,Wasser::N,su,vôda
69,Stein::N,daş,kámen
70,Boden::N,yer,tlà
