,Concept_ID,kn,kk
0,Auge::N,ಕಣ್ಣು,көз
1,Ohr::N,ಕಿವಿ,құлақ
2,Nase::N,ಮೂಗು,мұрын
3,Mund::N,ಬಾಯಿ,ауыз
4,Zahn::N,ಹಲ್ಲು,тіс
5,Zunge::N,ನಾಲಿಗೆ,тіл
6,Lippe::N,ತುಟಿ,ерін
7,Wange::N,ಗಲ್ಲ,ұрт
8,Gesicht::N,ಮುಖ,бет-аузы
9,Stirn::N,ಹಣೆ,маңдай
10,Haar::N,ಕೂದಲು,қыл
11,Schnurrbart::N,ಮೀಸೆ,мұрт
12,Bart::N,ಗಡ್ಡ,сақал
13,Kinn::N,ಗದ್ದ,иек
14,Kiefer[Anatomie]::N,ದವಡೆ,жақ
15,Kehle::N,ಗಂಟಲು,алқым
16,Hals::N,ಕೊರಳು,мойын
17,Genick::N,ಹಿಂಗತ್ತು,желке
18,Kopf::N,ತಲೆ,кәллә
19,Rücken::N,ಬೆನ್ನು,арқа
20,Bauch::N,ಹೊಟ್ಟೆ,қарын
21,Nabel::N,ಹೊಕ್ಕುಳು,кіндік
22,Busen::N,ಸ್ತನ,омырау
23,Brust::N,ಎದೆ,кеуде
24,Schulter::N,ಭುಜ,иық
25,Arm::N,ತೋಳು,қол
26,Ellenbogen::N,ಮೊಣಕೈ,шынтақ
27,Hand::N,ಕೈ,қол
28,Handfläche::N,ಅಂಗೈ,алақан
29,Finger::N,ಕೈಬೆರಳು,саусақ
30,Fingernagel::N,ಉಗುರು,тырнақ
31,Nagel[Anatomie]::N,ಉಗುರು,тырнақ
32,Zeh::N,ಕಾಲ್ಬೆರಳು,тырнақ
33,Zeh::N,ಕಾಲ್ಬೆರಳು,тұяқ
34,Fuß::N,ಪಾದ,аяқ-басы
35,Ferse::N,ಹಿಮ್ಮಡಿ,өкше
36,Ferse::N,ಹಿಮ್ಮಡಿ,өкшелік
37,Knie::N,ಮಂಡಿ,тізе
38,Oberschenkel::N,ತೊಡೆ,жамбас
39,Bein::N,ಕಾಲು,аяқ
40,Körper::N,ದೇಹ,дене
41,Haut::N,ಚರ್ಮ,тері
42,Blut::N,ರಕ್ತ,қан
43,Ader::N,ನರ,көктамыр
44,Ader::N,ನರ,күретамыр
45,Sehne::N,ನರ,сіңір
46,Knochen::N,ಮೂಳೆ,жілік
47,Gehirn::N,ಮಿದುಳು,ми
48,Herz::N,ಹೃದಯ,жүрек
49,Magen::N,ಉದರ,асқазан
50,Leber::N,ಯಕೃತ್ತು,бауыр
51,Atem::N,ಉಸಿರು,леп
52,Hunger::N,ಹಸಿವು,ашаршылық
53,Träne::N,ಕಣ್ಣೀರು,жас
54,Geschmack::N,ರುಚಿ,дәм
55,Geschmack::N,ರುಚಿ,татым
56,Geschmack::N,ರುಚಿ,талғам
57,Geruch::N,ವಾಸನೆ,иіс
58,Schlaf::N,ನಿದ್ರೆ,ұйқы
59,Schlaf::N,ನಿದ್ರೆ,ұйықтау
60,Traum::N,ಕನಸು,түс
61,Himmel::N,ಬಾನು,аспан
62,Himmel::N,ಬಾನು,көқ
63,Himmel::N,ಬಾನು,таңдай
64,Sonne::N,ಸೂರ್ಯ,күн
65,Mond::N,ಚಂದ್ರ,ай
66,Stern::N,ಚುಕ್ಕಿ,жұлдыз
67,Luft::N,ವಾಯು,әуе
68,Wind::N,ಗಾಳಿ,жел
69,Welle::N,ಅಲೆ,толқын
70,Wasser::N,ನೀರು,су
71,Stein::N,ಕಲ್ಲು,тас
72,Boden::N,ನೆಲ,қыртыс
73,Erde::N,ಭೂಮಿ,топырақ
74,Staub::N,ದೂಳು,шаң
75,Rauch::N,ಹೊಗೆ,түтін
76,Funke::N,ಕಿಡಿ,ұшқын
77,Feuer::N,ಬೆಂಕಿ,алау
78,Licht::N,ಬೆಳಕು,шұғыла
79,Schatten::N,ನೆರಳು,көлеңке
80,Wetter::N,ಹವ,ауа райы
81,Nebel::N,ಮಂಜು,тұман
82,Wolke::N,ಮೋಡ,бұлт
83,Regen::N,ಮಳೆ,жаңбыр
