,Concept_ID,ja,de
0,Auge::N,目,Auge
1,Ohr::N,耳,Ohr
2,Nase::N,鼻,Nase
3,Mund::N,口,Mund
4,Zahn::N,歯,Zahn
5,Zunge::N,舌,Zunge
6,Lippe::N,唇,Lippe
7,Wange::N,頬,Wange
8,Gesicht::N,顔,Gesicht
9,Stirn::N,額,Stirn
10,Haar::N,髪,Haar
11,Schnurrbart::N,口髭,Schnurrbart
12,Bart::N,髭,Bart
13,Kinn::N,顎,Kinn
14,Kiefer[Anatomie]::N,顎,Kiefer
15,Kehle::N,喉,Kehle
16,Hals::N,首,Hals
17,Genick::N,首,Genick
18,Kopf::N,頭,Kopf
19,Rücken::N,背中,Rücken
20,Bauch::N,腹,Bauch
21,Bauch::N,お腹,Bauch
22,Nabel::N,へそ,Nabel
23,Busen::N,乳房,Busen
24,Brust::N,胸,Brust
25,Schulter::N,肩,Schulter
26,Arm::N,腕,Arm
27,Ellenbogen::N,肘,Ellenbogen
28,Hand::N,手,Hand
29,Handfläche::N,手のひら,Handfläche
30,Finger::N,指,Finger
31,Fingernagel::N,爪,Fingernagel
32,Nagel[Anatomie]::N,爪,Nagel
33,Zeh::N,足の指,Zeh
34,Fuß::N,足,Fuß
35,Ferse::N,かかと,Ferse
36,Knie::N,膝,Knie
37,Oberschenkel::N,上腿,Oberschenkel
38,Bein::N,足,Bein
39,Körper::N,体,Körper
40,Haut::N,皮膚,Haut
41,Blut::N,血,Blut
42,Ader::N,血管,Ader
43,Sehne::N,腱,Sehne
44,Knochen::N,骨,Knochen
45,Gehirn::N,脳,Gehirn
46,Herz::N,心,Herz
47,Herz::N,心臓,Herz
48,Magen::N,胃,Magen
49,Leber::N,肝臓,Leber
50,Atem::N,息,Atem
51,Atem::N,呼吸,Atem
52,Hunger::N,空腹,Hunger
53,Träne::N,涙,Träne
54,Geschmack::N,味,Geschmack
55,Geruch::N,匂い,Geruch
56,Schlaf::N,睡眠,Schlaf
57,Traum::N,夢,Traum
58,Himmel::N,空,Himmel
59,Sonne::N,太陽,Sonne
60,Mond::N,月,Mond
61,Stern::N,星,Stern
62,Luft::N,空気,Luft
63,Wind::N,風,Wind
64,Welle::N,波,Welle
65,Wasser::N,水,Wasser
66,Stein::N,石,Stein
67,Boden::N,土地,Boden
68,Erde::N,土,Erde
69,Staub::N,埃,Staub
70,Rauch::N,煙,Rauch
71,Funke::N,火花,Funke
72,Feuer::N,火,Feuer
73,Licht::N,光,Licht
74,Schatten::N,陰,Schatten
75,Wetter::N,天気,Wetter
76,Nebel::N,霧,Nebel
77,Wolke::N,雲,Wolke
78,Regen::N,雨,Regen
79,Schnee::N,雪,Schnee
80,Eis::N,氷,Eis
81,Frost::N,霜,Frost
82,Kälte::N,寒さ,Kälte
83,Hitze::N,暑さ,Hitze
84,Raureif::N,霧氷,Raureif
85,Regenbogen::N,虹,Regenbogen
86,Donner::N,雷,Donner
87,Strömung::N,流れ,Strömung
88,Tropfen::N,滴,Tropfen
89,Schaum::N,泡,Schaum
90,Schmutz::N,汚れ,Schmutz
91,See::N,湖,See
92,Sumpf::N,沼,Sumpf
93,Moor::N,湿原,Moor
94,Wiese::N,草原,Wiese
95,Wald::N,森,Wald
96,Hügel::N,丘,Hügel
97,Anhöhe::N,高み,Anhöhe
98,Berg::N,山,Berg
99,Gipfel::N,頂上,Gipfel
100,Höhle::N,洞窟,Höhle
101,Abhang::N,斜面,Abhang
102,Quelle::N,泉,Quelle
103,Bach::N,小川,Bach
104,Fluss::N,川,Fluss
105,Ufer::N,岸,Ufer
106,Küste::N,海岸,Küste
107,Festland::N,陸,Festland
108,Meer::N,海,Meer
109,Bucht::N,湾,Bucht
110,Insel::N,島,Insel
111,Blume::N,花,Blume
112,Gras::N,草,Gras
113,Wurzel::N,根,Wurzel
114,Baum::N,木,Baum
115,Stamm::N,幹,Stamm
116,Rinde::N,皮層,Rinde
117,Ast::N,枝,Ast
118,Zweig::N,小枝,Zweig
119,Blatt::N,葉,Blatt
120,Birke::N,樺,Birke
121,Kiefer[Baum]::N,松,Kiefer
122,Weide[Baum]::N,柳,Weide
123,Tanne::N,樅,Tanne
124,Horn::N,角,Horn
125,Feder::N,羽根,Feder
126,Fell::N,毛皮,Fell
127,Flügel::N,羽,Flügel
128,Klaue::N,鉤爪,Klaue
129,Kralle::N,爪,Kralle
130,Schwanz::N,尻尾,Schwanz
131,Ei::N,卵,Ei
132,Nest::N,巣,Nest
133,Bau::N,穴,Bau
134,Tier::N,動物,Tier
135,Herde::N,群れ,Herde
136,Kuh::N,牛,Kuh
137,Bulle::N,雄牛,Bulle
138,Pferd::N,馬,Pferd
139,Schaf::N,羊,Schaf
140,Schwein::N,豚,Schwein
141,Hund::N,犬,Hund
142,Katze::N,猫,Katze
