,Concept_ID,ml,tr
0,Auge::N,കണ്ണ്,göz
1,Ohr::N,ചെവി,kulak
2,Nase::N,മൂക്ക്,burun
3,Mund::N,വായ,ağız
4,Zahn::N,പല്ല്,diş
5,Zunge::N,നാക്ക്,dil
6,Lippe::N,ചുണ്ട്,dudak
7,Wange::N,കവിൾത്തടം,yanak
8,Gesicht::N,മുഖം,yüz
9,Stirn::N,നെറ്റി,alın
10,Haar::N,തലമുടി,saç
11,Schnurrbart::N,മീശ,bıyık
12,Bart::N,താടിരോമം,sakal
13,Kinn::N,താടി,çene
14,Kiefer[Anatomie]::N,താടിയെല്ല്,çene
15,Kehle::N,കണ്ഠനാളം,boğaz
16,Hals::N,കഴുത്ത്,boyun
17,Hals::N,കഴുത്ത്,gerdan
18,Genick::N,പിടലി,ense
19,Kopf::N,തല,baş
20,Kopf::N,തല,kafa
21,Rücken::N,മുതുക്,arka
22,Bauch::N,നയറ്,karın
23,Nabel::N,നാഭി,göbek
24,Busen::N,സ്തനം,koyun
25,Brust::N,സ്തനം,göğüs
26,Schulter::N,തോൾ,omuz
27,Arm::N,കൈ,kol
28,Ellenbogen::N,കൈമുട്ട്,dirsek
29,Hand::N,കൈ,el
30,Handfläche::N,ഉള്ളം കൈ,avuç
31,Handfläche::N,ഉള്ളം കൈ,el ayası
32,Finger::N,വിരൽ,parmak
33,Fingernagel::N,നഖം,el tırnağı
34,Nagel[Anatomie]::N,നഖം,tırnak
35,Zeh::N,കാൽവിരൽ,ayak parmağı
36,Fuß::N,കാൽപ്പാദം,ayak
37,Ferse::N,ഉപ്പൂറ്റി,topuk
38,Knie::N,കാൽമുട്ട്,diz
39,Oberschenkel::N,തുട,uyluk
40,Bein::N,കാൽ,bacak
41,Körper::N,ശരീരം,vücut
42,Haut::N,ചർമ്മം,cilt
43,Blut::N,രക്തം,kan
44,Ader::N,ഞരമ്പ്,damar
45,Sehne::N,സ്നായു,kiriş
46,Knochen::N,അസ്ഥി,kemik
47,Gehirn::N,തലച്ചോറ്,beyin
