,Concept_ID,nl,lt
0,Auge::N,oog,akis
1,Ohr::N,oor,ausis
2,Nase::N,neus,nosis
3,Mund::N,mond,burna
4,Zahn::N,tand,dantis
5,Zunge::N,tong,liežuvis
6,Lippe::N,lip,lūpa
7,Wange::N,wang,žandas
8,Wange::N,wang,skruostas
9,Gesicht::N,gelaat,veidas
10,Gesicht::N,gezicht,veidas
11,Stirn::N,voorhoofd,kakta
12,Haar::N,haar,plaukai
13,Schnurrbart::N,snor,ūsai
14,Bart::N,baard,barzda
15,Kinn::N,kin,smakras
16,Kiefer[Anatomie]::N,kaak,žandikaulis
17,Kehle::N,keel,gerklė
18,Kehle::N,strot,gerklė
19,Hals::N,hals,kaklas
20,Genick::N,nek,sprandas
21,Kopf::N,hoofd,galva
22,Rücken::N,rug,nugara
23,Bauch::N,buik,pilvas
24,Nabel::N,navel,bamba
25,Busen::N,boezem,krūtinė
26,Brust::N,borst,krūtis
27,Schulter::N,schouder,petys
28,Arm::N,arm,ranka
29,Ellenbogen::N,elleboog,alkūnė
30,Hand::N,hand,ranka
31,Hand::N,hand,plaštaka
32,Handfläche::N,handpalm,delnas
33,Handfläche::N,handpalm,plaštaka
34,Finger::N,vinger,pirštas
35,Fingernagel::N,nagel,nagas
36,Nagel[Anatomie]::N,nagel,nagas
37,Zeh::N,teen,pirštas
38,Fuß::N,voet,pėda
39,Ferse::N,hak,kulnas
40,Ferse::N,hiel,kulnas
41,Knie::N,knie,kelis
42,Oberschenkel::N,dij,kulšis
43,Oberschenkel::N,dij,šlaunis
44,Bein::N,been,koja
45,Körper::N,lichaam,kūnas
46,Haut::N,huid,oda
47,Blut::N,bloed,kraujas
48,Ader::N,ader,kraujagyslė
49,Sehne::N,pees,sausgyslė
50,Knochen::N,bot,kaulas
51,Knochen::N,been,kaulas
52,Knochen::N,knook,kaulas
53,Gehirn::N,hersenen,smegenys
54,Herz::N,hart,širdis
55,Magen::N,maag,skrandis
56,Leber::N,lever,kepenys
57,Atem::N,adem,kvapas
58,Hunger::N,honger,badas
59,Hunger::N,honger,alkis
60,Träne::N,traan,ašara
61,Geschmack::N,smaak,skonis
62,Geruch::N,geur,kvapas
63,Schlaf::N,slaap,miegas
64,Traum::N,droom,sapnas
65,Himmel::N,hemel,dangus
66,Sonne::N,zon,saulė
67,Mond::N,maan,mėnulis
68,Stern::N,ster,žvaigždė
69,Luft::N,lucht,oras
70,Wind::N,wind,vėjas
71,Welle::N,golf,banga
72,Welle::N,golf,vilnis
73,Wasser::N,water,vanduo
74,Stein::N,steen,akmuo
75,Boden::N,grond,žemė
76,Boden::N,grond,dugnas
77,Erde::N,aarde,žemė
78,Staub::N,stof,dulkės
79,Rauch::N,rook,dūmai
80,Funke::N,vonk,kibirkštis
81,Feuer::N,vuur,ugnis
82,Licht::N,licht,šviesa
83,Schatten::N,schaduw,paūksmė
84,Wetter::N,weer,oras
85,Nebel::N,mist,migla
86,Nebel::N,mist,rūkas
87,Nebel::N,nevel,migla
88,Nebel::N,nevel,rūkas
89,Wolke::N,wolk,debesis
90,Regen::N,regen,lietus
91,Schnee::N,sneeuw,sniegas
92,Eis::N,ijs,ledas
93,Frost::N,vorst,šalna
94,Kälte::N,kou,šaltis
95,Kälte::N,koude,šaltis
96,Hitze::N,hitte,karštis
97,Raureif::N,rijp,šerkšnas
98,Regenbogen::N,regenboog,vaivorykštė
99,Donner::N,donder,perkūnas
100,Donner::N,donder,griaustinis
101,Strömung::N,stroming,tėkmė
102,Tropfen::N,druppel,lašas
103,Schaum::N,schuim,putos
104,Schmutz::N,vuil,purvas
105,See::N,meer,ežeras
106,Sumpf::N,moeras,klampynė
107,Sumpf::N,moeras,liūnas
108,Moor::N,veen,pelkė
109,Wiese::N,wei,pieva
110,Wiese::N,weide,pieva
111,Wald::N,bos,miškas
112,Hügel::N,heuvel,kalva
113,Anhöhe::N,hoogte,kauburys
114,Berg::N,berg,kalnas
115,Gipfel::N,top,viršūnė
116,Höhle::N,hol,ola
117,Abhang::N,helling,šlaitas
118,Abhang::N,helling,nuokalnė
119,Quelle::N,bron,versmė
120,Quelle::N,bron,šaltinis
121,Bach::N,beek,upelis
122,Fluss::N,stroom,upė
123,Ufer::N,wal,krantas
124,Ufer::N,oever,krantas
125,Küste::N,kust,pajūris
126,Festland::N,vasteland,sausuma
127,Meer::N,zee,jūra
128,Bucht::N,baai,įlanka
129,Bucht::N,baai,užutekis
130,Bucht::N,inham,įlanka
131,Bucht::N,inham,užutekis
132,Insel::N,eiland,sala
133,Blume::N,bloem,gėlė
134,Gras::N,gras,žolė
135,Wurzel::N,wortel,šaknis
136,Baum::N,boom,medis
137,Stamm::N,stam,kamienas
138,Rinde::N,schors,žievė
139,Ast::N,tak,šaka
140,Zweig::N,twijg,šakelė
141,Blatt::N,blad,lapas
142,Birke::N,berk,beržas
143,Kiefer[Baum]::N,den,pušis
144,Weide[Baum]::N,wilg,karklas
145,Tanne::N,spar,eglė
146,Tanne::N,spar,kėnis
147,Horn::N,hoorn,ragas
148,Feder::N,veer,plunksna
149,Feder::N,pluim,plunksna
150,Fell::N,vel,kailis
151,Flügel::N,vleugel,sparnas
152,Klaue::N,klauw,kanopa
153,Kralle::N,klauw,nagas
154,Schwanz::N,staart,uodega
155,Ei::N,ei,kiaušinis
156,Nest::N,nest,gūžta
157,Nest::N,nest,lizdas
158,Bau::N,hol,ola
159,Tier::N,dier,gyvūnas
160,Herde::N,kudde,banda
161,Herde::N,kudde,kaimenė
162,Kuh::N,koe,karvė
163,Bulle::N,stier,bulius
164,Pferd::N,paard,arklys
165,Schaf::N,schaap,avis
166,Schwein::N,varken,kiaulė
167,Hund::N,hond,šuo
168,Katze::N,kat,katė
169,Bär::N,beer,lokys
170,Eichhörnchen::N,eekhoorntje,voveraitė
171,Elch::N,eland,briedis
172,Fuchs::N,vos,lapė
173,Hase::N,haas,kiškas
174,Maus::N,muis,pelė
175,Wolf::N,wolf,vilkas
176,Vogel::N,vogel,paukštis
177,Schwarm::N,zwerm,spiečius
178,Huhn::N,kip,višta
179,Huhn::N,hoen,višta
180,Hahn::N,haan,gaidys
181,Gans::N,gans,žąsis
182,Adler::N,arend,erelis
183,Ente::N,eend,antis
184,Eule::N,uil,pelėda
185,Kranich::N,kraanvogel,gervė
186,Krähe::N,kraai,varna
187,Kuckuck::N,koekoek,gegužė
188,Schwan::N,zwaan,gulbė
189,Fisch::N,vis,žuvis
190,Barsch::N,baars,ešerys
191,Hecht::N,snoek,lydeka
192,Schlange[Tier]::N,slang,gyvatė
193,Wurm::N,worm,kirmėlė
194,Spinne::N,spin,voras
195,Ameise::N,mier,skruzdė
196,Laus::N,luis,utėlė
197,Mücke::N,mug,uodas
198,Fliege::N,vlieg,musė
199,Schmetterling::N,vlinder,drugys
200,Schmetterling::N,vlinder,peteliškė
201,Beere::N,bes,uoga
202,Apfel::N,appel,obuolys
203,Pilz::N,paddestoel,grybas
204,Zwiebel::N,ui,svogūnas
205,Saat::N,zaad,sėkla
206,Korn::N,graan,grūdai
207,Korn::N,korrel,grūdai
208,Heu::N,hooi,šienas
209,Schale::N,schil,žievelė
210,Grube::N,kuil,duobė
211,Falle::N,val,pinklės
212,Falle::N,val,žabangai
213,Schlinge::N,strop,kilpa
214,Spur::N,spoor,vėžė
215,Spur::N,spoor,pėdos
216,Spur::N,spoor,pėdsakas
217,Asche::N,as,pelenai
218,Dreck::N,drek,purvas
219,Eisen::N,ijzer,geležis
220,Gold::N,goud,auksas
221,Silber::N,zilver,sidabras
222,Kohle::N,kool,anglis
223,Glas::N,glas,stiklas
224,Lehm::N,klei,molis
225,Sand::N,zand,smėlis
226,Mensch::N,mens,žmogus
227,Mann::N,man,vyras
228,Mann::N,man,vyriškis
229,Frau::N,vrouw,moteris
230,Kind::N,kind,vaikas
231,Junge::N,jongen,vaikinas
232,Junge::N,jongen,berniukas
233,Mädchen::N,meisje,mergytė
234,Mädchen::N,meisje,mergaitė
235,Familie::N,gezin,šeima
236,Familie::N,familie,šeima
237,Großvater::N,grootvader,senelis
238,Großmutter::N,grootmoeder,senelė
239,Eltern::N,ouders,tėvai
240,Vater::N,vader,tėvas
241,Mutter::N,moeder,motina
242,Sohn::N,zoon,sūnus
243,Tochter::N,dochter,duktė
244,Bruder::N,broer,brolis
245,Bruder::N,broeder,brolis
246,Schwester::N,zus,sesuo
247,Schwester::N,zuster,sesuo
248,Onkel::N,oom,dėdė
249,Tante::N,tante,teta
250,Ehemann::N,echtgenoot,vyras
251,Ehefrau::N,echtgenote,žmona
252,Freude::N,vreugde,džiaugsmas
253,Gelächter::N,gelach,juokas
254,Glück::N,geluk,laimė
255,Kummer::N,verdriet,vargas
256,Kummer::N,verdriet,rūpestis
257,Wunsch::N,wens,troškimas
258,Wunsch::N,wens,pageidavimas
259,Wunsch::N,verlangen,troškimas
260,Wunsch::N,verlangen,pageidavimas
261,Lust::N,zin,noras
262,Lust::N,zin,geidulys
263,Lust::N,lust,noras
264,Lust::N,lust,geidulys
265,Geist::N,geest,dvasia
266,Gedanke::N,gedachte,mintis
267,Gedächtnis::N,geheugen,atmintis
268,Verstand::N,verstand,protas
269,Sinn::N,betekenis,prasmė
270,Grund::N,reden,priežastis
271,Wahrheit::N,waarheid,tiesa
272,Wahrheit::N,waarheid,teisybė
273,Gespräch::N,gesprek,pokalbis
274,Märchen::N,sprookje,pasaka
275,Erzählung::N,verhaal,apsakymas
276,Erzählung::N,verhaal,pasakojimas
277,Nachricht::N,tijding,žinia
278,Neuigkeit::N,nieuws,naujiena
279,Neuigkeit::N,nieuwtje,naujiena
280,Name::N,naam,vardas
281,Rätsel::N,raadsel,mįslė
282,Rede::N,rede,kalba
283,Sprache::N,taal,kalba
284,Stimme::N,stem,balsas
285,Wort::N,woord,žodis
286,Zeichen::N,teken,žymė
287,Zeichen::N,teken,ženklas
288,Ruf::N,roep,šauksmas
289,Lärm::N,lawaai,triukšmas
290,Laut::N,klank,garsas
291,Laut::N,geluid,garsas
292,Ton::N,toon,tonas
293,Ton::N,toon,garsas
294,Ton::N,klank,tonas
295,Ton::N,klank,garsas
296,Lied::N,lied,daina
297,Lied::N,lied,giesmė
298,Ruhe::N,rust,ramybė
299,Ruhe::N,rust,ramumas
300,Ruhe::N,stilte,ramybė
301,Ruhe::N,stilte,ramumas
302,Leute::N,lui,žmonės
303,Leute::N,mensen,žmonės
304,Volk::N,volk,tauta
305,Arbeit::N,werk,darbas
306,Arbeit::N,werk,triūsas
307,Arbeit::N,arbeid,darbas
308,Arbeit::N,arbeid,triūsas
309,Gast::N,gast,svečias
310,Geschenk::N,cadeau,dovana
311,Geschenk::N,geschenk,dovana
312,Spiel::N,spel,žaismas
313,Spiel::N,spel,žaidimas
314,Gesellschaft::N,gezelschap,draugija
315,Gesellschaft::N,gezelschap,kompanija
316,Hilfe::N,hulp,pagalba
317,Freund::N,vriend,draugas
318,Freund::N,vriend,bičiulis
319,Kamerad::N,maat,draugas
320,Kamerad::N,metgezel,draugas
321,Angelegenheit::N,zaak,dalykas
322,Angelegenheit::N,zaak,reikalas
323,Angelegenheit::N,aangelegenheid,dalykas
324,Angelegenheit::N,aangelegenheid,reikalas
325,Anzahl::N,tal,kiekis
326,Anzahl::N,tal,skaičius
327,Anzahl::N,aantal,kiekis
328,Anzahl::N,aantal,skaičius
329,Art::N,slag,rūšis
330,Art::N,soort,rūšis
331,Stück::N,stuk,gabalas
332,Teil::N,deel,dalis
333,Hälfte::N,helft,pusė
334,Kreis::N,kring,ratas
335,Kreis::N,kring,apskritis
336,Kreis::N,kring,apskritimas
337,Kreis::N,cirkel,ratas
338,Kreis::N,cirkel,apskritis
339,Kreis::N,cirkel,apskritimas
340,Kreuz::N,kruis,kryžius
341,Linie::N,lijn,linija
342,Strich::N,haal,brėžis
343,Strich::N,haal,brūkšnys
344,Strich::N,streep,brėžis
345,Strich::N,streep,brūkšnys
346,Abstand::N,afstand,atstumas
347,Entfernung::N,afstand,atstumas
348,Gegend::N,streek,vietovė
349,Platz::N,ruimte,vieta
350,Ort::N,oord,vieta
351,Ort::N,oord,vietovė
352,Ort::N,plaats,vieta
353,Ort::N,plaats,vietovė
354,Seite::N,zij,pusė
355,Seite::N,zij,šonas
356,Seite::N,kant,pusė
357,Seite::N,kant,šonas
358,Seite::N,zijde,pusė
359,Seite::N,zijde,šonas
360,Mitte::N,midden,vidurys
361,Gegenstand::N,voorwerp,dalykas
362,Sache::N,zaak,daiktas
363,Rand::N,rand,kraštas
364,Rand::N,rand,pakraštys
365,Rand::N,boord,kraštas
366,Rand::N,boord,pakraštys
367,Kante::N,kant,kraštas
368,Ecke::N,hoek,kertė
369,Ecke::N,hoek,kampas
370,Spitze::N,punt,priekis
371,Spitze::N,punt,priešakys
372,Spitze::N,spits,priekis
373,Spitze::N,spits,priešakys
374,Ende::N,einde,galas
375,Ende::N,uiteinde,galas
376,Loch::N,gat,skylė
377,Winkel::N,hoek,kampas
378,Winkel::N,hoek,kampelis
379,Muster::N,dessin,raštas
380,Muster::N,patroon,raštas
381,Größe::N,grootte,dydis
382,Größe::N,grootte,didumas
383,Länge::N,lengte,ilgis
384,Länge::N,lengte,ilgumas
385,Höhe::N,hoogte,aukštis
386,Höhe::N,hoogte,aukštuma
387,Gewicht::N,gewicht,svoris
388,Gewicht::N,gewicht,svarstis
389,Menge::N,hoeveelheid,kiekis
390,Menge::N,hoeveelheid,daugybė
391,Haufen::N,hoop,krūva
392,Haufen::N,hoop,šūsnis
393,Reihe::N,rij,greta
394,Reihe::N,reeks,greta
395,Boot::N,boot,valtis
396,Boot::N,boot,laivelis
397,Ruder::N,roeiriem,irklas
398,Schlitten::N,slee,rogės
399,Schlitten::N,slee,rogutės
400,Schlitten::N,slede,rogės
401,Schlitten::N,slede,rogutės
402,Ski::N,ski,slidė
403,Lagerfeuer::N,kampvuur,laužas
404,Last::N,last,našta
405,Last::N,last,nešulys
406,Last::N,vracht,našta
407,Last::N,vracht,nešulys
408,Gang::N,wandeling,eisena
409,Schritt::N,stap,žingsnis
410,Schritt::N,schrede,žingsnis
411,Norden::N,noorden,šiaurė
412,Norden::N,noorden,žiemiai
413,Süden::N,zuiden,pietūs
414,Westen::N,westen,vakarai
415,Osten::N,oosten,rytai
416,Holz::N,hout,mediena
417,Brett::N,plank,lenta
418,Platte::N,plaat,plokštė
419,Stütze::N,stut,atrama
420,Stütze::N,stut,atspara
421,Stütze::N,steun,atrama
422,Stütze::N,steun,atspara
423,Stange::N,stang,lazda
424,Stange::N,stang,kartis
425,Stock::N,stok,lazda
426,Stab::N,staf,kartis
