,Concept_ID,lt,myv
0,Auge::N,akis,сельме
1,Ohr::N,ausis,пиле
2,Nase::N,nosis,судо
3,Mund::N,burna,курго
4,Zahn::N,dantis,пей
5,Zunge::N,liežuvis,кель
6,Lippe::N,lūpa,турва
7,Wange::N,žandas,чамабока
8,Wange::N,žandas,чамаумарь
9,Wange::N,skruostas,чамабока
10,Wange::N,skruostas,чамаумарь
11,Gesicht::N,veidas,чама
12,Stirn::N,kakta,коня
13,Haar::N,plaukai,черь
14,Schnurrbart::N,ūsai,ус
15,Schnurrbart::N,ūsai,муюк
16,Bart::N,barzda,сакал
17,Kinn::N,smakras,уло
18,Kiefer[Anatomie]::N,žandikaulis,пейпакар
19,Kiefer[Anatomie]::N,žandikaulis,пейловажа
20,Kehle::N,gerklė,кирьгапарь
21,Hals::N,kaklas,кирьга
22,Genick::N,sprandas,човонь
23,Kopf::N,galva,пря
24,Rücken::N,nugara,копорь
25,Bauch::N,pilvas,пеке
26,Nabel::N,bamba,почо
27,Busen::N,krūtinė,поте
28,Brust::N,krūtis,меште
29,Schulter::N,petys,лавтов
30,Arm::N,ranka,кедь
31,Ellenbogen::N,alkūnė,кенерепакарь
32,Hand::N,ranka,кедь
33,Hand::N,plaštaka,кедь
34,Handfläche::N,delnas,кедькуншка
35,Handfläche::N,delnas,кедьлапушка
36,Handfläche::N,plaštaka,кедькуншка
37,Handfläche::N,plaštaka,кедьлапушка
38,Finger::N,pirštas,сур
39,Fingernagel::N,nagas,кенже
40,Nagel[Anatomie]::N,nagas,кенже
41,Zeh::N,pirštas,пильге сур
42,Fuß::N,pėda,пильге
43,Ferse::N,kulnas,кочкаря
44,Knie::N,kelis,эле
45,Knie::N,kelis,эзне
46,Knie::N,kelis,кумажа
47,Oberschenkel::N,kulšis,качо
48,Oberschenkel::N,šlaunis,качо
49,Bein::N,koja,пильге
50,Körper::N,kūnas,рунго
51,Haut::N,oda,киське
52,Blut::N,kraujas,верь
53,Ader::N,kraujagyslė,сан
54,Sehne::N,sausgyslė,коське сан
55,Knochen::N,kaulas,пакарь
56,Gehirn::N,smegenys,удем
57,Herz::N,širdis,седей
58,Magen::N,skrandis,пеке
59,Leber::N,kepenys,максо
60,Atem::N,kvapas,лексема
61,Atem::N,kvapas,оймень таргсема
62,Hunger::N,badas,вачочи
63,Hunger::N,alkis,вачочи
64,Träne::N,ašara,селведь
65,Geschmack::N,skonis,тансть
66,Geruch::N,kvapas,чине
67,Schlaf::N,miegas,удома
68,Traum::N,sapnas,он
69,Himmel::N,dangus,менель
70,Sonne::N,saulė,чи
71,Mond::N,mėnulis,ков
72,Stern::N,žvaigždė,теште
73,Luft::N,oras,кошт
74,Wind::N,vėjas,варма
75,Welle::N,banga,толкун
76,Welle::N,vilnis,толкун
77,Wasser::N,vanduo,ведь
78,Stein::N,akmuo,кев
79,Boden::N,žemė,мода
80,Boden::N,dugnas,мода
81,Erde::N,žemė,мастор
82,Staub::N,dulkės,пуль
83,Rauch::N,dūmai,качамо
84,Funke::N,kibirkštis,сятко
85,Feuer::N,ugnis,тол
