,Concept_ID,ja,ta
0,Auge::N,目,கண்
1,Ohr::N,耳,காது
2,Nase::N,鼻,மூக்கு
3,Mund::N,口,வாய்
4,Zahn::N,歯,பல்
5,Zunge::N,舌,நாக்கு
6,Lippe::N,唇,உதடு
7,Wange::N,頬,கன்னம்
8,Gesicht::N,顔,முகம்
9,Stirn::N,額,முன்னெற்றி
10,Haar::N,髪,முடி
11,Schnurrbart::N,口髭,மீசை
12,Bart::N,髭,தாடி
13,Kinn::N,顎,கீழதாடை
14,Kiefer[Anatomie]::N,顎,தாடை
15,Kehle::N,喉,தொண்டை
16,Hals::N,首,கழுத்து
17,Genick::N,首,கழுத்து
18,Kopf::N,頭,தலை
19,Rücken::N,背中,முதுகு
20,Bauch::N,腹,வயிறு
21,Bauch::N,お腹,வயிறு
22,Nabel::N,へそ,தொப்புள்
23,Busen::N,乳房,மார்பகம்
24,Brust::N,胸, மார்பு
25,Schulter::N,肩,தோள்பட்டை
26,Arm::N,腕,கரம்
27,Ellenbogen::N,肘,முழங்கை
28,Hand::N,手,கை
29,Handfläche::N,手のひら,உள்ளங்கை
30,Finger::N,指,விரல்
31,Fingernagel::N,爪,விரல் நகம்
32,Nagel[Anatomie]::N,爪,நகம்
33,Zeh::N,足の指,கால்விரல்
34,Fuß::N,足,கால்
35,Ferse::N,かかと,குதிகால்
36,Knie::N,膝,முழங்கால்
37,Oberschenkel::N,上腿,தொடை
38,Bein::N,足,கால்
39,Körper::N,体,உடல்
40,Haut::N,皮膚,சருமம்
41,Blut::N,血,இரத்தம்
42,Ader::N,血管,நாளம்
43,Sehne::N,腱,தசைநார்
44,Knochen::N,骨,எலுமபு
45,Gehirn::N,脳,மூனை
46,Herz::N,心,இதயம
47,Herz::N,心臓,இதயம
48,Magen::N,胃,வயிறு
49,Leber::N,肝臓,கல்லீரல்
50,Atem::N,息,மூச்சு
51,Atem::N,呼吸,மூச்சு
52,Hunger::N,空腹,பசி
53,Träne::N,涙,கண்ணீர்
54,Geschmack::N,味,நறுமணம்
55,Geruch::N,匂い,துர்நாற்றம்
56,Schlaf::N,睡眠,தூக்கம்
57,Traum::N,夢,கனவு
58,Himmel::N,空,வானம்
59,Sonne::N,太陽,சூரியன்
60,Mond::N,月,சந்திரன்
61,Stern::N,星,நட்சத்திரம்
62,Luft::N,空気,காறறு
63,Wind::N,風,காற்று
64,Welle::N,波,அலை
65,Wasser::N,水,நீர்
66,Stein::N,石,கல்
67,Boden::N,土地,தரை
68,Erde::N,土,மண்
69,Staub::N,埃,தூசி
70,Rauch::N,煙,புகை
71,Funke::N,火花,தீப்பொறி
72,Feuer::N,火,தீ
73,Licht::N,光,வெளிச்சம்
74,Schatten::N,陰,நிழல்
75,Wetter::N,天気,வானிலை
76,Nebel::N,霧,பனிமூட்டம்
77,Wolke::N,雲,மேகம்
78,Regen::N,雨,மழை
79,Schnee::N,雪,உறைபனி
80,Eis::N,氷,பனிக்கட்டி
81,Frost::N,霜,உறைபனி
82,Kälte::N,寒さ,குளிர்ந்த
83,Hitze::N,暑さ,சூடு
84,Raureif::N,霧氷,உறைபனி வெண்திரை
