,Concept_ID,hr,tt
0,Auge::N,oko,күз
1,Ohr::N,uho,колак
2,Nase::N,nos,борын
3,Mund::N,usta,авыз
4,Mund::N,usta,тамак
5,Zahn::N,zub,теш
6,Zunge::N,jezik,тел
7,Lippe::N,usna,ирен
8,Wange::N,obraz,яңак
9,Gesicht::N,lice,йөз
10,Stirn::N,čelo,маңгай
11,Haar::N,kosa,чәч
12,Schnurrbart::N,brkovi,мыек
13,Bart::N,brada,сакал
14,Kinn::N,brada,ияк
15,Kinn::N,podbradak,ияк
16,Kiefer[Anatomie]::N,čeljust,казналык
17,Kehle::N,grlo,тамак
18,Hals::N,vrat,бугаз
19,Genick::N,zatiljak,җилкә
20,Kopf::N,glava,баш
21,Rücken::N,leđa,сырт
22,Rücken::N,hrbat,сырт
23,Bauch::N,trbuh,корсак
24,Nabel::N,pupak,кендек
25,Busen::N,sisa,түш
26,Busen::N,njedra,түш
27,Brust::N,prsa,имчәк
28,Brust::N,prsa,күкрәк
29,Schulter::N,rame,иңбаш
30,Schulter::N,rame,кулбаш
31,Schulter::N,pleći,иңбаш
32,Schulter::N,pleći,кулбаш
33,Arm::N,ruka,кул
34,Ellenbogen::N,lakat,терсәк
35,Hand::N,ruka,кул
36,Handfläche::N,dlan,уч
37,Finger::N,prst,бармак
38,Fingernagel::N,nokat,тырнак
39,Nagel[Anatomie]::N,nokat,тырнак
40,Zeh::N,nozni prst,бармак
41,Fuß::N,noga,табан
42,Fuß::N,stopalo,табан
43,Ferse::N,peta,үкчә
44,Knie::N,koljeno,тез
45,Oberschenkel::N,bedro,бот
46,Bein::N,noga,аяк
47,Körper::N,tijelo,тән
48,Körper::N,tijelo,җисем
49,Haut::N,put,тире
50,Haut::N,koža,тире
51,Blut::N,krv,кан
52,Ader::N,žila,тамыр
53,Sehne::N,tetiva,сеңер
54,Knochen::N,kost,сөяк
55,Herz::N,srce,йөрәк
56,Magen::N,stomak,ашказаны
57,Magen::N,želudac,ашказаны
58,Leber::N,jetra,бавыр
59,Atem::N,dah,сулыш
60,Hunger::N,glad,ачлык
61,Träne::N,suza,яшь
62,Geschmack::N,ukus,тәм
63,Geschmack::N,ukus,зәвык
64,Geruch::N,njuh,ис
65,Geruch::N,miris,ис
66,Schlaf::N,san,йокы
67,Traum::N,san,төш
68,Himmel::N,nebo,күк
69,Sonne::N,sunce,кояш
70,Mond::N,mjesec,ай
71,Stern::N,zvijezda,йолдыз
72,Luft::N,zrak,һава
73,Wind::N,vjetar,җил
74,Welle::N,val,дулкын
75,Welle::N,talas,дулкын
76,Wasser::N,voda,су
77,Stein::N,kamen,таш
78,Boden::N,tlo,туфрак
79,Boden::N,zemlja,туфрак
80,Erde::N,zemlja,җир
81,Staub::N,prah,тузан
82,Staub::N,prašina,тузан
83,Rauch::N,dim,төтен
84,Funke::N,iskra,очкын
85,Funke::N,varnica,очкын
86,Feuer::N,vatra,ут
87,Licht::N,svjetlo,якты
88,Schatten::N,hlad,күләгә
89,Schatten::N,sjena,күләгә
90,Wetter::N,vrijeme,һава
91,Nebel::N,magla,томан
92,Wolke::N,oblak,болыт
93,Regen::N,kiša,яңгыр
94,Schnee::N,snijeg,кар
95,Eis::N,led,боз
96,Frost::N,mraz,суык
97,Frost::N,mraz,салкын
98,Kälte::N,studen,суык
99,Kälte::N,studen,салкын
100,Kälte::N,hladnoća,суык
101,Kälte::N,hladnoća,салкын
102,Hitze::N,vrućina,эсселек
103,Raureif::N,inje,бәс
104,Raureif::N,inje,сыкы
105,Regenbogen::N,duga,салават күпере
106,Donner::N,grom,күкрәү
107,Donner::N,grmljavina,күкрәү
108,Strömung::N,struja,агыш'агым
109,Strömung::N,strujanje,агыш'агым
110,Tropfen::N,kap,тамчы
111,Tropfen::N,kaplja,тамчы
112,Schaum::N,pjena,күбек
113,Schmutz::N,nečistoća,пычрак
114,Schmutz::N,prljavština,пычрак
115,See::N,jezero,күл
116,Sumpf::N,bara,саз
117,Moor::N,močvara,торфлык
118,Wiese::N,livada,болын
119,Wald::N,šuma,урман
120,Hügel::N,brijeg,калку
121,Hügel::N,brežuljak,калку
122,Anhöhe::N,uzvišica,үр
123,Berg::N,brdo,тау
124,Gipfel::N,vrh,оч
125,Höhle::N,pećina,мәгарә
126,Höhle::N,spilja,мәгарә
127,Abhang::N,obronak,кабырга
128,Abhang::N,nizbrdica,кабырга
129,Quelle::N,izvor,чишмә
130,Quelle::N,vrelo,чишмә
131,Bach::N,potok,елга
132,Fluss::N,rijeka,дәрья
133,Ufer::N,obala,су кырые
134,Küste::N,obala,яр буе
135,Küste::N,morska obala,яр буе
136,Festland::N,kopno,коры җир
137,Meer::N,more,диңгез
138,Bucht::N,zaliv,бухта
139,Bucht::N,zaliv,култык
140,Insel::N,ada,атау
141,Insel::N,ada,утрау
142,Insel::N,otok,атау
143,Insel::N,otok,утрау
144,Blume::N,cvijet,чәчкә
145,Gras::N,trava,үлән
146,Wurzel::N,korijen,тамыр
147,Baum::N,drvo,агач
148,Baum::N,stablo,агач
149,Stamm::N,deblo,кәүсә
150,Stamm::N,stablo,кәүсә
151,Rinde::N,kora,кабык
152,Ast::N,grana,ботак
153,Zweig::N,grana,ботак
154,Zweig::N,grana,тармак
155,Blatt::N,list,яфрак
156,Birke::N,breza,каен
157,Kiefer[Baum]::N,bor,нарат
158,Weide[Baum]::N,iva,тал
159,Weide[Baum]::N,vŕba,тал
160,Tanne::N,jela,чыршы
161,Horn::N,rog,мөгез
162,Feder::N,pero,йон
163,Fell::N,koža,тире
164,Flügel::N,krilo,канат
165,Klaue::N,papak,тырнак
166,Kralle::N,pandža,тырнак
167,Schwanz::N,rep,койрык
168,Ei::N,jaje,күкәй
169,Ei::N,jaje,йомырка
170,Nest::N,gnijezdo,оя
171,Bau::N,jazbina,өн
172,Tier::N,životinja,хайван
173,Herde::N,krdo,көтү
174,Herde::N,stado,көтү
175,Kuh::N,krava,сыер
176,Bulle::N,bik,үгез
177,Pferd::N,konj,ат
178,Schaf::N,ovca,сарык
179,Schwein::N,svinja,дуңгыз
180,Hund::N,pas,эт
181,Hund::N,pseto,эт
182,Katze::N,mačka,песи
183,Bär::N,medvjed,аю
184,Eichhörnchen::N,vjeverica,тиен
185,Elch::N,los,поши
186,Fuchs::N,lisica,төлке
187,Hase::N,zec,куян
188,Maus::N,miš,тычкан
189,Wolf::N,vuk,бүре
190,Wolf::N,kurjak,бүре
191,Vogel::N,ptica,кош
192,Schwarm::N,roj,көтү
193,Schwarm::N,jato,көтү
194,Huhn::N,kokoš,тавык
195,Hahn::N,kokot,әтәч
196,Hahn::N,pijevac,әтәч
197,Gans::N,guska,каз
198,Adler::N,orao,каракош
199,Ente::N,patka,үрдәк
200,Eule::N,sova,ябалак
201,Kranich::N,ždral,торна
202,Krähe::N,vrana,карга
203,Kuckuck::N,kukavica,күке
204,Kuckuck::N,kukavica,кәккүк
205,Schwan::N,labud,аккош
206,Fisch::N,riba,балык
207,Barsch::N,grgeč,алабуга
208,Hecht::N,štuka,чуртан
209,Schlange[Tier]::N,guja,елан
210,Schlange[Tier]::N,zmija,елан
211,Wurm::N,crv,корт
212,Spinne::N,pauk,үрмәкүч
213,Ameise::N,mrav,кырмыска
214,Laus::N,uš,бет
215,Mücke::N,komarac,черки
216,Mücke::N,komarac,озынборын
217,Fliege::N,muha,чебен
218,Schmetterling::N,leptir,күбәләк
219,Beere::N,boba,җиләк
220,Beere::N,bobica,җиләк
221,Apfel::N,jabuka,алма
222,Pilz::N,pečurka,гөмбә
223,Zwiebel::N,luk,суган
224,Zwiebel::N,luk,суганбаш
225,Zwiebel::N,kapula,суган
226,Zwiebel::N,kapula,суганбаш
227,Saat::N,sjemenje,орлык
228,Korn::N,zrno,иген
229,Korn::N,zrno,орлык
230,Heu::N,sijeno,печән
231,Schale::N,kora,кабык
232,Schale::N,ljuska,кабык
233,Grube::N,jama,баз
234,Grube::N,jama,чокыр
235,Falle::N,zamka,тозак
236,Falle::N,zamka,капкын
237,Falle::N,klopka,тозак
238,Falle::N,klopka,капкын
239,Schlinge::N,uzao,элмәк
240,Schlinge::N,petlja,элмәк
241,Spur::N,trag,эз
242,Spur::N,slijed,эз
243,Asche::N,pepeo,көл
244,Dreck::N,blato,пычрак
245,Eisen::N,željezo,тимер
246,Gold::N,zlato,алтын
247,Silber::N,srebro,көмеш
248,Kohle::N,ugalj,күмер
249,Kohle::N,ugljen,күмер
250,Glas::N,staklo,пыяла
251,Lehm::N,glina,балчык
252,Lehm::N,ilovača,балчык
253,Sand::N,pijesak,ком
254,Mensch::N,čovjek,адәм
255,Mensch::N,čovjek,инсан
256,Mann::N,muškarac,ир
257,Frau::N,žena,хатын
258,Kind::N,čedo,бала
259,Kind::N,dijete,бала
260,Junge::N,momče,малай
261,Junge::N,dječak,малай
262,Mädchen::N,djevojka,кыз
263,Mädchen::N,djevojčica,кыз
264,Familie::N,obitelj,гаилә
265,Familie::N,porodica,гаилә
266,Großvater::N,djed,бабай
267,Großmutter::N,baka,әби
268,Eltern::N,roditelji,ата-ана
269,Vater::N,otac,ата
270,Mutter::N,majka,ана
271,Sohn::N,sin,ул
272,Tochter::N,kći,кыз
273,Tochter::N,kćerka,кыз
274,Bruder::N,brat,кардәш
275,Schwester::N,sestra,апа
276,Schwester::N,sestra,сеңел
277,Onkel::N,čika,дәдә
278,Onkel::N,čika,дәдәй
279,Onkel::N,ujak,дәдә
280,Onkel::N,ujak,дәдәй
281,Tante::N,ujna,түти
282,Tante::N,ujna,тәтәй
283,Tante::N,tetka,түти
284,Tante::N,tetka,тәтәй
285,Ehemann::N,muž,ир
286,Ehemann::N,suprug,ир
287,Ehefrau::N,žena,хатын
288,Ehefrau::N,supruga,хатын
289,Freude::N,radost,сөенеч
290,Gelächter::N,grohot,көлү
291,Gelächter::N,grohot,көлеш
292,Glück::N,sreća,бәхет
293,Kummer::N,jad,хәсрәт
294,Kummer::N,briga,хәсрәт
295,Wunsch::N,želja,теләк
296,Lust::N,volja,теләк
297,Lust::N,volja,теләү
298,Geist::N,duh,рух
299,Gedanke::N,misao,уй
300,Gedanke::N,misao,фикер
301,Gedächtnis::N,pamćenje,хәтер
302,Verstand::N,um,акыл
303,Verstand::N,razum,акыл
304,Sinn::N,smisao,мәгънә
305,Sinn::N,značenje,мәгънә
306,Grund::N,razlog,сәбәп
307,Wahrheit::N,istina,хак
308,Gespräch::N,razgovor,әңгәмә
309,Märchen::N,bajka,әкият
310,Erzählung::N,priča,хикәя
311,Erzählung::N,pripovijest,хикәя
312,Nachricht::N,vijest,хәбәр
313,Neuigkeit::N,novost,яңалык
314,Name::N,ime,исем
315,Rätsel::N,zagonetka,табышмак
316,Rede::N,govor,нотык
317,Rede::N,besjeda,нотык
318,Sprache::N,jezik,тел
319,Stimme::N,glas,тавыш
320,Wort::N,riječ,сүз
321,Zeichen::N,znak,ишарә
322,Ruf::N,povik,дәшү
323,Ruf::N,poklik,дәшү
324,Lärm::N,buka,шау
325,Lärm::N,galama,шау
326,Laut::N,zvuk,аваз
327,Ton::N,ton,шалтырату
328,Lied::N,pjesma,җыр
329,Ruhe::N,tišina,тынлык
330,Ruhe::N,počinak,тынлык
331,Leute::N,ljudi,халык
332,Volk::N,puk,халык
333,Volk::N,narod,халык
334,Arbeit::N,rad,эш
335,Arbeit::N,rad,хезмәт
336,Arbeit::N,posao,эш
337,Arbeit::N,posao,хезмәт
338,Gast::N,gost,кунак
339,Geschenk::N,dar,бүләк
340,Geschenk::N,poklon,бүләк
341,Spiel::N,igra,уен
342,Gesellschaft::N,društvo,җәмгыять
343,Gesellschaft::N,kompanija,җәмгыять
344,Hilfe::N,pomoć,ярдәм
345,Hilfe::N,pomoć,булышлык
346,Freund::N,prijatelj,дус
347,Kamerad::N,drug,иптәш
348,Kamerad::N,drugar,иптәш
349,Angelegenheit::N,posao,эш
350,Anzahl::N,broj,микъдар
351,Anzahl::N,brojnost,микъдар
352,Art::N,vid,төр
353,Art::N,vrst,төр
354,Stück::N,komad,кисәк
355,Teil::N,dio,өлеш
356,Hälfte::N,polovina,ярым
357,Kreis::N,krug,түгәрәк
358,Kreuz::N,križ,хач
359,Kreuz::N,križ,тәре
360,Linie::N,crta,сызык
361,Strich::N,crta,сызык
362,Abstand::N,razmak,ара
363,Abstand::N,odstojanje,ара
364,Entfernung::N,udaljenost,ераклык
365,Gegend::N,kraj,урын
366,Gegend::N,predeo,урын
367,Platz::N,mjesto,бушлык
368,Ort::N,mjesto,урын
369,Seite::N,bok,як
370,Seite::N,strana,як
371,Mitte::N,sredina,урта
372,Gegenstand::N,predmet,нәрсә
373,Sache::N,posao,нәрсә
374,Rand::N,rub,чит
375,Rand::N,kraj,чит
376,Kante::N,brid,кырый
377,Kante::N,ivica,кырый
378,Ecke::N,ugao,почмак
379,Spitze::N,vrh,оч
380,Spitze::N,šiljak,оч
381,Ende::N,konac,азак
382,Loch::N,rupa,тишек
383,Winkel::N,kut,почмак
384,Winkel::N,ugao,почмак
385,Muster::N,uzor,парча
386,Größe::N,veličina,зурлык
387,Länge::N,duljina,озынлык
388,Höhe::N,visina,биеклек
389,Gewicht::N,težina,авырлык
390,Menge::N,mnoštvo,микъдар
391,Menge::N,količina,микъдар
392,Haufen::N,hrpa,өем
393,Haufen::N,gomila,өем
394,Reihe::N,red,рәт
395,Boot::N,čun,каек
396,Boot::N,čun,көймә
397,Boot::N,čamac,каек
398,Boot::N,čamac,көймә
399,Ruder::N,veslo,ишкәк
400,Schlitten::N,saone,чана
401,Ski::N,ski,чаңгы
402,Ski::N,smučka,чаңгы
403,Lagerfeuer::N,logorska vatra,костёр
404,Last::N,tovar,йөк
405,Gang::N,hod,йөреш
406,Schritt::N,korak,адым
407,Norden::N,sjever,төньяк
408,Süden::N,jug,көньяк
409,Westen::N,zapad,көнбатыш
410,Osten::N,istok,шәрык
411,Osten::N,istok,көнчыгыш
412,Holz::N,drvo,агач
413,Brett::N,daska,такта
414,Platte::N,ploča,плитә
415,Stütze::N,potpora,таяу
416,Stange::N,motka,колга
417,Stock::N,štap,таяк
418,Stock::N,palica,таяк
419,Stab::N,štap,таяк
420,Stab::N,šipka,таяк
421,Rohr::N,cijev,торба
422,Haus::N,kuća,өй
423,Haus::N,kuća,йорт
424,Heim::N,dom,гаилә
425,Heim::N,dom,нәсел
426,Ofen::N,peć,мич
427,Fußboden::N,pod,идән
428,Tisch::N,stol,өстәл
429,Tisch::N,trpeza,өстәл
430,Stuhl::N,stolac,утыргыч
431,Stuhl::N,stolica,утыргыч
432,Wiege::N,kolijevka,бишек
433,Bett::N,krevet,ятак
434,Bett::N,krevet,урын-җир
435,Bett::N,postelja,ятак
436,Bett::N,postelja,урын-җир
437,Regal::N,polica,киштә
438,Regal::N,polica,шүрлек
439,Kiste::N,sanduk,әрҗә
440,Fenster::N,prozor,тәрәзә
441,Tür::N,vrata,ишек
442,Tor::N,vrata,капка
443,Tor::N,kapija,капка
444,Zaun::N,plot,койма
445,Zaun::N,ograda,койма
446,Dach::N,krov,түбә
447,Leiter::N,ljestve,баскыч
448,Leiter::N,ljestvice,баскыч
449,Besen::N,metla,себерке
450,Spaten::N,ašov,көрәк
451,Schaufel::N,lopata,көрәк
452,Gabel::N,viljuška,чәннечке
453,Löffel::N,žlica,кашык
454,Messer::N,nož,пычак
455,Nagel::N,čavao,кадак
456,Netz::N,mreža,челтәр
457,Haken::N,kuka,ыргак
458,Griff::N,držak,тотка
459,Griff::N,ručica,тотка
460,Schloss::N,brava,йозак
461,Bild::N,slika,рәсем
462,Bild::N,slika,картина
463,Figur::N,figura,сын
464,Figur::N,figura,фигура
465,Puppe::N,lutka,курчак
466,Beutel::N,kesa,луза
467,Bündel::N,snop,бәйләм
468,Bündel::N,svežanj,бәйләм
469,Tasche::N,torba,букча
470,Tasche::N,taška,букча
471,Eimer::N,kabao,чиләк
472,Deckel::N,poklopac,капкач
473,Geschirr::N,suđe,савыт-саба
474,Geschirr::N,suđe,кашык-аяк
