,Concept_ID,mdf,ce
0,Auge::N,сельме,бӏаьрг
1,Ohr::N,пиле,лерг
2,Nase::N,шалхка,мара
3,Mund::N,курга,бага
4,Zahn::N,пей,церг
5,Zunge::N,кяль,мотт
6,Lippe::N,търва́,балда
7,Wange::N,щёка,бесни
8,Gesicht::N,шама,юьхь
9,Stirn::N,коня,хьаж
10,Haar::N,шя́ярь,мас
11,Schnurrbart::N,уса́,мекх
12,Bart::N,сакал,маж
13,Kinn::N,ула,чӏениг
14,Kiefer[Anatomie]::N,саласка,мочхал
15,Kehle::N,кълдома,къамкъарг
16,Kehle::N,кърга́парь,къамкъарг
17,Hals::N,сялдаз,ворта
18,Genick::N,шовонь,кӏесаркӏаг
19,Kopf::N,пря,корта
20,Rücken::N,копорь,букъ
21,Bauch::N,пеке,кийра
22,Nabel::N,по́кон,цӏонга
23,Busen::N,потя,зударийн накха
24,Brust::N,мяште,накха
25,Schulter::N,лафту,белш
26,Arm::N,кядь,пхьарс
27,Ellenbogen::N,кенерьба́карь,пхьаьрсан гола
28,Hand::N,кядь,куьг
29,Handfläche::N,кядьлапш,кераюкъ
30,Finger::N,сур,пӏелг
31,Fingernagel::N,кенже,мӏара
32,Nagel[Anatomie]::N,кенже,мӏара
33,Zeh::N,пильгосу́р,кога пӏелг
34,Fuß::N,пильге,ког
35,Fuß::N,пильгелапа,ког
36,Ferse::N,кочкяря,кӏажа
37,Knie::N,эль,гола
38,Knie::N,пълма́нжа,гола
39,Oberschenkel::N,пильгепукша,варе
40,Bein::N,пильге,ког
41,Körper::N,ро́нга,хӏума
42,Körper::N,по́нда,хӏума
43,Haut::N,киське,чкъор
44,Blut::N,вер,цӏий
45,Ader::N,сан,пха
46,Ader::N,верза́н,пха
47,Sehne::N,коське сан,хьорзам
48,Knochen::N,пакарь,даьӏахк
49,Gehirn::N,уй,хье
50,Herz::N,седи,дог
51,Magen::N,коткърдазь,зорх
52,Leber::N,макса,доӏах
53,Atem::N,лекома,садеӏар
54,Atem::N,ваймонь тарксема,садеӏар
55,Hunger::N,вачеши,мацалла
56,Träne::N,сельмове́дь,бӏаьрхи
57,Geschmack::N,таньф,чам
58,Geruch::N,шине,хьожа
59,Schlaf::N,удома́,наб
60,Traum::N,он,гӏан
61,Himmel::N,менель,стигал
62,Sonne::N,ши,малх
63,Mond::N,ков,бутт
64,Stern::N,тяште,седа
65,Luft::N,кожф,xӏаваъ
66,Wind::N,варма,мох
67,Welle::N,тавла,тулгӏе
68,Wasser::N,ведь,хи
69,Stein::N,кев,тӏулг
70,Boden::N,мода,цӏенкъа
71,Boden::N,потмакс,цӏенкъа
72,Erde::N,мода,латта
73,Erde::N,мастор,латта
74,Staub::N,пуль,чан
75,Rauch::N,качам,кӏур
76,Funke::N,ця́тка,суй
77,Feuer::N,тол,цӏе
78,Licht::N,ва́лда,серло
79,Schatten::N,цильф,ӏиндагӏ
80,Wetter::N,уша,хенан хӏоттам
81,Nebel::N,тума́н,дохк
82,Wolke::N,ковол,марха
83,Regen::N,пизем,догӏа
84,Schnee::N,лов,ло
85,Eis::N,эй,ша
86,Frost::N,ке́льме,шело
87,Kälte::N,якшама,шело
88,Hitze::N,пси,йовхо
89,Raureif::N,леш,йис
