,Concept_ID,it,is
0,Auge::N,occhio,auga
1,Ohr::N,orecchio,eyra
2,Nase::N,naso,nef
3,Mund::N,bocca,munnur
4,Zahn::N,dente,tönn
5,Zunge::N,lingua,tunga
6,Lippe::N,labbro,vör
7,Wange::N,guancia,kinn
8,Wange::N,guancia,vangi
9,Gesicht::N,viso,andlit
10,Gesicht::N,faccia,andlit
11,Stirn::N,fronte,enni
12,Haar::N,capello,hár
13,Schnurrbart::N,baffi,yfirskegg
14,Schnurrbart::N,mustacchi,yfirskegg
15,Bart::N,barba,skegg
16,Kinn::N,mento,haka
17,Kiefer[Anatomie]::N,mascella,kjálki
18,Kiefer[Anatomie]::N,mascella,skoltur
19,Kehle::N,gola,kverk
20,Hals::N,collo,háls
21,Genick::N,nuca,hnakki
22,Kopf::N,capo,höfuð
23,Kopf::N,testa,höfuð
24,Rücken::N,dorso,hryggur
25,Rücken::N,schiena,hryggur
26,Bauch::N,ventre,kviður
27,Nabel::N,ombelico,nafli
28,Busen::N,seno,barmur
29,Brust::N,petto,brjóst
30,Schulter::N,spalla,öxl
31,Arm::N,braccio,armur
32,Ellenbogen::N,gomito,olnbogi
33,Hand::N,mano,hönd
34,Handfläche::N,palma,lófi
35,Finger::N,dito,fingur
36,Fingernagel::N,unghia,fingurnögl
37,Nagel[Anatomie]::N,unghia,nögl
38,Zeh::N,dito del piede,tá
39,Fuß::N,piede,fótur
40,Ferse::N,tallone,hæll
41,Ferse::N,calcagno,hæll
42,Knie::N,ginocchio,kné
43,Oberschenkel::N,fèmore,læri
44,Bein::N,gamba,fótleggur
45,Körper::N,corpo,búkur
46,Körper::N,corpo,líkami
47,Haut::N,pelle,húð
48,Haut::N,pelle,skinn
49,Blut::N,sangue,blóð
50,Ader::N,vena,æð
51,Sehne::N,tèndine,sin
52,Knochen::N,osso,bein
53,Gehirn::N,cervello,heili
54,Herz::N,cuore,hjarta
55,Magen::N,stòmaco,magi
56,Leber::N,fegato,lifur
57,Atem::N,fiato,andi
58,Atem::N,fiato,andardráttur
59,Atem::N,respiro,andi
60,Atem::N,respiro,andardráttur
61,Hunger::N,fame,hungur
62,Träne::N,làcrima,tár
63,Geschmack::N,gusto,smekkur
64,Geschmack::N,sapore,smekkur
65,Geruch::N,odore,lykt
66,Schlaf::N,sonno,svefn
67,Traum::N,sogno,draumur
68,Himmel::N,cielo,himinn
69,Sonne::N,sole,sól
70,Mond::N,luna,tungl
71,Stern::N,stella,stjarna
72,Luft::N,aria,loft
73,Wind::N,vento,vindur
74,Welle::N,onda,alda
75,Welle::N,onda,bylgja
76,Wasser::N,acqua,vatn
77,Stein::N,sasso,steinn
78,Stein::N,pietra,steinn
79,Boden::N,suolo,botn
80,Boden::N,terreno,botn
81,Erde::N,terra,jörð
82,Staub::N,polvere,ryk
83,Staub::N,polvere,duft
84,Rauch::N,fumo,reykur
85,Funke::N,scintilla,neisti
86,Feuer::N,fuoco,eldur
87,Licht::N,luce,ljós
88,Schatten::N,ombra,skuggi
89,Wetter::N,tempo,veður
90,Nebel::N,nebbia,þoka
91,Wolke::N,nube,ský
92,Wolke::N,nùvola,ský
93,Regen::N,pioggia,regn
94,Schnee::N,neve,snjór
95,Eis::N,ghiaccio,ís
96,Frost::N,gelo,frost
97,Kälte::N,freddo,kuldi
98,Hitze::N,caldo,hiti
99,Hitze::N,calura,hiti
100,Raureif::N,brina,hrím
101,Regenbogen::N,arcobaleno,regnbogi
102,Donner::N,tuono,þruma
103,Strömung::N,corrente,straumur
104,Tropfen::N,goccia,dropi
105,Schaum::N,spuma,froða
106,Schaum::N,schiuma,froða
107,Schmutz::N,sudiciume,óhreinindi
108,See::N,lago,stöðuvatn
109,Sumpf::N,palude,fen
110,Moor::N,torbiera,mýri
111,Wiese::N,prato,engi
112,Wald::N,bosco,skógur
113,Wald::N,foresta,skógur
114,Hügel::N,colle,hæð
115,Hügel::N,colle,hóll
116,Hügel::N,collina,hæð
117,Hügel::N,collina,hóll
118,Anhöhe::N,altura,hæð
119,Anhöhe::N,altura,hóll
120,Berg::N,monte,fell
121,Berg::N,monte,fjall
122,Berg::N,montagna,fell
123,Berg::N,montagna,fjall
124,Gipfel::N,cima,tindur
125,Höhle::N,grotta,hellir
126,Höhle::N,caverna,hellir
127,Abhang::N,pendìo,hlíð
128,Abhang::N,pendìo,brekka
129,Quelle::N,sorgente,lind
130,Quelle::N,sorgente,uppspretta
131,Bach::N,ruscello,lækur
132,Fluss::N,fiume,á
133,Fluss::N,fiume,fljót
134,Ufer::N,riva,árbakki
135,Ufer::N,riva,sjávarbakki
