,Concept_ID,kv,eu
0,Auge::N,син,begi
1,Ohr::N,пель,belarri
2,Nase::N,ныр,sudur
3,Mund::N,ӧм,aho
4,Zahn::N,пинь,hortz
5,Zunge::N,кыв,mihi
6,Lippe::N,тырп,ezpain
7,Wange::N,рожабан,masail
8,Gesicht::N,бан,aurpegi
9,Stirn::N,кымӧс,bekoki
10,Haar::N,юрси,ile
11,Haar::N,юрси,bilo
12,Schnurrbart::N,уссэз,bibote
13,Schnurrbart::N,уссэз,sudurpeko
14,Bart::N,тош,bizar
15,Kinn::N,тшӧка,kokots
16,Kiefer[Anatomie]::N,ан,masailezur
17,Kehle::N,юан,eztarri
18,Hals::N,юан,sama
19,Genick::N,юр бӧр,garondo
20,Kopf::N,юр,buru
21,Rücken::N,мышк,bizkar
22,Bauch::N,кынӧм,sabel
23,Nabel::N,гӧг,zilbor
24,Busen::N,морос,titi
25,Busen::N,морос,ugatz
26,Brust::N,морос,bular
27,Schulter::N,пельпон,besaburu
28,Arm::N,ки,beso
29,Ellenbogen::N,гырдзза,ukondo
30,Hand::N,кикар,esku
31,Handfläche::N,ки пыдӧс,ahur
32,Finger::N,чунь,hatz
33,Fingernagel::N,гыж,azazkal
34,Nagel[Anatomie]::N,гыж,azazkal
35,Zeh::N,чунь,behatz
36,Fuß::N,кокпыдӧс,oin
37,Ferse::N,кокдзир,orpo
38,Ferse::N,кокдзир,oinburu
39,Knie::N,пидзӧс,belaun
40,Oberschenkel::N,лядьбей,izter
41,Bein::N,кок,zango
42,Körper::N,вывтыр,soin
43,Haut::N,кучик,azal
44,Blut::N,вир,odol
45,Ader::N,сӧн,zain
46,Sehne::N,жила,gihar-zain
47,Knochen::N,коска,hezur
48,Gehirn::N,вем,garun
49,Gehirn::N,вем,burmuin
50,Herz::N,сьӧлӧм,bihotz
51,Magen::N,жӧвдӧк,urdail
52,Leber::N,мус,gibel
53,Atem::N,лолалӧм,hats
54,Atem::N,лолалӧм,arnasa
55,Hunger::N,тшыг,gose
56,Träne::N,синва,malko
57,Geschmack::N,кӧр,dasta
58,Geruch::N,дук,usain
59,Schlaf::N,он,lo
60,Traum::N,вӧт,amets
61,Himmel::N,небо,zeru
62,Sonne::N,шондi,eguzki
63,Mond::N,тӧлiсь,ilargi
64,Stern::N,кӧдзыв,izar
65,Luft::N,ру,aire
66,Wind::N,тӧв,haize
67,Welle::N,гы,uhin
68,Welle::N,гы,olatu
69,Wasser::N,ва,ur
70,Stein::N,из,harri
71,Boden::N,му,lur
72,Boden::N,му,zoru
73,Erde::N,му,lur
74,Staub::N,бус,hauts
75,Rauch::N,тшын,ke
76,Funke::N,бичир,zirta
77,Funke::N,бичир,txinparta
78,Feuer::N,би,su
79,Licht::N,би,argi
80,Schatten::N,вуджӧр,itzal
81,Schatten::N,вуджӧр,geriza
82,Wetter::N,погоддя,eguraldi
83,Nebel::N,туман,laino
84,Wolke::N,кымӧр,hodei
85,Regen::N,зэр,euri
86,Schnee::N,лым,elur
87,Eis::N,йы,horma
88,Frost::N,мороз,izotzaldi
89,Kälte::N,кӧдзыт,hotz
90,Hitze::N,ӧд,bero
91,Raureif::N,кижа,antzigar
92,Regenbogen::N,енӧшка,ostadar
93,Regenbogen::N,енӧшка,ortzadar
94,Donner::N,гым,ostots
95,Donner::N,гым,ihurtzuri
96,Strömung::N,визывтӧм,laster
97,Tropfen::N,тёп,xorta
98,Schaum::N,быг,bits
99,Schmutz::N,нять,lohi
100,Schmutz::N,нять,zikin
101,See::N,ты,laku
102,See::N,ты,aintzira
103,Sumpf::N,арай,zingira
104,Moor::N,нюр,zohikaztegi
105,Wiese::N,видз,larre
106,Wiese::N,видз,belardi
107,Wald::N,вӧр,baso
108,Wald::N,вӧр,oihan
109,Hügel::N,мыльк,muino
110,Hügel::N,мыльк,pentoka
111,Anhöhe::N,вывтас,garai
112,Anhöhe::N,вывтас,goragune
113,Anhöhe::N,вылынін,garai
114,Anhöhe::N,вылынін,goragune
115,Berg::N,керӧс,mendi
116,Gipfel::N,йыв,gain
117,Gipfel::N,йыв,tontor
118,Höhle::N,нора,kobazulo
119,Abhang::N,покат,aldapa
120,Quelle::N,больган,iturri
121,Quelle::N,больган,iturbegi
122,Bach::N,шор,lats
123,Bach::N,шор,erreka
124,Fluss::N,ю,ibai
125,Fluss::N,ю,uhaitz
126,Ufer::N,берег,bazter
127,Küste::N,берег,itsasalde
128,Festland::N,му,lehor
129,Meer::N,море,itsaso
130,Bucht::N,курья,golko
131,Blume::N,цветок,lili
132,Gras::N,турун,belar
133,Wurzel::N,вуж,zuztar
134,Wurzel::N,вуж,sustrai
135,Baum::N,пу,zuhaitz
136,Stamm::N,мыр,enbor
137,Stamm::N,кер,enbor
138,Rinde::N,кач,azal
139,Ast::N,ув,adar
140,Zweig::N,ув,abar
141,Blatt::N,лист,hosto
142,Birke::N,кыдз,urki
143,Kiefer[Baum]::N,пожум,ler
144,Weide[Baum]::N,бадь,zume
145,Weide[Baum]::N,бадь,sahats
146,Tanne::N,кӧз,izei
147,Horn::N,сюр,adar
148,Feder::N,гӧн,luma
149,Feder::N,гӧн,hegaki
150,Fell::N,кучик,ile
151,Fell::N,кучик,larru
152,Flügel::N,борд,hego
153,Klaue::N,гыж,atzapar
154,Kralle::N,кабыр,erpe
155,Kralle::N,кабыр,atzapar
156,Schwanz::N,бӧж,isats
157,Schwanz::N,бӧж,buztan
158,Ei::N,кольть,arrautza
159,Nest::N,поз,habia
160,Bau::N,осьта,ohantze
161,Bau::N,нора,ohantze
162,Tier::N,зверь,abere
163,Tier::N,зверь,piztia
164,Herde::N,гурт,saldo
165,Herde::N,гурт,abere talde
166,Kuh::N,мӧс,behi
167,Bulle::N,ӧшка,zezen
168,Pferd::N,вӧв,zaldi
169,Schaf::N,баля,ardi
170,Schwein::N,порсь,urde
171,Schwein::N,порсь,txerri
172,Hund::N,пон,txakur
173,Katze::N,кань,katu
174,Bär::N,ош,hartz
175,Eichhörnchen::N,ур,urtxintxa
176,Elch::N,вӧр мӧс,altze
177,Fuchs::N,руч,azeri
178,Hase::N,кӧч,erbi
179,Maus::N,шыр,sagu
180,Wolf::N,кӧин,otso
181,Vogel::N,кай,txori
182,Vogel::N,кай,hegazti
183,Schwarm::N,стая,aldra
184,Schwarm::N,чукӧр,aldra
185,Huhn::N,курӧг,oilo
186,Hahn::N,петух,oilar
187,Hahn::N,ай курӧг,oilar
188,Gans::N,дзодзог,antzara
189,Adler::N,куч,arrano
190,Adler::N,кутш,arrano
191,Ente::N,утка,ahate
192,Eule::N,тупка,hontza
193,Kranich::N,тури,kurrilo
194,Krähe::N,рака,bele
