,Concept_ID,eu,is
0,Auge::N,begi,auga
1,Ohr::N,belarri,eyra
2,Nase::N,sudur,nef
3,Mund::N,aho,munnur
4,Zahn::N,hortz,tönn
5,Zunge::N,mihi,tunga
6,Lippe::N,ezpain,vör
7,Wange::N,masail,kinn
8,Wange::N,masail,vangi
9,Gesicht::N,aurpegi,andlit
10,Stirn::N,bekoki,enni
11,Haar::N,ile,hár
12,Haar::N,bilo,hár
13,Schnurrbart::N,bibote,yfirskegg
14,Schnurrbart::N,sudurpeko,yfirskegg
15,Bart::N,bizar,skegg
16,Kinn::N,kokots,haka
17,Kiefer[Anatomie]::N,masailezur,kjálki
18,Kiefer[Anatomie]::N,masailezur,skoltur
19,Kehle::N,eztarri,kverk
20,Hals::N,sama,háls
21,Genick::N,garondo,hnakki
22,Kopf::N,buru,höfuð
23,Rücken::N,bizkar,hryggur
24,Bauch::N,sabel,kviður
25,Nabel::N,zilbor,nafli
26,Busen::N,titi,barmur
27,Busen::N,ugatz,barmur
28,Brust::N,bular,brjóst
29,Schulter::N,besaburu,öxl
30,Arm::N,beso,armur
31,Ellenbogen::N,ukondo,olnbogi
32,Hand::N,esku,hönd
33,Handfläche::N,ahur,lófi
34,Finger::N,hatz,fingur
35,Fingernagel::N,azazkal,fingurnögl
36,Nagel[Anatomie]::N,azazkal,nögl
37,Zeh::N,behatz,tá
38,Fuß::N,oin,fótur
39,Ferse::N,orpo,hæll
40,Ferse::N,oinburu,hæll
41,Knie::N,belaun,kné
42,Oberschenkel::N,izter,læri
43,Bein::N,zango,fótleggur
44,Körper::N,soin,búkur
45,Körper::N,soin,líkami
46,Haut::N,azal,húð
47,Haut::N,azal,skinn
48,Blut::N,odol,blóð
49,Ader::N,zain,æð
50,Sehne::N,gihar-zain,sin
51,Knochen::N,hezur,bein
52,Gehirn::N,garun,heili
53,Gehirn::N,burmuin,heili
54,Herz::N,bihotz,hjarta
55,Magen::N,urdail,magi
56,Leber::N,gibel,lifur
57,Atem::N,hats,andi
58,Atem::N,hats,andardráttur
59,Atem::N,arnasa,andi
60,Atem::N,arnasa,andardráttur
61,Hunger::N,gose,hungur
62,Träne::N,malko,tár
63,Geschmack::N,dasta,smekkur
64,Geruch::N,usain,lykt
65,Schlaf::N,lo,svefn
66,Traum::N,amets,draumur
67,Himmel::N,zeru,himinn
68,Sonne::N,eguzki,sól
69,Mond::N,ilargi,tungl
70,Stern::N,izar,stjarna
71,Luft::N,aire,loft
72,Wind::N,haize,vindur
73,Welle::N,uhin,alda
74,Welle::N,uhin,bylgja
75,Welle::N,olatu,alda
76,Welle::N,olatu,bylgja
77,Wasser::N,ur,vatn
78,Stein::N,harri,steinn
79,Boden::N,lur,botn
80,Boden::N,zoru,botn
81,Erde::N,lur,jörð
82,Staub::N,hauts,ryk
83,Staub::N,hauts,duft
84,Rauch::N,ke,reykur
85,Funke::N,zirta,neisti
86,Funke::N,txinparta,neisti
87,Feuer::N,su,eldur
88,Licht::N,argi,ljós
89,Schatten::N,itzal,skuggi
90,Schatten::N,geriza,skuggi
91,Wetter::N,eguraldi,veður
92,Nebel::N,laino,þoka
93,Wolke::N,hodei,ský
94,Regen::N,euri,regn
95,Schnee::N,elur,snjór
96,Eis::N,horma,ís
97,Frost::N,izotzaldi,frost
98,Kälte::N,hotz,kuldi
99,Hitze::N,bero,hiti
100,Raureif::N,antzigar,hrím
101,Regenbogen::N,ostadar,regnbogi
102,Regenbogen::N,ortzadar,regnbogi
103,Donner::N,ostots,þruma
104,Donner::N,ihurtzuri,þruma
105,Strömung::N,laster,straumur
106,Tropfen::N,xorta,dropi
107,Schaum::N,bits,froða
108,Schmutz::N,lohi,óhreinindi
109,Schmutz::N,zikin,óhreinindi
110,See::N,laku,stöðuvatn
111,See::N,aintzira,stöðuvatn
112,Sumpf::N,zingira,fen
113,Moor::N,zohikaztegi,mýri
114,Wiese::N,larre,engi
115,Wiese::N,belardi,engi
116,Wald::N,baso,skógur
117,Wald::N,oihan,skógur
118,Hügel::N,muino,hæð
119,Hügel::N,muino,hóll
120,Hügel::N,pentoka,hæð
121,Hügel::N,pentoka,hóll
122,Anhöhe::N,garai,hæð
123,Anhöhe::N,garai,hóll
124,Anhöhe::N,goragune,hæð
125,Anhöhe::N,goragune,hóll
126,Berg::N,mendi,fell
127,Berg::N,mendi,fjall
128,Gipfel::N,gain,tindur
129,Gipfel::N,tontor,tindur
130,Höhle::N,kobazulo,hellir
131,Abhang::N,aldapa,hlíð
132,Abhang::N,aldapa,brekka
133,Quelle::N,iturri,lind
134,Quelle::N,iturri,uppspretta
135,Quelle::N,iturbegi,lind
136,Quelle::N,iturbegi,uppspretta
137,Bach::N,lats,lækur
138,Bach::N,erreka,lækur
139,Fluss::N,ibai,á
140,Fluss::N,ibai,fljót
141,Fluss::N,uhaitz,á
142,Fluss::N,uhaitz,fljót
143,Ufer::N,bazter,árbakki
144,Ufer::N,bazter,sjávarbakki
145,Küste::N,itsasalde,strönd
146,Festland::N,lehor,meginland
147,Meer::N,itsaso,haf
148,Meer::N,itsaso,sjór
149,Bucht::N,golko,vík
150,Insel::N,irla,eyja
151,Insel::N,uharte,eyja
152,Blume::N,lili,blóm
153,Gras::N,belar,gras
154,Wurzel::N,zuztar,rót
155,Wurzel::N,sustrai,rót
156,Baum::N,zuhaitz,tré
157,Stamm::N,enbor,stofn
158,Rinde::N,azal,börkur
159,Ast::N,adar,grein
160,Zweig::N,abar,angi
161,Zweig::N,abar,kvistur
162,Blatt::N,hosto,blað
163,Birke::N,urki,birki
164,Kiefer[Baum]::N,ler,fura
165,Weide[Baum]::N,zume,víðir
166,Weide[Baum]::N,sahats,víðir
167,Tanne::N,izei,greni
168,Horn::N,adar,horn
169,Feder::N,luma,fjöður
170,Feder::N,hegaki,fjöður
171,Fell::N,ile,skinn
172,Fell::N,larru,skinn
173,Flügel::N,hego,vængur
174,Klaue::N,atzapar,kló
175,Kralle::N,erpe,kló
176,Kralle::N,atzapar,kló
177,Schwanz::N,isats,rófa
178,Schwanz::N,isats,skott
179,Schwanz::N,buztan,rófa
180,Schwanz::N,buztan,skott
181,Ei::N,arrautza,egg
182,Nest::N,habia,hreiður
183,Bau::N,ohantze,greni
184,Bau::N,ohantze,bæli
185,Tier::N,abere,dýr
186,Tier::N,piztia,dýr
187,Herde::N,saldo,hjörð
188,Herde::N,abere talde,hjörð
189,Kuh::N,behi,kýr
190,Bulle::N,zezen,boli
191,Pferd::N,zaldi,hestur
192,Schaf::N,ardi,kind
193,Schwein::N,urde,svín
194,Schwein::N,txerri,svín
195,Hund::N,txakur,hundur
196,Katze::N,katu,köttur
197,Bär::N,hartz,björn
198,Eichhörnchen::N,urtxintxa,íkorni
199,Elch::N,altze,elgur
200,Fuchs::N,azeri,refur
201,Hase::N,erbi,héri
202,Maus::N,sagu,mús
203,Wolf::N,otso,úlfur
204,Vogel::N,txori,fugl
205,Vogel::N,hegazti,fugl
206,Schwarm::N,aldra,sægur
207,Huhn::N,oilo,hæna
208,Hahn::N,oilar,hani
209,Gans::N,antzara,gæs
210,Adler::N,arrano,örn
211,Ente::N,ahate,önd
212,Eule::N,hontza,uggla
213,Kranich::N,kurrilo,trana
214,Krähe::N,bele,kráka
215,Kuckuck::N,kuku,gaukur
216,Schwan::N,beltxarga,svanur
217,Fisch::N,arrain,fiskur
218,Barsch::N,perka,aborri
219,Hecht::N,lutxo,gedda
220,Schlange[Tier]::N,suge,naðra
221,Wurm::N,har,ormur
222,Spinne::N,armiarma,kónguló
223,Ameise::N,inurri,maur
224,Laus::N,zorri,lús
225,Mücke::N,eltxo,mý
226,Mücke::N,eltxo,mýfluga
227,Fliege::N,euli,fluga
228,Schmetterling::N,pinpirin,fiðrildi
229,Schmetterling::N,tximeleta,fiðrildi
230,Beere::N,baia,ber
231,Apfel::N,sagar,epli
232,Pilz::N,onddo,sveppur
233,Pilz::N,perretxiko,sveppur
234,Zwiebel::N,tipula,laukur
235,Saat::N,haziak,fræ
236,Saat::N,haziak,útsæði
237,Korn::N,ale,korn
238,Korn::N,pikor,korn
239,Heu::N,belar ondu,hey
240,Schale::N,azal,hýði
241,Grube::N,hobi,gryfja
242,Falle::N,harrapagailu,gildra
243,Schlinge::N,bilur,snara
244,Schlinge::N,xedera,snara
245,Spur::N,lorratz,spor
246,Asche::N,errauts,aska
247,Dreck::N,satsukeria,óþverri
248,Eisen::N,burdina,járn
249,Gold::N,urre,gull
250,Gold::N,urregorri,gull
251,Silber::N,zilar,silfur
