,Concept_ID,hu,ru
0,Auge::N,szem,глаз
1,Ohr::N,fül,ухо
2,Nase::N,orr,нос
3,Mund::N,száj,рот
4,Zahn::N,fog,зуб
5,Zunge::N,nyelv,язык
6,Lippe::N,ajak,губа
7,Wange::N,orca,щека
8,Gesicht::N,arc,лицо
9,Stirn::N,homlok,лоб
10,Haar::N,haj,волос
11,Haar::N,haj,волосы
12,Schnurrbart::N,bajusz,ус
13,Schnurrbart::N,bajusz,усы
14,Bart::N,szakáll,борода
15,Kinn::N,áll,подбородок
16,Kiefer[Anatomie]::N,állkapocs,челюсть
17,Kehle::N,gége,горло
18,Kehle::N,torok,горло
19,Hals::N,nyak,шея
20,Genick::N,tarkó,затылок
21,Kopf::N,fő,голова
22,Kopf::N,fej,голова
23,Rücken::N,hát,спина
24,Bauch::N,has,живот
25,Nabel::N,köldök,пупок
26,Busen::N,mell,женская грудь
27,Busen::N,kebel,женская грудь
28,Brust::N,mell,грудь
29,Schulter::N,váll,плечо
30,Arm::N,kar,рука
31,Ellenbogen::N,könyök,локоть
32,Hand::N,kéz,кисть
33,Handfläche::N,tenyér,ладонь
34,Finger::N,ujj,палец
35,Fingernagel::N,köröm,ноготь
36,Nagel[Anatomie]::N,köröm,ноготь
37,Zeh::N,lábujj,палец
38,Fuß::N,láb,ступня
39,Ferse::N,sarok,пята
40,Ferse::N,sarok,пятка
41,Knie::N,térd,колено
42,Oberschenkel::N,comb,бедро
43,Bein::N,láb,нога
44,Bein::N,lábszár,нога
45,Körper::N,test,тело
46,Haut::N,bőr,кожа
47,Blut::N,vér,кровь
48,Ader::N,ér,вена
49,Ader::N,ér,сосуд
50,Sehne::N,ín,жила
51,Sehne::N,ín,тетива
52,Sehne::N,ín,сухожилие
53,Knochen::N,csont,кость
54,Gehirn::N,agy,мозг
55,Gehirn::N,agyvelő,мозг
56,Herz::N,szív,сердце
57,Magen::N,gyomor,желудок
58,Leber::N,máj,печень
59,Atem::N,lehelet,дух
60,Atem::N,lehelet,дыхание
61,Atem::N,lélegzet,дух
62,Atem::N,lélegzet,дыхание
63,Hunger::N,éhség,голод
64,Träne::N,könny,слеза
65,Geschmack::N,íz,вкус
66,Geruch::N,szag,запах
67,Schlaf::N,álom,сон
68,Schlaf::N,alvás,сон
69,Traum::N,álom,сновидение
70,Himmel::N,ég,небо
71,Himmel::N,menny,небо
72,Sonne::N,nap,солнце
73,Mond::N,hold,луна
74,Stern::N,csillag,звезда
75,Luft::N,levegő,воздух
76,Wind::N,szél,ветер
77,Welle::N,hullám,волна
78,Wasser::N,víz,вода
79,Stein::N,kő,камень
80,Boden::N,föld,почва
81,Boden::N,talaj,почва
82,Erde::N,föld,земля
83,Staub::N,por,пыль
84,Rauch::N,füst,дым
85,Funke::N,szikra,искра
86,Feuer::N,tűz,огонь
87,Licht::N,fény,свет
88,Schatten::N,árnyék,тень
89,Wetter::N,idő,погода
90,Wetter::N,időjárás,погода
91,Nebel::N,köd,туман
92,Wolke::N,felhő,облако
93,Regen::N,eső,дождь
94,Schnee::N,hó,снег
95,Eis::N,jég,лед
96,Frost::N,fagy,мороз
97,Kälte::N,hideg,холод
98,Hitze::N,hő,жара
99,Hitze::N,hőség,жара
100,Raureif::N,zúzmara,иней
101,Regenbogen::N,szivárvány,радуга
102,Donner::N,dörgés,гром
103,Donner::N,mennydörgés,гром
104,Strömung::N,áramlat,течение
105,Tropfen::N,csepp,капля
106,Schaum::N,hab,пена
107,Schaum::N,tajték,пена
108,Schmutz::N,piszok,грязь
109,See::N,tó,озеро
110,Sumpf::N,mocsár,топь
111,Moor::N,láp,болото
112,Wiese::N,rét,луг
113,Wiese::N,mező,луг
114,Wald::N,erdő,лес
115,Hügel::N,domb,холм
116,Anhöhe::N,magaslat,возвышенность
117,Berg::N,hegy,гора
118,Gipfel::N,csúcs,вершина
119,Höhle::N,barlang,пещера
120,Abhang::N,lejtő,склон
121,Quelle::N,forrás,источник
