,Concept_ID,fi,ja
195,Mücke::N,hyttynen,蚊
196,Fliege::N,kärpänen,蝿
197,Schmetterling::N,perhonen,蝶
198,Beere::N,marja,漿果
199,Apfel::N,omena,林檎
200,Pilz::N,sieni,茸
201,Zwiebel::N,sipuli,玉葱
202,Saat::N,siemenet,種
203,Korn::N,jyvä,粒
204,Korn::N,vilja,粒
205,Heu::N,heinä,干し草
206,Schale::N,kuori,皮
207,Grube::N,kuoppa,穴
208,Falle::N,loukku,わな
209,Schlinge::N,ansa,輪
210,Spur::N,jälki,跡
211,Asche::N,tuhka,灰
212,Dreck::N,lika,泥
213,Eisen::N,rauta,鉄
214,Gold::N,kulta,金
215,Silber::N,hopea,銀
216,Kohle::N,hiili,炭
217,Glas::N,lasi,ガラス
218,Lehm::N,savi,ローム
219,Sand::N,hiekka,砂
220,Mensch::N,ihminen,人
221,Mann::N,mies,男
222,Mann::N,mies,男性
223,Frau::N,nainen,女
224,Frau::N,nainen,女性
225,Kind::N,lapsi,子
226,Kind::N,lapsi,子供
227,Junge::N,poika,男の子
228,Mädchen::N,tyttö,女の子
229,Familie::N,perhe,家族
230,Großvater::N,isoisä,祖父
231,Großvater::N,isoisä,おじいさん
232,Großmutter::N,isoäiti,祖母
233,Großmutter::N,isoäiti,おばあさん
234,Eltern::N,vanhemmat,親
235,Eltern::N,vanhemmat,両親
236,Vater::N,isä,父
237,Vater::N,isä,お父さん
238,Mutter::N,äiti,母
239,Mutter::N,äiti,お母さん
240,Sohn::N,poika,息子
241,Sohn::N,poika,息子さん
242,Tochter::N,tytär,娘
243,Tochter::N,tytär,お嬢さん
244,Bruder::N,veli,弟
245,Schwester::N,sisko,妹
246,Onkel::N,eno,伯父
247,Onkel::N,eno,伯父さん
248,Onkel::N,setä,伯父
249,Onkel::N,setä,伯父さん
250,Tante::N,täti,叔母
251,Tante::N,täti,叔母さん
252,Ehemann::N,mies,夫
253,Ehemann::N,mies,主人
254,Ehemann::N,aviomies,夫
255,Ehemann::N,aviomies,主人
256,Ehefrau::N,vaimo,妻
257,Ehefrau::N,vaimo,奥さん
258,Ehefrau::N,aviovaimo,妻
259,Ehefrau::N,aviovaimo,奥さん
260,Freude::N,ilo,喜び
261,Freude::N,riemu,喜び
262,Gelächter::N,nauru,笑い
263,Glück::N,onni,幸せ
264,Kummer::N,suru,悩み
265,Kummer::N,murhe,悩み
266,Wunsch::N,toive,希望
267,Wunsch::N,toivomus,希望
268,Lust::N,himo,気
269,Geist::N,henki,精神
270,Gedanke::N,aate,考え
271,Gedanke::N,ajatus,考え
272,Gedächtnis::N,muisti,記憶
273,Verstand::N,äly,理解力
274,Verstand::N,järki,理解力
275,Verstand::N,ymmärrys,理解力
276,Sinn::N,merkitys,意味
277,Grund::N,syy,理由
278,Grund::N,peruste,理由
279,Wahrheit::N,tosi,真実
280,Wahrheit::N,totuus,真実
281,Gespräch::N,puhelu,会話
282,Gespräch::N,keskustelu,会話
283,Märchen::N,satu,童話
284,Erzählung::N,tarina,物語
285,Erzählung::N,kertomus,物語
286,Nachricht::N,tieto,報告
287,Nachricht::N,ilmoitus,報告
288,Neuigkeit::N,uutinen,ニュース
289,Name::N,nimi,名前
290,Rätsel::N,arvoitus,謎
291,Rede::N,puhe,演説
292,Sprache::N,kieli,言語
293,Stimme::N,ääni,声
294,Wort::N,sana,言葉
295,Zeichen::N,merkki,記号
296,Ruf::N,kutsu,呼び声
297,Lärm::N,melu,騒音
298,Lärm::N,hälinä,騒音
299,Laut::N,ääni,音
300,Ton::N,sävel,音
301,Lied::N,laulu,歌
302,Ruhe::N,lepo,静けさ
303,Ruhe::N,rauha,静けさ
304,Leute::N,väki,人々
305,Leute::N,ihmiset,人々
306,Volk::N,kansa,民族
307,Arbeit::N,työ,仕事
308,Gast::N,vieras,客
309,Geschenk::N,lahja,贈り物
310,Spiel::N,peli,遊び
311,Spiel::N,leikki,遊び
312,Gesellschaft::N,seura,社会
313,Hilfe::N,apu,援助
314,Freund::N,ystävä,友達
315,Kamerad::N,toveri,同志
316,Angelegenheit::N,asia,件
317,Anzahl::N,lukumäärä,数
318,Art::N,laji,種類
319,Stück::N,pala,部分
320,Stück::N,kappale,部分
321,Teil::N,osa,部分
322,Hälfte::N,puoli,半分
323,Kreis::N,ympyrä,円
324,Kreuz::N,risti,十字
325,Linie::N,viiva,線
326,Strich::N,piirto,線
327,Abstand::N,väli,距離
328,Abstand::N,väljyys,距離
329,Entfernung::N,etäisyys,距離
330,Gegend::N,seutu,辺
331,Gegend::N,seutu,地域
332,Platz::N,tila,ゆとり
333,Ort::N,kohta,所
334,Ort::N,kohta,場所
335,Ort::N,paikka,所
336,Ort::N,paikka,場所
337,Seite::N,sivu,横
338,Seite::N,kylki,横
339,Mitte::N,keskus,真ん中
340,Mitte::N,puoliväli,真ん中
341,Gegenstand::N,kalu,物件
342,Gegenstand::N,esine,物件
343,Sache::N,asia,物
344,Rand::N,ääri,端
345,Rand::N,syrjä,端
346,Kante::N,särmä,縁
347,Ecke::N,nurkka,角
348,Spitze::N,terä,先頭
349,Spitze::N,kärki,先頭
350,Ende::N,pää,端
351,Ende::N,perä,端
352,Loch::N,kolo,穴
353,Loch::N,reikä,穴
354,Winkel::N,kulma,片隅
355,Muster::N,kuvio,模様
356,Größe::N,koko,大きさ
357,Größe::N,suuruus,大きさ
358,Länge::N,pituus,長さ
359,Höhe::N,korkeus,高さ
360,Gewicht::N,paino,重さ
361,Menge::N,määrä,量
362,Haufen::N,kasa,堆積
363,Reihe::N,rivi,並び
364,Boot::N,vene,ボート
365,Ruder::N,airo,オール
366,Schlitten::N,reki,そり
367,Schlitten::N,kelkka,そり
368,Ski::N,suksi,スキー
369,Lagerfeuer::N,nuotio,篝火
370,Last::N,kuorma,荷物
371,Gang::N,kulku,歩み
372,Gang::N,käynti,歩み
373,Schritt::N,askel,歩
374,Norden::N,pohjoinen,北
375,Süden::N,etelä,南
376,Westen::N,länsi,西
377,Osten::N,itä,東
378,Holz::N,puu,木
379,Holz::N,puu,木材
380,Brett::N,lauta,板
381,Platte::N,levy,盤
382,Stütze::N,noja,支柱
383,Stange::N,tanko,棒
384,Stock::N,keppi,杖
385,Stab::N,sauva,棒
386,Stab::N,seiväs,棒
387,Rohr::N,putki,管
388,Haus::N,talo,家
389,Heim::N,koti,家
390,Ofen::N,uuni,ストーブ
391,Fußboden::N,lattia,床
392,Tisch::N,pöytä,机
393,Stuhl::N,tuoli,椅子
394,Wiege::N,kehto,揺籃
395,Bett::N,sänky,ベッド
396,Regal::N,hylly,棚
397,Kiste::N,arkku,箱
398,Kiste::N,kirstu,箱
399,Kiste::N,laatikko,箱
400,Fenster::N,ikkuna,窓
401,Tür::N,ovi,戸
402,Tür::N,ovi,ドア
403,Tor::N,portti,門
404,Zaun::N,aita,垣根
405,Dach::N,katto,屋根
406,Leiter::N,tikkaat,梯子
407,Leiter::N,tikapuut,梯子
408,Besen::N,luuta,ほうき
409,Spaten::N,lapio,スコップ
