,Concept_ID,ka,bg
0,Auge::N,თვალი,око
1,Ohr::N,ყური,ухо
2,Nase::N,ცხვირი,нос
3,Mund::N,პირი,уста
4,Zahn::N,კბილი,зъб
5,Zunge::N,ენა,език
6,Lippe::N,ბაგე,устна
7,Wange::N,ლოყა,буза
8,Gesicht::N,სახე,лице
9,Gesicht::N,სახე,образ
10,Stirn::N,შუბლი,чело
11,Haar::N,თმა,коса
12,Haar::N,თმა,косъм
13,Schnurrbart::N,ულვაში,мустаци
14,Bart::N,წვერი,брада
15,Kinn::N,ნიკაპი,брада
16,Kinn::N,ნიკაპი,брадичка
17,Kiefer[Anatomie]::N,ყბა,челюст
18,Kehle::N,ყელი,гърло
19,Hals::N,ყელი,врат
20,Hals::N,კისერი,врат
21,Genick::N,კეფა,тил
22,Kopf::N,თავი,глава
23,Rücken::N,ზურგი,гръб
24,Bauch::N,მუცელი,корем
25,Nabel::N,ჭიპი,пъп
26,Busen::N,ძუძუ,бозка
27,Brust::N,მკერდი,гръд
28,Schulter::N,მხარი,рамо
29,Schulter::N,მხარი,плещи
30,Schulter::N,მკლავი,рамо
31,Schulter::N,მკლავი,плещи
32,Arm::N,ხელი,ръка
33,Ellenbogen::N,იდაყვი,лакът
34,Hand::N,ხელი,ръка
35,Hand::N,ხელი,китка
36,Handfläche::N,ნები,длан
37,Handfläche::N,ხელისგული,длан
38,Finger::N,თითი,пръст
39,Fingernagel::N,ფრჩხილი,нокът
40,Nagel[Anatomie]::N,ფრჩხილი,нокът
41,Zeh::N,ფეხის თითი,пръст на крак
42,Fuß::N,ტერფი,крак
43,Fuß::N,ტერფი,нога
44,Fuß::N,ფეხისგული,крак
45,Fuß::N,ფეხისგული,нога
46,Ferse::N,ქუსლი,пета
47,Knie::N,მუხლი,коляно
48,Oberschenkel::N,ბარძაყი,бедро
49,Bein::N,ფეხი,крак
50,Bein::N,ფეხი,нога
51,Körper::N,ტანი,тяло
52,Körper::N,სხეული,тяло
53,Haut::N,კანი,кожа
54,Blut::N,სისხლი,кръв
55,Ader::N,ძარღვი,вена
56,Ader::N,ძარღვი,артерия
57,Sehne::N,მყესი,жила
58,Sehne::N,მყესი,сухожилие
59,Knochen::N,ძვალი,кост
60,Gehirn::N,ტვინი,мозък
61,Herz::N,გული,сърце
62,Magen::N,კუჭი,стомах
63,Leber::N,ღვიძლი,черен дроб
64,Atem::N,სუნთქვა,дишане
65,Hunger::N,შიმშილი,глад
66,Träne::N,ცრემლი,сълза
67,Geschmack::N,გემო,вкус
68,Geruch::N,სუნი,миризма
69,Schlaf::N,ძილი,сън
70,Traum::N,სიზმარი,сън
71,Himmel::N,ცა,небе
72,Sonne::N,მზე,слънце
73,Mond::N,მთვარე,луна
74,Mond::N,მთვარე,месец
75,Stern::N,ვარსკვლავი,звезда
76,Luft::N,ჰაერი,въздух
77,Wind::N,ქარი,вятър
78,Welle::N,ტალღა,вълна
79,Wasser::N,წყალი,вода
80,Stein::N,ქვა,камък
81,Boden::N,მიწა,земя
82,Boden::N,მიწა,почва
83,Erde::N,ნიადაგი,земя
84,Erde::N,ნიადაგი,почва
85,Staub::N,მტვერი,прах
86,Rauch::N,ბოლი,дим
87,Rauch::N,ბოლი,пушек
88,Rauch::N,კვამლი,дим
89,Rauch::N,კვამლი,пушек
90,Funke::N,ნაკვესი,искра
