,Concept_ID,da,ja
0,Auge::N,øje,目
1,Ohr::N,øre,耳
2,Nase::N,næse,鼻
3,Mund::N,mund,口
4,Zahn::N,tand,歯
5,Zunge::N,tunge,舌
6,Lippe::N,læbe,唇
7,Wange::N,kind,頬
8,Gesicht::N,ansigt,顔
9,Stirn::N,pande,額
10,Haar::N,hår,髪
11,Schnurrbart::N,overskæg,口髭
12,Bart::N,skæg,髭
13,Kinn::N,hage,顎
14,Kiefer[Anatomie]::N,kæbe,顎
15,Kehle::N,strube,喉
16,Hals::N,hals,首
17,Genick::N,nakke,首
18,Kopf::N,hoved,頭
19,Rücken::N,ryg,背中
20,Bauch::N,mave,腹
21,Bauch::N,mave,お腹
22,Nabel::N,navle,へそ
23,Busen::N,barm,乳房
24,Brust::N,bryst,胸
25,Schulter::N,skulder,肩
26,Arm::N,arm,腕
27,Ellenbogen::N,albue,肘
28,Hand::N,hånd,手
29,Handfläche::N,håndflade,手のひら
30,Finger::N,finger,指
31,Fingernagel::N,fingernegl,爪
32,Nagel[Anatomie]::N,negl,爪
33,Zeh::N,tå,足の指
34,Fuß::N,fod,足
35,Ferse::N,hæl,かかと
36,Knie::N,knæ,膝
37,Oberschenkel::N,lår,上腿
38,Bein::N,ben,足
39,Körper::N,krop,体
40,Körper::N,legeme,体
41,Haut::N,hud,皮膚
42,Blut::N,blod,血
43,Ader::N,åre,血管
44,Sehne::N,sene,腱
45,Knochen::N,ben,骨
46,Gehirn::N,hjerne,脳
47,Herz::N,hjerte,心
48,Herz::N,hjerte,心臓
49,Magen::N,mave,胃
50,Leber::N,lever,肝臓
51,Atem::N,ånde,息
52,Atem::N,ånde,呼吸
53,Hunger::N,sult,空腹
54,Träne::N,tåre,涙
55,Geschmack::N,smag,味
56,Geruch::N,lugt,匂い
57,Schlaf::N,søvn,睡眠
58,Traum::N,drøm,夢
59,Himmel::N,himmel,空
60,Sonne::N,sol,太陽
61,Mond::N,måne,月
62,Stern::N,stjerne,星
63,Luft::N,luft,空気
64,Wind::N,vind,風
65,Welle::N,bølge,波
66,Wasser::N,vand,水
67,Stein::N,sten,石
68,Boden::N,jord,土地
69,Erde::N,jord,土
70,Staub::N,støv,埃
71,Rauch::N,røg,煙
72,Funke::N,gnist,火花
73,Feuer::N,ild,火
74,Licht::N,lys,光
75,Schatten::N,skygge,陰
76,Wetter::N,vejr,天気
77,Nebel::N,tåge,霧
78,Wolke::N,sky,雲
79,Regen::N,regn,雨
80,Schnee::N,sne,雪
81,Eis::N,is,氷
82,Frost::N,frost,霜
83,Kälte::N,kulde,寒さ
84,Hitze::N,hede,暑さ
85,Raureif::N,rimfrost,霧氷
86,Regenbogen::N,regnbue,虹
87,Donner::N,torden,雷
88,Strömung::N,strømning,流れ
89,Tropfen::N,dråbe,滴
90,Schaum::N,skum,泡
91,Schmutz::N,snavs,汚れ
92,See::N,sø,湖
93,Sumpf::N,sump,沼
94,Moor::N,mose,湿原
95,Wiese::N,eng,草原
96,Wald::N,skov,森
97,Hügel::N,høj,丘
98,Hügel::N,bakke,丘
99,Anhöhe::N,høj,高み
100,Anhöhe::N,bakke,高み
101,Berg::N,bjerg,山
102,Gipfel::N,top,頂上
103,Höhle::N,hule,洞窟
104,Abhang::N,skrænt,斜面
105,Abhang::N,skråning,斜面
106,Quelle::N,kilde,泉
107,Bach::N,bæk,小川
108,Fluss::N,flod,川
109,Ufer::N,bred,岸
110,Küste::N,kyst,海岸
111,Festland::N,fastland,陸
112,Meer::N,hav,海
113,Bucht::N,bugt,湾
114,Insel::N,ø,島
115,Blume::N,blomst,花
116,Gras::N,græs,草
117,Wurzel::N,rod,根
118,Baum::N,træ,木
119,Stamm::N,stamme,幹
120,Rinde::N,bark,皮層
