,Concept_ID,bg,it
0,Auge::N,око,occhio
1,Ohr::N,ухо,orecchio
2,Nase::N,нос,naso
3,Mund::N,уста,bocca
4,Zahn::N,зъб,dente
5,Zunge::N,език,lingua
6,Lippe::N,устна,labbro
7,Wange::N,буза,guancia
8,Gesicht::N,лице,viso
9,Gesicht::N,лице,faccia
10,Gesicht::N,образ,viso
11,Gesicht::N,образ,faccia
12,Stirn::N,чело,fronte
13,Haar::N,коса,capello
14,Haar::N,косъм,capello
15,Schnurrbart::N,мустаци,baffi
16,Schnurrbart::N,мустаци,mustacchi
17,Bart::N,брада,barba
18,Kinn::N,брада,mento
19,Kinn::N,брадичка,mento
20,Kiefer[Anatomie]::N,челюст,mascella
21,Kehle::N,гърло,gola
22,Hals::N,врат,collo
23,Genick::N,тил,nuca
24,Kopf::N,глава,capo
25,Kopf::N,глава,testa
26,Rücken::N,гръб,dorso
27,Rücken::N,гръб,schiena
28,Bauch::N,корем,ventre
29,Nabel::N,пъп,ombelico
30,Busen::N,бозка,seno
31,Brust::N,гръд,petto
32,Schulter::N,рамо,spalla
33,Schulter::N,плещи,spalla
34,Arm::N,ръка,braccio
35,Ellenbogen::N,лакът,gomito
36,Hand::N,ръка,mano
37,Hand::N,китка,mano
38,Handfläche::N,длан,palma
39,Finger::N,пръст,dito
40,Fingernagel::N,нокът,unghia
41,Nagel[Anatomie]::N,нокът,unghia
42,Zeh::N,пръст на крак,dito del piede
43,Fuß::N,крак,piede
44,Fuß::N,нога,piede
45,Ferse::N,пета,tallone
46,Ferse::N,пета,calcagno
47,Knie::N,коляно,ginocchio
48,Oberschenkel::N,бедро,fèmore
49,Bein::N,крак,gamba
50,Bein::N,нога,gamba
51,Körper::N,тяло,corpo
52,Haut::N,кожа,pelle
53,Blut::N,кръв,sangue
54,Ader::N,вена,vena
55,Ader::N,артерия,vena
56,Sehne::N,жила,tèndine
57,Sehne::N,сухожилие,tèndine
58,Knochen::N,кост,osso
59,Gehirn::N,мозък,cervello
60,Herz::N,сърце,cuore
61,Magen::N,стомах,stòmaco
62,Leber::N,черен дроб,fegato
63,Atem::N,дишане,fiato
64,Atem::N,дишане,respiro
65,Hunger::N,глад,fame
66,Träne::N,сълза,làcrima
67,Geschmack::N,вкус,gusto
68,Geschmack::N,вкус,sapore
69,Geruch::N,миризма,odore
70,Schlaf::N,сън,sonno
71,Traum::N,сън,sogno
72,Himmel::N,небе,cielo
73,Sonne::N,слънце,sole
74,Mond::N,луна,luna
75,Mond::N,месец,luna
76,Stern::N,звезда,stella
77,Luft::N,въздух,aria
78,Wind::N,вятър,vento
79,Welle::N,вълна,onda
80,Wasser::N,вода,acqua
81,Stein::N,камък,sasso
82,Stein::N,камък,pietra
83,Boden::N,земя,suolo
84,Boden::N,земя,terreno
85,Boden::N,почва,suolo
86,Boden::N,почва,terreno
87,Erde::N,земя,terra
88,Erde::N,почва,terra
89,Staub::N,прах,polvere
90,Rauch::N,дим,fumo
91,Rauch::N,пушек,fumo
92,Funke::N,искра,scintilla
93,Feuer::N,огън,fuoco
94,Licht::N,светлина,luce
95,Schatten::N,сянка,ombra
96,Wetter::N,време,tempo
97,Nebel::N,мъгла,nebbia
98,Wolke::N,облак,nube
99,Wolke::N,облак,nùvola
100,Regen::N,дъжд,pioggia
101,Schnee::N,сняг,neve
102,Eis::N,лед,ghiaccio
103,Frost::N,мраз,gelo
104,Kälte::N,студ,freddo
105,Hitze::N,жега,caldo
106,Hitze::N,жега,calura
107,Hitze::N,горещина,caldo
108,Hitze::N,горещина,calura
109,Raureif::N,скреж,brina
110,Raureif::N,слана,brina
111,Regenbogen::N,дъга,arcobaleno
112,Donner::N,гръм,tuono
113,Strömung::N,течение,corrente
114,Tropfen::N,капка,goccia
115,Schaum::N,пяна,spuma
116,Schaum::N,пяна,schiuma
117,Schmutz::N,кал,sudiciume
118,Schmutz::N,мръсотия,sudiciume
119,See::N,езеро,lago
120,Sumpf::N,блато,palude
121,Moor::N,мочурище,torbiera
122,Wiese::N,ливада,prato
123,Wald::N,гора,bosco
124,Wald::N,гора,foresta
125,Hügel::N,рид,colle
126,Hügel::N,рид,collina
127,Hügel::N,хълм,colle
128,Hügel::N,хълм,collina
129,Anhöhe::N,могила,altura
130,Anhöhe::N,възвишение,altura
131,Berg::N,планина,monte
132,Berg::N,планина,montagna
133,Gipfel::N,връх,cima
134,Höhle::N,пещера,grotta
135,Höhle::N,пещера,caverna
136,Abhang::N,склон,pendìo
137,Abhang::N,стръмнина,pendìo
138,Quelle::N,извор,sorgente
139,Bach::N,поток,ruscello
140,Fluss::N,река,fiume
141,Ufer::N,бряг,riva
142,Küste::N,бряг,costa
143,Küste::N,крайбрежие,costa
144,Festland::N,суша,terraferma
145,Meer::N,море,mare
146,Bucht::N,залив,cala
147,Insel::N,остров,ìsola
148,Blume::N,цвете,fiore
149,Gras::N,трева,erba
150,Wurzel::N,корен,radice
151,Baum::N,дърво,àlbero
152,Stamm::N,стъбло,tronco
153,Rinde::N,кора,corteccia
154,Ast::N,клон,ramo
155,Zweig::N,клон,ramo
156,Blatt::N,лист,foglia
157,Birke::N,бреза,betulla
158,Kiefer[Baum]::N,бор,pino
159,Weide[Baum]::N,върба,sàlice
160,Tanne::N,ела,abete
161,Horn::N,рог,corno
162,Feder::N,перо,penna
163,Fell::N,кожа,manto
164,Fell::N,кожа,pelame
165,Flügel::N,крило,ala
166,Klaue::N,нокът,grinfia
167,Kralle::N,нокът,unghia
168,Kralle::N,нокът,artiglio
