,Concept_ID,ko,cv
0,Auge::N,눈,куҫ
1,Ohr::N,귀,хӑлха
2,Nase::N,코,сӑмса
3,Mund::N,입,ҫӑвар
4,Zahn::N,이,шӑл
5,Zunge::N,혀,чӗлхе
6,Lippe::N,입술,тута
7,Wange::N,뺨,пит ҫӑмарти
8,Gesicht::N,얼굴,пит
9,Gesicht::N,얼굴,пит-куҫ
10,Stirn::N,이마,ҫамка
11,Haar::N,털,ҫӳҫ
12,Schnurrbart::N,윗수몀,усси
13,Schnurrbart::N,코밑수염,усси
14,Bart::N,수엄,сухал
15,Kinn::N,아래턱,янах
16,Kiefer[Anatomie]::N,턱,янах
17,Kehle::N,인후,пыр
18,Kehle::N,인후,карланкӑ
19,Hals::N,목,пыр
20,Genick::N,먹덜이,ӗнсе
21,Kopf::N,머리,пуҫ
22,Rücken::N,든,ҫурӑм
23,Bauch::N,배,
24,Nabel::N,배꼽,кӑвапа
25,Busen::N,가슴속,кӑкӑр
26,Brust::N,가슴,умӗ
27,Schulter::N,어깨,хул пуҫҫи
28,Arm::N,팔,алӑ
29,Ellenbogen::N,팔쿰치,чавса
30,Hand::N,손,алӑ сыппи
31,Handfläche::N,손바닥,ал лаппи
32,Finger::N,속가락,пӳрне
33,Fingernagel::N,손톱,чӗрне
34,Nagel[Anatomie]::N,손톱,чӗрне
35,Zeh::N,발가락,пӳрне
36,Fuß::N,발,ура лаппи
37,Ferse::N,발꿈치,кӗле
38,Knie::N,무릎,чӗркуҫҫи
39,Oberschenkel::N,허벅다리,пӗҫӗ
40,Bein::N,다리,ура
41,Körper::N,구간,ӳт
42,Körper::N,구간,ӳт-пӳ
43,Haut::N,살갗,тир
44,Blut::N,피,юн
45,Ader::N,정맥,вена
46,Sehne::N,현,шӑнӑр
47,Knochen::N,뼈,шӑмӑ
48,Gehirn::N,뇌,миме
49,Gehirn::N,뇌수,миме
50,Herz::N,염통,чӗре
51,Magen::N,위,хырӑмлӑх
52,Leber::N,간,пӗвер
53,Atem::N,기식,сывлав
54,Hunger::N,공복,выҫлӑх
55,Träne::N,눈물,куҫҫуль
56,Geschmack::N,기호,техӗм
57,Geruch::N,냄새,шӑршӑ
58,Schlaf::N,수면,ыйхӑ
59,Traum::N,쿰,тӗлӗк
60,Himmel::N,하늘,пӗлӗт
61,Sonne::N,해,хӗвел
62,Mond::N,달,уйӑх
