,Concept_ID,lez,eu
0,Auge::N,вил,begi
1,Ohr::N,яб,belarri
2,Nase::N,нер,sudur
3,Mund::N,сив,aho
4,Zahn::N,сас,hortz
5,Zahn::N,свах,hortz
6,Zunge::N,мез,mihi
7,Lippe::N,пӏуз,ezpain
8,Wange::N,хъвехъ,masail
9,Gesicht::N,ччин,aurpegi
10,Stirn::N,пел,bekoki
11,Haar::N,чӏар,ile
12,Haar::N,чӏар,bilo
13,Schnurrbart::N,спел,bibote
14,Schnurrbart::N,спел,sudurpeko
15,Schnurrbart::N,спелар,bibote
16,Schnurrbart::N,спелар,sudurpeko
17,Bart::N,ччуру,bizar
18,Kinn::N,чене,kokots
19,Kiefer[Anatomie]::N,чене,masailezur
20,Kehle::N,туьд,eztarri
21,Hals::N,гардан,sama
22,Genick::N,кьам,garondo
23,Kopf::N,кьил,buru
24,Rücken::N,далу,bizkar
25,Bauch::N,руфун,sabel
26,Nabel::N,пицӏ,zilbor
27,Busen::N,мам,titi
28,Busen::N,мам,ugatz
29,Brust::N,хур,bular
30,Schulter::N,къуьн,besaburu
31,Arm::N,гъил,beso
32,Ellenbogen::N,кьуьнт,ukondo
33,Hand::N,капаш,esku
34,Handfläche::N,капан юкь,ahur
35,Finger::N,тӏуб,hatz
36,Fingernagel::N,кек,azazkal
37,Nagel[Anatomie]::N,кек,azazkal
38,Zeh::N,кул,behatz
39,Fuß::N,кӏвач,oin
40,Ferse::N,дабан,orpo
41,Ferse::N,дабан,oinburu
42,Knie::N,мет,belaun
43,Bein::N,кӏвач,zango
44,Körper::N,беден,soin
45,Haut::N,хам,azal
46,Blut::N,иви,odol
47,Ader::N,дамар,zain
48,Sehne::N,кьуру дамар,gihar-zain
49,Knochen::N,кӏараб,hezur
50,Gehirn::N,мефт,garun
51,Gehirn::N,мефт,burmuin
52,Herz::N,рикӏ,bihotz
53,Magen::N,хук,urdail
54,Leber::N,лекь,gibel
55,Atem::N,ял,hats
56,Atem::N,ял,arnasa
57,Atem::N,нефес,hats
58,Atem::N,нефес,arnasa
59,Hunger::N,каш,gose
60,Träne::N,вилин нагъв,malko
61,Geschmack::N,дад,dasta
62,Geschmack::N,тӏям,dasta
63,Geruch::N,ни,usain
64,Schlaf::N,ахвар,lo
65,Traum::N,ахвар,amets
66,Himmel::N,цав,zeru
67,Sonne::N,рагъ,eguzki
68,Mond::N,варз,ilargi
69,Stern::N,гъед,izar
70,Luft::N,гьава,aire
71,Wind::N,гар,haize
72,Welle::N,лепе,uhin
73,Welle::N,лепе,olatu
74,Wasser::N,яд,ur
75,Stein::N,къван,harri
76,Boden::N,накьв,lur
77,Boden::N,накьв,zoru
78,Erde::N,ччил,lur
79,Staub::N,руг,hauts
80,Rauch::N,гум,ke
81,Funke::N,цӏелхем,zirta
82,Funke::N,цӏелхем,txinparta
83,Feuer::N,цӏай,su
84,Licht::N,экв,argi
85,Schatten::N,серин,itzal
86,Schatten::N,серин,geriza
87,Wetter::N,гьава,eguraldi
88,Nebel::N,ччилин циф,laino
89,Wolke::N,циф,hodei
90,Regen::N,марф,euri
91,Schnee::N,жив,elur
92,Eis::N,мурк,horma
93,Frost::N,аяз,izotzaldi
94,Kälte::N,мекь,hotz
95,Kälte::N,мекьивал,hotz
96,Hitze::N,зегьем,bero
97,Raureif::N,къирав,antzigar
98,Regenbogen::N,яргъируш,ostadar
99,Regenbogen::N,яргъируш,ortzadar
100,Donner::N,цавун ван,ostots
101,Donner::N,цавун ван,ihurtzuri
102,Tropfen::N,стӏал,xorta
103,Schaum::N,каф,bits
104,Schmutz::N,чирк,lohi
105,Schmutz::N,чирк,zikin
106,Schmutz::N,кьуруш,lohi
107,Schmutz::N,кьуруш,zikin
108,See::N,вир,laku
109,See::N,вир,aintzira
110,Sumpf::N,уьлен,zingira
111,Wiese::N,векь,larre
112,Wiese::N,векь,belardi
113,Wald::N,там,baso
114,Wald::N,там,oihan
115,Hügel::N,кӏунтӏ,muino
116,Hügel::N,кӏунтӏ,pentoka
117,Anhöhe::N,тепе,garai
118,Anhöhe::N,тепе,goragune
119,Anhöhe::N,гьуьндуьрвал,garai
120,Anhöhe::N,гьуьндуьрвал,goragune
121,Berg::N,дагъ,mendi
122,Gipfel::N,кӏукӏ,gain
123,Gipfel::N,кӏукӏ,tontor
124,Höhle::N,кьветӏ,kobazulo
125,Abhang::N,гуьне,aldapa
126,Quelle::N,чешме,iturri
127,Quelle::N,чешме,iturbegi
128,Bach::N,булах,lats
129,Bach::N,булах,erreka
130,Fluss::N,вацӏ,ibai
131,Fluss::N,вацӏ,uhaitz
132,Ufer::N,къерех,bazter
133,Küste::N,къерех,itsasalde
134,Festland::N,кьурамат,lehor
135,Meer::N,гьуьл,itsaso
136,Bucht::N,бухта,golko
137,Insel::N,остров,irla
138,Insel::N,остров,uharte
139,Blume::N,цуьк,lili
140,Gras::N,хъач,belar
141,Wurzel::N,дувул,zuztar
142,Wurzel::N,дувул,sustrai
143,Baum::N,ттар,zuhaitz
144,Stamm::N,тан,enbor
145,Rinde::N,чкал,azal
146,Ast::N,тӏур,adar
147,Zweig::N,хел,abar
148,Blatt::N,пеш,hosto
149,Birke::N,верх,urki
150,Kiefer[Baum]::N,шамагъаж,ler
151,Weide[Baum]::N,цӏвелин ттар,zume
152,Weide[Baum]::N,цӏвелин ттар,sahats
153,Tanne::N,ель,izei
