,Concept_ID,ce,es
0,Auge::N,бӏаьрг,ojo
1,Ohr::N,лерг,oreja
2,Nase::N,мара,nariz
3,Mund::N,бага,boca
4,Zahn::N,церг,diente
5,Zunge::N,мотт,lengua
6,Lippe::N,балда,labio
7,Wange::N,бесни,mejilla
8,Gesicht::N,юьхь,cara
9,Stirn::N,хьаж,frente
10,Haar::N,мас,cabello
11,Schnurrbart::N,мекх,bigote
12,Bart::N,маж,barba
13,Kinn::N,чӏениг,barbilla
14,Kiefer[Anatomie]::N,мочхал,mandíbula
15,Kehle::N,къамкъарг,garganta
16,Hals::N,ворта,cuello
17,Genick::N,кӏесаркӏаг,nuca
18,Genick::N,кӏесаркӏаг,cerviz
19,Kopf::N,корта,cabeza
20,Rücken::N,букъ,espalda
21,Bauch::N,кийра,vientre
22,Nabel::N,цӏонга,ombligo
23,Busen::N,зударийн накха,pecho
24,Brust::N,накха,pecho
25,Schulter::N,белш,hombro
26,Arm::N,пхьарс,brazo
27,Ellenbogen::N,пхьаьрсан гола,codo
28,Hand::N,куьг,mano
29,Handfläche::N,кераюкъ,palma
30,Finger::N,пӏелг,dedo
31,Fingernagel::N,мӏара,uña
32,Nagel[Anatomie]::N,мӏара,uña
33,Zeh::N,кога пӏелг,dedo del pie
34,Fuß::N,ког,pie
35,Ferse::N,кӏажа,talón
36,Knie::N,гола,rodilla
37,Oberschenkel::N,варе,muslo
38,Bein::N,ког,pierna
39,Körper::N,хӏума,cuerpo
40,Haut::N,чкъор,piel
41,Blut::N,цӏий,sangre
42,Ader::N,пха,vena
43,Sehne::N,хьорзам,tendón
44,Knochen::N,даьӏахк,hueso
45,Gehirn::N,хье,cerebro
46,Gehirn::N,хье,encéfalo
47,Herz::N,дог,corazón
48,Magen::N,зорх,estómago
49,Leber::N,доӏах,hígado
50,Atem::N,садеӏар,aliento
51,Hunger::N,мацалла,hambre
52,Träne::N,бӏаьрхи,lágrima
53,Geschmack::N,чам,gusto
54,Geruch::N,хьожа,olor
55,Schlaf::N,наб,sueño
56,Traum::N,гӏан,sueño
57,Traum::N,гӏан,ensueño
58,Himmel::N,стигал,cielo
59,Sonne::N,малх,sol
60,Mond::N,бутт,luna
61,Stern::N,седа,estrella
62,Luft::N,xӏаваъ,aire
63,Wind::N,мох,viento
64,Welle::N,тулгӏе,ola
65,Welle::N,тулгӏе,onda
66,Wasser::N,хи,agua
67,Stein::N,тӏулг,piedra
68,Boden::N,цӏенкъа,suelo
69,Erde::N,латта,tierra
70,Staub::N,чан,polvo
71,Rauch::N,кӏур,humo
72,Funke::N,суй,chispa
73,Feuer::N,цӏе,fuego
74,Licht::N,серло,luz
75,Schatten::N,ӏиндагӏ,sombra
76,Wetter::N,хенан хӏоттам,tiempo
77,Nebel::N,дохк,niebla
78,Wolke::N,марха,nube
79,Regen::N,догӏа,lluvia
80,Schnee::N,ло,nieve
81,Eis::N,ша,hielo
82,Frost::N,шело,helada
83,Kälte::N,шело,frío
84,Hitze::N,йовхо,calor
85,Raureif::N,йис,escarcha
86,Regenbogen::N,стелаӏад,arco iris
87,Donner::N,ткъес,trueno
88,Strömung::N,дӏаэхар,corriente
89,Strömung::N,дӏасалелар,corriente
90,Tropfen::N,тӏадам,gota
91,Schaum::N,чопа,espuma
92,Schmutz::N,хатт,suciedad
93,See::N,ӏам,lago
94,Sumpf::N,уьшал,pantano
95,Moor::N,уьшал,turbera
96,Wiese::N,бай,prado
97,Wiese::N,бай,pradera
98,Wald::N,хьун,bosque
99,Hügel::N,гу,colina
100,Hügel::N,шу,colina
101,Hügel::N,барз,colina
102,Anhöhe::N,акъари,cerro
103,Berg::N,лам,monte
104,Berg::N,лам,montaña
105,Gipfel::N,бохь,cima
106,Gipfel::N,бохь,cumbre
107,Höhle::N,хьех,cueva
108,Höhle::N,хьех,caverna
109,Abhang::N,басе,cuesta
110,Abhang::N,басе,declive
111,Quelle::N,шовда,fuente
112,Quelle::N,шовда,manantial
113,Bach::N,татол,arroyo
114,Fluss::N,хи,río
115,Ufer::N,хийист,orilla
116,Küste::N,йист,costa
117,Festland::N,латта,tierra firme
118,Meer::N,xӏорд,mar
119,Bucht::N,чож,cala
120,Bucht::N,чож,bahía
121,Insel::N,гӏайре,isla
122,Blume::N,зезаг,flor
123,Gras::N,буц,hierba
124,Wurzel::N,орам,raíz
125,Baum::N,дитт,árbol
126,Stamm::N,гӏад,tronco
127,Stamm::N,тайпа,tronco
128,Rinde::N,кевстиг,corteza
129,Ast::N,га,rama
130,Zweig::N,га,ramo
131,Blatt::N,гӏа,hoja
132,Birke::N,дакх,abedul
133,Kiefer[Baum]::N,бага,pino
134,Weide[Baum]::N,дак,sauce
135,Tanne::N,база,abeto
136,Horn::N,маӏа,asta
137,Horn::N,маӏа,cuerno
138,Feder::N,пелаг,pluma
139,Fell::N,цӏока,piel
140,Flügel::N,тӏам,ala
141,Klaue::N,мӏара,garra
142,Kralle::N,тlод,uña
143,Kralle::N,тlод,garra
144,Schwanz::N,цӏога,cola
145,Ei::N,xӏoa,huevo
146,Nest::N,бен,nido
147,Bau::N,lуьрг,madriguera
148,Tier::N,дийнат,animal
149,Herde::N,жа,rebaño
150,Kuh::N,етт,vaca
151,Bulle::N,сту,toro
152,Pferd::N,говр,caballo
153,Schaf::N,жий,oveja
154,Schaf::N,уьстагӏ,oveja
155,Schwein::N,хьакха,cerdo
156,Hund::N,жӏаьла,perro
157,Katze::N,цициг,gato
158,Bär::N,ча,oso
159,Eichhörnchen::N,тарсал,ardilla
160,Elch::N,сай,alce
161,Fuchs::N,цхьогал,zorro
162,Hase::N,пхьагал,liebre
163,Maus::N,дахка,ratón
164,Wolf::N,борз,lobo
165,Vogel::N,олхазар,ave
166,Vogel::N,олхазар,pájaro
167,Huhn::N,котам,gallina
168,Hahn::N,нӏаьна,gallo
169,Hahn::N,боргӏал,gallo
170,Gans::N,гӏаз,oca
171,Gans::N,гӏаз,ganso
172,Adler::N,aьрзу,águila
173,Ente::N,бад,pato
174,Eule::N,бухӏа,lechuza
175,Kranich::N,гӏаргӏули,grulla
176,Krähe::N,къиг,corneja
177,Kuckuck::N,aттйокх,cuco
178,Schwan::N,гӏургӏаз,cisne
179,Fisch::N,чӏара,pez
180,Barsch::N,окунь,perca
181,Hecht::N,гӏазкхийн чӏара,lucio
182,Schlange[Tier]::N,лаьхьа,serpiente
183,Wurm::N,нӏаьна,gusano
184,Spinne::N,гезг,araña
185,Ameise::N,зингат,hormiga
186,Laus::N,меза,piojo
187,Laus::N,гӏениг,piojo
188,Mücke::N,чуьрк,mosquito
189,Fliege::N,моза,mosca
190,Schmetterling::N,полла,mariposa
191,Beere::N,цӏазам,baya
192,Apfel::N,ӏаж,manzana
193,Pilz::N,жӏаьлин нускал,seta
194,Pilz::N,жӏаьлин нускал,hongo
195,Zwiebel::N,xох,cebolla
196,Saat::N,чlу,siembra
197,Korn::N,буьртиг,grano
198,Heu::N,йол,heno
199,Schale::N,пардо,cáscara
200,Grube::N,ор,foso
201,Falle::N,кӏело,trampa
202,Spur::N,лар,huella
203,Asche::N,чим,ceniza
204,Dreck::N,мода,suciedad
205,Eisen::N,эчиг,hierro
206,Gold::N,деши,oro
207,Silber::N,дети,plata
208,Kohle::N,кӏора,carbón
209,Glas::N,aнгали,vidrio
210,Glas::N,aнгали,cristal
211,Lehm::N,поппар,barro
212,Sand::N,гӏум,arena
213,Mensch::N,адам,hombre
214,Mensch::N,адам,ser humano
215,Mann::N,майра,hombre
216,Frau::N,зуда,mujer
217,Kind::N,бер,niño
218,Junge::N,жимха,chico
219,Junge::N,жимха,muchacho
220,Mädchen::N,жима йоӏ,chica
221,Mädchen::N,жима йоӏ,muchacha
222,Familie::N,доьзал,familia
223,Großvater::N,ненада,abuelo
224,Großmutter::N,денана,abuela
225,Eltern::N,да-нана,padres
226,Vater::N,да,padre
227,Mutter::N,нана,madre
228,Sohn::N,кӏант,hijo
229,Tochter::N,йоӏ,hija
230,Bruder::N,ваша,hermano
231,Schwester::N,йиша,hermana
232,Onkel::N,деваша,tío
233,Tante::N,дейиша,tía
234,Ehemann::N,майра,esposo
235,Ehefrau::N,зуда,esposa
236,Freude::N,самукъа,placer
237,Freude::N,самукъа,alegría
238,Freude::N,хазахетар,placer
239,Freude::N,хазахетар,alegría
240,Gelächter::N,белам,risa
241,Gelächter::N,белам,carcajada
242,Glück::N,ирс,felicidad
243,Kummer::N,бала,pena
244,Wunsch::N,лаам,deseo
245,Lust::N,лаам,ganas
246,Geist::N,са,mente
247,Geist::N,са,espíritu
248,Gedanke::N,ойла,idea
249,Gedanke::N,ойла,pensamiento
250,Gedächtnis::N,диццадалар,memoria
251,Verstand::N,хьекъал,razón
252,Verstand::N,хьекъал,entendimiento
253,Sinn::N,маьӏна,sentido
254,Sinn::N,маьӏна,significado
255,Grund::N,бахьана,causa
256,Wahrheit::N,бакъдерг,verdad
257,Gespräch::N,къамел,conversación
258,Märchen::N,туьйра,cuento
