,Concept_ID,tr,hu
416,Last::N,yük,teher
417,Gang::N,gidiş,járás
418,Gang::N,yürüyüş,járás
419,Schritt::N,adım,lépés
420,Norden::N,kuzey,észak
421,Süden::N,güney,dél
422,Westen::N,batı,nyugat
423,Osten::N,doğu,kelet
424,Holz::N,ağaç,fa
425,Holz::N,tahta,fa
426,Brett::N,tahta,deszka
427,Platte::N,levha,lap
428,Platte::N,levha,lemez
429,Stütze::N,dayak,támasz
430,Stütze::N,dayak,támaszték
431,Stütze::N,destek,támasz
432,Stütze::N,destek,támaszték
433,Stange::N,çubuk,rúd
434,Stange::N,çubuk,pózna
435,Stock::N,sopa,pálca
436,Stock::N,değnek,pálca
437,Stab::N,sırık,bot
438,Stab::N,baston,bot
439,Rohr::N,boru,cső
440,Haus::N,ev,ház
441,Heim::N,ev,otthon
442,Heim::N,yurt,otthon
443,Ofen::N,soba,kályha
444,Fußboden::N,taban,padló
445,Fußboden::N,döşeme,padló
446,Tisch::N,masa,asztal
447,Stuhl::N,iskemle,szék
448,Stuhl::N,sandalye,szék
449,Wiege::N,beşik,bölcső
450,Bett::N,yatak,ágy
451,Regal::N,raf,polc
452,Regal::N,raf,állvány
453,Kiste::N,sandık,láda
454,Fenster::N,pencere,ablak
455,Tür::N,kapı,ajtó
456,Tor::N,kapı,kapu
457,Zaun::N,çit,kerítés
458,Dach::N,dam,tető
459,Dach::N,çatı,tető
460,Leiter::N,merdiven,létra
461,Besen::N,süpürge,seprű
462,Spaten::N,bel,ásó
463,Schaufel::N,kürek,lapát
464,Gabel::N,çatal,villa
465,Löffel::N,kaşık,kanál
466,Messer::N,bıçak,kés
467,Nagel::N,çivi,szeg
468,Netz::N,ağ,háló
469,Haken::N,çengel,kampó
470,Griff::N,kulp,nyél
471,Griff::N,kulp,fogantyú
472,Griff::N,tutamak,nyél
473,Griff::N,tutamak,fogantyú
474,Schloss::N,kilit,zár
475,Bild::N,imaj,kép
476,Bild::N,resim,kép
477,Figur::N,şekil,alak
478,Figur::N,heykel,alak
479,Puppe::N,kukla,bábu
480,Beutel::N,kese,zacskó
481,Beutel::N,torba,zacskó
482,Bündel::N,deste,köteg
483,Tasche::N,çanta,táska
484,Eimer::N,kova,vödör
485,Deckel::N,kapak,fedő
486,Deckel::N,kapak,fedél
487,Geschirr::N,kap kacak,edény
488,Sack::N,torba,zsák
489,Tasse::N,fincan,csésze
490,Topf::N,tencere,fazék
491,Kessel::N,kazan,üst
492,Kessel::N,kazan,bogrács
493,Essen::N,yemek,evés
494,Essen::N,yemek,étkezés
495,Nahrung::N,gıda,ennivaló
496,Nahrung::N,besin,ennivaló
497,Speise::N,yemek,étel
498,Fleisch::N,et,hús
499,Getreide::N,tahıl,gabona
500,Getreide::N,hububat,gabona
501,Brei::N,ezme,pép
502,Brei::N,ezme,kása
503,Brot::N,ekmek,kenyér
504,Scheibe::N,dilim,szelet
505,Fett::N,yağ,háj
506,Fett::N,yağ,zsír
507,Butter::N,tereyağı,vaj
508,Öl::N,yağ,olaj
509,Öl::N,akar yağ,olaj
510,Salz::N,tuz,só
511,Suppe::N,çorba,leves
512,Honig::N,bal,méz
513,Milch::N,süt,tej
514,Tee::N,çay,tea
515,Leder::N,deri,bőr
516,Leder::N,meşin,bőr
517,Wolle::N,yün,gyapjú
518,Stoff::N,kumaş,szövet
519,Nadel::N,iğne,tű
520,Faden::N,tire,fonál
521,Faden::N,iplik,fonál
522,Knopf::N,düğme,gomb
523,Knoten::N,düğüm,csomó
524,Farbe::N,boya,szín
525,Farbe::N,boya,festék
526,Kleidung::N,giyim,ruha
527,Kleidung::N,giyim,ruházat
528,Hemd::N,gömlek,ing
529,Kragen::N,yaka,gallér
530,Ärmel::N,yen,ujj
531,Ärmel::N,elbise kolu,ujj
532,Hose::N,pantolon,gatya
533,Hose::N,pantolon,nadrág
534,Gürtel::N,kuşak,öv
535,Mütze::N,bere,sapka
536,Mütze::N,kasket,sapka
537,Schuh::N,kundura,cipő
538,Schuh::N,ayakkabı,cipő
539,Stiefel::N,çizme,csizma
540,Ring::N,yüzük,gyűrű
541,Band::N,bağ,szalag
542,Band::N,şerit,szalag
543,Kamm::N,tarak,fésű
544,Spiegel::N,ayna,tükör
545,Riemen::N,kayış,szíj
546,Schnur::N,ip,zsinór
547,Schnur::N,sicim,zsinór
548,Leine::N,kayış,póráz
549,Decke::N,örtü,takaró
550,Decke::N,yorgan,takaró
551,Kissen::N,yastık,párna
552,Tuch::N,bez,kendő
553,Handtuch::N,havlu,törülköző
554,Kraft::N,güç,erő
555,Kraft::N,kuvvet,erő
556,Stärke::N,kuvvet,erő
557,Stärke::N,kuvvet,erősség
558,Gesundheit::N,sağlık,egészség
559,Krankheit::N,hastalık,kór
560,Krankheit::N,hastalık,betegség
561,Schmerz::N,ağrı,fájdalom
562,Schmerz::N,sancı,fájdalom
563,Wunde::N,yara,seb
564,Fieber::N,ateş,láz
565,Arznei::N,ilâç,orvosság
566,Arznei::N,ilâç,gyógyszer
567,Brücke::N,köprü,híd
568,Brunnen::N,kuyu,kút
569,Brunnen::N,çeşme,kút
570,Weide::N,otlak,legelő
571,Pfad::N,patika,ösvény
572,Pfad::N,keçiyolu,ösvény
573,Weg::N,yol,út
574,Straße::N,yol,út
575,Straße::N,cadde,út
576,Dorf::N,köy,falu
577,Stadt::N,kent,város
578,Stadt::N,şehir,város
579,Brief::N,mektup,levél
580,Buch::N,kitap,könyv
581,Buchstabe::N,harf,betű
582,Zeitung::N,gazete,újság
583,Zeitung::N,gazete,hírlap
584,Leben::N,hayat,élet
585,Tod::N,ölüm,halál
586,Grab::N,kabir,sír
587,Kirche::N,kilise,templom
588,Sünde::N,günah,bűn
589,Sünde::N,günah,vétek
590,Gott::N,tanrı,isten
591,Arbeiter::N,işçi,munkás
592,Chef::N,şef,főnök
593,Chef::N,müdür,főnök
594,Meister::N,usta,mester
595,Arzt::N,hekim,orvos
596,Arzt::N,doktor,orvos
597,Lehrer::N,hoca,tanár
598,Lehrer::N,hoca,tanító
599,Lehrer::N,öğretmen,tanár
600,Lehrer::N,öğretmen,tanító
601,Geld::N,para,pénz
602,Geschäft::N,ticaret,üzlet
603,Laden::N,dükkân,bolt
604,Preis::N,fiyat,ár
605,Ware::N,mal,áru
606,Nutzen::N,fayda,haszon
607,Reichtum::N,servet,gazdagság
608,Reichtum::N,zenginlik,gazdagság
609,Welt::N,dünya,világ
610,Land::N,ülke,ország
611,Staat::N,devlet,állam
612,König::N,kral,király
613,Macht::N,kudret,hatalom
614,Macht::N,iktidar,hatalom
615,Grenze::N,had,határ
616,Grenze::N,sınır,határ
617,Krieg::N,savaş,háború
618,Feind::N,düşman,ellenség
619,Gewalt::N,zor,erőszak
620,Gewalt::N,cebir,erőszak
621,Kampf::N,savaş,harc
622,Bogen[Waffe]::N,yay,íj
623,Pfeil::N,ok,nyíl
624,Gewehr::N,tüfek,puska
625,Gewehr::N,tüfek,fegyver
626,Fehler::N,hata,hiba
627,Fehler::N,yanlış,hiba
628,Lüge::N,yalan,hazugság
629,Schaden::N,zarar,kár
630,Unglück::N,felâket,csapás
631,Unglück::N,felâket,balszerencse
632,Unglück::N,talihsizlik,csapás
633,Unglück::N,talihsizlik,balszerencse
634,Schuld::N,suç,bűn
635,Schuld::N,kabahat,bűn
636,Alter::N,yaş,kor
637,Schluss::N,son,vég
638,Schluss::N,son,befejezés
639,Zeit::N,zaman,idő
640,Tag::N,gün,nap
641,Morgen::N,sabah,reggel
642,Mittag::N,öğle,dél
643,Abend::N,akşam,este
644,Nacht::N,gece,éj
645,Nacht::N,gece,éjszaka
646,Woche::N,hafta,hét
647,Monat::N,ay,hó
648,Monat::N,ay,hónap
649,Jahr::N,yıl,év
650,Jahr::N,sene,év
651,Frühling::N,ilkbahar,tavasz
652,Sommer::N,yaz,nyár
653,Herbst::N,güz,ősz
654,Herbst::N,sonbahar,ősz
655,Winter::N,kış,tél
656,Januar::N,ocak,január
657,Februar::N,şubat,február
658,März::N,mart,március
659,April::N,nisan,április
660,Mai::N,mayıs,május
661,Juni::N,haziran,június
662,Juli::N,temmuz,július
663,August::N,ağustos,augusztus
664,September::N,eylül,szeptember
665,Oktober::N,ekim,október
666,November::N,kasım,november
667,Dezember::N,aralık,december
668,Montag::N,pazartesi,hétfő
669,Dienstag::N,salı,kedd
670,Mittwoch::N,çarşamba,szerda
671,Donnerstag::N,perşembe,csütörtök
672,Freitag::N,cuma,péntek
673,Samstag::N,cumartesi,szombat
674,Sonntag::N,pazar,vasárnap
675,groß::A,büyük,nagy
676,klein::A,ufak,pici
677,klein::A,ufak,kicsi
678,klein::A,küçük,pici
679,klein::A,küçük,kicsi
680,lang::A,uzun,hosszú
681,kurz::A,kısa,rövid
682,breit::A,enli,széles
