,Concept_ID,no,udm
0,Auge::N,øye,син
1,Ohr::N,øre,пель
2,Nase::N,nese,ныр
3,Mund::N,munn,ым
4,Zahn::N,tann,пинь
5,Zunge::N,tunge,кыл
6,Lippe::N,leppe,ымдур
7,Wange::N,kinn,бам
8,Gesicht::N,fjes,ымныр
9,Gesicht::N,ansikt,ымныр
10,Stirn::N,panne,кымес
11,Haar::N,hår,йырси
12,Schnurrbart::N,bart,мыйык
13,Bart::N,skjegg,туш
14,Kinn::N,hake,ангес
15,Kiefer[Anatomie]::N,kjeve,ан
16,Kiefer[Anatomie]::N,kjeve,анлы
17,Kehle::N,strupe,гульым
18,Hals::N,hals,чырты
19,Genick::N,nakke,йырбер
20,Kopf::N,hode,йыр
21,Rücken::N,rygg,мыш
22,Bauch::N,buk,кӧт
23,Bauch::N,mage,кӧт
24,Nabel::N,navle,гогы
25,Busen::N,barm,ноны
26,Brust::N,bryst,мӧля
27,Schulter::N,skulder,пельпум
28,Arm::N,arm,суй
29,Ellenbogen::N,albue,гырпум
30,Hand::N,hånd,ки
31,Handfläche::N,håndflate,ки пыдэс
32,Handfläche::N,håndflate,кырым пыдэс
33,Finger::N,finger,чиньы
34,Fingernagel::N,fingernegl,гижы
35,Fingernagel::N,fingernegl,гиждӥнь
36,Nagel[Anatomie]::N,negl,гижы
37,Zeh::N,tå,пыдчиньы
38,Fuß::N,fot,пыд
39,Ferse::N,hæl,пыдбер
40,Knie::N,kne,пыдес
41,Oberschenkel::N,lår,макес
42,Bein::N,bein,пыд
43,Körper::N,kropp,мугор
44,Körper::N,kropp,вылтыр
45,Körper::N,legeme,мугор
46,Körper::N,legeme,вылтыр
47,Haut::N,hud,ку
48,Haut::N,skinn,ку
49,Blut::N,blod,вир
50,Ader::N,åre,вирсэр
51,Sehne::N,sene,вуж
52,Knochen::N,bein,лы
53,Knochen::N,knokkel,лы
54,Gehirn::N,hjerne,вим
55,Herz::N,hjerte,сюлэм
56,Magen::N,mage,ӝуш
57,Leber::N,lever,мус
58,Atem::N,pust,лул
59,Atem::N,pust,шокан
60,Hunger::N,sult,кӧтсюман
61,Träne::N,tåre,синкыли
62,Geschmack::N,smak,шӧм
63,Geruch::N,lukt,зын
64,Schlaf::N,søvn,вӧт
65,Traum::N,drøm,уйвӧт
66,Himmel::N,himmel,ин
67,Sonne::N,sol,шунды
68,Mond::N,måne,толэзь
69,Stern::N,stjerne,кизили
70,Luft::N,luft,омыр
71,Wind::N,vind,тӧл
72,Welle::N,bølge,тулкым
73,Wasser::N,vann,ву
74,Stein::N,stein,из
75,Boden::N,bakke,музъем
76,Erde::N,jord,му
77,Staub::N,støv,пыль
78,Rauch::N,røyk,ӵын
79,Funke::N,gnist,гизьы
80,Feuer::N,ild,тыл
81,Licht::N,lys,тыл
82,Schatten::N,skygge,вужер
83,Wetter::N,vær,куазь
84,Nebel::N,tåke,бус
85,Wolke::N,sky,пилем
86,Regen::N,regn,зор
87,Schnee::N,snø,лымы
88,Eis::N,is,йӧ
89,Frost::N,frost,кезьыт
90,Kälte::N,kulde,кезьыт
91,Hitze::N,hete,пӧсь
92,Raureif::N,rimfrost,гӧр
93,Regenbogen::N,regnbue,вуюись
94,Donner::N,torden,гудыри
95,Strömung::N,strømning,бызён
96,Tropfen::N,dråpe,шапык
97,Schaum::N,skum,шукы
98,Schmutz::N,søl,нӧд
99,Schmutz::N,søl,дэри
100,Schmutz::N,skitt,нӧд
101,Schmutz::N,skitt,дэри
102,See::N,sjø,ты
103,Sumpf::N,sump,нюр
104,Sumpf::N,myrlende,нюр
105,Moor::N,myr,нюр
106,Moor::N,myrhei,нюр
107,Wiese::N,eng,возь
108,Wiese::N,eng,возьвыл
109,Wald::N,skog,сик
110,Wald::N,skog,нюлэс
111,Hügel::N,haug,выр
112,Hügel::N,haug,вырйыл
113,Hügel::N,bakke,выр
114,Hügel::N,bakke,вырйыл
115,Anhöhe::N,haug,выр
116,Anhöhe::N,haug,вырйыл
117,Anhöhe::N,bakke,выр
118,Anhöhe::N,bakke,вырйыл
119,Berg::N,berg,гурезь
120,Berg::N,fjell,гурезь
