,Concept_ID,ab,ga
0,Auge::N,ала,súil
1,Ohr::N,алымҳа,cluas
2,Nase::N,аҧынҵа,soc
3,Mund::N,аҧышə,béal
4,Zahn::N,ахаҧыц,fiacail
5,Zunge::N,абз,teanga
6,Lippe::N,ақьышə,liopa
7,Wange::N,аӡамҩа,grua
8,Wange::N,аӡамҩа,leiceann
9,Gesicht::N,аҿы,éadan
10,Gesicht::N,аҿы,aghaidh
11,Stirn::N,алахь,baithis
12,Stirn::N,алахь,clár éadain
13,Haar::N,ахəыц,gruaig
14,Schnurrbart::N,аҧаҵа,croiméal
15,Bart::N,ажакьа,féasóg
16,Kinn::N,ацламкəыгə,smig
17,Kiefer[Anatomie]::N,ацламҳəа,giall
18,Kehle::N,ахəда,scornach
19,Hals::N,ахəда,muinéal
20,Genick::N,ахəдаџьал,baic
21,Kopf::N,ахы,ceann
22,Rücken::N,азқəа,droim
23,Bauch::N,амгəа,bolg
24,Nabel::N,аҷапан,imleacán
25,Busen::N,агəыҧҳəы,cíoch
26,Brust::N,агəышҧы,brollach
27,Schulter::N,ажəҩахыр,gualainn
28,Arm::N,амахəар,lámh
29,Ellenbogen::N,амашьхəылҵ,uillinn
30,Hand::N,анапы,lámh
31,Handfläche::N,анапсаргəыҵа,bos
32,Finger::N,анацəа,méar
33,Fingernagel::N,анапхыц,ionga
34,Nagel[Anatomie]::N,ашьапхыц,ionga
35,Zeh::N,ашьацəа,ladhar
36,Fuß::N,ашьапсыргəыҵа,cos
37,Fuß::N,ашьапсыргəыҵа,troigh
38,Ferse::N,ашьхəа,sáil
39,Knie::N,ашьамхы,glúin
40,Oberschenkel::N,ауаҭəа,ceathrú
41,Bein::N,ашьапы,cos
42,Körper::N,ацəеижь,corp
43,Körper::N,ацəеижь,colainn
44,Haut::N,ацəа,cneas
45,Haut::N,ацəа,craiceann
46,Blut::N,ашьа,fuil
47,Ader::N,ада,
48,Sehne::N,адаш,teannán
49,Sehne::N,адаш,féitheog
50,Knochen::N,абаҩ,cnámh
51,Gehirn::N,ахшлыбаҩ,inchinn
