,Concept_ID,sv,br
0,Auge::N,öga,lagad
1,Ohr::N,öra,skouarn
2,Nase::N,näsa,fri
3,Mund::N,mun,genoù
4,Zahn::N,tand,dant
5,Zunge::N,tunga,teod
6,Lippe::N,läpp,muzell
7,Wange::N,kind,chot
8,Gesicht::N,syn,dremm
9,Gesicht::N,ansikte,dremm
10,Stirn::N,panna,tal
11,Haar::N,hår,blev
12,Schnurrbart::N,mustasch,mourenn
13,Bart::N,skägg,barv
14,Kinn::N,haka,groñj
15,Kiefer[Anatomie]::N,käke,javed
16,Kehle::N,strupe,gouzoug
17,Hals::N,hals,gouzoug
18,Genick::N,nacke,choug
19,Kopf::N,huvud,penn
20,Rücken::N,rygg,kein
21,Bauch::N,buk,kof
22,Bauch::N,mage,kof
23,Nabel::N,navel,begel
24,Busen::N,barm,bronn
25,Brust::N,bröst,bruched
26,Schulter::N,skuldra,skoaz
27,Arm::N,arm,brec'h
28,Ellenbogen::N,armbåge,ilin
29,Hand::N,hand,dorn
30,Handfläche::N,handflata,palv
31,Finger::N,finger,biz
32,Fingernagel::N,fingernagel,ivin
33,Nagel[Anatomie]::N,nagel,ivin
34,Zeh::N,tå,biz-troad
35,Fuß::N,fot,troad
36,Ferse::N,häl,seul
37,Knie::N,knä,glin
38,Oberschenkel::N,lår,morzhed
39,Bein::N,ben,gar
40,Körper::N,kropp,korf
41,Haut::N,hud,kroc'hen
42,Haut::N,skinn,kroc'hen
43,Blut::N,blod,gwad
44,Ader::N,åder,gwazhi
45,Sehne::N,sena,stir
46,Knochen::N,ben,askorn
47,Gehirn::N,hjärna,empenn
48,Herz::N,hjärta,kalon
49,Magen::N,mage,stomog
50,Leber::N,lever,avu
51,Atem::N,anda,anal
52,Atem::N,andedräkt,anal
53,Hunger::N,svält,naon
54,Hunger::N,hunger,naon
55,Träne::N,tår,daer
56,Geschmack::N,smak,blaz
57,Geruch::N,lukt,c'hwezh
58,Schlaf::N,sömn,kousked
59,Traum::N,dröm,hune
60,Himmel::N,himmel,oabl
61,Sonne::N,sol,heol
62,Mond::N,måne,loar
63,Stern::N,stjärna,steredenn
64,Luft::N,luft,aer
65,Wind::N,vind,avel
66,Welle::N,våg,houlenn
67,Welle::N,bölja,houlenn
68,Wasser::N,vatten,dour
69,Stein::N,sten,maen
70,Boden::N,mark,tachenn
71,Erde::N,jord,douar
72,Staub::N,damm,poultr
73,Rauch::N,rök,moged
74,Funke::N,gnista,ful
75,Feuer::N,eld,tan
76,Licht::N,ljus,gouloù
77,Schatten::N,skugga,disheol
78,Wetter::N,väder,amzer
79,Nebel::N,dimma,brumenn
80,Nebel::N,töcken,brumenn
81,Wolke::N,sky,koumoulenn
82,Wolke::N,moln,koumoulenn
83,Regen::N,regn,glav
84,Schnee::N,snö,erc'h
85,Eis::N,is,skorn
86,Frost::N,frost,rev
87,Kälte::N,köld,yen
88,Hitze::N,hetta,tommder
89,Raureif::N,rimfrost,frim
90,Regenbogen::N,regnbåge,gwareg-ar-glav
91,Donner::N,åska,kurun
92,Donner::N,dunder,kurun
93,Strömung::N,strömning,red
94,Tropfen::N,dropper,bannac'h
95,Tropfen::N,dropper,takenn
96,Schaum::N,skum,spoum
97,Schmutz::N,lort,fank
98,Schmutz::N,smuts,fank
99,See::N,sjö,lenn
100,Sumpf::N,träsk,gwern
101,Moor::N,myr,taouarc'heg
102,Moor::N,mosse,taouarc'heg
103,Wiese::N,äng,prad
104,Wald::N,skog,koad
105,Hügel::N,höjd,torgenn
106,Hügel::N,kulle,torgenn
107,Anhöhe::N,höjd,run
108,Anhöhe::N,backe,run
109,Berg::N,berg,menez
110,Berg::N,fjäll,menez
111,Gipfel::N,topp,barr
112,Höhle::N,håla,kav
113,Höhle::N,grotta,kav
114,Abhang::N,slänt,naou
115,Abhang::N,sluttning,naou
116,Quelle::N,källa,feunteun
117,Bach::N,bäck,gwazh
118,Fluss::N,älv,stêr
119,Fluss::N,flod,stêr
120,Ufer::N,strand,ribl
121,Küste::N,kust,aod
122,Festland::N,fastland,douar
123,Meer::N,hav,mor
124,Bucht::N,vik,mor-bihan
125,Bucht::N,bukt,mor-bihan
126,Insel::N,ö,enez
127,Blume::N,blomma,bleunienn
128,Blume::N,blomster,bleunienn
129,Gras::N,gräs,geot
130,Wurzel::N,rot,gwrizienn
131,Baum::N,träd,gwezenn
132,Stamm::N,stam,kef
133,Rinde::N,bark,rusk
134,Ast::N,gren,barr
135,Zweig::N,kvist,bod
136,Blatt::N,löv,delienn
137,Blatt::N,blad,delienn
138,Birke::N,björk,bezvenn
139,Kiefer[Baum]::N,tall,pinenn
140,Weide[Baum]::N,pil,halegenn
141,Weide[Baum]::N,vide,halegenn
142,Tanne::N,gran,sapenn
143,Horn::N,horn,korn
144,Feder::N,fjäder,pluñv
145,Fell::N,fäll,kreoñ
146,Fell::N,skinn,kreoñ
147,Flügel::N,vinge,askell
148,Klaue::N,klöv,skilf
149,Kralle::N,klo,skilf
150,Schwanz::N,svans,lost
151,Schwanz::N,stjärt,lost
152,Ei::N,ägg,vi
153,Nest::N,rede,neizh
154,Nest::N,näste,neizh
155,Bau::N,bo,douarenn
156,Tier::N,djur,loen
157,Herde::N,flock,tropell
158,Kuh::N,ko,buoc'h
159,Bulle::N,tjur,tarv
160,Pferd::N,häst,marc'h
161,Schaf::N,får,dañvad
162,Schwein::N,svin,pemoc'h
163,Hund::N,hund,ki
164,Katze::N,katt,kazh
165,Bär::N,björn,arzh
166,Eichhörnchen::N,ekorre,gwiñver
167,Elch::N,älg,karv-dour
168,Fuchs::N,räv,louarn
169,Hase::N,hare,gad
170,Maus::N,mus,logodenn
171,Wolf::N,varg,bleiz
172,Vogel::N,fågel,labous
173,Schwarm::N,svärm,nijad
174,Huhn::N,höns,yar
175,Hahn::N,tupp,kilhog
176,Gans::N,gås,gwazenn
177,Adler::N,örn,erer
178,Ente::N,anka,houad
179,Eule::N,uggla,toud
180,Kranich::N,trana,garan
181,Krähe::N,kråka,bran
182,Kuckuck::N,gök,koukoug
183,Schwan::N,svan,alarc'h
184,Fisch::N,fisk,pesk
185,Barsch::N,abborre,brell
186,Hecht::N,gädda,beked
187,Schlange[Tier]::N,orm,naer
188,Wurm::N,mask,preñv
