,Concept_ID,de,kl
0,Auge::N,Auge,isi
1,Ohr::N,Ohr,siut
2,Nase::N,Nase,
3,Mund::N,Mund,paaq
4,Mund::N,Mund,qaneq
5,Zahn::N,Zahn,kigut
6,Zunge::N,Zunge,oqaq
7,Lippe::N,Lippe,qarloq
8,Wange::N,Wange,ersaq
9,Gesicht::N,Gesicht,kiinaq
10,Stirn::N,Stirn,qaaq
11,Haar::N,Haar,meqqoq
12,Schnurrbart::N,Schnurrbart,
13,Bart::N,Bart,umik
14,Kinn::N,Kinn,talloq
15,Kiefer[Anatomie]::N,Kiefer,alleroq
16,Kehle::N,Kehle,malaq
17,Hals::N,Hals,qungaseq
18,Genick::N,Genick,pukusuk
19,Kopf::N,Kopf,niaqoq
20,Rücken::N,Rücken,qimerlut
21,Bauch::N,Bauch,naaq
22,Nabel::N,Nabel,qalaseq
23,Busen::N,Busen,iviangeq
24,Brust::N,Brust,iviangeq
25,Schulter::N,Schulter,ersik
26,Schulter::N,Schulter,assaqqoq
27,Arm::N,Arm,taleq
28,Ellenbogen::N,Ellenbogen,ikusik
29,Hand::N,Hand,assak
30,Handfläche::N,Handfläche,itumak
31,Finger::N,Finger,inuak
32,Fingernagel::N,Fingernagel,kikiak
33,Nagel[Anatomie]::N,Nagel,kukik
34,Zeh::N,Zeh,isigak
35,Fuß::N,Fuß,
36,Ferse::N,Ferse,kimmik
37,Knie::N,Knie,seeqqoq
38,Oberschenkel::N,Oberschenkel,uppat
39,Oberschenkel::N,Oberschenkel,quttoraq
40,Bein::N,Bein,isigak
41,Körper::N,Körper,timi
42,Haut::N,Haut,mattak
43,Blut::N,Blut,aak
44,Ader::N,Ader,taqaq
45,Sehne::N,Sehne,ujalu
46,Sehne::N,Sehne,ujaloq
47,Knochen::N,Knochen,saanikut
48,Gehirn::N,Gehirn,qarasaq
49,Herz::N,Herz,uummat
50,Magen::N,Magen,aqajaroq
51,Leber::N,Leber,tinguk
52,Atem::N,Atem,anerneq
53,Hunger::N,Hunger,kaanneq
54,Träne::N,Träne,qia
55,Träne::N,Träne,qiak
56,Geschmack::N,Geschmack,qilanaartuut
57,Geruch::N,Geruch,tipi
58,Geruch::N,Geruch,tipik
59,Schlaf::N,Schlaf,
60,Traum::N,Traum,sinnattoq
61,Traum::N,Traum,sinnattugaq
62,Himmel::N,Himmel,qilak
63,Sonne::N,Sonne,seqineq
64,Mond::N,Mond,qaammat
