,Concept_ID,is,tt
0,Auge::N,auga,күз
1,Ohr::N,eyra,колак
2,Nase::N,nef,борын
3,Mund::N,munnur,авыз
4,Mund::N,munnur,тамак
5,Zahn::N,tönn,теш
6,Zunge::N,tunga,тел
7,Lippe::N,vör,ирен
8,Wange::N,kinn,яңак
9,Wange::N,vangi,яңак
10,Gesicht::N,andlit,йөз
11,Stirn::N,enni,маңгай
12,Haar::N,hár,чәч
13,Schnurrbart::N,yfirskegg,мыек
14,Bart::N,skegg,сакал
15,Kinn::N,haka,ияк
16,Kiefer[Anatomie]::N,kjálki,казналык
17,Kiefer[Anatomie]::N,skoltur,казналык
18,Kehle::N,kverk,тамак
19,Hals::N,háls,бугаз
20,Genick::N,hnakki,җилкә
21,Kopf::N,höfuð,баш
22,Rücken::N,hryggur,сырт
23,Bauch::N,kviður,корсак
24,Nabel::N,nafli,кендек
25,Busen::N,barmur,түш
26,Brust::N,brjóst,имчәк
27,Brust::N,brjóst,күкрәк
28,Schulter::N,öxl,иңбаш
29,Schulter::N,öxl,кулбаш
30,Arm::N,armur,кул
31,Ellenbogen::N,olnbogi,терсәк
32,Hand::N,hönd,кул
33,Handfläche::N,lófi,уч
34,Finger::N,fingur,бармак
35,Fingernagel::N,fingurnögl,тырнак
36,Nagel[Anatomie]::N,nögl,тырнак
37,Zeh::N,tá,бармак
38,Fuß::N,fótur,табан
39,Ferse::N,hæll,үкчә
40,Knie::N,kné,тез
41,Oberschenkel::N,læri,бот
42,Bein::N,fótleggur,аяк
43,Körper::N,búkur,тән
44,Körper::N,búkur,җисем
45,Körper::N,líkami,тән
46,Körper::N,líkami,җисем
47,Haut::N,húð,тире
48,Haut::N,skinn,тире
49,Blut::N,blóð,кан
50,Ader::N,æð,тамыр
51,Sehne::N,sin,сеңер
52,Knochen::N,bein,сөяк
53,Gehirn::N,heili,ми
54,Herz::N,hjarta,йөрәк
55,Magen::N,magi,ашказаны
56,Leber::N,lifur,бавыр
57,Atem::N,andi,сулыш
58,Atem::N,andardráttur,сулыш
59,Hunger::N,hungur,ачлык
60,Träne::N,tár,яшь
61,Geschmack::N,smekkur,тәм
62,Geschmack::N,smekkur,зәвык
63,Geruch::N,lykt,ис
64,Schlaf::N,svefn,йокы
65,Traum::N,draumur,төш
66,Himmel::N,himinn,күк
67,Sonne::N,sól,кояш
68,Mond::N,tungl,ай
69,Stern::N,stjarna,йолдыз
70,Luft::N,loft,һава
71,Wind::N,vindur,җил
72,Welle::N,alda,дулкын
73,Welle::N,bylgja,дулкын
74,Wasser::N,vatn,су
75,Stein::N,steinn,таш
76,Boden::N,botn,туфрак
77,Erde::N,jörð,җир
78,Staub::N,ryk,тузан
79,Staub::N,duft,тузан
