,Concept_ID,fr,uk
0,Auge::N,œil,око
1,Ohr::N,oreille,вухо
2,Nase::N,nez,ніс
3,Mund::N,bouche,рот
4,Zahn::N,dent,зуб
5,Zunge::N,langue,язик
6,Lippe::N,lèvre,губа
7,Wange::N,joue,щока
8,Gesicht::N,face,обличчя
9,Gesicht::N,visage,обличчя
10,Stirn::N,front,лоб
11,Haar::N,cheveu,волосся
12,Schnurrbart::N,moustache,вуса
13,Bart::N,barbe,борода
14,Kinn::N,menton,підборіддя
15,Kiefer[Anatomie]::N,mâchoire,щелепа
16,Kehle::N,gorge,горло
17,Hals::N,cou,шия
18,Genick::N,nuque,потилиця
19,Kopf::N,tête,голова
20,Rücken::N,dos,спина
21,Bauch::N,ventre,живіт
22,Nabel::N,nombril,пупок
23,Busen::N,sein,груди
24,Brust::N,poitrine,груди
25,Schulter::N,épaule,плече
26,Arm::N,bras,рука
27,Ellenbogen::N,coude,лікоть
28,Hand::N,main,рука
29,Handfläche::N,paume,долоня
30,Finger::N,doigt,палець
31,Fingernagel::N,ongle,ніготь
32,Nagel[Anatomie]::N,ongle,ніготь
33,Zeh::N,orteil,палець на нозі
34,Zeh::N,doigt de pied,палець на нозі
35,Fuß::N,pied,нога
36,Ferse::N,talon,п’ятка
37,Knie::N,genou,коліно
38,Oberschenkel::N,cuisse,стегно
39,Bein::N,jambe,нога
40,Körper::N,corps,тіло
41,Haut::N,peau,шкіра
42,Blut::N,sang,кров
43,Ader::N,veine,вена
44,Sehne::N,tendon,сухожилля
45,Knochen::N,os,кістка
46,Gehirn::N,cerveau,мозок
47,Herz::N,cœur,серце
48,Magen::N,estomac,шлунок
49,Leber::N,foie,печінка
50,Atem::N,haleine,дихання
51,Hunger::N,faim,голод
52,Träne::N,larme,сльоза
53,Geschmack::N,goût,смак
54,Geschmack::N,saveur,смак
55,Geruch::N,odeur,запах
56,Schlaf::N,sommeil,сон
57,Schlaf::N,sommeil,сплячка
58,Traum::N,songe,сон
59,Himmel::N,ciel,небо
60,Sonne::N,soleil,сонце
61,Mond::N,lune,місяць
62,Stern::N,étoile,зірка
63,Luft::N,air,повітря
64,Wind::N,vent,вітер
65,Welle::N,vague,хвиля
66,Wasser::N,eau,вода
67,Stein::N,pierre,камінь
68,Boden::N,sol,ґрунт
69,Boden::N,terrain,ґрунт
70,Erde::N,terre,земля
71,Staub::N,poussière,пил
72,Rauch::N,fumée,дим
73,Funke::N,étincelle,іскра
74,Feuer::N,feu,вогонь
75,Licht::N,lumière,світло
76,Schatten::N,ombre,тінь
77,Wetter::N,temps,погода
78,Nebel::N,brume,туман
79,Nebel::N,brouillard,туман
80,Wolke::N,nuage,хмара
81,Regen::N,pluie,дощ
82,Schnee::N,neige,сніг
83,Eis::N,glace,лід
84,Frost::N,gel,мороз
85,Frost::N,gelée,мороз
86,Kälte::N,froid,холод
87,Hitze::N,chaleur,жар
88,Raureif::N,givre,іній
89,Regenbogen::N,arc-en-ciel,райдуга
90,Donner::N,tonnerre,грім
91,Strömung::N,courant,струмина
92,Tropfen::N,goutte,крапля
93,Schaum::N,écume,піна
94,Schaum::N,mousse,піна
95,Schmutz::N,boue,бруд
96,Schmutz::N,saleté,бруд
97,See::N,lac,озеро
98,Sumpf::N,marais,драговина
99,Sumpf::N,marécage,драговина
100,Moor::N,tourbière,болото
101,Wiese::N,pré,луг
102,Wiese::N,pré,лука
103,Wald::N,bois,ліс
104,Wald::N,forêt,ліс
105,Hügel::N,coteau,горб
106,Hügel::N,colline,горб
107,Anhöhe::N,éminence,височина
108,Anhöhe::N,élévation,височина
109,Berg::N,mont,гора
110,Berg::N,montagne,гора
111,Gipfel::N,cime,вершина
112,Gipfel::N,sommet,вершина
113,Höhle::N,caverne,печера
114,Abhang::N,pente,схил
115,Abhang::N,versant,схил
116,Quelle::N,source,джерело
117,Quelle::N,fontaine,джерело
118,Bach::N,ruisseau,струмок
119,Fluss::N,fleuve,річка
120,Fluss::N,rivière,річка
121,Ufer::N,bord,берег
122,Ufer::N,rivage,берег
123,Küste::N,côte,узбережжя
124,Festland::N,terre ferme,суша
125,Meer::N,mer,море
126,Bucht::N,baie,бухта
127,Bucht::N,baie,затока
128,Insel::N,île,острів
129,Blume::N,fleur,квітка
130,Gras::N,herbe,трава
131,Wurzel::N,racine,корінь
132,Baum::N,arbre,дерево
133,Stamm::N,tronc,стовбур
134,Rinde::N,écorce,кора
135,Ast::N,branche,гілка
136,Zweig::N,rameau,галузь
137,Blatt::N,feuille,лист
138,Birke::N,bouleau,береза
139,Kiefer[Baum]::N,pin,сосна
140,Weide[Baum]::N,saule,верба
141,Tanne::N,sapin,ялиця
142,Horn::N,corne,ріг
143,Feder::N,plume,перо
144,Fell::N,peau,хутро
145,Flügel::N,aile,крило
146,Klaue::N,serre,кіготь
147,Kralle::N,ongle,лапа
148,Kralle::N,griffe,лапа
149,Schwanz::N,queue,хвіст
150,Ei::N,œuf,яйце
151,Nest::N,nid,гніздо
152,Bau::N,terrier,лігво
153,Tier::N,animal,тварина
154,Herde::N,troupeau,стадо
155,Kuh::N,vache,корова
156,Bulle::N,taureau,бик
157,Bulle::N,taureau,бугай
158,Pferd::N,cheval,кінь
159,Schaf::N,mouton,вівця
160,Schwein::N,porc,свиня
161,Schwein::N,cochon,свиня
162,Hund::N,chien,собака
163,Katze::N,chat,кішка
164,Bär::N,ours,ведмідь
165,Eichhörnchen::N,écureuil,білка
166,Elch::N,élan,лось
167,Fuchs::N,renard,лисиця
168,Hase::N,lièvre,заєць
169,Maus::N,souris,миша
170,Wolf::N,loup,вовк
171,Vogel::N,oiseau,птах
172,Schwarm::N,nuée,зграя
173,Schwarm::N,volée,зграя
174,Huhn::N,poule,курка
175,Hahn::N,coq,півень
176,Gans::N,oie,гуска
177,Adler::N,aigle,орел
178,Ente::N,canard,качка
179,Eule::N,hibou,сова
180,Kranich::N,grue,журавель
181,Krähe::N,corneille,ворона
182,Kuckuck::N,coucou,зозуля
183,Schwan::N,cygne,лебідь
184,Fisch::N,poisson,риба
185,Barsch::N,perche,окунь
186,Hecht::N,brochet,щука
187,Schlange[Tier]::N,serpent,змія
188,Wurm::N,ver,черв’як
189,Spinne::N,araignée,павук
190,Ameise::N,fourmi,мурашка
191,Laus::N,pou,воша
192,Mücke::N,moucheron,комар
193,Fliege::N,mouche,муха
194,Schmetterling::N,papillon,метелик
195,Beere::N,baie,ягода
196,Apfel::N,pomme,яблуко
197,Pilz::N,champignon,гриб
198,Zwiebel::N,oignon,цибуля
199,Saat::N,semence,сім’я
200,Korn::N,grain,зерно
201,Heu::N,foin,сіно
202,Schale::N,pelure,шкірка
203,Grube::N,fosse,яма
204,Falle::N,piège,пастка
205,Schlinge::N,lacs,петля
206,Spur::N,trace,слід
207,Asche::N,cendre,зола
208,Asche::N,cendre,попіл
209,Dreck::N,crotte,бруд
210,Eisen::N,fer,залізо
211,Gold::N,or,золото
212,Silber::N,argent,срібло
213,Kohle::N,charbon,вугілля
214,Glas::N,verre,скло
215,Lehm::N,glaise,глина
216,Sand::N,sable,пісок
217,Mensch::N,homme,людина
218,Mann::N,homme,чоловік
219,Frau::N,femme,жінка
220,Kind::N,enfant,дитина
221,Junge::N,garçon,хлопець
222,Mädchen::N,fille,дівчина
223,Mädchen::N,jeune fille,дівчина
224,Familie::N,famille,сім’я
225,Familie::N,famille,родина
226,Großvater::N,grand-père,дідусь
227,Großmutter::N,grand-mère,бабуся
228,Eltern::N,parents,батьки
229,Vater::N,père,батько
230,Mutter::N,mère,мати
231,Sohn::N,fils,син
232,Tochter::N,fille,дочка
