,Concept_ID,ar,mhr
0,Auge::N,عين,шинча́
1,Ohr::N,أذن,пы́лыш
2,Nase::N,أنف,нер
3,Mund::N,فم,умша́
4,Zahn::N,سن,пӱй
5,Zunge::N,لسان,йы́лме
6,Lippe::N,شفة,тӱ́рвӧ
7,Wange::N,خد,шӱ́ргӧ
8,Wange::N,وجنة,шӱ́ргӧ
9,Gesicht::N,وجه,чури́й
10,Stirn::N,جبين,саҥга́
11,Haar::N,شعر,ӱп
12,Schnurrbart::N,شارب,ӧ́рыш
13,Bart::N,لحية,понда́ш
14,Kinn::N,ذقن,оҥыла́ш
15,Kiefer[Anatomie]::N,فك,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,فك,пӱйората́
17,Kehle::N,حلق,лога́р
18,Hals::N,عنق,шӱй
19,Hals::N,رقبة,шӱй
20,Genick::N,قفا,шӱйло́дыш
21,Kopf::N,رأس,вуй
22,Rücken::N,ظهر,туп
23,Bauch::N,بطن,мӱ́шкыр
24,Nabel::N,سرة,кы́лымде
25,Busen::N,ثدي,чы́зе
26,Brust::N,صدر,оҥ
27,Schulter::N,كتف,ва́че
28,Arm::N,ذراع,кид
29,Ellenbogen::N,كوع,кынерву́й
30,Hand::N,يد,кид
31,Hand::N,يد,копа́
32,Handfläche::N,كف,со́во
33,Finger::N,إصبع,парня́
34,Fingernagel::N,ظفر,кидкӱ́ч
35,Fingernagel::N,ظفر,парнягӱ́ч
36,Nagel[Anatomie]::N,ظفر,кӱч
37,Zeh::N,إصبع القدم,йолварня́
38,Fuß::N,قدم,йол
39,Fuß::N,قدم,йолкопа́
40,Ferse::N,كعب,тага́н
41,Knie::N,ركبة,пулву́й
42,Oberschenkel::N,فخذ,э́рде
43,Bein::N,ساق,йол
44,Körper::N,جسم,кап
45,Haut::N,بشرة,кова́ште
46,Blut::N,دم,вӱр
47,Ader::N,عرق,шӧн
48,Sehne::N,طنب,шӧн
49,Sehne::N,طنب,кӱсе́н
50,Knochen::N,عظم,лу
51,Gehirn::N,دماغ,вем
52,Gehirn::N,دماغ,вуйве́м
53,Herz::N,قلب,шӱм
54,Magen::N,معدة,пага́р
55,Leber::N,كبد,мокш
56,Atem::N,نفس,шӱ́лыш
57,Hunger::N,جوع,шужыма́ш
58,Träne::N,دمعة,шинчавӱ́д
59,Geschmack::N,طعم,там
60,Geschmack::N,مذاق,там
61,Geruch::N,رائحة,пуш
62,Schlaf::N,نوم,о́мо
63,Schlaf::N,منام,о́мо
64,Traum::N,حلم,йӱдо́мо
65,Himmel::N,سماء,кава́
66,Sonne::N,شمس,ке́че
67,Mond::N,قمر,ты́лзе
68,Stern::N,نجم,шӱ́дыр
69,Stern::N,كوكب,шӱ́дыр
70,Luft::N,هواء,юж
71,Wind::N,ريح,марде́ж
72,Welle::N,موجة,то́лкын
73,Wasser::N,ماء,вӱд
74,Stein::N,حجر,кӱ
75,Boden::N,تراب,рок
76,Erde::N,أرض,мла́нде
77,Staub::N,غبار,пура́к
78,Rauch::N,دخان,шикш
79,Funke::N,شرارة,сеске́м
80,Funke::N,شرارة,тулйы́п
81,Feuer::N,نار,тул
82,Licht::N,نور,со́то
83,Licht::N,ضوء,со́то
84,Schatten::N,ظل,ӱ́мыл
85,Schatten::N,فيء,ӱ́мыл
86,Wetter::N,جو,иге́че
87,Wetter::N,طقس,иге́че
88,Nebel::N,ضباب,тӱтыра́
89,Wolke::N,غيمة,пыл
90,Wolke::N,سحابة,пыл
91,Regen::N,مطر,йӱр
92,Schnee::N,ثلج,лум
93,Eis::N,جليد,ий
94,Frost::N,صقيع,чатлама́
95,Kälte::N,برد,йӱ́штӧ
96,Hitze::N,حر,шо́кшо
97,Hitze::N,حرارة,шо́кшо
98,Raureif::N,صقيع,пӧрш
99,Raureif::N,صقيع,по́кшым
100,Regenbogen::N,قوس قزح,шонанпы́л
101,Donner::N,رعد,кӱ́дырчӧ
102,Strömung::N,تيار,йо́гын
103,Tropfen::N,قطرة,чӱча́лтыш
104,Schaum::N,زبد,шоҥ
105,Schaum::N,رغوة,шоҥ
106,Schmutz::N,وسخ,лавыра́
107,See::N,بحيرة,ер
108,Sumpf::N,مستنقع,лӱ́кӧ
109,Moor::N,مستنقع,куп
110,Wiese::N,مرج,о́лык
111,Wald::N,غابة,чодыра́
112,Hügel::N,تل,арка́
113,Anhöhe::N,تل,тӧва́
114,Anhöhe::N,تل,кӱкшака́
115,Berg::N,جبل,ку́рык
116,Gipfel::N,قمة,чаҥга́
117,Gipfel::N,قمة,курыкву́й
118,Höhle::N,كهف,пеще́р
119,Höhle::N,كهف,курыкпо́мыш
120,Abhang::N,منحدر,та́йыл
121,Quelle::N,منبع,важ
122,Quelle::N,منبع,вӱдшинча́
123,Bach::N,مجرى,изэҥе́р
124,Fluss::N,نهر,эҥе́р
125,Ufer::N,ضفة,сер
126,Küste::N,ساحل,вӱдтӱ́р
127,Festland::N,بر,мла́нде
128,Meer::N,بحر,те́ҥыз
129,Bucht::N,خليج,икса́
130,Insel::N,جزيرة,отро́
131,Blume::N,زهرة,пеле́дыш
132,Gras::N,حشيش,шу́до
133,Wurzel::N,أصل,вож
