,Concept_ID,tt,nl
0,Auge::N,күз,oog
1,Ohr::N,колак,oor
2,Nase::N,борын,neus
3,Mund::N,авыз,mond
4,Mund::N,тамак,mond
5,Zahn::N,теш,tand
6,Zunge::N,тел,tong
7,Lippe::N,ирен,lip
8,Wange::N,яңак,wang
9,Gesicht::N,йөз,gelaat
10,Gesicht::N,йөз,gezicht
11,Stirn::N,маңгай,voorhoofd
12,Haar::N,чәч,haar
13,Schnurrbart::N,мыек,snor
14,Bart::N,сакал,baard
15,Kinn::N,ияк,kin
16,Kiefer[Anatomie]::N,казналык,kaak
17,Kehle::N,тамак,keel
18,Kehle::N,тамак,strot
19,Hals::N,бугаз,hals
20,Genick::N,җилкә,nek
21,Kopf::N,баш,hoofd
22,Rücken::N,сырт,rug
23,Bauch::N,корсак,buik
24,Nabel::N,кендек,navel
25,Busen::N,түш,boezem
26,Brust::N,имчәк,borst
27,Brust::N,күкрәк,borst
28,Schulter::N,иңбаш,schouder
29,Schulter::N,кулбаш,schouder
30,Arm::N,кул,arm
31,Ellenbogen::N,терсәк,elleboog
32,Hand::N,кул,hand
33,Handfläche::N,уч,handpalm
34,Finger::N,бармак,vinger
35,Fingernagel::N,тырнак,nagel
36,Nagel[Anatomie]::N,тырнак,nagel
37,Zeh::N,бармак,teen
38,Fuß::N,табан,voet
39,Ferse::N,үкчә,hak
40,Ferse::N,үкчә,hiel
41,Knie::N,тез,knie
42,Oberschenkel::N,бот,dij
43,Bein::N,аяк,been
44,Körper::N,тән,lichaam
45,Körper::N,җисем,lichaam
46,Haut::N,тире,huid
47,Blut::N,кан,bloed
48,Ader::N,тамыр,ader
49,Sehne::N,сеңер,pees
50,Knochen::N,сөяк,bot
51,Knochen::N,сөяк,been
52,Knochen::N,сөяк,knook
53,Gehirn::N,ми,hersenen
54,Herz::N,йөрәк,hart
55,Magen::N,ашказаны,maag
56,Leber::N,бавыр,lever
57,Atem::N,сулыш,adem
58,Hunger::N,ачлык,honger
59,Träne::N,яшь,traan
60,Geschmack::N,тәм,smaak
61,Geschmack::N,зәвык,smaak
62,Geruch::N,ис,geur
63,Schlaf::N,йокы,slaap
64,Traum::N,төш,droom
65,Himmel::N,күк,hemel
66,Sonne::N,кояш,zon
67,Mond::N,ай,maan
68,Stern::N,йолдыз,ster
69,Luft::N,һава,lucht
70,Wind::N,җил,wind
71,Welle::N,дулкын,golf
72,Wasser::N,су,water
73,Stein::N,таш,steen
74,Boden::N,туфрак,grond
75,Erde::N,җир,aarde
76,Staub::N,тузан,stof
77,Rauch::N,төтен,rook
78,Funke::N,очкын,vonk
79,Feuer::N,ут,vuur
80,Licht::N,якты,licht
81,Schatten::N,күләгә,schaduw
82,Wetter::N,һава,weer
83,Nebel::N,томан,mist
84,Nebel::N,томан,nevel
85,Wolke::N,болыт,wolk
86,Regen::N,яңгыр,regen
87,Schnee::N,кар,sneeuw
88,Eis::N,боз,ijs
89,Frost::N,суык,vorst
90,Frost::N,салкын,vorst
91,Kälte::N,суык,kou
92,Kälte::N,суык,koude
93,Kälte::N,салкын,kou
94,Kälte::N,салкын,koude
95,Hitze::N,эсселек,hitte
96,Raureif::N,бәс,rijp
97,Raureif::N,сыкы,rijp
98,Regenbogen::N,салават күпере,regenboog
99,Donner::N,күкрәү,donder
100,Strömung::N,агыш'агым,stroming
101,Tropfen::N,тамчы,druppel
102,Schaum::N,күбек,schuim
103,Schmutz::N,пычрак,vuil
104,See::N,күл,meer
105,Sumpf::N,саз,moeras
106,Moor::N,торфлык,veen
107,Wiese::N,болын,wei
108,Wiese::N,болын,weide
109,Wald::N,урман,bos
110,Hügel::N,калку,heuvel
111,Anhöhe::N,үр,hoogte
112,Berg::N,тау,berg
113,Gipfel::N,оч,top
114,Höhle::N,мәгарә,hol
115,Abhang::N,кабырга,helling
116,Quelle::N,чишмә,bron
117,Bach::N,елга,beek
118,Fluss::N,дәрья,stroom
119,Ufer::N,су кырые,wal
120,Ufer::N,су кырые,oever
121,Küste::N,яр буе,kust
122,Festland::N,коры җир,vasteland
123,Meer::N,диңгез,zee
124,Bucht::N,бухта,baai
125,Bucht::N,бухта,inham
126,Bucht::N,култык,baai
127,Bucht::N,култык,inham
128,Insel::N,атау,eiland
129,Insel::N,утрау,eiland
130,Blume::N,чәчкә,bloem
131,Gras::N,үлән,gras
132,Wurzel::N,тамыр,wortel
133,Baum::N,агач,boom
134,Stamm::N,кәүсә,stam
135,Rinde::N,кабык,schors
136,Ast::N,ботак,tak
137,Zweig::N,ботак,twijg
138,Zweig::N,тармак,twijg
139,Blatt::N,яфрак,blad
140,Birke::N,каен,berk
141,Kiefer[Baum]::N,нарат,den
142,Weide[Baum]::N,тал,wilg
143,Tanne::N,чыршы,spar
144,Horn::N,мөгез,hoorn
145,Feder::N,йон,veer
146,Feder::N,йон,pluim
147,Fell::N,тире,vel
148,Flügel::N,канат,vleugel
149,Klaue::N,тырнак,klauw
150,Kralle::N,тырнак,klauw
151,Schwanz::N,койрык,staart
152,Ei::N,күкәй,ei
153,Ei::N,йомырка,ei
154,Nest::N,оя,nest
155,Bau::N,өн,hol
156,Tier::N,хайван,dier
157,Herde::N,көтү,kudde
158,Kuh::N,сыер,koe
159,Bulle::N,үгез,stier
160,Pferd::N,ат,paard
161,Schaf::N,сарык,schaap
162,Schwein::N,дуңгыз,varken
163,Hund::N,эт,hond
164,Katze::N,песи,kat
165,Bär::N,аю,beer
166,Eichhörnchen::N,тиен,eekhoorntje
167,Elch::N,поши,eland
168,Fuchs::N,төлке,vos
169,Hase::N,куян,haas
170,Maus::N,тычкан,muis
171,Wolf::N,бүре,wolf
172,Vogel::N,кош,vogel
173,Schwarm::N,көтү,zwerm
174,Huhn::N,тавык,kip
175,Huhn::N,тавык,hoen
176,Hahn::N,әтәч,haan
177,Gans::N,каз,gans
178,Adler::N,каракош,arend
179,Ente::N,үрдәк,eend
180,Eule::N,ябалак,uil
181,Kranich::N,торна,kraanvogel
182,Krähe::N,карга,kraai
183,Kuckuck::N,күке,koekoek
184,Kuckuck::N,кәккүк,koekoek
185,Schwan::N,аккош,zwaan
186,Fisch::N,балык,vis
187,Barsch::N,алабуга,baars
188,Hecht::N,чуртан,snoek
189,Schlange[Tier]::N,елан,slang
190,Wurm::N,корт,worm
191,Spinne::N,үрмәкүч,spin
192,Ameise::N,кырмыска,mier
193,Laus::N,бет,luis
194,Mücke::N,черки,mug
195,Mücke::N,озынборын,mug
196,Fliege::N,чебен,vlieg
197,Schmetterling::N,күбәләк,vlinder
198,Beere::N,җиләк,bes
199,Apfel::N,алма,appel
200,Pilz::N,гөмбә,paddestoel
201,Zwiebel::N,суган,ui
202,Zwiebel::N,суганбаш,ui
203,Saat::N,орлык,zaad
204,Korn::N,иген,graan
205,Korn::N,иген,korrel
206,Korn::N,орлык,graan
207,Korn::N,орлык,korrel
208,Heu::N,печән,hooi
209,Schale::N,кабык,schil
210,Grube::N,баз,kuil
211,Grube::N,чокыр,kuil
212,Falle::N,тозак,val
213,Falle::N,капкын,val
214,Schlinge::N,элмәк,strop
215,Spur::N,эз,spoor
216,Asche::N,көл,as
217,Dreck::N,пычрак,drek
218,Eisen::N,тимер,ijzer
219,Gold::N,алтын,goud
220,Silber::N,көмеш,zilver
221,Kohle::N,күмер,kool
222,Glas::N,пыяла,glas
223,Lehm::N,балчык,klei
224,Sand::N,ком,zand
225,Mensch::N,адәм,mens
226,Mensch::N,инсан,mens
227,Mann::N,ир,man
228,Frau::N,хатын,vrouw
229,Kind::N,бала,kind
230,Junge::N,малай,jongen
231,Mädchen::N,кыз,meisje
232,Familie::N,гаилә,gezin
233,Familie::N,гаилә,familie
234,Großvater::N,бабай,grootvader
235,Großmutter::N,әби,grootmoeder
236,Eltern::N,ата-ана,ouders
237,Vater::N,ата,vader
238,Mutter::N,ана,moeder
239,Sohn::N,ул,zoon
240,Tochter::N,кыз,dochter
241,Bruder::N,кардәш,broer
242,Bruder::N,кардәш,broeder
243,Schwester::N,апа,zus
244,Schwester::N,апа,zuster
245,Schwester::N,сеңел,zus
246,Schwester::N,сеңел,zuster
247,Onkel::N,дәдә,oom
248,Onkel::N,дәдәй,oom
249,Tante::N,түти,tante
250,Tante::N,тәтәй,tante
251,Ehemann::N,ир,echtgenoot
252,Ehefrau::N,хатын,echtgenote
253,Freude::N,сөенеч,vreugde
254,Gelächter::N,көлү,gelach
255,Gelächter::N,көлеш,gelach
256,Glück::N,бәхет,geluk
257,Kummer::N,хәсрәт,verdriet
258,Wunsch::N,теләк,wens
259,Wunsch::N,теләк,verlangen
260,Lust::N,теләк,zin
261,Lust::N,теләк,lust
262,Lust::N,теләү,zin
263,Lust::N,теләү,lust
264,Geist::N,рух,geest
265,Gedanke::N,уй,gedachte
266,Gedanke::N,фикер,gedachte
267,Gedächtnis::N,хәтер,geheugen
268,Verstand::N,акыл,verstand
269,Sinn::N,мәгънә,betekenis
270,Grund::N,сәбәп,reden
271,Wahrheit::N,хак,waarheid
272,Gespräch::N,әңгәмә,gesprek
273,Märchen::N,әкият,sprookje
274,Erzählung::N,хикәя,verhaal
275,Nachricht::N,хәбәр,tijding
276,Neuigkeit::N,яңалык,nieuws
277,Neuigkeit::N,яңалык,nieuwtje
278,Name::N,исем,naam
279,Rätsel::N,табышмак,raadsel
280,Rede::N,нотык,rede
281,Sprache::N,тел,taal
282,Stimme::N,тавыш,stem
283,Wort::N,сүз,woord
284,Zeichen::N,ишарә,teken
285,Ruf::N,дәшү,roep
286,Lärm::N,шау,lawaai
287,Laut::N,аваз,klank
288,Laut::N,аваз,geluid
289,Ton::N,шалтырату,toon
290,Ton::N,шалтырату,klank
291,Lied::N,җыр,lied
292,Ruhe::N,тынлык,rust
293,Ruhe::N,тынлык,stilte
294,Leute::N,халык,lui
295,Leute::N,халык,mensen
296,Volk::N,халык,volk
297,Arbeit::N,эш,werk
298,Arbeit::N,эш,arbeid
299,Arbeit::N,хезмәт,werk
300,Arbeit::N,хезмәт,arbeid
301,Gast::N,кунак,gast
302,Geschenk::N,бүләк,cadeau
303,Geschenk::N,бүләк,geschenk
304,Spiel::N,уен,spel
305,Gesellschaft::N,җәмгыять,gezelschap
306,Hilfe::N,ярдәм,hulp
307,Hilfe::N,булышлык,hulp
308,Freund::N,дус,vriend
309,Kamerad::N,иптәш,maat
310,Kamerad::N,иптәш,metgezel
311,Angelegenheit::N,эш,zaak
312,Angelegenheit::N,эш,aangelegenheid
313,Anzahl::N,микъдар,tal
314,Anzahl::N,микъдар,aantal
315,Art::N,төр,slag
316,Art::N,төр,soort
317,Stück::N,кисәк,stuk
318,Teil::N,өлеш,deel
319,Hälfte::N,ярым,helft
320,Kreis::N,түгәрәк,kring
321,Kreis::N,түгәрәк,cirkel
322,Kreuz::N,хач,kruis
323,Kreuz::N,тәре,kruis
324,Linie::N,сызык,lijn
325,Strich::N,сызык,haal
326,Strich::N,сызык,streep
327,Abstand::N,ара,afstand
328,Entfernung::N,ераклык,afstand
329,Gegend::N,урын,streek
330,Platz::N,бушлык,ruimte
331,Ort::N,урын,oord
332,Ort::N,урын,plaats
333,Seite::N,як,zij
334,Seite::N,як,kant
335,Seite::N,як,zijde
336,Mitte::N,урта,midden
337,Gegenstand::N,нәрсә,voorwerp
338,Sache::N,нәрсә,zaak
339,Rand::N,чит,rand
340,Rand::N,чит,boord
341,Kante::N,кырый,kant
342,Ecke::N,почмак,hoek
343,Spitze::N,оч,punt
344,Spitze::N,оч,spits
345,Ende::N,азак,einde
346,Ende::N,азак,uiteinde
347,Loch::N,тишек,gat
348,Winkel::N,почмак,hoek
349,Muster::N,парча,dessin
350,Muster::N,парча,patroon
351,Größe::N,зурлык,grootte
352,Länge::N,озынлык,lengte
353,Höhe::N,биеклек,hoogte
354,Gewicht::N,авырлык,gewicht
355,Menge::N,микъдар,hoeveelheid
356,Haufen::N,өем,hoop
357,Reihe::N,рәт,rij
358,Reihe::N,рәт,reeks
359,Boot::N,каек,boot
360,Boot::N,көймә,boot
361,Ruder::N,ишкәк,roeiriem
362,Schlitten::N,чана,slee
363,Schlitten::N,чана,slede
364,Ski::N,чаңгы,ski
365,Lagerfeuer::N,костёр,kampvuur
366,Last::N,йөк,last
367,Last::N,йөк,vracht
368,Gang::N,йөреш,wandeling
369,Schritt::N,адым,stap
370,Schritt::N,адым,schrede
371,Norden::N,төньяк,noorden
372,Süden::N,көньяк,zuiden
373,Westen::N,көнбатыш,westen
374,Osten::N,шәрык,oosten
375,Osten::N,көнчыгыш,oosten
376,Holz::N,агач,hout
377,Brett::N,такта,plank
378,Platte::N,плитә,plaat
379,Stütze::N,таяу,stut
380,Stütze::N,таяу,steun
381,Stange::N,колга,stang
382,Stock::N,таяк,stok
383,Stab::N,таяк,staf
384,Rohr::N,торба,pijp
385,Haus::N,өй,huis
386,Haus::N,йорт,huis
387,Heim::N,гаилә,tehuis
388,Heim::N,нәсел,tehuis
389,Ofen::N,мич,kachel
390,Fußboden::N,идән,vloer
391,Tisch::N,өстәл,tafel
392,Stuhl::N,утыргыч,stoel
393,Wiege::N,бишек,wieg
394,Bett::N,ятак,bed
395,Bett::N,урын-җир,bed
396,Regal::N,киштә,rek
397,Regal::N,шүрлек,rek
398,Kiste::N,әрҗә,kist
399,Fenster::N,тәрәзә,raam
400,Fenster::N,тәрәзә,venster
401,Tür::N,ишек,deur
402,Tor::N,капка,poort
403,Zaun::N,койма,omheining
404,Dach::N,түбә,dak
405,Leiter::N,баскыч,ladder
406,Besen::N,себерке,bezem
407,Spaten::N,көрәк,schop
408,Schaufel::N,көрәк,schep
409,Gabel::N,чәннечке,vork
410,Löffel::N,кашык,lepel
411,Messer::N,пычак,mes
412,Nagel::N,кадак,spijker
413,Netz::N,челтәр,net
414,Haken::N,ыргак,haak
415,Griff::N,тотка,handvat
416,Schloss::N,йозак,slot
417,Bild::N,рәсем,beeld
418,Bild::N,картина,beeld
419,Figur::N,сын,figuur
420,Figur::N,фигура,figuur
421,Puppe::N,курчак,pop
422,Beutel::N,луза,zak
423,Beutel::N,луза,buidel
424,Bündel::N,бәйләм,pak
425,Bündel::N,бәйләм,bundel
426,Tasche::N,букча,tas
427,Eimer::N,чиләк,emmer
428,Deckel::N,капкач,deksel
429,Geschirr::N,савыт-саба,vaatwerk
430,Geschirr::N,кашык-аяк,vaatwerk
431,Sack::N,капчык,zak
432,Tasse::N,чынаяк,kop
433,Topf::N,чүлмәк,pan
434,Kessel::N,казан,ketel
435,Essen::N,ашау,eten
436,Nahrung::N,азык,voedsel
437,Nahrung::N,тәгам,voedsel
438,Nahrung::N,ашамлык,voedsel
439,Speise::N,ризык,spijs
440,Fleisch::N,ит,vlees
441,Getreide::N,ашлык,graan
442,Brei::N,ботка,pap
443,Brei::N,ботка,brij
444,Brot::N,ипи,brood
445,Brot::N,икмәк,brood
446,Scheibe::N,телем,plak
447,Scheibe::N,телем,snede
448,Fett::N,май,vet
449,Butter::N,май,boter
450,Öl::N,май,olie
451,Salz::N,тоз,zout
452,Suppe::N,шулпа,soep
453,Honig::N,бал,honing
454,Milch::N,сөт,melk
455,Tee::N,чәй,thee
456,Leder::N,күн,leer
457,Leder::N,күн,leder
458,Wolle::N,йон,wol
459,Stoff::N,тукыма,stof
460,Nadel::N,энә,naald
461,Faden::N,җеп,draad
462,Knopf::N,төймә,knoop
463,Knoten::N,төен,knoop
464,Farbe::N,буяу,verf
465,Kleidung::N,кием,kledij
466,Kleidung::N,кием,kleding
467,Hemd::N,күлмәк,hemd
468,Kragen::N,яка,kraag
469,Ärmel::N,җиң,mouw
470,Hose::N,чалбар,broek
471,Hose::N,чалбар,pantalon
472,Gürtel::N,билбау,riem
473,Gürtel::N,билбау,gordel
474,Mütze::N,бүрек,muts
475,Schuh::N,башмак,schoen
476,Stiefel::N,итек,laars
477,Ring::N,балдак,ring
478,Band::N,тасма,lint
479,Kamm::N,тарак,kam
480,Spiegel::N,көзге,spiegel
481,Riemen::N,каеш,riem
482,Schnur::N,бау,koord
483,Leine::N,тезген,lijn
484,Decke::N,юрган,deken
485,Kissen::N,мендәр,kussen
486,Tuch::N,яулык,doek
487,Handtuch::N,сөлгә,handdoek
488,Kraft::N,егәр,kracht
489,Kraft::N,дәрман,kracht
490,Stärke::N,көч,sterkte
491,Stärke::N,дәрман,sterkte
492,Gesundheit::N,саулык,gezondheid
493,Krankheit::N,чир,ziekte
494,Krankheit::N,хаста,ziekte
495,Krankheit::N,сырхау,ziekte
496,Schmerz::N,авырту,pijn
497,Wunde::N,яра,wond
498,Wunde::N,җәрәхәт,wond
499,Fieber::N,бизгәк,koorts
500,Arznei::N,дару,medicament
501,Arznei::N,дару,geneesmiddel
502,Brücke::N,күпер,brug
503,Brunnen::N,кое,put
504,Brunnen::N,кое,bron
505,Weide::N,утлавык,wei
506,Weide::N,утлавык,weide
507,Pfad::N,сукмак,pad
508,Weg::N,юл,weg
509,Straße::N,урам,baan
510,Straße::N,урам,straat
511,Dorf::N,авыл,dorp
512,Stadt::N,шәһәр,stad
513,Brief::N,хат,brief
514,Buch::N,китап,boek
515,Buchstabe::N,хәреф,letter
516,Zeitung::N,газет,krant
517,Zeitung::N,газет,dagblad
518,Zeitung::N,газета,krant
519,Zeitung::N,газета,dagblad
520,Leben::N,гомер,leven
521,Leben::N,тормыш,leven
522,Leben::N,тереклек,leven
523,Tod::N,үлем,dood
524,Grab::N,гүр,graf
525,Grab::N,кабер,graf
526,Kirche::N,чиркәү,kerk
527,Sünde::N,язык,zonde
528,Sünde::N,гөнаһ,zonde
529,Gott::N,алла,god
530,Gott::N,ходай,god
531,Arbeiter::N,эшче,arbeider
532,Chef::N,башлык,chef
533,Meister::N,оста,meester
534,Arzt::N,врач,arts
535,Arzt::N,врач,dokter
536,Arzt::N,табиб,arts
537,Arzt::N,табиб,dokter
538,Lehrer::N,укытучы,leraar
539,Lehrer::N,укытучы,onderwijzer
540,Lehrer::N,мөгаллим,leraar
541,Lehrer::N,мөгаллим,onderwijzer
542,Geld::N,акча,geld
543,Geschäft::N,эш,zaak
544,Laden::N,кибет,winkel
545,Laden::N,магазин,winkel
546,Preis::N,бәя,prijs
547,Preis::N,бәһа,prijs
548,Ware::N,товар,waar
549,Nutzen::N,файда,nut
550,Nutzen::N,файда,voordeel
551,Reichtum::N,байлык,rijkdom
552,Welt::N,дөнья,wereld
553,Land::N,ил,land
554,Staat::N,дәүләт,staat
555,König::N,патша,koning
556,Macht::N,хакимият,macht
557,Grenze::N,чик,grens
558,Krieg::N,сугыш,oorlog
559,Feind::N,дошман,vijand
560,Gewalt::N,көчләү,geweld
561,Kampf::N,көрәш,strijd
562,Kampf::N,көрәш,gevecht
563,Bogen[Waffe]::N,җәя,boog
564,Pfeil::N,ук,pijl
565,Gewehr::N,мылтык,geweer
566,Fehler::N,хата,fout
567,Lüge::N,ялган,leugen
568,Schaden::N,зыян,schade
569,Schaden::N,зарар,schade
570,Unglück::N,бәла,tegenspoed
571,Schuld::N,гаеп,schuld
572,Alter::N,яшь,leeftijd
573,Schluss::N,ахыр,slot
574,Zeit::N,заман,tijd
575,Tag::N,көн,dag
576,Morgen::N,иртә,morgen
577,Morgen::N,иртә,ochtend
578,Mittag::N,өйлә,middag
579,Abend::N,кич,avond
580,Nacht::N,төн,nacht
581,Woche::N,атна,week
582,Monat::N,ай,maand
583,Jahr::N,ел,jaar
584,Frühling::N,яз,lente
585,Frühling::N,яз,voorjaar
586,Sommer::N,җәй,zomer
587,Herbst::N,көз,herfst
588,Winter::N,кыш,winter
589,Januar::N,гыйнвар,januari
590,Februar::N,февраль,februari
591,März::N,март,maart
592,April::N,апрель,april
593,Mai::N,май,mei
594,Juni::N,июнь,juni
595,Juli::N,июль,juli
596,August::N,август,augustus
597,September::N,сентябрь,september
598,Oktober::N,октябрь,oktober
599,November::N,ноябрь,november
600,Dezember::N,декабрь,december
601,Montag::N,дүшәмбе,maandag
602,Dienstag::N,сишәмбе,dinsdag
603,Mittwoch::N,чәршәмбе,woensdag
604,Donnerstag::N,атнакич,donderdag
605,Donnerstag::N,пәнҗешәмбе,donderdag
606,Freitag::N,җомга,vrijdag
607,Samstag::N,шимбә,zaterdag
608,Sonntag::N,якшәмбе,zondag
609,groß::A,зур,groot
610,klein::A,кечкенә,klein
611,lang::A,озын,lang
612,kurz::A,кыска,kort
613,breit::A,киң,breed
614,schmal::A,кысык,smal
615,dicht::A,куе,dicht
616,dick[Gegenstand]::A,калын,dik
617,dünn::A,нечкә,dun
618,fein::A,нәзакәтле,fijn
619,fest::A,нык,vast
620,flach::A,яссы,plat
621,flach::A,ялпак,plat
622,glatt::A,шома,glad
623,hart::A,каты,hard
624,weich::A,йомшак,week
625,rund::A,түгәрәк,rond
626,spitz::A,очлы,spits
627,spitz::A,очлы,puntig
628,scharf::A,үткен,scherp
629,stumpf::A,үтмәс,stomp
630,schwer::A,салмак,zwaar
631,schön::A,гүзәл,mooi
632,schön::A,гүзәл,fraai
633,heiß::A,эссе,heet
634,warm::A,җылы,warm
635,kalt::A,суык,koud
636,kalt::A,салкын,koud
637,kühl::A,салкынча,koel
638,frisch::A,салкынча,fris
639,feucht::A,юеш,vochtig
640,nass::A,дымлы,nat
641,trocken::A,коры,droog
642,voll::A,тулы,vol
643,leer::A,буш,leeg
644,offen::A,ачык,open
645,geschlossen::A,йомык,gesloten
646,sauber::A,пакь,net
647,sauber::A,пакь,schoon
648,sauber::A,чиста,net
649,sauber::A,чиста,schoon
650,schmutzig::A,керле,vuil
651,schmutzig::A,пычрак,vuil
652,roh::A,чи,rauw
