,Concept_ID,tt,pl
0,Auge::N,күз,oko
1,Ohr::N,колак,ucho
2,Nase::N,борын,nos
3,Mund::N,авыз,usta
4,Mund::N,тамак,usta
5,Zahn::N,теш,ząb
6,Zunge::N,тел,język
7,Lippe::N,ирен,warga
8,Wange::N,яңак,policzek
9,Gesicht::N,йөз,twarz
10,Stirn::N,маңгай,czoło
11,Haar::N,чәч,włos
12,Haar::N,чәч,włosy
13,Schnurrbart::N,мыек,wąsy
14,Bart::N,сакал,broda
15,Kinn::N,ияк,podbródek
16,Kiefer[Anatomie]::N,казналык,czeluść
17,Kehle::N,тамак,gardło
18,Hals::N,бугаз,szyja
19,Genick::N,җилкә,kark
20,Kopf::N,баш,głowa
21,Rücken::N,сырт,plecy
22,Rücken::N,сырт,grzbiet
23,Bauch::N,корсак,brzuch
24,Nabel::N,кендек,pępek
25,Busen::N,түш,biust
26,Brust::N,имчәк,pierś
27,Brust::N,күкрәк,pierś
28,Schulter::N,иңбаш,bark
29,Schulter::N,иңбаш,ramię
30,Schulter::N,кулбаш,bark
31,Schulter::N,кулбаш,ramię
32,Arm::N,кул,ręka
33,Arm::N,кул,ramię
34,Ellenbogen::N,терсәк,łokieć
35,Hand::N,кул,dłoń
36,Handfläche::N,уч,dłoń
37,Finger::N,бармак,palec
38,Fingernagel::N,тырнак,paznokieć
39,Nagel[Anatomie]::N,тырнак,paznokieć
40,Zeh::N,бармак,palec
41,Fuß::N,табан,stopa
42,Ferse::N,үкчә,pięta
43,Knie::N,тез,kolano
44,Oberschenkel::N,бот,udo
45,Bein::N,аяк,noga
46,Körper::N,тән,ciało
47,Körper::N,җисем,ciało
48,Haut::N,тире,skóra
49,Blut::N,кан,krew
50,Ader::N,тамыр,żyła
51,Sehne::N,сеңер,ścięgno
52,Knochen::N,сөяк,kość
53,Gehirn::N,ми,mózg
54,Herz::N,йөрәк,serce
55,Magen::N,ашказаны,żołądek
56,Leber::N,бавыр,wątroba
57,Atem::N,сулыш,dech
58,Atem::N,сулыш,oddech
59,Hunger::N,ачлык,głód
60,Träne::N,яшь,łza
61,Geschmack::N,тәм,smak
62,Geschmack::N,зәвык,smak
63,Geruch::N,ис,woń
64,Geruch::N,ис,zapach
65,Schlaf::N,йокы,sen
66,Traum::N,төш,sen
67,Himmel::N,күк,niebo
68,Sonne::N,кояш,słońce
69,Mond::N,ай,księżyc
70,Stern::N,йолдыз,gwiazda
71,Luft::N,һава,powietrze
72,Wind::N,җил,wiatr
73,Welle::N,дулкын,fala
74,Wasser::N,су,woda
75,Stein::N,таш,kamień
76,Boden::N,туфрак,grunt
77,Erde::N,җир,ziemia
78,Staub::N,тузан,pył
79,Staub::N,тузан,kurz
80,Rauch::N,төтен,dym
81,Funke::N,очкын,iskra
82,Feuer::N,ут,ogień
83,Licht::N,якты,światło
84,Schatten::N,күләгә,cień
85,Wetter::N,һава,pogoda
86,Nebel::N,томан,mgła
87,Wolke::N,болыт,obłok
88,Wolke::N,болыт,chmura
89,Regen::N,яңгыр,deszcz
90,Schnee::N,кар,śnieg
91,Eis::N,боз,lód
92,Frost::N,суык,mróz
93,Frost::N,салкын,mróz
94,Kälte::N,суык,chłód
95,Kälte::N,салкын,chłód
96,Hitze::N,эсселек,gorąco
97,Raureif::N,бәс,szron
98,Raureif::N,сыкы,szron
99,Regenbogen::N,салават күпере,tęcza
100,Donner::N,күкрәү,grzmot
101,Strömung::N,агыш'агым,nurt
102,Tropfen::N,тамчы,kropla
103,Schaum::N,күбек,piana
104,Schmutz::N,пычрак,brud
105,See::N,күл,jezioro
106,Sumpf::N,саз,bagno
107,Moor::N,торфлык,bagno
108,Wiese::N,болын,łąka
109,Wald::N,урман,las
110,Hügel::N,калку,pagórek
