,Concept_ID,ka,ja
0,Auge::N,თვალი,目
1,Ohr::N,ყური,耳
2,Nase::N,ცხვირი,鼻
3,Mund::N,პირი,口
4,Zahn::N,კბილი,歯
5,Zunge::N,ენა,舌
6,Lippe::N,ბაგე,唇
7,Wange::N,ლოყა,頬
8,Gesicht::N,სახე,顔
9,Stirn::N,შუბლი,額
10,Haar::N,თმა,髪
11,Schnurrbart::N,ულვაში,口髭
12,Bart::N,წვერი,髭
13,Kinn::N,ნიკაპი,顎
14,Kiefer[Anatomie]::N,ყბა,顎
15,Kehle::N,ყელი,喉
16,Hals::N,ყელი,首
17,Hals::N,კისერი,首
18,Genick::N,კეფა,首
19,Kopf::N,თავი,頭
20,Rücken::N,ზურგი,背中
21,Bauch::N,მუცელი,腹
22,Bauch::N,მუცელი,お腹
23,Nabel::N,ჭიპი,へそ
24,Busen::N,ძუძუ,乳房
25,Brust::N,მკერდი,胸
26,Schulter::N,მხარი,肩
27,Schulter::N,მკლავი,肩
28,Arm::N,ხელი,腕
29,Ellenbogen::N,იდაყვი,肘
30,Hand::N,ხელი,手
31,Handfläche::N,ნები,手のひら
32,Handfläche::N,ხელისგული,手のひら
33,Finger::N,თითი,指
34,Fingernagel::N,ფრჩხილი,爪
35,Nagel[Anatomie]::N,ფრჩხილი,爪
36,Zeh::N,ფეხის თითი,足の指
37,Fuß::N,ტერფი,足
38,Fuß::N,ფეხისგული,足
39,Ferse::N,ქუსლი,かかと
40,Knie::N,მუხლი,膝
41,Oberschenkel::N,ბარძაყი,上腿
42,Bein::N,ფეხი,足
43,Körper::N,ტანი,体
44,Körper::N,სხეული,体
45,Haut::N,კანი,皮膚
46,Blut::N,სისხლი,血
47,Ader::N,ძარღვი,血管
48,Sehne::N,მყესი,腱
49,Knochen::N,ძვალი,骨
50,Gehirn::N,ტვინი,脳
51,Herz::N,გული,心
52,Herz::N,გული,心臓
53,Magen::N,კუჭი,胃
54,Leber::N,ღვიძლი,肝臓
55,Atem::N,სუნთქვა,息
56,Atem::N,სუნთქვა,呼吸
57,Hunger::N,შიმშილი,空腹
58,Träne::N,ცრემლი,涙
59,Geschmack::N,გემო,味
60,Geruch::N,სუნი,匂い
61,Schlaf::N,ძილი,睡眠
62,Traum::N,სიზმარი,夢
63,Himmel::N,ცა,空
64,Sonne::N,მზე,太陽
65,Mond::N,მთვარე,月
66,Stern::N,ვარსკვლავი,星
67,Luft::N,ჰაერი,空気
68,Wind::N,ქარი,風
69,Welle::N,ტალღა,波
70,Wasser::N,წყალი,水
71,Stein::N,ქვა,石
72,Boden::N,მიწა,土地
73,Erde::N,ნიადაგი,土
74,Staub::N,მტვერი,埃
75,Rauch::N,ბოლი,煙
76,Rauch::N,კვამლი,煙
77,Funke::N,ნაკვესი,火花
78,Feuer::N,ცეცხლი,火
79,Licht::N,შუქი,光
80,Licht::N,სინათლე,光
81,Schatten::N,ლანდი,陰
82,Schatten::N,ჩრდილი,陰
83,Wetter::N,ამინდი,天気
84,Nebel::N,ნისლი,霧
85,Wolke::N,ღრუბელი,雲
86,Regen::N,წვიმა,雨
87,Schnee::N,თოვლი,雪
88,Eis::N,თოში,氷
89,Eis::N,ყინული,氷
90,Frost::N,ყინვა,霜
91,Kälte::N,სიცივე,寒さ
92,Hitze::N,სიცხე,暑さ
93,Raureif::N,ჭირხლი,霧氷
94,Raureif::N,თრთვილი,霧氷
95,Regenbogen::N,ცისარტყელა,虹
96,Donner::N,ქუხილი,雷
97,Strömung::N,დინება,流れ
98,Tropfen::N,წვეთი,滴
99,Schaum::N,ქაფი,泡
100,Schaum::N,დორბლი,泡
101,Schmutz::N,ჭუჭყი,汚れ
102,Schmutz::N,ტალახი,汚れ
103,See::N,ტბა,湖
104,Sumpf::N,ჭაობი,沼
105,Moor::N,ტორფნარი,湿原
106,Wiese::N,ველი,草原
107,Wiese::N,მდელო,草原
108,Wald::N,ტყე,森
109,Hügel::N,ბორცვი,丘
110,Anhöhe::N,მაღლობი,高み
111,Berg::N,მთა,山
112,Gipfel::N,მწვერვალი,頂上
113,Höhle::N,მღვიმე,洞窟
114,Höhle::N,გამოქვებული,洞窟
115,Abhang::N,ფერდობი,斜面
116,Quelle::N,წყარო,泉
117,Quelle::N,სათავე,泉
118,Bach::N,რუ,小川
119,Bach::N,ნაკადული,小川
120,Fluss::N,მდინარე,川
121,Ufer::N,კიდე,岸
122,Ufer::N,ნაპირი,岸
123,Küste::N,ნაპირი,海岸
124,Festland::N,ხმელეთი,陸
125,Meer::N,ზღვა,海
126,Bucht::N,ყურე,湾
127,Insel::N,კუნძული,島
128,Blume::N,ყვავილი,花
129,Gras::N,ბალახი,草
130,Wurzel::N,ძირი,根
131,Wurzel::N,ფესვი,根
132,Baum::N,ხე,木
133,Stamm::N,ტანი,幹
134,Rinde::N,ქერქი,皮層
135,Ast::N,ტოტი,枝
136,Zweig::N,შტო,小枝
137,Blatt::N,ფოთოლი,葉
138,Birke::N,არყი,樺
139,Kiefer[Baum]::N,ფიჭვი,松
140,Weide[Baum]::N,ტირიფი,柳
141,Tanne::N,ნაძვი,樅
142,Horn::N,რქა,角
143,Feder::N,ფრთა,羽根
144,Fell::N,ტყავი,毛皮
145,Flügel::N,ფრთა,羽
146,Klaue::N,კლანჭი,鉤爪
147,Kralle::N,ტორი,爪
148,Schwanz::N,კუდი,尻尾
149,Ei::N,კვერცხი,卵
150,Nest::N,ბუდე,巣
151,Bau::N,სორო,穴
152,Tier::N,ნადირი,動物
153,Tier::N,ცხოველი,動物
154,Herde::N,ფარა,群れ
155,Kuh::N,ფური,牛
156,Kuh::N,ძროხა,牛
