,Concept_ID,bg,lv
0,Auge::N,око,син
1,Auge::N,око,acs
2,Ohr::N,ухо,пель
3,Ohr::N,ухо,auss
4,Nase::N,нос,ныр
5,Nase::N,нос,deguns
6,Mund::N,уста,вом
7,Mund::N,уста,mute
8,Zahn::N,зъб,пинь
9,Zahn::N,зъб,zobs
10,Zunge::N,език,кыв
11,Zunge::N,език,mēle
12,Lippe::N,устна,вом дор
13,Lippe::N,устна,lūpa
14,Wange::N,буза,бан
15,Wange::N,буза,vaigs
16,Gesicht::N,лице,чужӧм
17,Gesicht::N,лице,seja
18,Gesicht::N,лице,ģīmis
19,Gesicht::N,образ,чужӧм
20,Gesicht::N,образ,seja
21,Gesicht::N,образ,ģīmis
22,Stirn::N,чело,плеш
23,Stirn::N,чело,кымӧс
24,Stirn::N,чело,piere
25,Haar::N,коса,си
26,Haar::N,коса,юрси
27,Haar::N,коса,mats
28,Haar::N,косъм,си
29,Haar::N,косъм,юрси
30,Haar::N,косъм,mats
31,Schnurrbart::N,мустаци,ус
32,Schnurrbart::N,мустаци,пыртсим
33,Schnurrbart::N,мустаци,ūsas
34,Bart::N,брада,тош
35,Bart::N,брада,bārda
36,Kinn::N,брада,тшӧка
37,Kinn::N,брада,zods
38,Kinn::N,брада,smakrs
39,Kinn::N,брадичка,тшӧка
40,Kinn::N,брадичка,zods
41,Kinn::N,брадичка,smakrs
42,Kiefer[Anatomie]::N,челюст,черлы
43,Kiefer[Anatomie]::N,челюст,алака лы
44,Kiefer[Anatomie]::N,челюст,вомкӧтш лы
45,Kiefer[Anatomie]::N,челюст,žoklis
46,Kehle::N,гърло,голя
47,Kehle::N,гърло,rīkle
48,Hals::N,врат,сьылі
49,Hals::N,врат,kakls
50,Genick::N,тил,юрбӧр
51,Genick::N,тил,балябӧж
52,Genick::N,тил,sprands
53,Kopf::N,глава,юр
54,Kopf::N,глава,galva
55,Rücken::N,гръб,мыш
56,Rücken::N,гръб,mugura
57,Bauch::N,корем,рушку
58,Bauch::N,корем,vēders
59,Nabel::N,пъп,гӧг
60,Nabel::N,пъп,naba
61,Busen::N,бозка,морӧс
62,Busen::N,бозка,krūts
63,Brust::N,гръд,морӧс
64,Brust::N,гръд,krūts
65,Schulter::N,рамо,пельпом
66,Schulter::N,рамо,plecs
67,Schulter::N,плещи,пельпом
68,Schulter::N,плещи,plecs
69,Arm::N,ръка,ки
70,Arm::N,ръка,roka
71,Arm::N,ръка,delms
72,Ellenbogen::N,лакът,гырддза
73,Ellenbogen::N,лакът,elkonis
74,Hand::N,ръка,ки
75,Hand::N,ръка,roka
76,Hand::N,ръка,plauksta
77,Hand::N,китка,ки
78,Hand::N,китка,roka
79,Hand::N,китка,plauksta
80,Handfläche::N,длан,ки пыдӧс
81,Handfläche::N,длан,delna
82,Handfläche::N,длан,plauksta
83,Finger::N,пръст,чунь
84,Finger::N,пръст,pirksts
85,Fingernagel::N,нокът,гыж
86,Fingernagel::N,нокът,nags
87,Nagel[Anatomie]::N,нокът,гыж
88,Nagel[Anatomie]::N,нокът,nags
89,Zeh::N,пръст на крак,кок чунь
90,Zeh::N,пръст на крак,pirksts
91,Fuß::N,крак,кок
92,Fuß::N,крак,kāja
93,Fuß::N,нога,кок
94,Fuß::N,нога,kāja
95,Ferse::N,пета,кокбӧр
96,Ferse::N,пета,papēdis
97,Knie::N,коляно,пидзӧс
98,Knie::N,коляно,celis
99,Oberschenkel::N,бедро,лядьвей
100,Oberschenkel::N,бедро,бек
101,Oberschenkel::N,бедро,ciska
102,Oberschenkel::N,бедро,augšstilbs
103,Bein::N,крак,кок
104,Bein::N,крак,kāja
105,Bein::N,нога,кок
106,Bein::N,нога,kāja
107,Körper::N,тяло,туша
108,Körper::N,тяло,вывтыр
109,Körper::N,тяло,miesa
110,Körper::N,тяло,ķermenis
111,Haut::N,кожа,ку
112,Haut::N,кожа,āda
113,Blut::N,кръв,вир
114,Blut::N,кръв,asins
115,Ader::N,вена,сӧн
116,Ader::N,вена,asinsvads
117,Ader::N,артерия,сӧн
118,Ader::N,артерия,asinsvads
119,Sehne::N,жила,вез
120,Sehne::N,жила,dzīsla
121,Sehne::N,сухожилие,вез
122,Sehne::N,сухожилие,dzīsla
123,Knochen::N,кост,лы
124,Knochen::N,кост,kauls
125,Gehirn::N,мозък,вем
126,Gehirn::N,мозък,smadzenes
127,Herz::N,сърце,сьӧлӧм
128,Herz::N,сърце,sirds
129,Magen::N,стомах,кынӧм
130,Magen::N,стомах,kuņģis
131,Leber::N,черен дроб,мус
132,Leber::N,черен дроб,aknas
133,Atem::N,дишане,лов
134,Atem::N,дишане,elpa
135,Hunger::N,глад,тшыг
136,Hunger::N,глад,bads
137,Hunger::N,глад,izsalkums
138,Träne::N,сълза,синва
139,Träne::N,сълза,asara
140,Geschmack::N,вкус,кӧр
141,Geschmack::N,вкус,чӧсмӧс
142,Geschmack::N,вкус,garša
143,Geruch::N,миризма,зын
144,Geruch::N,миризма,дук
145,Geruch::N,миризма,smaka
146,Schlaf::N,сън,узьӧм
147,Schlaf::N,сън,miegs
