,Concept_ID,ta,eu
0,Auge::N,கண்,begi
1,Ohr::N,காது,belarri
2,Nase::N,மூக்கு,sudur
3,Mund::N,வாய்,aho
4,Zahn::N,பல்,hortz
5,Zunge::N,நாக்கு,mihi
6,Lippe::N,உதடு,ezpain
7,Wange::N,கன்னம்,masail
8,Gesicht::N,முகம்,aurpegi
9,Stirn::N,முன்னெற்றி,bekoki
10,Haar::N,முடி,ile
11,Haar::N,முடி,bilo
12,Schnurrbart::N,மீசை,bibote
13,Schnurrbart::N,மீசை,sudurpeko
14,Bart::N,தாடி,bizar
15,Kinn::N,கீழதாடை,kokots
16,Kiefer[Anatomie]::N,தாடை,masailezur
17,Kehle::N,தொண்டை,eztarri
18,Hals::N,கழுத்து,sama
19,Genick::N,கழுத்து,garondo
20,Kopf::N,தலை,buru
21,Rücken::N,முதுகு,bizkar
22,Bauch::N,வயிறு,sabel
23,Nabel::N,தொப்புள்,zilbor
24,Busen::N,மார்பகம்,titi
25,Busen::N,மார்பகம்,ugatz
26,Brust::N, மார்பு,bular
27,Schulter::N,தோள்பட்டை,besaburu
28,Arm::N,கரம்,beso
29,Ellenbogen::N,முழங்கை,ukondo
30,Hand::N,கை,esku
31,Handfläche::N,உள்ளங்கை,ahur
32,Finger::N,விரல்,hatz
33,Fingernagel::N,விரல் நகம்,azazkal
34,Nagel[Anatomie]::N,நகம்,azazkal
35,Zeh::N,கால்விரல்,behatz
36,Fuß::N,கால்,oin
37,Ferse::N,குதிகால்,orpo
38,Ferse::N,குதிகால்,oinburu
39,Knie::N,முழங்கால்,belaun
40,Oberschenkel::N,தொடை,izter
41,Bein::N,கால்,zango
42,Körper::N,உடல்,soin
43,Haut::N,சருமம்,azal
44,Blut::N,இரத்தம்,odol
45,Ader::N,நாளம்,zain
46,Sehne::N,தசைநார்,gihar-zain
47,Knochen::N,எலுமபு,hezur
48,Gehirn::N,மூனை,garun
49,Gehirn::N,மூனை,burmuin
50,Herz::N,இதயம,bihotz
51,Magen::N,வயிறு,urdail
52,Leber::N,கல்லீரல்,gibel
53,Atem::N,மூச்சு,hats
54,Atem::N,மூச்சு,arnasa
55,Hunger::N,பசி,gose
56,Träne::N,கண்ணீர்,malko
57,Geschmack::N,நறுமணம்,dasta
58,Geruch::N,துர்நாற்றம்,usain
59,Schlaf::N,தூக்கம்,lo
60,Traum::N,கனவு,amets
61,Himmel::N,வானம்,zeru
62,Sonne::N,சூரியன்,eguzki
63,Mond::N,சந்திரன்,ilargi
64,Stern::N,நட்சத்திரம்,izar
65,Luft::N,காறறு,aire
66,Wind::N,காற்று,haize
67,Welle::N,அலை,uhin
68,Welle::N,அலை,olatu
69,Wasser::N,நீர்,ur
70,Stein::N,கல்,harri
71,Boden::N,தரை,lur
72,Boden::N,தரை,zoru
73,Erde::N,மண்,lur
74,Staub::N,தூசி,hauts
75,Rauch::N,புகை,ke
76,Funke::N,தீப்பொறி,zirta
77,Funke::N,தீப்பொறி,txinparta
78,Feuer::N,தீ,su
79,Licht::N,வெளிச்சம்,argi
80,Schatten::N,நிழல்,itzal
81,Schatten::N,நிழல்,geriza
82,Wetter::N,வானிலை,eguraldi
83,Nebel::N,பனிமூட்டம்,laino
84,Wolke::N,மேகம்,hodei
85,Regen::N,மழை,euri
86,Schnee::N,உறைபனி,elur
87,Eis::N,பனிக்கட்டி,horma
88,Frost::N,உறைபனி,izotzaldi
89,Kälte::N,குளிர்ந்த,hotz
90,Hitze::N,சூடு,bero
91,Raureif::N,உறைபனி வெண்திரை,antzigar
92,Regenbogen::N,வானவில்,ostadar
93,Regenbogen::N,வானவில்,ortzadar
94,Donner::N,இடி,ostots
