,Concept_ID,et,ce
0,Auge::N,silm,бӏаьрг
1,Ohr::N,kõrv,лерг
2,Nase::N,nina,мара
3,Mund::N,suu,бага
4,Zahn::N,hammas,церг
5,Zunge::N,keel,мотт
6,Lippe::N,huul,балда
7,Wange::N,põsk,бесни
8,Gesicht::N,nägu,юьхь
9,Stirn::N,otsmik,хьаж
10,Haar::N,juus,мас
11,Schnurrbart::N,vurrud,мекх
12,Schnurrbart::N,vuntsid,мекх
13,Bart::N,habe,маж
14,Kinn::N,lõug,чӏениг
15,Kiefer[Anatomie]::N,lõualuu,мочхал
16,Kehle::N,kõri,къамкъарг
17,Hals::N,kael,ворта
18,Genick::N,kukal,кӏесаркӏаг
19,Kopf::N,pea,корта
20,Rücken::N,selg,букъ
21,Bauch::N,kõht,кийра
22,Nabel::N,naba,цӏонга
23,Busen::N,rind,зударийн накха
24,Brust::N,rind,накха
25,Schulter::N,õlg,белш
26,Arm::N,käsivars,пхьарс
27,Ellenbogen::N,küünarnukk,пхьаьрсан гола
28,Hand::N,käsi,куьг
29,Handfläche::N,pihk,кераюкъ
30,Finger::N,sõrm,пӏелг
31,Fingernagel::N,küüs,мӏара
32,Nagel[Anatomie]::N,küüs,мӏара
33,Zeh::N,varvas,кога пӏелг
34,Fuß::N,jalg,ког
35,Ferse::N,kand,кӏажа
36,Knie::N,põlv,гола
37,Oberschenkel::N,reis,варе
38,Bein::N,jalg,ког
39,Körper::N,ihu,хӏума
40,Körper::N,keha,хӏума
41,Haut::N,nahk,чкъор
42,Blut::N,veri,цӏий
43,Ader::N,veen,пха
44,Sehne::N,kõõlus,хьорзам
45,Knochen::N,luu,даьӏахк
46,Gehirn::N,aju,хье
47,Herz::N,süda,дог
48,Magen::N,magu,зорх
49,Leber::N,maks,доӏах
50,Atem::N,hingeõhk,садеӏар
51,Atem::N,hingamine,садеӏар
52,Hunger::N,nälg,мацалла
53,Träne::N,pisar,бӏаьрхи
54,Geschmack::N,maitse,чам
55,Geruch::N,lõhn,хьожа
56,Schlaf::N,uni,наб
57,Traum::N,unenägu,гӏан
58,Himmel::N,taevas,стигал
59,Sonne::N,päike,малх
