,Concept_ID,mdf,kn
0,Auge::N,сельме,ಕಣ್ಣು
1,Ohr::N,пиле,ಕಿವಿ
2,Nase::N,шалхка,ಮೂಗು
3,Mund::N,курга,ಬಾಯಿ
4,Zahn::N,пей,ಹಲ್ಲು
5,Zunge::N,кяль,ನಾಲಿಗೆ
6,Lippe::N,търва́,ತುಟಿ
7,Wange::N,щёка,ಗಲ್ಲ
8,Gesicht::N,шама,ಮುಖ
9,Stirn::N,коня,ಹಣೆ
10,Haar::N,шя́ярь,ಕೂದಲು
11,Schnurrbart::N,уса́,ಮೀಸೆ
12,Bart::N,сакал,ಗಡ್ಡ
13,Kinn::N,ула,ಗದ್ದ
14,Kiefer[Anatomie]::N,саласка,ದವಡೆ
15,Kehle::N,кълдома,ಗಂಟಲು
16,Kehle::N,кърга́парь,ಗಂಟಲು
17,Hals::N,сялдаз,ಕೊರಳು
18,Genick::N,шовонь,ಹಿಂಗತ್ತು
19,Kopf::N,пря,ತಲೆ
20,Rücken::N,копорь,ಬೆನ್ನು
21,Bauch::N,пеке,ಹೊಟ್ಟೆ
22,Nabel::N,по́кон,ಹೊಕ್ಕುಳು
23,Busen::N,потя,ಸ್ತನ
24,Brust::N,мяште,ಎದೆ
25,Schulter::N,лафту,ಭುಜ
26,Arm::N,кядь,ತೋಳು
27,Ellenbogen::N,кенерьба́карь,ಮೊಣಕೈ
28,Hand::N,кядь,ಕೈ
29,Handfläche::N,кядьлапш,ಅಂಗೈ
30,Finger::N,сур,ಕೈಬೆರಳು
31,Fingernagel::N,кенже,ಉಗುರು
32,Nagel[Anatomie]::N,кенже,ಉಗುರು
33,Zeh::N,пильгосу́р,ಕಾಲ್ಬೆರಳು
34,Fuß::N,пильге,ಪಾದ
35,Fuß::N,пильгелапа,ಪಾದ
36,Ferse::N,кочкяря,ಹಿಮ್ಮಡಿ
37,Knie::N,эль,ಮಂಡಿ
38,Knie::N,пълма́нжа,ಮಂಡಿ
39,Oberschenkel::N,пильгепукша,ತೊಡೆ
40,Bein::N,пильге,ಕಾಲು
41,Körper::N,ро́нга,ದೇಹ
42,Körper::N,по́нда,ದೇಹ
43,Haut::N,киське,ಚರ್ಮ
44,Blut::N,вер,ರಕ್ತ
45,Ader::N,сан,ನರ
46,Ader::N,верза́н,ನರ
47,Sehne::N,коське сан,ನರ
48,Knochen::N,пакарь,ಮೂಳೆ
49,Gehirn::N,уй,ಮಿದುಳು
50,Herz::N,седи,ಹೃದಯ
51,Magen::N,коткърдазь,ಉದರ
52,Leber::N,макса,ಯಕೃತ್ತು
53,Atem::N,лекома,ಉಸಿರು
54,Atem::N,ваймонь тарксема,ಉಸಿರು
55,Hunger::N,вачеши,ಹಸಿವು
56,Träne::N,сельмове́дь,ಕಣ್ಣೀರು
57,Geschmack::N,таньф,ರುಚಿ
58,Geruch::N,шине,ವಾಸನೆ
59,Schlaf::N,удома́,ನಿದ್ರೆ
60,Traum::N,он,ಕನಸು
61,Himmel::N,менель,ಬಾನು
62,Sonne::N,ши,ಸೂರ್ಯ
63,Mond::N,ков,ಚಂದ್ರ
64,Stern::N,тяште,ಚುಕ್ಕಿ
65,Luft::N,кожф,ವಾಯು
66,Wind::N,варма,ಗಾಳಿ
67,Welle::N,тавла,ಅಲೆ
68,Wasser::N,ведь,ನೀರು
69,Stein::N,кев,ಕಲ್ಲು
70,Boden::N,мода,ನೆಲ
71,Boden::N,потмакс,ನೆಲ
72,Erde::N,мода,ಭೂಮಿ
73,Erde::N,мастор,ಭೂಮಿ
74,Staub::N,пуль,ದೂಳು
75,Rauch::N,качам,ಹೊಗೆ
76,Funke::N,ця́тка,ಕಿಡಿ
77,Feuer::N,тол,ಬೆಂಕಿ
78,Licht::N,ва́лда,ಬೆಳಕು
79,Schatten::N,цильф,ನೆರಳು
80,Wetter::N,уша,ಹವ
81,Nebel::N,тума́н,ಮಂಜು
82,Wolke::N,ковол,ಮೋಡ
83,Regen::N,пизем,ಮಳೆ
84,Schnee::N,лов,ಹಿಮ
85,Eis::N,эй,ಮಂಜುಗಡ್ಡೆ
86,Frost::N,ке́льме,ಮಂಜು
87,Kälte::N,якшама,ಹಿಮ
88,Hitze::N,пси,ಉಷ್ಣ
89,Raureif::N,леш,ಇಬ್ಬನಿ
90,Regenbogen::N,а́тямъёнга,ಇಂದ್ರಚಾಪ
91,Donner::N,атям,ಗುಡುಗು
92,Strömung::N,шудема́,ಪ್ರವಾಹ
93,Tropfen::N,путькс,ತೊಟ್ಟು
94,Tropfen::N,пътняфкс,ತೊಟ್ಟು
95,Schaum::N,шов,ನೊರೆ
96,Schmutz::N,ърда́з,ಕಸ
97,See::N,эрьхке,ಸರೋವರ
98,Sumpf::N,шяй,ಜೌಗುಸ್ಥಳ
99,Moor::N,шяй,ಬಂಜರು ಭೂಮಿ
100,Wiese::N,луга,ಹುಲ್ಲುಗಾವಲು
101,Wald::N,вирь,ಕಾಡು
102,Hügel::N,губо́р,ಗುಡ್ಡೆ
103,Hügel::N,пандоня,ಗುಡ್ಡೆ
104,Anhöhe::N,губо́р,ದಿಬ್ಬ
105,Berg::N,панда,ಮಲೆ
106,Berg::N,панда,ಪರ್ವತ
107,Gipfel::N,пря,ಶೃಂಗ
108,Höhle::N,у́нда,ಗುಹೆ
109,Abhang::N,па́нда ша́ма,ಇಳಿಜಾರು
110,Quelle::N,эшиня,ಮೂಲ
111,Bach::N,шудерькс,ತೊರೆ
112,Fluss::N,ляй,ನದಿ
113,Ufer::N,търва́,ತೀರ
114,Küste::N,ляйтърва́,ದಂಡೆ
115,Festland::N,мода,ಭೂಮಿ
116,Meer::N,моря,ಕಡಲು
117,Bucht::N,ведьуське,ಖಾರಿ
118,Insel::N,цёнга,ದ್ವೀಪ
119,Blume::N,панчф,ಸುಮ
120,Gras::N,тише,ಹುಲ್ಲು
121,Wurzel::N,юр,ಬೇರು
122,Wurzel::N,ункс,ಬೇರು
123,Baum::N,шуфта,ಮರ
124,Stamm::N,ро́нга,ಕಾಂಡ
125,Rinde::N,кер,ತೂಗಟಿ
126,Ast::N,морга,ಶಾಖೆ
127,Zweig::N,тарад,ರೆಂಬೆ
128,Blatt::N,лопа,ಎಲೆ
129,Birke::N,ке́лу,ಬರ್ಚ್ ಮರ
130,Kiefer[Baum]::N,пиче,ದೇವದಾರು ಮರ
131,Weide[Baum]::N,каль,ವಿಲೋಮರ
132,Tanne::N,куз,ಭದ್ರದಾರು
133,Horn::N,сюра,ಕೊಂಬು
134,Feder::N,толга,ಪುಕ್ಕ
135,Fell::N,кедь,ರೋಮ
136,Flügel::N,паця,ರೆಕ್ಕೆ
137,Klaue::N,кенже,ಪಂಜ
138,Kralle::N,кенже,ಉಗುರು
139,Schwanz::N,пула,ಬಾಲ
140,Ei::N,ал,ಮೊಟ್ಟೆ
141,Nest::N,пиза,ಗೂಡು
142,Bau::N,пиза,ಅಡಗುದಾಣ
143,Tier::N,жува́та,ಪ್ರಾಣಿ
144,Herde::N,нал,ಗುಂಪು
145,Herde::N,стада,ಗುಂಪು
146,Kuh::N,скал,ಹಸು
147,Kuh::N,тракс,ಹಸು
148,Bulle::N,бука,ಗೂಳಿ
149,Pferd::N,лишме,ಕುದುರೆ
150,Schaf::N,уча́,ಕುರಿ
151,Schwein::N,тува,ಹಂದಿ
152,Hund::N,пине,ನಾಯಿ
153,Katze::N,катоня,ಬೆಕ್ಕು
154,Katze::N,аваката,ಬೆಕ್ಕು
155,Bär::N,офта,ಕರಡಿ
156,Eichhörnchen::N,ур,ಉಡುತೆ
157,Elch::N,ся́рда,ಕಡವೆ
158,Fuchs::N,келазь,ನರಿ
159,Hase::N,ну́мол,ಮೊಲ
160,Maus::N,шеер,ಇಲಿ
161,Wolf::N,върьгаз,ತೋಳ
162,Vogel::N,нармонь,ಪಕ್ಷಿ
163,Schwarm::N,ко́вол,ಗುಂಪು
164,Schwarm::N,ме́швеле,ಗುಂಪು
165,Huhn::N,сараз,ಚಿಕ್
166,Hahn::N,а́тякш,ಹುಂಜ
167,Gans::N,маци,ವರಟೆ
168,Adler::N,куцькан,ಗರುಡ
169,Ente::N,яксярга,ಬಾತು
170,Eule::N,ко́рож,ಗೂಬೆ
171,Kranich::N,ка́рга,ಕೊಕ್ಕರ
172,Krähe::N,ва́рси,ಕಾಗೆ
173,Kuckuck::N,ку́ку,ಕೋಗಿಲೆ
174,Schwan::N,ло́ксти,ಹಂಸಪಕ್ಷಿ
175,Fisch::N,кал,ಮೀನು
176,Barsch::N,о́кунь,ಪರ್ಚ್ ಮೀನು
