,Concept_ID,it,hr
0,Auge::N,occhio,oko
1,Ohr::N,orecchio,uho
2,Nase::N,naso,nos
3,Mund::N,bocca,usta
4,Zahn::N,dente,zub
5,Zunge::N,lingua,jezik
6,Lippe::N,labbro,usna
7,Wange::N,guancia,obraz
8,Gesicht::N,viso,lice
9,Gesicht::N,faccia,lice
10,Stirn::N,fronte,čelo
11,Haar::N,capello,kosa
12,Schnurrbart::N,baffi,brkovi
13,Schnurrbart::N,mustacchi,brkovi
14,Bart::N,barba,brada
15,Kinn::N,mento,brada
16,Kinn::N,mento,podbradak
17,Kiefer[Anatomie]::N,mascella,čeljust
18,Kehle::N,gola,grlo
19,Hals::N,collo,vrat
20,Genick::N,nuca,zatiljak
21,Kopf::N,capo,glava
22,Kopf::N,testa,glava
23,Rücken::N,dorso,leđa
24,Rücken::N,dorso,hrbat
25,Rücken::N,schiena,leđa
26,Rücken::N,schiena,hrbat
27,Bauch::N,ventre,trbuh
28,Nabel::N,ombelico,pupak
29,Busen::N,seno,sisa
30,Busen::N,seno,njedra
31,Brust::N,petto,prsa
32,Schulter::N,spalla,rame
33,Schulter::N,spalla,pleći
34,Arm::N,braccio,ruka
35,Ellenbogen::N,gomito,lakat
36,Hand::N,mano,ruka
37,Handfläche::N,palma,dlan
38,Finger::N,dito,prst
39,Fingernagel::N,unghia,nokat
40,Nagel[Anatomie]::N,unghia,nokat
41,Zeh::N,dito del piede,nozni prst
42,Fuß::N,piede,noga
43,Fuß::N,piede,stopalo
44,Ferse::N,tallone,peta
45,Ferse::N,calcagno,peta
46,Knie::N,ginocchio,koljeno
47,Oberschenkel::N,fèmore,bedro
48,Bein::N,gamba,noga
49,Körper::N,corpo,tijelo
50,Haut::N,pelle,put
51,Haut::N,pelle,koža
52,Blut::N,sangue,krv
53,Ader::N,vena,žila
54,Sehne::N,tèndine,tetiva
55,Knochen::N,osso,kost
56,Gehirn::N,cervello,
57,Herz::N,cuore,srce
58,Magen::N,stòmaco,stomak
59,Magen::N,stòmaco,želudac
60,Leber::N,fegato,jetra
61,Atem::N,fiato,dah
62,Atem::N,respiro,dah
63,Hunger::N,fame,glad
64,Träne::N,làcrima,suza
65,Geschmack::N,gusto,ukus
66,Geschmack::N,sapore,ukus
67,Geruch::N,odore,njuh
68,Geruch::N,odore,miris
69,Schlaf::N,sonno,san
70,Traum::N,sogno,san
71,Himmel::N,cielo,nebo
72,Sonne::N,sole,sunce
73,Mond::N,luna,mjesec
74,Stern::N,stella,zvijezda
75,Luft::N,aria,zrak
76,Wind::N,vento,vjetar
77,Welle::N,onda,val
78,Welle::N,onda,talas
79,Wasser::N,acqua,voda
80,Stein::N,sasso,kamen
81,Stein::N,pietra,kamen
82,Boden::N,suolo,tlo
83,Boden::N,suolo,zemlja
84,Boden::N,terreno,tlo
85,Boden::N,terreno,zemlja
86,Erde::N,terra,zemlja
87,Staub::N,polvere,prah
88,Staub::N,polvere,prašina
89,Rauch::N,fumo,dim
90,Funke::N,scintilla,iskra
91,Funke::N,scintilla,varnica
92,Feuer::N,fuoco,vatra
93,Licht::N,luce,svjetlo
94,Schatten::N,ombra,hlad
95,Schatten::N,ombra,sjena
96,Wetter::N,tempo,vrijeme
97,Nebel::N,nebbia,magla
98,Wolke::N,nube,oblak
99,Wolke::N,nùvola,oblak
100,Regen::N,pioggia,kiša
101,Schnee::N,neve,snijeg
102,Eis::N,ghiaccio,led
103,Frost::N,gelo,mraz
104,Kälte::N,freddo,studen
105,Kälte::N,freddo,hladnoća
106,Hitze::N,caldo,vrućina
107,Hitze::N,calura,vrućina
108,Raureif::N,brina,inje
109,Regenbogen::N,arcobaleno,duga
110,Donner::N,tuono,grom
111,Donner::N,tuono,grmljavina
112,Strömung::N,corrente,struja
113,Strömung::N,corrente,strujanje
114,Tropfen::N,goccia,kap
115,Tropfen::N,goccia,kaplja
116,Schaum::N,spuma,pjena
117,Schaum::N,schiuma,pjena
118,Schmutz::N,sudiciume,nečistoća
119,Schmutz::N,sudiciume,prljavština
120,See::N,lago,jezero
121,Sumpf::N,palude,bara
122,Moor::N,torbiera,močvara
123,Wiese::N,prato,livada
124,Wald::N,bosco,šuma
125,Wald::N,foresta,šuma
126,Hügel::N,colle,brijeg
127,Hügel::N,colle,brežuljak
128,Hügel::N,collina,brijeg
129,Hügel::N,collina,brežuljak
130,Anhöhe::N,altura,uzvišica
131,Berg::N,monte,brdo
132,Berg::N,montagna,brdo
133,Gipfel::N,cima,vrh
134,Höhle::N,grotta,pećina
135,Höhle::N,grotta,spilja
136,Höhle::N,caverna,pećina
137,Höhle::N,caverna,spilja
138,Abhang::N,pendìo,obronak
139,Abhang::N,pendìo,nizbrdica
140,Quelle::N,sorgente,izvor
141,Quelle::N,sorgente,vrelo
142,Bach::N,ruscello,potok
143,Fluss::N,fiume,rijeka
144,Ufer::N,riva,obala
145,Küste::N,costa,obala
146,Küste::N,costa,morska obala
147,Festland::N,terraferma,kopno
148,Meer::N,mare,more
149,Bucht::N,cala,zaliv
150,Insel::N,ìsola,ada
151,Insel::N,ìsola,otok
152,Blume::N,fiore,cvijet
153,Gras::N,erba,trava
154,Wurzel::N,radice,korijen
155,Baum::N,àlbero,drvo
156,Baum::N,àlbero,stablo
157,Stamm::N,tronco,deblo
158,Stamm::N,tronco,stablo
159,Rinde::N,corteccia,kora
160,Ast::N,ramo,grana
161,Zweig::N,ramo,grana
162,Blatt::N,foglia,list
163,Birke::N,betulla,breza
164,Kiefer[Baum]::N,pino,bor
165,Weide[Baum]::N,sàlice,iva
166,Weide[Baum]::N,sàlice,vŕba
167,Tanne::N,abete,jela
168,Horn::N,corno,rog
169,Feder::N,penna,pero
170,Fell::N,manto,koža
171,Fell::N,pelame,koža
172,Flügel::N,ala,krilo
173,Klaue::N,grinfia,papak
174,Kralle::N,unghia,pandža
175,Kralle::N,artiglio,pandža
176,Schwanz::N,coda,rep
177,Ei::N,uovo,jaje
178,Nest::N,nido,gnijezdo
179,Bau::N,covo,jazbina
180,Tier::N,bestia,životinja
181,Tier::N,animale,životinja
182,Herde::N,gregge,krdo
183,Herde::N,gregge,stado
184,Kuh::N,vacca,krava
185,Bulle::N,toro,bik
186,Pferd::N,cavallo,konj
187,Schaf::N,pècora,ovca
188,Schwein::N,porco,svinja
189,Schwein::N,maiale,svinja
190,Hund::N,cane,pas
191,Hund::N,cane,pseto
192,Katze::N,gatta,mačka
193,Bär::N,orso,medvjed
