,Concept_ID,,nl
0,Auge::N,,oog
1,Ohr::N,,oor
2,Nase::N,,neus
3,Mund::N,,mond
4,Zahn::N,,tand
5,Zunge::N,,tong
6,Lippe::N,,lip
7,Wange::N,,wang
8,Gesicht::N,,gelaat
9,Gesicht::N,,gezicht
10,Stirn::N,,voorhoofd
11,Haar::N,,haar
12,Schnurrbart::N,,snor
13,Bart::N,,baard
14,Kinn::N,,kin
15,Kiefer[Anatomie]::N,,kaak
16,Kehle::N,,keel
17,Kehle::N,,strot
18,Hals::N,,hals
19,Genick::N,,nek
20,Kopf::N,,hoofd
21,Rücken::N,,rug
22,Bauch::N,,buik
23,Nabel::N,,navel
24,Busen::N,,boezem
25,Brust::N,,borst
26,Schulter::N,,schouder
27,Arm::N,,arm
28,Ellenbogen::N,,elleboog
29,Hand::N,,hand
30,Handfläche::N,,handpalm
31,Finger::N,,vinger
32,Fingernagel::N,,nagel
33,Nagel[Anatomie]::N,,nagel
34,Zeh::N,,teen
35,Fuß::N,,voet
36,Ferse::N,,hak
37,Ferse::N,,hiel
38,Knie::N,,knie
39,Oberschenkel::N,,dij
40,Bein::N,,been
41,Körper::N,,lichaam
42,Haut::N,,huid
43,Blut::N,,bloed
44,Ader::N,,ader
45,Sehne::N,,pees
46,Knochen::N,,bot
47,Knochen::N,,been
48,Knochen::N,,knook
49,Gehirn::N,,hersenen
50,Herz::N,,hart
51,Magen::N,,maag
52,Leber::N,,lever
53,Atem::N,,adem
54,Hunger::N,,honger
55,Träne::N,,traan
56,Geschmack::N,,smaak
57,Geruch::N,,geur
58,Schlaf::N,,slaap
59,Traum::N,,droom
60,Himmel::N,,hemel
61,Sonne::N,,zon
62,Mond::N,,maan
63,Stern::N,,ster
64,Luft::N,,lucht
65,Wind::N,,wind
66,Welle::N,,golf
67,Wasser::N,,water
68,Stein::N,,steen
69,Boden::N,,grond
70,Erde::N,,aarde
71,Staub::N,,stof
72,Rauch::N,,rook
73,Funke::N,,vonk
74,Feuer::N,,vuur
75,Licht::N,,licht
76,Schatten::N,,schaduw
77,Wetter::N,,weer
78,Nebel::N,,mist
79,Nebel::N,,nevel
80,Wolke::N,,wolk
81,Regen::N,,regen
82,Schnee::N,,sneeuw
83,Eis::N,,ijs
84,Frost::N,,vorst
85,Kälte::N,,kou
86,Kälte::N,,koude
87,Hitze::N,,hitte
88,Raureif::N,,rijp
89,Regenbogen::N,,regenboog
90,Donner::N,,donder
91,Strömung::N,,stroming
92,Tropfen::N,,druppel
93,Schaum::N,,schuim
94,Schmutz::N,,vuil
95,See::N,,meer
96,Sumpf::N,,moeras
97,Moor::N,,veen
98,Wiese::N,,wei
99,Wiese::N,,weide
100,Wald::N,,bos
101,Hügel::N,,heuvel
102,Anhöhe::N,,hoogte
103,Berg::N,,berg
104,Gipfel::N,,top
105,Höhle::N,,hol
106,Abhang::N,,helling
107,Quelle::N,,bron
108,Bach::N,,beek
109,Fluss::N,,stroom
110,Ufer::N,,wal
111,Ufer::N,,oever
112,Küste::N,,kust
