,Concept_ID,lt,ba
0,Auge::N,akis,күҙ
1,Ohr::N,ausis,ҡолаҡ
2,Nase::N,nosis,танау
3,Mund::N,burna,ауыҙ
4,Zahn::N,dantis,теш
5,Zunge::N,liežuvis,тел
6,Lippe::N,lūpa,ирен
7,Wange::N,žandas,яцаҡтар
8,Wange::N,skruostas,яцаҡтар
9,Gesicht::N,veidas,бит
10,Stirn::N,kakta,маңлай
11,Haar::N,plaukai,сәс
12,Schnurrbart::N,ūsai,мылтыҡ
13,Bart::N,barzda,һаҡал
14,Kinn::N,smakras,эйэк
15,Kiefer[Anatomie]::N,žandikaulis,яңаҡ һөйәге
16,Kehle::N,gerklė,тамаҡ
17,Hals::N,kaklas,муйын
18,Genick::N,sprandas,соңҡа
19,Kopf::N,galva,баш
20,Rücken::N,nugara,арҡа
21,Bauch::N,pilvas,ҡорһаҡ
22,Nabel::N,bamba,кендек
23,Busen::N,krūtinė,күкрәк
24,Brust::N,krūtis,түш
25,Schulter::N,petys,яурын
26,Arm::N,ranka,ҡул
27,Ellenbogen::N,alkūnė,терһәк
28,Hand::N,ranka,ҡул
29,Hand::N,ranka,ҡул суғы
30,Hand::N,plaštaka,ҡул
31,Hand::N,plaštaka,ҡул суғы
32,Handfläche::N,delnas,ус төбө
33,Handfläche::N,plaštaka,ус төбө
34,Finger::N,pirštas,бармаҡ
35,Fingernagel::N,nagas,тырнаҡ
36,Nagel[Anatomie]::N,nagas,тырнаҡ
37,Zeh::N,pirštas,бармаҡ
38,Fuß::N,pėda,табан
39,Ferse::N,kulnas,үксә
40,Knie::N,kelis,тубыҡ
41,Oberschenkel::N,kulšis,сандыр
42,Oberschenkel::N,šlaunis,сандыр
43,Bein::N,koja,аяҡ
44,Körper::N,kūnas,тән
45,Haut::N,oda,тире
46,Blut::N,kraujas,ҡан
47,Ader::N,kraujagyslė,тамыр
48,Sehne::N,sausgyslė,һеңер
49,Sehne::N,sausgyslė,тарамыш
50,Knochen::N,kaulas,һойәк
51,Gehirn::N,smegenys,мейе
52,Herz::N,širdis,йорәк
53,Magen::N,skrandis,ашҡаҙан
54,Leber::N,kepenys,бауыр
55,Atem::N,kvapas,һулыш
56,Hunger::N,badas,аслыҡ
57,Hunger::N,alkis,аслыҡ
58,Träne::N,ašara,күҙ иәше
59,Geschmack::N,skonis,тәм
60,Geruch::N,kvapas,еҫ
61,Schlaf::N,miegas,йоҡлау
62,Traum::N,sapnas,төш
63,Himmel::N,dangus,күк
64,Sonne::N,saulė,ҡояш
65,Mond::N,mėnulis,ай
66,Stern::N,žvaigždė,йондоҙ
67,Luft::N,oras,һауа
68,Wind::N,vėjas,ел
69,Welle::N,banga,тулҡын
70,Welle::N,vilnis,тулҡын
71,Wasser::N,vanduo,һыу
72,Stein::N,akmuo,таш
73,Boden::N,žemė,тупраҡ
74,Boden::N,dugnas,тупраҡ
75,Erde::N,žemė,балсҡ
76,Staub::N,dulkės,туҙан
77,Rauch::N,dūmai,төтөн
78,Funke::N,kibirkštis,осҡон
79,Feuer::N,ugnis,ут
80,Licht::N,šviesa,яҡтылыҡ
81,Schatten::N,paūksmė,күләгә
82,Wetter::N,oras,һауа торошо
83,Nebel::N,migla,төман
84,Nebel::N,rūkas,төман
85,Wolke::N,debesis,болот
86,Regen::N,lietus,ямғыр
87,Schnee::N,sniegas,ҡар
88,Eis::N,ledas,боҙ
89,Frost::N,šalna,һалҡын
90,Kälte::N,šaltis,һыуыҡ
91,Hitze::N,karštis,томра
92,Hitze::N,karštis,эҫелек
93,Raureif::N,šerkšnas,ҡырау
94,Regenbogen::N,vaivorykštė,йәйғор
95,Donner::N,perkūnas,күк күкрәү
96,Donner::N,griaustinis,күк күкрәү
97,Strömung::N,tėkmė,ағым
98,Tropfen::N,lašas,тамсы
99,Schaum::N,putos,күбек
100,Schmutz::N,purvas,батҡаҡ
101,See::N,ežeras,күл
