,Concept_ID,el,br
0,Auge::N,μάτι,lagad
1,Auge::N,οφθαλμός,lagad
2,Ohr::N,αυτί,skouarn
3,Nase::N,μύτη,fri
4,Mund::N,στόμα,genoù
5,Zahn::N,δόντι,dant
6,Zunge::N,γλώσσα,teod
7,Lippe::N,χείλος,muzell
8,Wange::N,παρειά,chot
9,Wange::N,μάγουλο,chot
10,Gesicht::N,πρόσωπο,dremm
11,Stirn::N,μέτωπο,tal
12,Haar::N,μαλλιά,blev
13,Schnurrbart::N,μουστάκι,mourenn
14,Bart::N,γένια,barv
15,Kinn::N,πιγούνι,groñj
16,Kiefer[Anatomie]::N,σαγόνι,javed
17,Kehle::N,λαρύγγι,gouzoug
18,Hals::N,λαιμός,gouzoug
19,Genick::N,σβέρκος,choug
20,Kopf::N,κεφάλι,penn
21,Rücken::N,ράχη,kein
22,Bauch::N,κοιλιά,kof
23,Nabel::N,αφαλός,begel
24,Busen::N,στήθος,bronn
25,Brust::N,στήθος,bruched
26,Schulter::N,ώμος,skoaz
27,Arm::N,χέρι,brec'h
28,Arm::N,μπράτςο,brec'h
29,Ellenbogen::N,αγκώνας,ilin
30,Hand::N,χέρι,dorn
31,Handfläche::N,παλάμη,palv
32,Finger::N,δάχτυλο,biz
33,Fingernagel::N,νύχι,ivin
34,Nagel[Anatomie]::N,νύχι,ivin
35,Zeh::N,δάχτυλο του ποδιού,biz-troad
36,Fuß::N,πόδι,troad
37,Ferse::N,φτέρνα,seul
38,Knie::N,γόνατο,glin
39,Oberschenkel::N,μηρός,morzhed
40,Bein::N,πόδι,gar
41,Körper::N,σώμα,korf
42,Körper::N,κορμί,korf
43,Haut::N,πετσί,kroc'hen
44,Blut::N,αίμα,gwad
45,Ader::N,φλέβα,gwazhi
46,Sehne::N,νεύρο,stir
47,Sehne::N,τένοντας,stir
48,Knochen::N,οστό,askorn
49,Knochen::N,κόκκαλο,askorn
50,Gehirn::N,μυαλό,empenn
51,Gehirn::N,εγκέφαλος,empenn
52,Herz::N,καρδιά,kalon
53,Magen::N,στομάχι,stomog
54,Leber::N,ήπαρ,avu
55,Leber::N,συκωτί,avu
56,Atem::N,αναπνοή,anal
57,Hunger::N,πείνα,naon
58,Träne::N,δάκρυ,daer
59,Geschmack::N,γεύση,blaz
60,Geruch::N,οσμή,c'hwezh
61,Geruch::N,μυρωδία,c'hwezh
62,Schlaf::N,ύπνος,kousked
63,Traum::N,όνειρο,hune
64,Himmel::N,ουρανός,oabl
65,Sonne::N,ήλιος,heol
66,Mond::N,σελήνη,loar
67,Mond::N,φεγγάρι,loar
68,Stern::N,άστρο,steredenn
69,Stern::N,αστέρι,steredenn
70,Luft::N,αέρας,aer
71,Wind::N,αέρας,avel
72,Wind::N,άνεμος,avel
73,Welle::N,κύμα,houlenn
74,Wasser::N,νερό,dour
75,Stein::N,πέτρα,maen
76,Boden::N,χώμα,tachenn
77,Erde::N,γη,douar
78,Staub::N,σκόνη,poultr
79,Rauch::N,καπνός,moged
80,Funke::N,σπίθα,ful
81,Funke::N,σπινθήρας,ful
82,Feuer::N,φωτιά,tan
83,Licht::N,φως,gouloù
84,Schatten::N,σκιά,disheol
